date,open,high,low,close
30-05-2024,435.0,451.45,415.2,421.75
31-05-2024,421.0,424.45,396.0,402.95
03-06-2024,420.0,423.5,405.0,419.35
04-06-2024,417.0,417.0,371.4,407.05
05-06-2024,400.0,423.7,384.0,413.25
06-06-2024,408.0,418.15,406.95,408.65
07-06-2024,415.95,468.8,410.3,448.5
10-06-2024,448.5,455.0,433.25,439.8
11-06-2024,447.0,468.0,443.05,455.85
12-06-2024,463.95,485.9,457.2,472.55
13-06-2024,474.8,478.45,462.1,466.95
14-06-2024,470.0,491.8,464.85,483.35
18-06-2024,489.35,494.8,473.2,486.5
19-06-2024,488.0,507.25,479.25,499.85
20-06-2024,530.15,544.0,500.0,504.9
21-06-2024,504.9,512.8,484.6,491.1
