date,open,high,low,close
24-07-2019,728.0,732.8,709.35,712.3
25-07-2019,711.2,726.25,706.35,723.15
26-07-2019,723.55,732.0,719.2,729.85
29-07-2019,736.2,740.0,710.0,720.25
30-07-2019,725.95,728.0,701.0,707.6
31-07-2019,694.0,694.9,657.8,674.1
01-08-2019,673.95,680.75,662.65,669.3
02-08-2019,667.4,681.65,661.6,673.85
05-08-2019,665.5,669.35,650.2,662.45
06-08-2019,658.7,682.85,654.0,679.0
07-08-2019,679.0,679.5,654.25,659.95
08-08-2019,660.6,664.3,643.2,660.1
09-08-2019,664.2,675.95,660.0,660.8
13-08-2019,662.2,668.7,645.0,649.45
14-08-2019,652.8,669.45,652.0,663.2
16-08-2019,664.0,678.0,656.85,675.65
19-08-2019,678.8,689.0,676.35,685.0
20-08-2019,685.15,685.2,669.5,672.35
21-08-2019,674.0,674.15,659.65,664.7
22-08-2019,665.0,669.85,657.75,661.15
23-08-2019,659.75,671.55,645.25,663.9
26-08-2019,677.25,686.65,660.55,683.7
27-08-2019,697.0,697.55,680.5,682.95
28-08-2019,685.1,689.35,673.5,678.2
29-08-2019,674.0,676.75,658.9,661.15
30-08-2019,664.9,668.6,640.1,663.9
03-09-2019,658.8,658.8,641.45,645.7
04-09-2019,644.2,653.0,638.6,647.3
05-09-2019,652.0,659.75,644.05,649.6
06-09-2019,653.1,672.75,653.1,671.1
09-09-2019,667.65,675.8,662.75,671.55
11-09-2019,674.55,683.5,671.0,681.7
12-09-2019,680.1,681.65,660.55,662.9
13-09-2019,663.55,675.4,657.05,674.25
16-09-2019,666.6,674.4,664.95,670.9
17-09-2019,667.0,668.3,638.05,640.45
18-09-2019,645.5,654.5,641.55,648.4
19-09-2019,648.2,650.0,632.6,638.2
20-09-2019,641.05,689.45,622.65,680.35
23-09-2019,703.9,732.0,695.85,725.5
24-09-2019,728.25,733.25,702.25,704.4
25-09-2019,702.0,703.45,683.65,694.95
26-09-2019,686.6,719.65,686.55,699.9
27-09-2019,700.2,707.95,692.5,700.6
30-09-2019,704.05,712.4,682.1,685.0
01-10-2019,687.1,701.25,656.25,679.15
03-10-2019,675.0,675.9,646.7,668.4
04-10-2019,669.9,677.4,651.4,656.4
07-10-2019,660.95,681.9,651.7,673.45
09-10-2019,671.9,689.5,664.3,686.3
10-10-2019,680.0,684.3,665.35,672.95
11-10-2019,676.55,686.0,668.3,672.7
14-10-2019,677.8,693.95,673.35,683.5
15-10-2019,682.6,694.85,681.3,690.05
16-10-2019,693.4,695.4,683.55,693.4
17-10-2019,690.5,712.4,690.5,710.3
18-10-2019,709.85,715.7,705.25,709.55
22-10-2019,712.4,723.0,703.3,712.75
23-10-2019,718.0,730.0,710.05,714.85
24-10-2019,719.95,723.0,701.55,707.7
25-10-2019,708.0,711.0,695.0,708.6
27-10-2019,711.0,715.05,708.55,710.1
29-10-2019,706.5,742.9,704.25,738.45
30-10-2019,745.0,749.9,735.5,747.4
31-10-2019,748.0,750.0,732.05,736.35
01-11-2019,736.0,750.0,728.1,748.3
04-11-2019,754.95,754.95,735.55,742.6
05-11-2019,741.8,745.6,730.6,738.05
06-11-2019,736.95,750.9,728.75,747.25
07-11-2019,750.0,756.0,732.5,734.75
08-11-2019,735.9,735.9,722.8,725.5
11-11-2019,723.4,735.5,721.2,733.7
13-11-2019,733.7,737.4,707.85,711.2
14-11-2019,711.0,721.8,707.25,715.9
15-11-2019,716.75,723.5,710.6,716.9
18-11-2019,717.8,725.5,712.2,722.95
19-11-2019,725.0,750.2,725.0,747.8
20-11-2019,748.0,753.85,741.25,748.75
21-11-2019,749.0,749.0,734.3,737.4
22-11-2019,737.4,740.0,727.5,732.1
25-11-2019,731.95,756.8,730.0,754.75
26-11-2019,756.8,762.0,744.0,752.25
27-11-2019,755.0,763.75,748.4,752.9
28-11-2019,752.3,755.65,745.75,750.6
29-11-2019,749.9,756.35,736.5,739.05
02-12-2019,739.25,746.0,737.35,744.3
03-12-2019,744.95,744.95,730.65,733.4
04-12-2019,732.85,747.0,729.3,739.85
05-12-2019,743.0,745.0,725.3,729.25
06-12-2019,732.8,735.25,715.0,717.6
09-12-2019,713.45,733.9,710.0,732.0
10-12-2019,731.0,734.8,714.0,715.7
11-12-2019,711.5,722.4,709.05,716.55
12-12-2019,719.0,725.3,715.15,722.1
13-12-2019,725.6,754.85,725.0,752.0
16-12-2019,752.25,754.7,746.2,747.25
17-12-2019,747.6,756.5,741.35,745.65
18-12-2019,745.8,748.55,737.6,741.85
19-12-2019,743.1,750.0,740.65,742.55
20-12-2019,744.7,747.0,737.3,739.85
23-12-2019,736.9,748.6,735.0,743.15
24-12-2019,744.5,744.7,737.8,740.65
26-12-2019,737.5,740.65,733.9,736.5
27-12-2019,739.0,762.0,736.3,760.15
30-12-2019,760.9,765.75,751.05,754.1
31-12-2019,753.85,765.85,751.4,754.1
01-01-2020,754.9,759.95,747.2,748.7
02-01-2020,750.0,759.0,747.6,756.95
03-01-2020,753.15,756.25,740.5,742.95
06-01-2020,739.45,739.6,721.7,723.25
07-01-2020,728.0,738.0,721.05,725.75
08-01-2020,715.25,725.75,709.1,724.5
09-01-2020,733.55,745.0,731.0,742.85
10-01-2020,743.0,751.8,734.8,740.05
13-01-2020,740.0,746.75,735.35,737.4
14-01-2020,740.0,751.4,734.2,747.9
15-01-2020,747.05,749.0,738.0,746.3
16-01-2020,746.5,750.4,735.1,737.3
17-01-2020,734.85,742.45,730.85,739.9
20-01-2020,742.95,746.2,725.0,727.2
21-01-2020,726.35,729.6,716.05,717.6
22-01-2020,717.0,722.75,706.6,712.6
23-01-2020,725.05,737.55,719.4,723.0
24-01-2020,723.4,741.7,720.4,737.4
27-01-2020,732.45,748.45,731.0,740.25
28-01-2020,738.4,746.5,735.0,737.15
29-01-2020,740.0,745.5,733.55,735.25
30-01-2020,735.75,736.4,727.3,730.9
31-01-2020,734.7,737.25,725.2,729.3
01-02-2020,728.55,734.35,702.0,705.45
03-02-2020,704.7,712.8,695.55,708.95
04-02-2020,712.45,720.6,710.0,715.0
05-02-2020,719.45,725.65,715.2,724.05
06-02-2020,727.45,745.0,723.0,736.95
07-02-2020,736.7,749.2,734.0,748.15
10-02-2020,746.3,746.8,739.0,741.1
11-02-2020,743.0,757.1,742.0,749.95
12-02-2020,752.0,760.7,751.0,755.25
13-02-2020,751.1,753.45,742.3,747.8
14-02-2020,748.1,752.55,732.1,736.5
17-02-2020,737.4,743.1,730.2,738.4
18-02-2020,737.75,737.75,724.7,733.65
19-02-2020,740.65,745.1,735.35,741.05
20-02-2020,742.75,754.0,737.6,744.3
24-02-2020,737.95,738.4,723.0,725.45
25-02-2020,729.4,732.0,722.05,728.75
26-02-2020,725.3,735.75,722.0,729.4
27-02-2020,728.7,739.45,716.55,735.85
28-02-2020,718.9,724.7,691.0,697.3
02-03-2020,709.3,713.25,675.3,684.2
03-03-2020,689.9,695.8,675.0,687.15
04-03-2020,690.0,696.0,668.3,682.2
05-03-2020,686.5,694.0,675.25,677.9
06-03-2020,650.0,660.8,641.05,657.65
09-03-2020,639.0,641.85,615.1,623.55
11-03-2020,613.65,634.4,612.1,619.35
12-03-2020,592.0,594.0,528.15,543.25
13-03-2020,516.95,585.65,451.1,568.8
16-03-2020,542.35,545.0,502.35,508.6
17-03-2020,515.15,531.3,477.45,488.35
18-03-2020,490.0,506.05,392.1,473.45
19-03-2020,441.05,464.95,423.75,428.25
20-03-2020,431.4,449.7,414.2,428.15
23-03-2020,385.35,392.0,302.0,308.65
24-03-2020,331.95,337.5,291.0,303.15
25-03-2020,293.5,363.75,286.0,326.8
26-03-2020,335.95,399.0,332.0,341.4
27-03-2020,370.0,409.45,354.05,359.75
30-03-2020,345.0,382.0,340.35,368.15
31-03-2020,384.4,389.8,372.65,379.0
01-04-2020,376.25,379.8,354.0,358.65
03-04-2020,360.2,362.3,324.0,325.45
07-04-2020,347.4,405.75,342.35,388.85
08-04-2020,383.75,427.7,373.5,391.35
09-04-2020,405.0,423.0,398.65,420.15
13-04-2020,417.95,427.9,402.0,418.95
15-04-2020,434.0,451.65,412.45,417.3
16-04-2020,408.6,427.0,400.7,422.55
17-04-2020,450.0,485.9,432.4,478.8
20-04-2020,482.0,483.45,451.25,455.95
21-04-2020,436.0,439.95,412.95,420.65
22-04-2020,418.55,434.55,412.0,431.15
23-04-2020,434.6,439.85,426.05,430.05
24-04-2020,416.0,419.65,401.25,403.95
27-04-2020,415.0,429.5,409.1,427.3
28-04-2020,438.0,458.4,435.25,455.45
29-04-2020,430.75,448.85,425.95,439.1
30-04-2020,451.0,461.9,440.4,444.9
04-05-2020,424.0,424.0,399.7,402.8
05-05-2020,414.0,418.75,386.5,389.0
06-05-2020,385.0,394.45,368.05,388.85
07-05-2020,387.0,402.25,382.7,397.35
08-05-2020,403.5,409.45,379.65,382.05
11-05-2020,391.0,393.5,376.85,379.55
12-05-2020,376.3,391.8,370.0,386.85
13-05-2020,411.0,416.45,399.6,414.0
14-05-2020,405.05,411.0,397.65,401.95
15-05-2020,402.75,403.9,386.8,388.55
18-05-2020,389.0,389.0,352.3,358.8
19-05-2020,368.8,372.5,350.1,354.5
20-05-2020,353.0,366.3,350.0,362.5
21-05-2020,363.0,369.0,355.7,357.2
22-05-2020,352.1,359.75,332.85,336.95
26-05-2020,342.0,347.7,336.35,341.3
27-05-2020,346.1,392.45,341.5,387.0
28-05-2020,390.0,407.65,387.0,390.95
29-05-2020,382.0,389.25,375.35,384.95
01-06-2020,394.3,409.5,392.55,396.95
02-06-2020,398.0,415.0,391.55,410.1
03-06-2020,422.0,432.0,405.25,409.55
04-06-2020,407.6,413.9,391.55,394.35
05-06-2020,399.0,409.9,390.5,405.3
08-06-2020,415.0,444.75,414.0,430.25
09-06-2020,434.95,442.5,416.5,420.05
10-06-2020,422.2,432.7,415.3,427.45
11-06-2020,426.5,435.55,408.7,413.45
12-06-2020,390.0,412.5,389.15,408.0
15-06-2020,405.95,405.95,383.65,389.6
16-06-2020,404.9,405.0,360.4,381.55
17-06-2020,377.45,397.75,375.3,389.6
18-06-2020,386.0,408.05,384.0,405.4
19-06-2020,407.5,422.3,407.5,417.05
22-06-2020,420.0,435.9,418.1,430.15
23-06-2020,430.5,445.0,430.4,443.65
24-06-2020,448.0,448.5,422.2,424.65
25-06-2020,419.0,428.7,410.35,421.7
26-06-2020,426.0,428.75,418.0,424.85
29-06-2020,415.0,415.8,402.35,404.8
30-06-2020,410.0,414.8,404.05,406.65
01-07-2020,410.0,437.35,406.65,433.25
02-07-2020,441.0,441.5,421.3,423.2
03-07-2020,430.0,431.6,423.65,428.45
06-07-2020,434.15,437.6,431.1,434.0
07-07-2020,433.5,449.0,426.2,447.35
08-07-2020,450.0,461.4,441.0,444.15
09-07-2020,447.85,457.0,446.05,453.75
10-07-2020,449.9,451.45,437.0,439.6
13-07-2020,443.95,446.4,432.75,440.05
14-07-2020,434.9,435.8,415.4,417.7
15-07-2020,424.0,444.45,422.75,426.65
16-07-2020,431.95,436.15,418.45,434.0
17-07-2020,434.0,439.9,424.6,433.1
20-07-2020,437.7,442.8,429.3,434.0
21-07-2020,440.0,451.0,438.5,446.2
22-07-2020,478.0,484.6,460.1,478.95
23-07-2020,472.95,474.75,459.2,460.85
24-07-2020,456.6,456.6,441.55,445.6
27-07-2020,447.0,448.0,429.9,431.55
28-07-2020,434.0,440.0,424.4,437.05
29-07-2020,435.75,447.0,434.3,440.9
30-07-2020,441.9,445.9,424.75,425.85
31-07-2020,429.0,434.45,421.3,431.65
03-08-2020,431.6,431.9,415.7,417.35
04-08-2020,421.85,431.2,417.35,429.15
05-08-2020,439.0,446.85,433.15,434.95
06-08-2020,436.0,438.3,427.1,433.0
07-08-2020,431.45,437.0,427.15,433.3
10-08-2020,434.0,437.0,429.3,431.1
11-08-2020,435.3,449.9,435.3,448.0
12-08-2020,444.8,452.75,438.95,451.1
13-08-2020,454.1,456.75,445.35,448.1
14-08-2020,451.5,451.5,425.6,435.85
17-08-2020,439.1,441.0,425.35,438.15
18-08-2020,439.5,447.25,435.3,445.8
19-08-2020,446.0,451.95,442.45,444.2
20-08-2020,437.9,441.3,433.25,434.95
21-08-2020,440.0,444.85,436.25,440.45
24-08-2020,444.0,449.45,442.3,445.8
25-08-2020,450.95,456.4,447.1,451.8
26-08-2020,452.0,464.8,449.0,463.35
27-08-2020,464.0,474.5,464.0,473.05
28-08-2020,476.45,513.0,476.05,509.2
31-08-2020,524.45,533.85,486.3,496.75
01-09-2020,495.05,503.4,479.65,485.7
02-09-2020,487.0,487.95,472.1,484.4
03-09-2020,488.4,489.95,473.1,474.95
04-09-2020,469.0,472.95,452.6,455.2
07-09-2020,457.0,467.15,450.65,458.7
08-09-2020,459.8,462.4,441.25,444.35
09-09-2020,439.9,443.35,425.0,431.25
10-09-2020,436.45,448.7,430.75,446.85
11-09-2020,446.0,449.85,439.25,447.2
14-09-2020,452.0,455.0,438.0,440.55
15-09-2020,441.05,451.9,435.9,449.55
16-09-2020,449.55,450.6,440.0,446.0
17-09-2020,440.95,446.45,438.5,442.9
18-09-2020,444.55,449.3,436.05,443.35
21-09-2020,443.0,444.0,420.55,423.35
22-09-2020,424.0,426.65,406.3,412.0
23-09-2020,418.1,422.9,406.1,419.75
24-09-2020,414.0,414.3,401.15,402.45
25-09-2020,407.5,416.7,400.15,415.05
28-09-2020,420.0,440.6,418.05,439.25
29-09-2020,442.4,443.3,424.8,426.85
30-09-2020,427.0,428.1,418.75,424.65
