date,open,high,low,close
20-01-2023,29.8,32.5,28.3,29.4
23-01-2023,29.3,30.9,27.55,30.2
24-01-2023,30.15,32.35,29.0,31.15
25-01-2023,31.9,31.9,30.2,30.9
27-01-2023,29.6,31.75,29.35,30.05
30-01-2023,29.25,31.5,29.25,29.6
31-01-2023,29.6,31.0,29.15,30.95
01-02-2023,31.6,32.25,29.5,31.55
02-02-2023,30.9,33.1,30.25,32.6
03-02-2023,32.5,32.9,31.1,32.05
06-02-2023,32.45,33.65,32.0,32.8
07-02-2023,34.25,34.25,32.5,33.55
08-02-2023,33.95,33.95,31.9,32.35
09-02-2023,32.95,33.25,31.65,32.8
10-02-2023,32.8,33.2,31.35,32.15
13-02-2023,32.15,33.7,32.15,33.0
14-02-2023,32.8,32.9,32.25,32.7
15-02-2023,32.7,32.7,31.6,32.0
16-02-2023,31.9,33.6,31.2,33.6
17-02-2023,34.95,35.2,33.8,34.2
20-02-2023,35.5,35.9,34.5,35.85
21-02-2023,36.9,37.6,35.9,37.0
22-02-2023,37.75,38.35,36.0,36.5
23-02-2023,38.15,38.15,35.1,37.1
24-02-2023,37.1,38.0,35.5,37.15
27-02-2023,38.85,38.85,36.2,37.55
28-02-2023,38.65,39.4,36.1,37.3
01-03-2023,36.5,38.9,36.5,36.75
02-03-2023,35.2,36.95,35.2,36.4
03-03-2023,37.45,38.2,35.7,37.35
06-03-2023,38.95,38.95,36.65,37.75
08-03-2023,37.85,38.45,37.1,37.45
09-03-2023,38.2,38.7,36.1,38.1
10-03-2023,38.4,38.5,37.95,38.1
13-03-2023,38.1,39.9,37.3,37.5
14-03-2023,38.65,38.65,35.65,36.0
15-03-2023,37.4,37.8,34.5,37.75
16-03-2023,36.5,37.8,36.15,36.8
17-03-2023,38.25,38.25,35.25,37.3
20-03-2023,37.3,38.2,35.45,35.45
21-03-2023,34.0,37.0,33.7,34.8
22-03-2023,35.2,36.5,35.05,36.5
23-03-2023,37.25,37.65,35.45,36.6
24-03-2023,35.8,37.45,35.8,36.75
27-03-2023,35.85,38.1,34.95,36.35
28-03-2023,35.75,36.65,34.55,34.55
29-03-2023,33.9,35.0,32.85,33.55
31-03-2023,32.6,34.7,32.6,34.2
03-04-2023,33.05,34.75,32.8,33.2
05-04-2023,33.25,34.8,33.25,33.7
06-04-2023,33.2,35.35,33.05,34.65
10-04-2023,34.65,36.05,33.3,35.5
11-04-2023,36.85,36.85,35.0,35.4
12-04-2023,36.15,36.15,34.0,35.4
13-04-2023,36.15,36.2,33.45,35.7
17-04-2023,35.7,37.4,32.3,35.05
18-04-2023,35.0,35.95,33.3,35.6
19-04-2023,35.0,35.95,34.05,35.0
20-04-2023,34.2,35.45,34.2,34.7
21-04-2023,34.0,35.3,33.3,34.3
24-04-2023,34.25,35.85,33.1,35.5
25-04-2023,35.8,36.75,35.1,36.3
26-04-2023,36.3,36.3,35.2,35.6
27-04-2023,36.3,36.85,35.1,35.75
28-04-2023,34.7,36.35,34.7,35.55
02-05-2023,35.5,36.0,34.3,35.8
03-05-2023,35.9,36.4,35.4,35.6
04-05-2023,36.35,36.35,35.4,35.55
05-05-2023,34.3,35.95,34.3,35.4
08-05-2023,36.2,36.5,34.55,35.95
09-05-2023,35.3,35.85,34.3,34.55
10-05-2023,34.5,35.5,34.5,35.25
11-05-2023,35.9,35.9,34.5,35.0
12-05-2023,35.4,36.3,35.0,35.7
15-05-2023,36.9,36.9,35.1,36.35
16-05-2023,36.7,37.7,35.55,35.9
17-05-2023,36.05,39.45,34.0,39.45
18-05-2023,39.45,41.0,37.8,40.1
19-05-2023,40.5,40.85,36.7,36.95
22-05-2023,36.95,38.9,35.05,36.05
23-05-2023,36.25,36.8,35.25,36.2
24-05-2023,37.3,37.3,35.05,35.5
25-05-2023,36.4,36.8,35.45,36.5
26-05-2023,36.6,37.1,35.5,36.25
29-05-2023,36.5,36.85,36.25,36.5
30-05-2023,36.5,37.4,35.1,36.0
31-05-2023,35.25,37.4,35.25,37.0
01-06-2023,38.7,38.7,36.25,36.7
02-06-2023,36.4,37.2,36.05,36.55
05-06-2023,36.0,37.3,35.55,36.6
06-06-2023,37.35,37.35,35.55,36.25
07-06-2023,37.0,37.25,33.8,35.15
08-06-2023,35.7,36.6,35.4,35.55
09-06-2023,35.95,36.95,35.7,36.55
12-06-2023,36.55,37.0,36.5,36.5
13-06-2023,36.9,37.25,35.7,36.7
14-06-2023,36.7,43.0,35.6,41.85
15-06-2023,41.4,43.85,40.4,42.2
16-06-2023,42.5,45.35,40.6,44.1
19-06-2023,43.0,46.4,43.0,44.8
20-06-2023,44.65,47.4,42.5,43.1
21-06-2023,43.7,43.95,40.1,40.8
22-06-2023,41.35,43.4,39.2,40.55
23-06-2023,41.2,42.8,39.9,41.1
26-06-2023,42.5,42.5,39.55,39.95
27-06-2023,39.95,44.5,39.4,42.6
28-06-2023,41.3,48.75,41.3,44.45
30-06-2023,44.7,46.85,43.7,44.2
03-07-2023,44.8,46.15,39.2,40.2
04-07-2023,40.75,45.55,40.15,41.25
05-07-2023,41.65,42.35,37.3,38.0
06-07-2023,38.4,39.5,37.55,38.8
07-07-2023,39.1,39.25,33.8,37.55
10-07-2023,37.95,39.75,37.0,39.45
11-07-2023,40.05,40.45,38.0,38.6
12-07-2023,39.1,39.15,37.2,37.85
13-07-2023,38.7,38.7,35.45,36.15
14-07-2023,36.7,38.4,36.15,38.1
17-07-2023,38.65,39.45,37.55,38.35
18-07-2023,38.35,38.6,37.25,37.6
19-07-2023,37.9,39.9,37.1,39.3
20-07-2023,39.9,39.95,38.0,38.15
21-07-2023,38.55,38.55,37.5,37.85
24-07-2023,37.9,40.5,37.45,39.15
25-07-2023,39.55,40.55,36.85,37.35
26-07-2023,37.65,37.7,36.5,37.05
27-07-2023,37.05,37.8,36.7,37.0
28-07-2023,37.9,40.35,36.75,39.5
31-07-2023,40.35,42.1,39.7,41.4
01-08-2023,40.85,42.0,40.0,40.5
02-08-2023,40.8,40.95,38.5,38.95
03-08-2023,38.5,40.0,38.5,39.45
04-08-2023,39.95,43.6,39.5,43.1
07-08-2023,46.5,46.5,40.25,40.9
08-08-2023,41.45,41.95,39.9,40.05
09-08-2023,40.05,41.65,39.7,40.15
10-08-2023,40.5,41.25,38.95,39.45
11-08-2023,39.85,41.0,38.05,38.4
14-08-2023,39.0,39.25,38.5,38.7
16-08-2023,39.25,39.25,37.65,38.05
17-08-2023,38.3,38.75,37.85,38.1
18-08-2023,38.15,38.4,37.65,38.1
