date,open,high,low,close
22-07-2019,293.55,295.15,288.75,292.6
23-07-2019,294.15,297.7,272.25,280.1
24-07-2019,278.15,280.05,264.4,265.95
25-07-2019,265.05,273.25,262.5,267.6
26-07-2019,268.05,268.05,246.0,247.5
29-07-2019,248.0,248.65,238.85,240.8
30-07-2019,241.5,245.35,229.1,232.85
31-07-2019,231.5,240.6,221.5,238.7
01-08-2019,238.85,240.9,230.35,234.65
02-08-2019,227.05,238.85,227.05,236.3
05-08-2019,236.25,241.35,229.7,239.05
06-08-2019,239.05,247.1,235.75,238.15
07-08-2019,238.15,242.8,230.35,237.65
08-08-2019,236.3,242.2,230.1,239.55
09-08-2019,237.7,249.95,237.7,248.9
13-08-2019,253.05,254.55,246.05,248.8
14-08-2019,250.75,253.2,244.75,249.05
16-08-2019,249.05,252.6,242.3,250.75
19-08-2019,250.75,253.85,246.9,250.75
20-08-2019,248.85,252.6,247.7,251.75
21-08-2019,254.55,255.85,240.25,242.75
22-08-2019,244.25,244.25,233.65,235.7
23-08-2019,235.6,238.55,229.7,234.7
26-08-2019,241.2,243.95,233.75,239.7
27-08-2019,242.0,261.75,238.5,257.4
28-08-2019,257.85,265.7,253.25,258.45
29-08-2019,257.2,260.3,253.6,254.75
30-08-2019,253.95,258.8,251.95,256.85
03-09-2019,253.95,253.95,243.45,245.15
04-09-2019,244.75,249.95,241.65,247.05
05-09-2019,249.35,250.3,242.1,242.95
06-09-2019,244.1,246.7,240.8,245.8
09-09-2019,246.05,247.8,240.45,245.6
11-09-2019,249.35,254.25,247.45,252.05
12-09-2019,254.55,257.2,249.4,249.85
13-09-2019,251.95,252.0,245.65,248.85
16-09-2019,248.6,259.1,245.6,256.05
17-09-2019,255.6,263.7,252.3,256.5
18-09-2019,257.2,265.1,254.25,256.8
19-09-2019,256.85,258.4,244.75,246.1
20-09-2019,246.65,265.5,243.45,261.85
23-09-2019,265.7,279.95,263.7,267.35
24-09-2019,269.5,273.2,262.2,263.8
25-09-2019,267.5,267.5,258.5,261.75
26-09-2019,263.1,271.55,261.25,264.1
27-09-2019,266.85,274.15,265.05,267.15
30-09-2019,268.05,268.15,254.0,255.85
01-10-2019,258.45,261.75,246.6,250.6
03-10-2019,252.0,256.55,249.0,253.55
04-10-2019,256.4,258.1,251.5,255.25
07-10-2019,255.25,255.25,243.95,247.6
09-10-2019,248.65,251.3,243.0,246.6
10-10-2019,246.5,253.1,244.3,248.1
11-10-2019,250.3,253.65,243.55,250.75
14-10-2019,248.65,254.05,248.65,250.15
15-10-2019,249.35,251.3,247.35,249.55
16-10-2019,251.1,261.1,249.95,253.95
17-10-2019,255.85,257.65,249.75,251.1
18-10-2019,251.95,261.1,249.35,260.45
22-10-2019,259.15,270.8,258.5,259.85
23-10-2019,259.8,268.3,255.95,257.6
24-10-2019,259.1,262.4,248.85,250.45
25-10-2019,251.8,253.2,242.1,245.9
27-10-2019,247.9,251.9,246.75,250.3
29-10-2019,252.55,261.65,247.25,248.55
30-10-2019,249.35,249.35,246.7,248.0
31-10-2019,248.45,249.35,246.7,247.8
01-11-2019,249.15,249.15,245.4,246.05
04-11-2019,247.35,256.55,246.75,254.75
05-11-2019,255.8,258.25,248.65,249.95
06-11-2019,251.9,255.95,227.75,231.1
07-11-2019,229.1,230.35,217.9,219.3
08-11-2019,222.45,222.5,211.35,212.7
11-11-2019,210.25,214.0,209.35,209.75
13-11-2019,209.45,219.2,209.45,213.05
14-11-2019,213.05,215.85,209.2,210.5
15-11-2019,210.45,215.55,210.45,213.65
18-11-2019,211.25,211.35,204.15,208.35
19-11-2019,206.8,210.45,201.55,202.65
20-11-2019,200.7,204.6,200.7,203.25
21-11-2019,203.5,208.7,200.9,202.75
22-11-2019,204.15,212.05,204.0,210.75
25-11-2019,211.95,218.25,211.8,217.6
26-11-2019,219.0,225.75,217.05,222.65
27-11-2019,224.15,227.05,218.0,222.25
28-11-2019,224.95,227.75,221.9,224.2
29-11-2019,224.8,226.2,219.2,222.3
02-12-2019,222.15,222.9,212.9,214.25
03-12-2019,214.7,215.95,209.65,212.2
04-12-2019,212.0,213.5,210.85,211.7
05-12-2019,217.05,217.25,211.05,212.6
06-12-2019,214.5,214.95,209.55,210.75
09-12-2019,210.05,211.35,206.25,207.7
10-12-2019,208.7,214.65,207.55,211.5
11-12-2019,212.85,215.55,209.65,214.2
12-12-2019,214.65,216.95,213.1,214.7
13-12-2019,217.25,217.85,214.75,216.8
16-12-2019,217.9,222.45,213.0,219.3
17-12-2019,219.15,225.6,217.2,223.4
18-12-2019,224.45,225.1,218.7,221.6
19-12-2019,219.95,232.1,219.3,225.2
20-12-2019,224.6,226.95,216.2,218.6
23-12-2019,219.9,221.85,218.0,220.5
