date,open,high,low,close
29-01-2024,46.18,46.18,45.2,45.63
30-01-2024,50.0,50.7,45.1,45.21
31-01-2024,46.15,46.15,45.33,45.93
01-02-2024,45.93,46.68,45.75,46.01
02-02-2024,47.16,47.16,46.0,46.14
05-02-2024,47.0,47.0,45.71,45.85
06-02-2024,46.99,46.99,45.5,45.63
07-02-2024,46.77,46.77,45.72,45.76
08-02-2024,45.76,46.38,44.93,44.99
09-02-2024,46.11,47.26,44.99,45.51
12-02-2024,50.0,50.0,44.66,44.82
13-02-2024,45.48,45.69,44.7,45.39
14-02-2024,45.38,46.0,44.79,45.92
15-02-2024,45.71,46.3,45.37,46.28
16-02-2024,46.28,46.5,46.01,46.35
19-02-2024,46.3,47.25,46.14,46.49
20-02-2024,46.41,47.15,46.31,47.08
21-02-2024,47.28,47.35,46.86,46.91
22-02-2024,47.04,47.11,46.41,46.96
23-02-2024,47.95,47.95,46.7,46.82
26-02-2024,46.82,47.48,46.44,46.6
27-02-2024,46.6,46.6,46.3,46.6
28-02-2024,46.6,46.79,45.89,45.91
29-02-2024,45.91,46.29,45.64,45.96
01-03-2024,45.99,47.22,45.99,47.18
02-03-2024,47.38,47.95,47.15,47.3
04-03-2024,47.3,47.43,47.08,47.28
05-03-2024,47.95,47.95,47.17,47.6
06-03-2024,47.59,48.12,47.44,47.74
07-03-2024,48.0,48.0,47.64,47.83
11-03-2024,47.75,47.75,47.2,47.3
12-03-2024,47.3,47.81,47.0,47.36
13-03-2024,47.46,47.46,46.81,46.86
14-03-2024,46.86,47.19,46.38,46.74
15-03-2024,46.74,46.82,46.2,46.52
18-03-2024,48.17,48.17,46.1,46.49
19-03-2024,46.55,46.55,46.23,46.29
20-03-2024,46.29,46.45,45.9,46.27
21-03-2024,46.72,46.8,46.48,46.65
22-03-2024,47.97,47.97,46.4,46.84
26-03-2024,46.84,47.55,46.53,46.59
27-03-2024,47.75,47.75,46.57,46.88
28-03-2024,46.88,47.5,46.88,47.02
01-04-2024,47.2,47.54,47.2,47.48
02-04-2024,47.5,47.84,47.35,47.39
03-04-2024,47.32,47.61,47.16,47.58
04-04-2024,47.6,48.13,47.6,48.07
05-04-2024,48.8,48.8,47.92,48.5
08-04-2024,48.7,48.7,48.34,48.59
09-04-2024,48.59,48.9,48.53,48.72
10-04-2024,48.72,49.01,48.66,48.92
12-04-2024,49.1,49.1,48.43,48.54
15-04-2024,48.54,48.54,47.7,47.77
16-04-2024,47.43,47.55,47.24,47.47
18-04-2024,47.47,47.81,46.98,47.05
19-04-2024,46.8,47.54,46.75,47.47
22-04-2024,47.61,48.03,47.54,47.98
23-04-2024,47.75,48.03,47.72,47.84
24-04-2024,47.84,48.22,47.83,48.16
25-04-2024,48.16,48.57,48.06,48.45
26-04-2024,48.53,48.53,48.1,48.18
29-04-2024,47.2,49.35,47.2,49.28
30-04-2024,50.97,50.97,49.19,49.26
02-05-2024,49.26,50.25,49.1,49.19
03-05-2024,50.0,50.0,48.68,48.86
06-05-2024,48.86,49.24,48.67,48.87
07-05-2024,48.87,48.87,48.13,48.21
08-05-2024,48.21,48.22,47.87,48.01
09-05-2024,48.01,48.18,47.46,47.48
10-05-2024,47.48,47.8,47.3,47.4
13-05-2024,47.41,47.98,47.19,47.7
14-05-2024,47.82,48.05,47.71,47.97
15-05-2024,48.09,48.09,47.62,47.8
16-05-2024,47.9,48.19,47.43,48.12
17-05-2024,48.12,48.33,47.75,48.27
18-05-2024,48.35,48.38,48.35,48.35
21-05-2024,48.35,48.39,48.06,48.2
22-05-2024,48.2,48.2,47.6,47.96
23-05-2024,48.2,48.95,48.2,48.93
24-05-2024,48.94,49.32,48.79,49.2
27-05-2024,49.2,50.7,49.2,49.4
28-05-2024,49.71,50.0,49.11,49.31
29-05-2024,49.32,49.32,48.66,48.75
30-05-2024,49.01,49.34,48.61,49.13
31-05-2024,49.13,49.29,48.71,49.24
03-06-2024,49.24,51.38,49.24,51.08
04-06-2024,50.47,52.0,46.75,50.47
05-06-2024,50.5,60.0,46.63,56.77
06-06-2024,50.5,50.5,49.16,49.54
07-06-2024,49.55,51.01,49.31,49.93
10-06-2024,49.93,51.0,49.87,49.94
11-06-2024,49.96,50.17,49.68,49.87
12-06-2024,49.87,50.36,49.81,50.05
13-06-2024,50.05,50.22,49.9,50.0
14-06-2024,50.06,50.25,49.79,50.16
18-06-2024,50.16,50.59,50.06,50.51
19-06-2024,50.51,52.1,50.51,51.55
20-06-2024,51.55,52.0,51.38,51.85
21-06-2024,51.85,52.3,51.42,51.78
