date,open,high,low,close
22-07-2019,308.0,308.0,299.9,301.05
23-07-2019,301.99,302.15,297.56,300.48
24-07-2019,299.92,301.07,296.51,297.64
25-07-2019,298.21,301.0,295.71,298.56
26-07-2019,297.47,301.85,297.47,301.44
29-07-2019,302.0,302.17,299.08,300.06
30-07-2019,302.29,303.5,295.4,296.12
31-07-2019,296.2,296.5,293.06,295.26
01-08-2019,295.0,295.61,287.6,291.26
02-08-2019,290.54,291.96,286.0,288.36
05-08-2019,290.0,290.0,280.3,282.79
06-08-2019,284.0,288.3,283.4,286.61
07-08-2019,286.66,288.49,284.0,284.35
08-08-2019,284.0,290.0,282.0,288.15
09-08-2019,283.05,293.66,283.05,292.81
13-08-2019,290.69,290.69,284.0,284.97
14-08-2019,286.0,291.72,284.9,285.38
16-08-2019,285.05,288.58,283.1,287.86
19-08-2019,289.55,291.0,287.83,287.93
20-08-2019,291.0,291.0,285.15,286.19
21-08-2019,287.7,288.1,283.35,284.05
22-08-2019,284.1,284.1,277.1,278.04
23-08-2019,278.1,279.88,273.0,277.79
26-08-2019,272.2,289.42,266.7,287.99
27-08-2019,288.74,291.48,286.57,289.02
28-08-2019,289.0,289.0,284.55,286.41
29-08-2019,285.87,285.87,280.8,281.58
30-08-2019,282.0,285.0,278.25,280.41
03-09-2019,286.0,291.6,275.25,276.3
04-09-2019,277.05,281.23,272.91,278.9
05-09-2019,279.57,280.0,275.21,276.68
06-09-2019,278.43,280.44,277.0,278.94
09-09-2019,277.47,281.99,276.85,281.11
11-09-2019,280.8,285.0,280.8,284.38
12-09-2019,288.0,288.0,284.0,285.62
13-09-2019,285.0,287.69,283.0,287.22
16-09-2019,288.0,288.0,284.75,285.85
17-09-2019,285.0,286.38,278.5,279.03
18-09-2019,278.0,281.45,278.0,278.88
19-09-2019,278.33,278.39,273.9,274.69
20-09-2019,275.0,301.95,274.63,297.88
23-09-2019,309.0,315.72,297.5,313.64
24-09-2019,316.0,316.0,307.5,308.01
25-09-2019,314.2,317.0,302.1,303.21
26-09-2019,303.15,314.0,303.15,307.92
27-09-2019,303.5,310.0,303.5,307.61
30-09-2019,306.81,307.06,297.7,304.98
01-10-2019,304.26,305.04,291.0,295.7
03-10-2019,294.95,296.19,291.0,292.38
04-10-2019,298.2,298.2,283.71,284.45
07-10-2019,286.9,289.5,283.3,286.15
09-10-2019,291.9,295.25,284.05,293.52
10-10-2019,293.1,293.1,286.2,287.02
11-10-2019,289.79,293.0,284.0,287.16
14-10-2019,287.7,292.4,286.31,290.25
15-10-2019,290.49,293.8,289.65,291.89
16-10-2019,294.72,295.69,291.0,294.09
17-10-2019,294.35,298.0,292.0,297.32
18-10-2019,295.2,299.3,295.2,297.68
22-10-2019,298.3,305.44,298.1,302.72
23-10-2019,302.8,304.0,300.01,302.37
24-10-2019,304.0,305.0,299.0,300.26
25-10-2019,298.0,302.0,298.0,301.92
27-10-2019,304.24,304.24,297.0,302.73
29-10-2019,303.52,307.0,298.7,305.69
30-10-2019,306.11,308.0,304.0,306.13
31-10-2019,308.49,310.8,306.3,307.47
01-11-2019,306.4,311.2,306.4,310.31
04-11-2019,312.49,313.48,309.01,310.52
05-11-2019,311.53,311.7,308.4,309.45
06-11-2019,309.0,314.28,307.07,313.55
07-11-2019,314.98,315.0,311.5,313.92
08-11-2019,314.0,317.9,311.5,313.77
11-11-2019,314.85,318.36,313.5,317.61
13-11-2019,318.0,319.0,312.07,313.23
14-11-2019,312.93,315.35,310.25,314.21
15-11-2019,320.5,344.0,314.65,317.38
18-11-2019,323.7,338.0,316.2,316.69
19-11-2019,319.0,320.0,316.7,319.29
20-11-2019,312.9,322.58,296.9,321.81
21-11-2019,328.2,328.2,319.26,320.32
22-11-2019,322.0,322.0,317.5,317.93
25-11-2019,319.0,323.0,318.5,322.72
26-11-2019,323.8,325.18,321.59,323.8
27-11-2019,324.0,327.88,324.0,326.74
28-11-2019,327.0,330.58,326.0,330.31
29-11-2019,323.7,329.5,317.1,326.89
02-12-2019,326.89,327.82,324.46,326.41
