date,open,high,low,close
22-07-2019,32.6,33.25,32.0,32.55
23-07-2019,32.5,33.45,31.85,33.15
24-07-2019,32.6,33.5,32.6,32.75
25-07-2019,32.6,33.45,32.5,33.35
26-07-2019,32.6,33.0,32.6,32.7
29-07-2019,32.0,33.75,32.0,32.5
30-07-2019,32.1,32.55,29.8,29.95
31-07-2019,28.5,31.5,28.0,29.25
01-08-2019,28.05,28.95,26.9,28.15
02-08-2019,27.0,28.9,26.95,27.9
05-08-2019,27.5,27.5,22.9,25.6
06-08-2019,25.5,26.8,25.5,26.35
07-08-2019,28.5,31.1,26.55,29.15
08-08-2019,28.25,30.7,28.0,28.9
09-08-2019,31.0,31.8,28.35,30.45
13-08-2019,29.5,31.95,28.2,31.0
14-08-2019,30.0,37.2,30.0,35.25
16-08-2019,35.25,36.5,32.5,32.8
19-08-2019,32.7,33.45,31.6,32.05
20-08-2019,32.5,32.5,31.1,31.6
21-08-2019,31.05,31.25,31.05,31.1
22-08-2019,31.0,31.25,28.8,30.0
23-08-2019,31.45,31.45,29.7,29.8
26-08-2019,31.15,31.15,28.8,30.25
27-08-2019,31.65,34.65,30.8,33.95
28-08-2019,34.45,34.45,31.05,31.55
29-08-2019,32.2,32.75,31.7,32.15
30-08-2019,32.45,32.45,30.5,31.55
03-09-2019,31.0,33.0,30.5,32.7
04-09-2019,32.7,34.0,31.75,32.1
05-09-2019,32.0,33.9,31.35,33.5
06-09-2019,33.45,33.75,32.5,32.9
09-09-2019,31.5,33.9,31.0,33.4
11-09-2019,33.5,33.5,33.0,33.35
12-09-2019,32.05,35.15,32.05,33.85
13-09-2019,33.15,34.45,33.15,34.25
16-09-2019,34.5,36.25,33.6,34.95
17-09-2019,35.4,35.45,34.0,34.7
18-09-2019,33.8,37.45,33.8,36.85
19-09-2019,37.2,37.5,35.55,36.5
20-09-2019,36.0,36.85,35.55,36.75
23-09-2019,36.05,38.25,34.5,37.8
24-09-2019,35.6,39.25,34.5,38.45
25-09-2019,37.85,39.45,36.85,38.3
26-09-2019,37.5,39.5,36.1,38.5
27-09-2019,37.5,38.4,36.6,37.5
30-09-2019,37.5,39.0,36.5,38.5
01-10-2019,37.45,38.0,35.75,36.0
03-10-2019,35.1,36.85,35.1,35.25
04-10-2019,34.75,35.45,34.05,34.95
07-10-2019,35.2,37.85,33.0,35.5
09-10-2019,34.5,35.4,33.8,34.65
10-10-2019,34.05,35.65,33.3,33.5
11-10-2019,33.55,34.75,33.05,33.4
14-10-2019,34.2,34.5,33.05,33.5
15-10-2019,34.85,36.5,33.5,33.85
16-10-2019,34.0,34.0,33.25,33.3
17-10-2019,33.25,34.5,33.25,34.45
18-10-2019,34.3,34.9,33.5,34.0
22-10-2019,33.75,34.7,33.65,33.75
23-10-2019,33.55,34.65,33.55,34.0
24-10-2019,33.8,34.25,33.4,34.0
25-10-2019,33.6,34.85,33.4,34.4
27-10-2019,33.2,33.25,32.1,32.85
29-10-2019,33.5,33.95,32.7,33.35
30-10-2019,34.7,34.7,31.5,33.4
31-10-2019,34.7,34.7,33.25,33.5
01-11-2019,33.5,34.55,32.85,33.35
04-11-2019,33.35,34.7,32.85,33.75
05-11-2019,34.8,34.8,33.3,33.95
06-11-2019,34.8,34.8,33.7,34.45
07-11-2019,33.3,34.95,33.3,34.8
08-11-2019,33.85,37.25,33.85,36.85
11-11-2019,38.45,39.4,36.9,38.05
13-11-2019,42.25,45.65,41.25,45.65
14-11-2019,47.4,49.0,43.6,44.55
15-11-2019,45.85,50.9,43.2,47.05
18-11-2019,48.45,48.75,45.5,47.8
19-11-2019,47.5,48.5,45.5,46.0
20-11-2019,47.0,47.0,44.15,44.85
21-11-2019,45.6,45.6,44.0,44.5
22-11-2019,44.75,45.45,44.0,44.45
25-11-2019,45.95,45.95,44.5,44.8
26-11-2019,45.9,45.95,44.1,45.15
27-11-2019,44.95,45.3,44.3,44.35
28-11-2019,44.7,45.0,44.1,44.85
29-11-2019,44.3,44.45,43.85,44.0
02-12-2019,43.75,45.0,43.65,44.0
03-12-2019,44.0,44.7,43.8,44.45
04-12-2019,44.5,45.0,44.45,44.5
05-12-2019,46.25,47.45,44.1,44.25
06-12-2019,44.25,44.4,43.6,43.75
09-12-2019,43.6,43.75,43.35,43.5
10-12-2019,41.8,45.0,41.8,43.25
11-12-2019,44.25,44.25,41.5,41.65
12-12-2019,41.3,43.4,41.3,42.7
13-12-2019,44.4,44.85,41.5,44.6
16-12-2019,46.0,46.0,43.0,44.3
17-12-2019,44.7,44.7,43.5,43.75
18-12-2019,45.0,45.0,42.5,44.65
19-12-2019,43.75,46.9,43.75,45.3
20-12-2019,47.5,47.5,44.55,45.75
23-12-2019,46.7,48.0,46.0,46.6
24-12-2019,48.35,48.35,46.1,47.85
