date,open,high,low,close
22-07-2019,485.75,487.45,473.4,475.6
23-07-2019,468.1,473.5,465.65,469.35
24-07-2019,473.0,473.15,463.0,467.85
25-07-2019,471.5,476.5,460.8,468.9
26-07-2019,475.55,482.5,469.8,472.4
29-07-2019,485.0,485.0,463.0,467.0
30-07-2019,467.5,467.5,447.5,448.2
31-07-2019,448.5,453.4,436.6,446.5
01-08-2019,445.0,450.65,435.0,438.0
02-08-2019,435.1,439.2,425.6,435.5
05-08-2019,432.4,440.0,426.6,432.3
06-08-2019,429.95,445.1,429.95,440.1
07-08-2019,443.8,450.5,437.6,439.2
08-08-2019,446.3,449.9,437.5,443.3
09-08-2019,446.35,458.5,445.65,453.5
13-08-2019,453.5,455.0,445.0,448.6
14-08-2019,450.5,454.0,447.0,448.4
16-08-2019,449.5,458.5,442.55,447.1
19-08-2019,450.0,452.3,440.05,442.1
20-08-2019,442.1,447.3,433.5,436.1
21-08-2019,428.3,440.0,427.35,428.7
22-08-2019,429.5,434.9,420.0,422.3
23-08-2019,421.1,444.0,413.85,436.3
26-08-2019,447.9,447.9,426.3,442.75
27-08-2019,449.9,462.2,443.0,455.6
28-08-2019,464.6,464.6,448.5,453.45
29-08-2019,447.5,453.3,440.05,444.0
30-08-2019,441.25,445.0,437.75,439.3
03-09-2019,437.25,439.5,430.5,432.1
04-09-2019,437.3,437.5,427.5,430.3
05-09-2019,431.1,443.8,425.6,428.7
06-09-2019,431.9,438.9,425.0,434.3
09-09-2019,437.5,451.5,436.95,443.7
11-09-2019,449.5,464.5,444.6,456.3
12-09-2019,464.4,467.2,452.5,456.4
13-09-2019,461.35,462.0,445.0,449.5
16-09-2019,450.0,460.6,441.85,453.2
17-09-2019,452.4,460.0,443.2,445.65
18-09-2019,450.2,450.5,437.5,438.75
19-09-2019,447.5,447.5,434.0,437.3
20-09-2019,441.6,459.0,435.0,454.5
23-09-2019,461.0,486.0,461.0,472.9
24-09-2019,475.0,495.0,472.45,491.1
25-09-2019,494.5,497.4,474.0,475.55
26-09-2019,477.7,491.45,477.7,486.25
27-09-2019,489.75,489.75,480.3,485.15
30-09-2019,485.75,485.75,478.6,479.6
01-10-2019,480.3,485.95,461.3,465.75
03-10-2019,466.0,472.4,458.6,462.3
04-10-2019,467.5,467.5,452.55,454.25
07-10-2019,455.6,462.5,444.0,445.4
09-10-2019,441.0,448.5,437.05,445.4
10-10-2019,438.0,458.3,438.0,446.6
11-10-2019,445.05,455.5,436.0,444.1
14-10-2019,447.7,459.4,445.0,451.35
15-10-2019,452.05,452.75,442.5,445.3
16-10-2019,451.5,455.5,440.5,449.7
17-10-2019,452.5,459.5,445.0,455.95
18-10-2019,447.5,466.5,447.5,458.2
22-10-2019,456.5,462.6,452.5,455.0
23-10-2019,456.95,477.5,449.5,452.8
24-10-2019,453.0,453.0,427.0,435.1
25-10-2019,434.0,440.0,421.5,428.5
27-10-2019,437.7,439.85,429.0,433.1
29-10-2019,433.2,438.65,428.5,431.1
30-10-2019,432.2,434.5,421.0,427.5
31-10-2019,428.0,431.5,424.35,424.9
01-11-2019,421.0,440.0,421.0,430.2
04-11-2019,435.0,454.5,434.0,450.05
05-11-2019,449.7,460.0,440.5,447.8
06-11-2019,449.3,456.0,445.0,452.7
07-11-2019,455.0,460.0,450.5,452.4
08-11-2019,452.3,454.85,442.0,444.85
11-11-2019,444.9,454.5,437.9,440.7
13-11-2019,441.0,445.9,428.1,430.5
14-11-2019,431.0,436.5,426.7,429.4
15-11-2019,429.5,435.0,424.0,424.7
18-11-2019,422.6,430.0,412.5,417.8
19-11-2019,418.0,425.5,416.55,417.85
20-11-2019,417.85,422.5,415.0,415.65
21-11-2019,415.65,421.2,415.3,416.0
22-11-2019,414.95,420.9,414.95,416.2
25-11-2019,419.95,419.95,415.0,415.4
26-11-2019,415.8,419.0,405.0,406.6
27-11-2019,405.0,415.2,403.05,408.4
28-11-2019,407.5,423.6,407.5,420.7
29-11-2019,420.7,420.7,414.0,415.4
02-12-2019,415.5,415.5,409.5,410.0
03-12-2019,411.55,411.6,401.9,405.4
04-12-2019,414.5,414.5,403.3,409.9
05-12-2019,413.3,413.5,405.5,405.9
06-12-2019,408.0,408.0,389.35,392.95
09-12-2019,396.9,404.7,392.95,394.2
