date,open,high,low,close
22-07-2019,43.7,43.7,43.7,43.7
23-07-2019,41.55,41.55,41.55,41.55
24-07-2019,39.5,41.9,39.5,39.5
25-07-2019,37.55,37.55,37.55,37.55
26-07-2019,35.7,35.7,35.7,35.7
31-07-2019,34.0,36.45,33.95,36.45
02-08-2019,34.65,34.65,34.65,34.65
06-08-2019,32.95,35.0,32.95,35.0
13-08-2019,33.5,33.5,33.5,33.5
23-09-2019,32.0,32.0,32.0,32.0
24-09-2019,33.25,33.6,33.25,33.6
07-10-2019,34.4,34.4,34.4,34.4
15-10-2019,33.0,34.95,32.7,34.95
18-10-2019,35.95,35.95,33.5,33.5
22-10-2019,34.0,34.0,34.0,34.0
24-10-2019,32.5,32.5,32.5,32.5
25-10-2019,31.0,33.0,30.9,32.95
30-10-2019,33.95,34.55,33.95,34.55
01-11-2019,34.0,34.0,33.0,33.0
08-11-2019,33.0,33.45,31.35,31.35
11-11-2019,31.45,31.5,31.45,31.5
14-11-2019,30.0,30.0,30.0,30.0
15-11-2019,31.0,31.0,31.0,31.0
19-11-2019,31.85,31.85,31.85,31.85
21-11-2019,30.3,30.3,30.3,30.3
22-11-2019,28.8,30.45,28.8,30.45
26-11-2019,28.95,28.95,28.95,28.95
27-11-2019,27.65,27.7,27.55,27.55
28-11-2019,28.8,28.8,26.2,26.2
29-11-2019,25.1,25.1,24.9,24.9
03-12-2019,25.25,25.25,25.25,25.25
04-12-2019,25.5,25.5,25.5,25.5
17-12-2019,25.95,25.95,25.95,25.95
19-12-2019,26.2,26.2,26.2,26.2
20-12-2019,26.45,26.45,26.45,26.45
15-01-2020,26.0,26.0,25.15,25.15
16-01-2020,24.0,25.45,23.9,25.45
20-01-2020,24.25,26.0,24.2,26.0
31-01-2020,26.25,26.25,26.25,26.25
01-02-2020,26.0,26.0,26.0,26.0
05-02-2020,26.05,26.4,26.05,26.4
07-02-2020,26.5,27.7,26.5,27.7
17-02-2020,27.5,28.45,27.5,28.45
25-02-2020,27.25,27.25,27.25,27.25
27-02-2020,25.9,27.45,25.9,26.65
28-02-2020,25.35,25.35,25.35,25.35
03-03-2020,24.1,24.1,24.1,24.1
12-03-2020,22.9,23.95,22.9,22.9
16-03-2020,21.8,21.8,21.8,21.8
17-03-2020,20.75,20.75,20.75,20.75
18-03-2020,19.75,19.75,19.75,19.75
19-05-2020,20.5,20.5,20.0,20.0
