date,open,high,low,close
22-07-2019,272.0,274.25,268.15,269.9
23-07-2019,270.6,276.9,268.55,270.1
24-07-2019,278.5,282.9,268.15,269.9
25-07-2019,271.4,271.5,260.0,262.5
26-07-2019,262.0,269.65,252.95,260.45
29-07-2019,260.7,267.0,259.0,264.95
30-07-2019,263.9,265.9,256.0,259.45
31-07-2019,258.0,258.0,242.35,246.75
01-08-2019,244.2,246.7,236.1,242.4
02-08-2019,238.0,241.8,230.0,232.75
05-08-2019,229.9,229.9,219.7,223.55
06-08-2019,223.55,233.05,223.55,230.6
07-08-2019,231.25,245.2,231.0,240.45
08-08-2019,241.1,242.9,236.0,236.95
09-08-2019,237.6,243.0,237.6,242.25
13-08-2019,243.0,247.75,235.55,241.95
14-08-2019,245.65,252.15,242.0,242.95
16-08-2019,242.75,244.0,238.0,242.05
19-08-2019,242.05,248.0,242.05,244.6
20-08-2019,243.1,277.3,243.0,272.6
21-08-2019,273.95,274.4,255.0,257.95
22-08-2019,256.1,257.35,244.15,248.75
23-08-2019,248.85,248.85,240.4,241.75
26-08-2019,245.0,256.0,244.0,249.65
27-08-2019,251.85,264.9,251.0,261.4
28-08-2019,262.9,279.9,257.9,264.3
29-08-2019,265.4,268.8,261.1,262.25
30-08-2019,261.25,274.8,261.25,264.8
03-09-2019,259.55,266.4,257.45,262.35
04-09-2019,260.25,263.4,258.0,259.7
05-09-2019,261.5,268.35,260.65,265.1
06-09-2019,265.0,269.9,264.0,266.05
09-09-2019,267.95,271.9,265.0,269.05
11-09-2019,271.05,296.0,268.0,286.95
12-09-2019,288.0,302.0,281.45,284.3
13-09-2019,284.3,288.6,273.4,275.3
16-09-2019,274.4,301.0,272.95,287.85
17-09-2019,288.9,290.7,273.1,275.15
18-09-2019,276.9,282.05,270.6,274.85
19-09-2019,274.15,277.8,268.5,271.2
20-09-2019,273.5,288.8,269.2,278.05
23-09-2019,282.2,301.7,278.1,283.75
24-09-2019,282.6,293.95,275.0,282.8
25-09-2019,284.7,286.7,275.4,278.15
26-09-2019,280.7,301.5,280.7,290.4
27-09-2019,291.65,293.35,283.55,285.4
30-09-2019,285.35,288.9,276.5,282.75
01-10-2019,281.05,286.9,272.1,275.25
03-10-2019,271.8,278.0,270.1,275.5
04-10-2019,276.35,282.9,270.1,271.95
07-10-2019,271.0,276.05,268.05,274.45
09-10-2019,276.7,280.8,273.0,275.45
10-10-2019,275.0,276.95,271.1,275.05
11-10-2019,274.15,280.8,274.0,275.2
14-10-2019,276.25,288.3,274.85,282.85
15-10-2019,284.5,333.05,283.2,325.75
16-10-2019,331.05,343.0,312.0,316.15
17-10-2019,313.0,325.9,305.95,312.6
18-10-2019,312.4,320.95,308.1,309.85
22-10-2019,309.0,322.2,306.9,309.9
23-10-2019,311.4,317.1,305.55,308.2
24-10-2019,309.8,312.7,293.4,295.85
25-10-2019,297.0,300.5,288.0,290.85
27-10-2019,292.8,292.85,288.1,289.85
29-10-2019,289.0,338.0,288.95,333.8
30-10-2019,337.9,346.8,325.0,340.95
31-10-2019,341.0,349.7,330.2,333.0
01-11-2019,331.1,377.0,330.15,356.45
04-11-2019,361.5,366.85,347.0,349.95
05-11-2019,351.55,357.45,328.2,330.6
06-11-2019,327.1,333.85,316.7,320.05
07-11-2019,321.0,332.7,317.15,322.2
08-11-2019,322.55,347.75,321.5,324.55
11-11-2019,325.4,341.4,324.0,332.1
13-11-2019,332.4,341.3,327.1,330.7
14-11-2019,332.0,337.9,305.0,320.3
15-11-2019,315.0,324.8,310.25,315.35
18-11-2019,315.35,329.95,315.3,324.7
19-11-2019,325.8,335.75,325.8,328.15
20-11-2019,328.2,343.95,328.1,335.3
21-11-2019,336.85,341.9,322.2,326.65
22-11-2019,327.9,332.65,320.0,326.6
25-11-2019,327.0,337.0,324.3,334.9
26-11-2019,336.95,336.95,321.1,322.45
27-11-2019,323.0,339.0,322.95,334.0
28-11-2019,334.0,335.7,327.0,328.7
29-11-2019,328.65,334.95,323.1,325.5
02-12-2019,326.9,331.4,322.15,328.85
03-12-2019,329.9,334.0,320.2,325.0
04-12-2019,323.8,329.0,321.8,324.95
05-12-2019,323.6,336.9,321.55,329.55
06-12-2019,330.95,355.0,330.2,338.5
09-12-2019,339.5,354.95,339.3,351.15
10-12-2019,345.15,349.2,315.0,318.35
11-12-2019,316.95,335.0,308.55,329.9
12-12-2019,327.0,332.9,321.15,327.75
13-12-2019,328.5,331.95,322.2,324.7
