date,open,high,low,close
22-07-2019,2390.0,2403.3,2382.0,2388.55
23-07-2019,2402.8,2430.0,2378.0,2402.6
24-07-2019,2403.25,2412.45,2392.5,2398.6
25-07-2019,2400.05,2450.0,2399.0,2427.35
26-07-2019,2425.0,2425.0,2398.55,2405.2
29-07-2019,2447.95,2447.95,2381.15,2400.45
30-07-2019,2439.95,2439.95,2398.05,2402.1
31-07-2019,2398.3,2426.35,2370.0,2400.65
01-08-2019,2392.0,2410.0,2180.05,2344.7
02-08-2019,2320.0,2334.9,2279.0,2300.75
05-08-2019,2275.0,2399.95,2270.0,2324.55
06-08-2019,2357.0,2358.0,2300.0,2302.8
07-08-2019,2441.0,2441.0,2300.0,2319.25
08-08-2019,2301.1,2325.0,2301.1,2322.15
09-08-2019,2299.0,2325.0,2266.05,2316.15
13-08-2019,2301.5,2319.25,2250.0,2257.75
14-08-2019,2266.25,2325.0,2266.0,2313.65
16-08-2019,2270.05,2310.0,2260.55,2300.1
19-08-2019,2318.95,2438.05,2268.6,2323.1
20-08-2019,2324.9,2338.85,2264.0,2274.5
21-08-2019,2255.0,2320.0,2205.0,2226.8
22-08-2019,2205.1,2241.65,2188.0,2222.75
23-08-2019,2192.0,2334.0,2192.0,2215.65
26-08-2019,2210.0,2264.8,2208.0,2231.15
27-08-2019,2223.0,2290.0,2208.0,2218.85
28-08-2019,2232.4,2245.0,2200.95,2227.35
29-08-2019,2218.25,2240.15,2205.0,2210.55
30-08-2019,2219.35,2300.0,2201.45,2246.7
03-09-2019,2265.0,2265.0,2220.0,2229.65
04-09-2019,2250.0,2250.0,2156.0,2175.0
05-09-2019,2155.15,2209.15,2155.05,2169.35
06-09-2019,2169.35,2240.0,2169.35,2229.25
09-09-2019,2230.05,2411.95,2225.0,2350.45
11-09-2019,2348.3,2447.5,2302.05,2381.6
12-09-2019,2388.6,2443.95,2354.0,2377.35
13-09-2019,2377.3,2390.0,2350.0,2368.65
16-09-2019,2430.0,2430.0,2300.1,2329.4
17-09-2019,2336.5,2340.5,2225.0,2234.7
18-09-2019,2275.0,2275.0,2208.0,2216.0
19-09-2019,2200.2,2240.0,2190.0,2200.3
20-09-2019,2200.1,2300.0,2148.85,2240.05
23-09-2019,2300.0,2350.0,2225.55,2308.35
24-09-2019,2350.0,2421.95,2312.5,2378.15
25-09-2019,2351.2,2378.25,2299.0,2326.85
26-09-2019,2326.85,2339.3,2245.0,2320.5
27-09-2019,2296.95,2389.9,2292.0,2356.3
30-09-2019,2382.0,2589.9,2335.5,2484.2
01-10-2019,2490.0,2590.1,2350.0,2481.65
03-10-2019,2501.55,2501.55,2350.0,2384.55
04-10-2019,2389.0,2425.1,2316.05,2334.35
07-10-2019,2335.0,2351.95,2220.0,2233.8
09-10-2019,2236.5,2319.95,2233.0,2285.4
10-10-2019,2285.9,2320.0,2270.0,2296.1
11-10-2019,2296.0,2360.0,2270.0,2297.15
14-10-2019,2295.95,2330.0,2245.0,2294.85
15-10-2019,2304.1,2304.1,2254.05,2272.45
16-10-2019,2255.65,2295.0,2255.65,2270.8
17-10-2019,2271.15,2320.0,2271.0,2293.6
18-10-2019,2293.65,2320.0,2265.0,2284.05
22-10-2019,2284.05,2342.9,2269.2,2328.6
23-10-2019,2328.6,2351.0,2313.15,2341.45
24-10-2019,2370.0,2370.0,2288.65,2300.0
25-10-2019,2303.05,2409.9,2290.1,2389.05
27-10-2019,2420.0,2650.0,2316.1,2372.65
29-10-2019,2362.75,2405.3,2350.0,2382.0
30-10-2019,2400.55,2410.0,2382.6,2399.0
31-10-2019,2409.9,2460.0,2366.55,2406.7
01-11-2019,2449.95,2463.0,2365.55,2388.05
04-11-2019,2398.6,2407.95,2286.0,2315.55
05-11-2019,2335.0,2375.0,2265.0,2328.35
06-11-2019,2303.95,2329.0,2281.05,2284.6
07-11-2019,2329.0,2329.0,2267.0,2289.85
08-11-2019,2277.0,2292.25,2255.0,2260.8
11-11-2019,2262.1,2291.9,2222.2,2244.95
13-11-2019,2245.0,2245.0,2165.7,2183.15
14-11-2019,2200.0,2223.3,2167.1,2173.1
15-11-2019,2174.0,2199.0,2140.0,2151.9
18-11-2019,2179.5,2189.9,2152.55,2159.4
19-11-2019,2150.0,2169.1,2135.0,2140.55
20-11-2019,2141.0,2189.95,2110.0,2121.7
21-11-2019,2111.0,2160.1,2104.0,2122.7
22-11-2019,2122.7,2146.15,2101.0,2114.05
25-11-2019,2102.05,2120.05,2040.25,2060.75
26-11-2019,2075.0,2075.0,2040.05,2050.3
27-11-2019,2016.0,2068.95,2016.0,2065.4
28-11-2019,2060.0,2077.0,2050.0,2062.55
29-11-2019,2055.0,2074.0,2050.0,2050.7
02-12-2019,2045.0,2075.0,2045.0,2059.65
03-12-2019,2055.6,2075.0,2049.25,2070.1
04-12-2019,2077.0,2429.5,2077.0,2301.4
05-12-2019,2388.0,2388.0,2245.45,2283.2
06-12-2019,2297.5,2317.45,2219.2,2230.4
09-12-2019,2220.0,2345.0,2181.75,2215.9
10-12-2019,2233.8,2233.85,2151.0,2164.65
11-12-2019,2192.8,2223.15,2160.3,2182.05
12-12-2019,2215.45,2219.0,2172.1,2200.0
13-12-2019,2215.4,2227.95,2161.95,2186.05
16-12-2019,2163.0,2190.0,2155.0,2160.0
17-12-2019,2164.1,2249.75,2134.65,2214.2
18-12-2019,2219.0,2255.0,2202.2,2246.45
19-12-2019,2224.0,2293.3,2209.7,2245.0
20-12-2019,2232.35,2251.7,2230.0,2239.75
23-12-2019,2252.7,2283.85,2208.65,2241.15
24-12-2019,2243.05,2274.0,2221.25,2233.2
26-12-2019,2235.05,2235.05,2167.0,2177.05
27-12-2019,2180.9,2250.0,2178.0,2225.55
30-12-2019,2228.6,2228.6,2172.25,2191.05
31-12-2019,2187.5,2209.0,2175.0,2184.0
01-01-2020,2190.7,2190.7,2145.0,2159.9
02-01-2020,2160.0,2210.0,2150.1,2196.5
03-01-2020,2220.0,2222.4,2188.0,2213.25
06-01-2020,2222.1,2270.0,2205.0,2223.6
07-01-2020,2223.4,2250.0,2153.0,2189.5
08-01-2020,2185.0,2235.05,2182.85,2216.0
09-01-2020,2247.75,2260.0,2220.0,2249.2
