date,open,high,low,close
27-10-2022,65.4,68.65,65.4,68.65
28-10-2022,72.05,72.05,72.05,72.05
31-10-2022,75.65,75.65,75.65,75.65
01-11-2022,79.4,79.4,79.4,79.4
02-11-2022,83.35,83.35,83.35,83.35
03-11-2022,87.5,87.5,87.5,87.5
04-11-2022,91.85,91.85,91.85,91.85
07-11-2022,96.4,96.4,96.4,96.4
09-11-2022,101.2,101.2,101.2,101.2
10-11-2022,106.25,106.25,106.25,106.25
11-11-2022,116.85,116.85,116.85,116.85
14-11-2022,128.5,128.5,128.5,128.5
15-11-2022,141.35,141.35,135.0,141.35
16-11-2022,148.4,148.4,148.4,148.4
17-11-2022,155.8,155.8,155.8,155.8
18-11-2022,163.55,163.55,163.55,163.55
21-11-2022,171.7,171.7,171.7,171.7
22-11-2022,180.25,180.25,180.25,180.25
23-11-2022,189.25,189.25,189.25,189.25
24-11-2022,198.7,198.7,180.15,198.7
25-11-2022,195.0,206.9,188.8,188.8
28-11-2022,179.4,179.4,179.4,179.4
29-11-2022,170.45,170.45,170.45,170.45
30-11-2022,161.95,161.95,161.95,161.95
01-12-2022,153.9,170.0,153.9,166.65
02-12-2022,167.1,173.9,158.35,158.35
05-12-2022,150.45,150.45,150.45,150.45
06-12-2022,142.95,150.45,142.95,142.95
07-12-2022,140.0,150.0,135.85,148.5
08-12-2022,154.0,155.9,142.1,151.0
09-12-2022,143.5,151.0,143.45,146.05
12-12-2022,146.05,147.0,138.75,145.75
13-12-2022,147.95,153.0,141.3,146.8
14-12-2022,153.95,154.0,140.85,145.5
15-12-2022,145.5,151.95,145.5,149.95
16-12-2022,145.05,157.0,145.0,150.2
19-12-2022,150.2,154.95,143.1,150.0
20-12-2022,142.55,149.95,142.55,147.25
21-12-2022,148.95,148.95,141.0,143.45
22-12-2022,136.4,143.15,136.35,137.0
23-12-2022,137.0,137.0,130.15,130.2
26-12-2022,136.65,136.65,136.6,136.6
27-12-2022,142.9,143.4,138.0,143.35
28-12-2022,150.4,150.4,142.0,148.3
29-12-2022,155.7,155.7,141.2,141.7
30-12-2022,144.95,147.95,144.95,147.6
02-01-2023,147.6,154.9,140.25,145.45
03-01-2023,140.0,146.05,140.0,144.45
04-01-2023,145.9,145.9,137.5,141.5
05-01-2023,144.95,144.95,134.65,139.8
06-01-2023,143.95,143.95,133.1,139.4
09-01-2023,142.95,142.95,139.0,139.85
10-01-2023,139.7,139.7,134.15,138.95
11-01-2023,139.5,139.5,138.8,138.8
12-01-2023,138.75,144.95,134.0,143.7
13-01-2023,136.7,139.95,136.6,138.95
16-01-2023,138.9,138.9,133.5,138.85
17-01-2023,132.1,134.0,132.05,134.0
18-01-2023,132.6,138.0,130.1,132.0
19-01-2023,132.0,132.0,132.0,132.0
23-01-2023,137.95,137.95,134.95,134.95
24-01-2023,137.95,137.95,134.95,134.95
25-01-2023,135.0,135.0,128.25,129.75
27-01-2023,123.35,135.0,123.3,135.0
30-01-2023,135.0,138.95,128.25,137.95
