date,open,high,low,close
22-07-2019,178.8,190.0,178.75,181.6
23-07-2019,181.7,188.25,181.3,186.8
24-07-2019,189.2,189.2,181.05,187.05
25-07-2019,186.65,190.0,183.05,186.6
26-07-2019,185.35,185.45,180.45,181.25
29-07-2019,181.5,181.8,180.0,180.25
30-07-2019,180.15,183.85,173.35,175.05
31-07-2019,173.65,175.95,168.05,174.4
01-08-2019,171.7,174.9,169.95,172.2
02-08-2019,169.35,176.0,167.85,174.85
05-08-2019,174.45,180.65,171.95,179.85
06-08-2019,179.85,185.0,175.05,181.05
07-08-2019,181.05,186.0,179.0,181.55
08-08-2019,180.4,184.65,180.0,181.3
09-08-2019,183.35,185.7,176.85,178.55
13-08-2019,178.35,179.15,175.05,176.75
14-08-2019,177.45,180.0,173.45,178.35
16-08-2019,175.65,182.65,175.65,180.5
19-08-2019,182.25,196.65,180.0,183.1
20-08-2019,183.35,186.0,182.25,184.45
21-08-2019,185.3,185.3,179.05,181.4
22-08-2019,180.05,181.45,176.65,177.2
23-08-2019,176.0,181.7,175.6,177.85
26-08-2019,180.65,182.45,176.95,180.7
27-08-2019,182.15,186.95,180.75,185.25
28-08-2019,190.05,203.7,187.0,200.4
29-08-2019,200.0,206.0,190.1,199.35
30-08-2019,197.35,202.0,194.15,199.7
03-09-2019,199.15,200.15,195.0,197.8
04-09-2019,197.0,200.0,195.1,197.0
05-09-2019,198.0,199.0,195.55,197.95
06-09-2019,201.0,205.0,195.2,198.15
09-09-2019,198.9,198.9,195.0,197.1
11-09-2019,197.95,198.9,194.4,196.2
12-09-2019,197.4,198.1,187.55,196.6
13-09-2019,196.0,198.7,195.0,198.0
16-09-2019,196.95,201.0,190.7,194.75
17-09-2019,194.3,196.45,192.0,192.55
18-09-2019,193.35,194.25,187.9,191.1
19-09-2019,190.25,192.75,189.4,191.35
20-09-2019,192.85,197.0,185.15,194.15
23-09-2019,198.5,202.0,190.75,201.65
24-09-2019,199.5,203.5,192.1,196.7
25-09-2019,197.1,198.95,191.3,193.85
26-09-2019,192.3,199.0,192.3,198.15
27-09-2019,199.65,204.0,194.0,202.5
30-09-2019,203.0,223.0,196.0,215.35
01-10-2019,219.0,219.7,200.6,204.45
03-10-2019,202.0,213.55,196.4,208.6
04-10-2019,210.0,214.8,200.05,204.6
07-10-2019,202.05,203.8,191.6,194.05
09-10-2019,194.05,202.9,192.1,199.9
10-10-2019,199.7,200.9,195.05,196.35
11-10-2019,196.85,198.0,192.85,194.2
14-10-2019,195.0,196.5,190.0,190.8
15-10-2019,192.45,192.45,186.55,190.25
16-10-2019,191.5,193.0,189.25,190.75
17-10-2019,190.75,195.45,189.65,191.3
18-10-2019,192.05,198.9,192.0,197.95
22-10-2019,199.8,206.0,193.1,195.15
23-10-2019,196.7,203.45,195.1,200.8
24-10-2019,200.8,202.95,191.3,192.75
25-10-2019,193.9,193.9,186.5,190.45
27-10-2019,192.55,192.55,187.0,188.55
29-10-2019,188.5,198.5,187.55,195.8
30-10-2019,192.25,209.9,192.25,206.5
31-10-2019,207.1,208.4,199.0,206.25
01-11-2019,206.25,208.15,199.9,206.4
04-11-2019,205.1,209.85,201.15,208.0
05-11-2019,209.0,209.0,200.2,205.55
06-11-2019,208.4,214.0,203.1,205.45
07-11-2019,210.15,212.5,203.3,207.25
08-11-2019,211.0,223.6,210.0,212.9
11-11-2019,212.9,219.4,211.5,217.05
13-11-2019,217.0,221.5,202.2,215.6
14-11-2019,217.6,217.6,205.8,206.65
15-11-2019,208.8,216.0,206.65,213.55
18-11-2019,214.0,218.65,212.6,214.45
19-11-2019,215.0,215.0,210.1,213.15
20-11-2019,214.3,214.5,207.45,209.0
21-11-2019,208.8,210.1,206.3,207.9
22-11-2019,207.8,208.7,198.05,200.3
25-11-2019,202.0,203.7,197.1,199.65
26-11-2019,199.95,220.0,187.0,194.75
27-11-2019,193.5,198.0,192.65,195.8
28-11-2019,195.1,203.9,195.1,200.85
29-11-2019,200.85,206.0,199.0,205.0
02-12-2019,205.0,206.6,200.15,201.75
03-12-2019,202.8,206.0,195.0,199.95
04-12-2019,200.0,204.0,197.5,202.95
05-12-2019,203.5,204.65,199.0,200.85
06-12-2019,201.8,204.0,197.55,203.1
09-12-2019,203.05,206.55,200.55,201.55
10-12-2019,202.8,202.8,198.55,200.65
11-12-2019,201.1,204.0,197.3,200.35
12-12-2019,199.35,204.35,199.35,202.95
13-12-2019,203.9,208.7,202.85,206.05
16-12-2019,206.9,211.55,205.95,210.1
17-12-2019,211.65,212.0,207.55,209.2
18-12-2019,208.25,212.0,202.1,208.05
19-12-2019,207.0,211.0,206.2,210.05
20-12-2019,208.35,215.9,208.35,210.95
23-12-2019,211.85,219.85,208.35,215.4
24-12-2019,216.65,218.2,214.5,215.55
26-12-2019,215.1,216.0,213.0,214.95
27-12-2019,212.65,217.0,210.75,215.35
30-12-2019,216.05,218.7,214.3,216.0
31-12-2019,215.0,220.0,215.0,218.5
01-01-2020,220.0,221.0,212.75,214.8
02-01-2020,215.9,221.0,215.0,219.45
03-01-2020,216.1,219.75,212.4,215.6
06-01-2020,216.4,221.35,210.15,217.8
07-01-2020,216.0,231.7,216.0,225.0
08-01-2020,221.0,228.0,215.15,224.5
09-01-2020,225.1,227.3,220.0,225.0
10-01-2020,227.6,234.65,222.0,225.15
13-01-2020,223.1,235.0,223.1,233.55
14-01-2020,232.05,233.5,229.95,230.1
15-01-2020,229.9,237.95,228.0,233.1
16-01-2020,235.0,235.95,229.25,232.05
17-01-2020,232.0,232.9,226.5,230.1
20-01-2020,231.0,233.25,226.3,229.2
21-01-2020,229.0,229.2,224.0,226.25
22-01-2020,228.9,231.0,224.3,228.1
23-01-2020,225.2,233.35,225.2,229.15
24-01-2020,230.4,232.1,226.1,229.0
27-01-2020,225.3,229.6,223.9,226.1
28-01-2020,227.85,233.45,223.55,230.05
29-01-2020,231.65,233.6,226.6,228.55
30-01-2020,230.4,233.95,226.1,228.15
31-01-2020,229.9,245.95,226.5,239.6
01-02-2020,238.0,246.9,220.05,222.55
03-02-2020,218.5,231.45,216.5,230.05
04-02-2020,231.9,236.9,228.75,233.55
05-02-2020,235.5,239.9,228.15,232.1
06-02-2020,230.0,242.45,228.15,239.75
07-02-2020,238.3,241.7,233.3,235.65
10-02-2020,233.05,239.0,225.7,235.4
11-02-2020,237.55,239.0,229.0,231.55
12-02-2020,233.0,233.0,225.05,227.7
13-02-2020,227.0,234.25,225.6,229.6
14-02-2020,231.65,232.95,225.65,227.3
17-02-2020,226.2,230.85,223.6,228.4
18-02-2020,228.95,229.0,223.0,226.2
19-02-2020,224.55,230.0,224.55,229.1
20-02-2020,228.2,254.9,226.75,240.85
24-02-2020,235.55,240.0,223.4,228.55
