date,open,high,low,close
22-07-2019,15.2,16.05,15.2,15.65
23-07-2019,16.4,16.4,14.85,14.9
24-07-2019,14.85,14.85,14.7,14.75
25-07-2019,14.75,14.9,14.3,14.75
26-07-2019,14.9,14.9,14.75,14.75
29-07-2019,14.75,14.75,14.6,14.7
30-07-2019,14.75,14.75,14.5,14.55
31-07-2019,14.5,14.6,14.45,14.6
01-08-2019,14.55,14.55,14.35,14.45
02-08-2019,14.8,15.8,14.35,14.4
05-08-2019,14.95,15.0,14.0,14.25
06-08-2019,14.35,14.45,14.3,14.35
07-08-2019,14.35,14.45,14.25,14.3
08-08-2019,14.25,14.45,14.25,14.45
09-08-2019,14.55,14.7,14.55,14.65
13-08-2019,14.55,14.6,14.35,14.35
14-08-2019,14.5,14.55,14.4,14.5
16-08-2019,14.35,14.55,14.35,14.5
19-08-2019,14.6,14.65,14.5,14.5
20-08-2019,14.5,14.5,14.4,14.5
21-08-2019,14.5,14.5,14.35,14.35
22-08-2019,14.3,14.3,14.1,14.1
23-08-2019,14.9,14.95,13.9,14.25
26-08-2019,14.3,14.4,14.1,14.35
27-08-2019,14.6,14.65,14.5,14.55
28-08-2019,14.55,14.6,14.45,14.45
29-08-2019,14.45,14.45,14.4,14.45
30-08-2019,14.45,14.5,14.35,14.5
03-09-2019,14.3,14.45,14.2,14.25
04-09-2019,13.7,14.8,13.0,14.25
05-09-2019,14.35,14.4,14.25,14.3
06-09-2019,15.0,15.0,14.3,14.4
09-09-2019,14.9,14.9,14.4,14.5
11-09-2019,14.5,14.6,14.5,14.55
12-09-2019,13.0,14.8,13.0,14.55
13-09-2019,14.5,14.65,14.45,14.65
16-09-2019,14.45,14.65,14.45,14.6
17-09-2019,14.5,14.5,14.3,14.35
18-09-2019,14.4,14.4,14.3,14.35
19-09-2019,14.4,14.4,14.1,14.2
20-09-2019,14.2,15.05,14.15,14.9
23-09-2019,15.2,15.45,14.85,15.35
24-09-2019,15.35,15.4,15.25,15.25
25-09-2019,15.5,15.5,15.1,15.15
26-09-2019,15.1,15.4,15.1,15.25
27-09-2019,15.15,15.7,15.15,15.2
30-09-2019,15.15,15.15,15.0,15.1
01-10-2019,15.1,15.15,14.85,14.95
03-10-2019,15.0,15.0,14.8,14.8
04-10-2019,15.8,15.8,14.35,14.8
07-10-2019,14.65,14.75,14.65,14.65
09-10-2019,14.65,14.85,14.6,14.85
10-10-2019,15.3,15.3,14.7,14.7
11-10-2019,14.85,14.9,14.7,14.85
14-10-2019,14.8,15.0,14.8,14.9
15-10-2019,14.95,15.0,14.9,15.0
16-10-2019,15.05,15.05,14.95,15.05
17-10-2019,15.05,15.15,15.0,15.15
18-10-2019,15.25,15.35,15.2,15.3
22-10-2019,15.3,15.75,15.05,15.35
23-10-2019,15.35,15.4,15.25,15.25
24-10-2019,15.4,15.4,15.25,15.25
25-10-2019,15.3,15.3,15.15,15.2
27-10-2019,15.4,15.4,15.3,15.3
29-10-2019,15.3,15.7,15.0,15.25
30-10-2019,15.3,16.5,15.15,15.65
31-10-2019,15.65,15.8,15.65,15.75
01-11-2019,15.7,16.4,15.2,15.75
04-11-2019,15.75,15.85,15.75,15.75
05-11-2019,15.2,15.85,15.2,15.65
06-11-2019,15.6,15.8,15.6,15.7
07-11-2019,15.75,15.85,15.75,15.8
08-11-2019,15.75,15.9,15.7,15.7
11-11-2019,15.65,15.75,15.6,15.7
13-11-2019,15.65,15.75,15.6,15.6
14-11-2019,15.65,15.65,15.5,15.65
15-11-2019,15.75,15.75,15.6,15.7
18-11-2019,15.7,15.7,15.6,15.6
19-11-2019,15.6,15.75,15.35,15.7
20-11-2019,15.7,15.85,15.7,15.7
21-11-2019,15.75,15.8,15.7,15.75
22-11-2019,15.7,15.75,15.65,15.7
25-11-2019,15.75,15.9,15.75,15.8
26-11-2019,15.9,16.0,15.75,15.8
27-11-2019,15.9,15.95,15.8,15.85
28-11-2019,15.95,16.0,15.85,15.95
29-11-2019,15.9,16.0,15.8,15.9
02-12-2019,16.4,16.4,15.8,15.8
03-12-2019,15.75,15.85,15.65,15.75
04-12-2019,15.65,15.85,15.65,15.8
05-12-2019,15.85,15.9,15.75,15.75
06-12-2019,15.75,15.85,15.6,15.65
09-12-2019,15.65,15.75,15.6,15.7
10-12-2019,15.6,15.7,15.45,15.5
11-12-2019,15.5,15.65,15.5,15.6
12-12-2019,15.55,15.9,15.55,15.75
13-12-2019,15.8,16.2,15.55,15.9
16-12-2019,16.4,16.4,15.8,15.85
17-12-2019,15.85,15.95,15.8,15.85
18-12-2019,15.9,16.0,15.85,15.9
19-12-2019,15.9,16.15,15.75,16.05
20-12-2019,16.1,16.1,16.0,16.0
23-12-2019,16.0,16.1,15.95,16.0
24-12-2019,15.9,16.4,15.6,16.3
26-12-2019,16.2,16.3,15.85,15.9
27-12-2019,16.0,16.05,15.95,16.0
30-12-2019,16.05,16.1,16.0,16.1
31-12-2019,16.1,16.1,15.95,16.0
01-01-2020,16.05,16.05,15.95,16.0
02-01-2020,16.0,16.15,16.0,16.1
