date,open,high,low,close
22-07-2019,243.0,247.7,241.05,245.6
23-07-2019,242.1,248.45,242.1,246.85
24-07-2019,245.05,246.65,243.95,246.05
25-07-2019,243.35,247.5,240.1,244.75
26-07-2019,242.05,254.75,242.05,245.35
29-07-2019,246.4,248.5,244.0,245.3
30-07-2019,245.05,246.6,243.0,245.05
31-07-2019,243.9,247.3,243.9,246.0
01-08-2019,246.6,250.05,244.95,245.75
02-08-2019,244.7,245.8,238.55,240.05
05-08-2019,240.0,240.0,232.5,235.25
06-08-2019,234.25,244.0,234.25,240.15
07-08-2019,237.4,242.9,237.4,242.0
08-08-2019,241.0,246.95,241.0,245.1
09-08-2019,243.5,249.5,243.0,248.3
13-08-2019,245.1,247.1,240.0,242.25
14-08-2019,240.6,249.05,240.0,241.8
16-08-2019,240.2,245.0,239.8,243.3
19-08-2019,244.95,248.0,241.4,247.6
20-08-2019,247.0,247.0,242.75,245.05
21-08-2019,240.65,246.05,240.65,243.9
22-08-2019,241.1,246.35,239.85,243.6
23-08-2019,243.95,243.95,239.05,242.0
26-08-2019,243.95,245.75,241.25,243.3
27-08-2019,243.0,247.75,243.0,245.05
28-08-2019,244.2,246.3,240.15,241.9
29-08-2019,240.15,243.0,237.1,238.1
30-08-2019,237.05,239.3,234.0,235.7
03-09-2019,232.95,239.25,230.2,232.9
04-09-2019,233.0,238.5,232.5,233.45
05-09-2019,234.0,237.75,233.8,234.35
06-09-2019,237.5,240.0,234.55,239.45
09-09-2019,235.05,239.95,234.6,239.35
11-09-2019,238.95,248.8,236.35,243.15
12-09-2019,244.0,245.5,242.0,244.5
13-09-2019,248.45,249.7,245.0,248.05
16-09-2019,242.35,247.75,240.7,244.95
17-09-2019,245.5,248.8,243.0,243.85
18-09-2019,245.0,247.8,243.1,245.0
19-09-2019,248.5,248.5,241.6,246.9
20-09-2019,247.75,249.1,241.1,244.25
23-09-2019,244.1,247.9,239.2,241.0
24-09-2019,239.05,243.85,238.35,241.45
25-09-2019,241.25,243.5,232.2,232.95
26-09-2019,235.85,238.9,234.0,237.2
27-09-2019,241.0,245.0,238.0,238.2
30-09-2019,239.7,242.8,238.05,239.3
01-10-2019,243.0,243.15,234.6,235.2
03-10-2019,235.0,237.65,234.95,235.15
04-10-2019,238.0,238.0,233.0,234.15
07-10-2019,235.25,235.8,220.0,226.75
09-10-2019,224.3,232.75,222.6,228.75
10-10-2019,230.9,246.25,225.0,239.6
11-10-2019,238.9,238.9,233.5,237.45
14-10-2019,244.2,246.0,232.35,238.0
15-10-2019,237.95,240.0,232.5,235.85
16-10-2019,237.0,238.0,233.5,234.0
17-10-2019,235.5,235.5,228.2,229.75
18-10-2019,229.0,232.45,226.95,227.65
22-10-2019,229.9,229.9,224.35,227.45
23-10-2019,230.9,230.9,216.0,217.8
24-10-2019,219.9,222.4,196.85,199.1
25-10-2019,202.4,202.4,194.5,198.85
27-10-2019,196.05,203.0,196.0,197.3
29-10-2019,200.1,202.1,190.1,200.0
30-10-2019,203.45,208.0,200.0,203.7
31-10-2019,205.65,207.85,205.0,207.0
01-11-2019,210.6,215.8,207.0,211.9
04-11-2019,214.9,214.9,210.0,210.9
05-11-2019,215.95,215.95,203.05,205.05
06-11-2019,205.05,206.65,201.5,203.05
07-11-2019,208.9,208.9,202.0,203.05
08-11-2019,205.9,205.9,201.5,203.1
11-11-2019,205.95,206.0,202.0,202.5
13-11-2019,202.0,202.65,198.0,199.65
14-11-2019,200.0,206.9,199.55,204.9
15-11-2019,206.5,207.65,203.0,203.85
18-11-2019,207.8,207.8,202.85,204.85
19-11-2019,205.7,215.0,204.35,210.95
20-11-2019,211.8,212.9,205.05,207.25
21-11-2019,209.6,212.0,207.5,211.1
22-11-2019,214.8,214.8,208.85,210.5
25-11-2019,214.9,214.9,207.8,210.55
26-11-2019,210.55,212.35,203.35,205.85
27-11-2019,206.8,207.2,204.15,205.0
28-11-2019,208.0,210.0,204.2,206.2
29-11-2019,208.55,208.55,204.0,205.1
02-12-2019,211.0,211.0,200.1,200.8
03-12-2019,203.7,203.7,199.3,200.0
04-12-2019,203.7,203.7,198.2,198.55
05-12-2019,203.35,210.0,199.15,200.0
06-12-2019,200.1,202.5,197.0,197.7
09-12-2019,199.8,199.8,194.5,195.55
10-12-2019,195.85,197.0,191.0,191.8
11-12-2019,192.45,194.4,187.0,188.75
12-12-2019,189.35,191.2,184.35,185.2
13-12-2019,186.5,187.05,180.0,182.45
16-12-2019,182.5,187.6,180.05,186.9
17-12-2019,190.95,203.8,187.0,197.6
18-12-2019,198.35,198.35,191.4,195.0
19-12-2019,196.6,196.95,190.0,190.85
20-12-2019,190.0,195.0,189.5,194.0
23-12-2019,194.05,195.25,186.05,190.0
