date,open,high,low,close
22-07-2019,131.0,136.0,122.55,133.85
23-07-2019,135.0,140.9,134.0,136.95
24-07-2019,137.25,140.0,128.15,130.25
25-07-2019,130.5,131.3,126.05,128.25
26-07-2019,127.0,129.65,125.0,128.1
29-07-2019,128.5,130.5,127.05,128.7
30-07-2019,127.6,128.75,122.5,123.65
31-07-2019,123.0,128.0,122.0,126.25
01-08-2019,126.0,126.0,120.0,120.65
02-08-2019,119.0,122.0,115.0,117.9
05-08-2019,119.9,119.9,112.1,114.5
06-08-2019,114.0,117.0,112.0,115.0
07-08-2019,117.0,118.4,114.25,115.9
08-08-2019,115.2,117.5,114.1,115.55
09-08-2019,115.6,129.8,115.6,126.65
13-08-2019,129.95,135.0,127.0,134.75
14-08-2019,134.6,135.0,131.1,131.9
16-08-2019,132.0,135.8,131.95,134.75
19-08-2019,139.3,139.3,133.75,134.6
20-08-2019,135.7,136.35,133.0,133.85
21-08-2019,133.2,134.8,130.4,131.6
22-08-2019,131.9,131.9,125.0,126.45
23-08-2019,127.0,133.0,124.05,131.6
26-08-2019,135.0,137.95,131.9,134.95
27-08-2019,136.0,136.7,133.55,134.6
28-08-2019,135.95,136.3,132.75,133.6
29-08-2019,133.6,135.65,131.4,132.85
30-08-2019,132.95,136.75,132.0,135.6
03-09-2019,135.6,136.85,131.0,134.65
04-09-2019,133.4,135.5,132.5,135.05
05-09-2019,136.0,137.5,132.1,133.35
06-09-2019,133.55,135.0,133.55,134.05
09-09-2019,134.3,142.5,133.55,139.8
11-09-2019,141.0,146.95,140.55,145.85
12-09-2019,146.95,149.5,145.25,147.1
13-09-2019,148.1,152.6,148.0,150.55
16-09-2019,148.75,150.55,148.0,149.4
17-09-2019,149.0,149.55,142.2,143.2
18-09-2019,145.0,146.85,138.1,139.0
19-09-2019,138.5,138.5,134.5,135.3
20-09-2019,136.0,144.15,132.1,137.3
23-09-2019,140.5,149.5,140.5,147.2
24-09-2019,147.2,153.35,145.2,149.9
25-09-2019,149.95,155.45,149.9,154.8
26-09-2019,155.2,159.45,151.2,157.35
27-09-2019,157.75,163.85,156.15,161.95
30-09-2019,162.9,162.9,156.5,159.2
01-10-2019,159.3,162.85,150.45,156.95
03-10-2019,154.0,163.0,154.0,161.25
04-10-2019,162.0,165.35,160.6,164.3
07-10-2019,166.0,166.9,155.15,156.5
09-10-2019,157.0,167.75,156.9,166.55
10-10-2019,165.4,165.4,160.65,161.6
11-10-2019,162.5,163.45,155.55,160.3
14-10-2019,158.95,164.5,157.05,160.05
15-10-2019,161.2,162.2,155.5,157.5
16-10-2019,158.65,158.7,152.1,154.5
17-10-2019,155.4,157.95,153.8,156.9
18-10-2019,157.8,164.3,156.85,162.65
22-10-2019,163.4,171.0,161.5,167.3
23-10-2019,168.0,171.0,163.25,165.9
24-10-2019,165.95,166.0,161.15,162.4
25-10-2019,162.95,163.85,157.95,160.0
27-10-2019,161.55,163.0,160.2,162.35
29-10-2019,163.6,170.5,161.2,163.75
30-10-2019,164.7,167.7,162.0,163.05
31-10-2019,163.9,166.5,162.2,163.2
01-11-2019,164.6,169.5,163.15,168.7
04-11-2019,169.8,174.7,165.9,172.45
05-11-2019,175.0,178.5,163.25,165.65
06-11-2019,165.65,170.95,164.0,164.8
07-11-2019,167.0,168.8,165.0,168.05
08-11-2019,167.85,174.75,158.0,164.7
11-11-2019,165.5,170.0,164.0,167.05
13-11-2019,167.05,168.75,164.0,166.05
14-11-2019,167.4,181.5,165.0,177.95
15-11-2019,178.0,181.75,174.0,175.0
18-11-2019,174.0,178.0,170.1,171.3
19-11-2019,170.8,176.5,170.8,172.25
20-11-2019,172.0,173.15,170.0,171.9
21-11-2019,170.65,172.85,168.75,169.8
22-11-2019,169.7,170.3,165.0,168.55
25-11-2019,166.1,172.1,166.1,168.7
