date,open,high,low,close
22-07-2019,22.8,22.9,21.3,21.6
23-07-2019,21.8,22.0,20.8,21.1
24-07-2019,21.1,21.2,19.8,20.25
25-07-2019,20.0,20.95,19.55,20.5
26-07-2019,20.4,20.75,19.6,20.1
29-07-2019,20.0,20.1,19.05,19.2
30-07-2019,19.3,19.8,18.5,18.8
31-07-2019,18.6,18.9,17.6,18.25
01-08-2019,18.4,18.75,18.05,18.6
02-08-2019,18.1,18.6,18.05,18.15
05-08-2019,17.95,18.15,17.5,17.7
06-08-2019,17.65,18.6,17.55,18.25
07-08-2019,18.1,18.6,17.85,18.05
08-08-2019,18.1,18.15,17.7,18.05
09-08-2019,18.35,18.5,17.75,18.3
13-08-2019,18.3,18.7,17.8,18.15
14-08-2019,18.35,18.35,17.35,17.9
16-08-2019,18.0,18.2,17.3,18.0
19-08-2019,18.05,18.75,17.9,18.45
20-08-2019,14.8,14.8,14.8,14.8
21-08-2019,11.85,11.85,11.85,11.85
22-08-2019,10.7,11.35,10.7,10.7
23-08-2019,9.65,9.65,9.65,9.65
26-08-2019,8.9,10.0,8.7,8.7
27-08-2019,8.6,9.1,8.3,9.1
28-08-2019,9.55,9.55,9.55,9.55
29-08-2019,10.0,10.0,10.0,10.0
30-08-2019,10.5,10.5,10.5,10.5
03-09-2019,10.85,11.0,10.7,11.0
04-09-2019,11.55,11.55,11.55,11.55
05-09-2019,12.1,12.1,12.1,12.1
06-09-2019,12.7,12.7,12.7,12.7
09-09-2019,13.3,13.3,13.3,13.3
11-09-2019,13.95,13.95,13.95,13.95
12-09-2019,14.6,14.6,13.95,14.6
13-09-2019,13.9,14.55,13.9,14.25
16-09-2019,14.8,14.95,14.35,14.95
17-09-2019,15.65,15.65,15.65,15.65
18-09-2019,15.6,15.9,14.9,15.0
19-09-2019,14.55,14.95,14.25,14.25
20-09-2019,13.6,14.65,13.55,13.55
23-09-2019,14.0,14.15,13.5,13.9
24-09-2019,14.2,14.55,13.9,14.55
25-09-2019,15.25,15.25,14.55,15.25
26-09-2019,16.0,16.0,15.35,15.6
27-09-2019,15.85,15.85,14.85,14.85
30-09-2019,14.2,14.8,14.15,14.15
01-10-2019,13.45,13.8,13.45,13.45
03-10-2019,14.1,14.1,14.1,14.1
04-10-2019,14.8,14.8,14.8,14.8
07-10-2019,15.45,15.45,14.1,14.45
09-10-2019,14.45,14.65,13.75,14.2
10-10-2019,14.65,14.65,13.55,13.85
11-10-2019,13.8,13.8,13.2,13.25
14-10-2019,13.25,13.85,12.65,13.4
15-10-2019,13.1,13.65,13.05,13.1
16-10-2019,13.45,13.75,13.25,13.75
17-10-2019,14.4,14.4,14.4,14.4
18-10-2019,15.1,15.1,15.1,15.1
22-10-2019,14.4,15.05,14.35,14.85
23-10-2019,14.9,15.2,14.55,14.8
24-10-2019,15.0,15.0,14.5,14.7
25-10-2019,14.95,14.95,14.2,14.65
27-10-2019,14.95,15.1,14.7,15.0
29-10-2019,15.0,15.15,14.3,14.7
30-10-2019,15.0,15.0,14.55,14.65
31-10-2019,14.9,14.9,14.4,14.45
01-11-2019,14.55,14.65,13.75,13.9
04-11-2019,14.55,14.55,14.55,14.55
05-11-2019,15.25,15.25,14.9,15.25
06-11-2019,16.0,16.0,15.6,16.0
07-11-2019,16.8,16.8,16.8,16.8
08-11-2019,17.6,17.6,16.0,16.3
11-11-2019,16.0,16.3,15.6,15.95
13-11-2019,16.35,16.7,16.0,16.65
14-11-2019,17.0,17.15,16.05,16.15
15-11-2019,16.5,16.5,15.35,15.45
18-11-2019,15.8,15.95,14.7,14.95
19-11-2019,15.05,15.05,14.3,14.5
20-11-2019,14.6,14.65,14.0,14.1
21-11-2019,14.2,14.5,13.8,13.85
22-11-2019,14.35,14.45,13.75,14.1
25-11-2019,14.5,14.8,14.15,14.75
26-11-2019,14.5,14.5,14.05,14.05
27-11-2019,14.45,14.45,13.75,13.95
28-11-2019,13.7,14.1,13.55,13.7
29-11-2019,14.05,14.05,13.65,13.7
02-12-2019,13.25,13.6,13.05,13.15
03-12-2019,13.25,13.4,12.55,12.6
04-12-2019,12.1,12.4,12.0,12.05
05-12-2019,12.3,12.65,11.7,12.6
06-12-2019,12.85,12.95,12.15,12.25
09-12-2019,12.35,12.5,12.05,12.15
10-12-2019,12.15,12.25,11.6,11.7
11-12-2019,11.8,11.8,11.15,11.15
12-12-2019,11.0,11.65,10.65,11.55
13-12-2019,11.9,12.1,11.55,12.1
16-12-2019,12.1,12.1,11.6,11.95
17-12-2019,11.95,12.05,11.6,11.65
18-12-2019,11.65,11.9,11.15,11.4
19-12-2019,11.45,11.45,11.05,11.15
20-12-2019,10.85,11.3,10.85,10.9
23-12-2019,10.7,11.0,10.65,10.9
24-12-2019,10.8,10.9,10.4,10.4
26-12-2019,10.75,10.85,10.35,10.65
27-12-2019,10.65,11.15,10.2,11.1
30-12-2019,11.0,11.1,10.6,10.9
31-12-2019,10.8,10.9,10.6,10.8
01-01-2020,11.0,11.2,10.6,10.95
02-01-2020,11.0,11.35,10.8,11.3
03-01-2020,11.5,11.85,10.9,11.85
06-01-2020,11.85,12.25,11.85,12.1
07-01-2020,12.4,12.4,11.85,11.95
08-01-2020,11.5,11.8,11.4,11.4
09-01-2020,11.75,11.75,11.0,11.4
10-01-2020,11.5,11.5,11.1,11.25
13-01-2020,11.05,11.25,10.7,10.75
14-01-2020,10.25,10.4,10.25,10.25
15-01-2020,9.75,10.0,9.75,9.75
16-01-2020,9.3,9.5,9.3,9.3
17-01-2020,8.85,8.9,8.85,8.85
20-01-2020,8.45,8.75,8.45,8.45
21-01-2020,8.05,8.05,8.05,8.05
22-01-2020,7.65,8.45,7.65,8.45
