date,open,high,low,close
20-11-2019,209.5,213.95,202.45,205.25
21-11-2019,218.0,218.0,200.95,204.8
22-11-2019,209.9,218.0,205.0,205.95
25-11-2019,208.0,227.85,208.0,224.0
26-11-2019,210.4,232.0,210.4,226.2
27-11-2019,238.5,238.5,220.95,226.85
28-11-2019,225.0,233.0,222.0,226.85
29-11-2019,240.4,240.4,221.15,229.15
02-12-2019,224.0,240.6,219.1,221.4
03-12-2019,235.0,235.0,219.0,225.5
04-12-2019,229.4,233.0,215.05,229.55
05-12-2019,233.85,233.85,220.0,229.0
06-12-2019,221.05,227.95,218.0,218.25
09-12-2019,202.0,238.2,202.0,221.3
10-12-2019,210.0,224.35,205.0,217.6
11-12-2019,209.0,226.0,205.05,211.55
12-12-2019,206.0,213.5,200.05,211.4
13-12-2019,207.0,209.95,204.0,204.15
16-12-2019,210.95,212.0,196.1,200.05
17-12-2019,209.95,209.95,196.0,202.0
18-12-2019,209.45,209.45,197.05,207.25
19-12-2019,206.9,211.0,202.15,210.35
20-12-2019,216.85,217.0,206.95,215.25
23-12-2019,220.95,220.95,204.05,204.2
24-12-2019,215.85,219.35,208.95,211.7
26-12-2019,206.0,222.0,206.0,212.75
27-12-2019,215.95,222.0,208.0,214.95
30-12-2019,222.2,222.2,210.0,219.5
31-12-2019,221.0,221.0,205.0,208.7
01-01-2020,208.75,212.9,203.1,205.75
02-01-2020,208.0,214.95,206.95,209.3
03-01-2020,215.95,215.95,207.3,209.95
06-01-2020,209.95,210.0,203.0,206.15
07-01-2020,210.0,213.95,206.5,212.9
08-01-2020,221.0,249.9,213.95,220.95
09-01-2020,235.0,235.0,218.0,225.05
10-01-2020,216.05,230.0,215.0,229.85
13-01-2020,223.0,231.3,222.25,229.65
14-01-2020,227.0,234.75,222.0,226.7
15-01-2020,224.8,230.0,224.8,230.0
16-01-2020,228.0,233.0,220.3,231.0
17-01-2020,237.25,245.0,227.0,240.6
20-01-2020,235.0,245.0,235.0,244.25
21-01-2020,247.95,247.95,233.0,242.75
22-01-2020,242.75,242.75,236.4,241.7
23-01-2020,240.0,242.0,235.0,235.0
24-01-2020,235.0,239.5,231.6,233.95
27-01-2020,230.0,237.0,224.0,226.0
28-01-2020,226.1,231.95,225.9,230.0
29-01-2020,223.55,236.0,223.55,233.8
30-01-2020,229.0,244.95,224.0,229.65
31-01-2020,225.9,240.95,225.5,225.55
01-02-2020,231.95,238.5,226.0,229.1
03-02-2020,223.0,230.0,223.0,229.65
04-02-2020,230.0,230.0,225.25,229.95
05-02-2020,231.95,232.0,223.0,226.4
06-02-2020,229.95,230.0,218.0,224.95
07-02-2020,220.0,224.2,215.1,217.0
10-02-2020,218.0,226.9,210.0,215.15
11-02-2020,220.0,222.8,212.05,215.5
12-02-2020,219.45,219.45,212.0,215.95
13-02-2020,210.0,215.0,207.25,211.3
14-02-2020,207.5,213.35,207.3,210.05
17-02-2020,208.8,211.4,200.0,203.65
18-02-2020,205.0,206.95,189.15,204.9
19-02-2020,206.2,206.2,195.0,200.6
20-02-2020,201.9,205.0,191.6,205.0
24-02-2020,232.0,232.0,190.4,197.6
25-02-2020,194.0,201.8,192.0,199.35
26-02-2020,192.35,199.3,190.35,198.25
27-02-2020,202.25,202.25,193.0,197.45
28-02-2020,198.5,198.5,185.95,189.75
02-03-2020,195.0,195.0,171.0,181.3
03-03-2020,183.0,184.0,171.0,178.45
04-03-2020,185.0,187.45,174.0,178.2
05-03-2020,186.45,189.25,175.25,180.75
06-03-2020,177.15,192.05,172.0,191.1
09-03-2020,201.0,201.0,180.0,190.25
11-03-2020,193.0,193.0,175.05,185.0
12-03-2020,175.0,175.0,151.0,152.8
13-03-2020,133.0,180.9,130.0,180.8
16-03-2020,165.2,185.75,158.0,166.05
17-03-2020,177.7,179.9,162.45,165.95
18-03-2020,168.95,171.45,153.0,169.05
19-03-2020,160.0,166.0,135.55,163.15
20-03-2020,160.0,160.0,146.0,159.25
23-03-2020,160.0,160.0,127.4,136.35
24-03-2020,149.0,149.0,120.0,142.3
25-03-2020,147.0,147.0,122.0,139.2
26-03-2020,147.0,149.45,134.0,146.45
27-03-2020,154.85,158.8,142.0,147.85
30-03-2020,136.1,149.75,136.1,146.75
31-03-2020,147.0,155.0,142.1,146.8
01-04-2020,146.8,150.05,133.7,140.85
03-04-2020,135.1,145.05,122.65,128.55
07-04-2020,132.9,141.15,130.55,135.05
08-04-2020,145.0,145.0,130.55,140.7
09-04-2020,154.7,158.2,138.0,153.75
13-04-2020,154.0,159.75,143.0,147.25
15-04-2020,131.5,160.15,131.5,148.85
16-04-2020,148.05,149.0,136.25,147.45
17-04-2020,151.0,154.4,145.35,153.8
20-04-2020,149.9,162.0,145.0,147.65
21-04-2020,147.65,149.85,138.0,141.9
22-04-2020,145.1,145.55,139.0,142.15
23-04-2020,146.0,148.0,140.5,144.15
24-04-2020,147.25,147.45,136.8,140.35
27-04-2020,139.95,144.0,139.3,143.8
28-04-2020,147.0,157.5,146.15,153.4
29-04-2020,146.95,158.05,143.1,152.7
30-04-2020,149.6,156.0,148.95,153.0
04-05-2020,152.95,154.9,145.0,148.8
05-05-2020,153.7,155.0,144.1,147.35
06-05-2020,150.55,150.6,142.7,145.65
07-05-2020,148.4,149.95,141.0,148.6
08-05-2020,144.95,151.1,141.0,143.95
11-05-2020,140.95,146.5,137.0,145.3
12-05-2020,144.0,147.0,139.0,140.65
13-05-2020,142.0,149.0,137.95,141.1
14-05-2020,139.05,145.05,139.05,144.4
15-05-2020,141.95,150.25,139.1,141.35
18-05-2020,145.95,165.0,138.55,151.2
19-05-2020,150.05,181.4,142.25,167.85
20-05-2020,170.0,174.9,148.0,152.05
21-05-2020,152.0,162.0,150.25,154.7
22-05-2020,154.5,158.0,148.1,152.55
26-05-2020,158.0,158.0,145.05,146.75
27-05-2020,147.25,153.75,140.35,145.2
28-05-2020,145.25,150.0,143.15,144.3
29-05-2020,140.85,143.5,130.25,137.35
01-06-2020,139.0,143.95,131.4,140.25
02-06-2020,141.0,147.0,137.0,144.25
03-06-2020,146.5,146.5,140.0,141.0
04-06-2020,139.95,141.85,139.0,139.8
05-06-2020,142.0,142.0,139.15,140.85
08-06-2020,141.0,146.65,141.0,141.75
09-06-2020,144.85,144.85,137.15,138.45
10-06-2020,139.0,140.75,138.5,139.7
11-06-2020,138.5,142.5,136.55,140.95
12-06-2020,135.2,139.75,135.1,138.65
15-06-2020,140.15,141.95,137.45,138.25
16-06-2020,139.9,139.95,132.85,135.9
17-06-2020,133.05,138.9,130.55,137.05
18-06-2020,136.0,138.0,132.05,136.45
19-06-2020,136.65,143.05,135.3,141.6
22-06-2020,142.95,144.8,138.25,142.1
23-06-2020,144.0,145.0,140.1,140.95
24-06-2020,142.25,145.9,136.2,137.4
25-06-2020,136.15,141.5,136.1,139.4
26-06-2020,140.35,156.05,140.35,145.75
29-06-2020,146.0,151.0,146.0,148.05
30-06-2020,145.0,148.0,142.55,142.9
01-07-2020,141.85,142.55,136.1,139.2
02-07-2020,141.0,141.0,137.0,137.35
03-07-2020,139.9,140.5,137.95,138.95
06-07-2020,138.95,138.95,131.45,135.15
07-07-2020,134.2,138.0,134.2,136.15
08-07-2020,138.0,144.0,137.85,138.65
09-07-2020,140.1,142.0,135.6,136.7
10-07-2020,137.0,138.35,134.15,136.2
13-07-2020,142.0,163.4,140.5,157.75
14-07-2020,157.0,157.7,147.45,151.2
15-07-2020,152.5,154.9,144.85,145.5
16-07-2020,146.05,149.0,143.0,147.65
17-07-2020,150.0,159.0,146.1,152.0
20-07-2020,157.75,157.75,148.0,149.8
21-07-2020,150.0,152.2,148.8,151.35
22-07-2020,151.35,152.0,147.25,148.05
23-07-2020,145.5,150.1,143.0,147.3
24-07-2020,149.0,149.0,145.0,147.05
27-07-2020,148.0,156.0,143.35,152.4
28-07-2020,151.0,153.5,148.3,150.55
29-07-2020,152.35,152.35,147.0,148.15
30-07-2020,151.6,151.95,148.0,148.6
31-07-2020,148.65,150.45,146.0,146.75
03-08-2020,145.3,149.75,143.75,144.5
04-08-2020,144.7,147.55,144.25,146.1
05-08-2020,147.75,149.5,145.2,146.25
06-08-2020,148.95,159.9,145.85,152.8
07-08-2020,154.0,156.0,151.05,152.15
10-08-2020,152.15,162.6,148.25,150.05
11-08-2020,150.0,160.75,147.95,159.4
12-08-2020,160.95,161.0,155.8,156.7
13-08-2020,158.7,160.0,154.0,158.65
14-08-2020,158.65,166.0,153.65,156.45
17-08-2020,164.1,164.1,153.7,154.35
18-08-2020,155.45,158.95,154.25,158.0
19-08-2020,159.35,162.55,158.15,158.8
20-08-2020,158.0,170.0,156.0,167.5
21-08-2020,172.05,175.0,167.3,168.8
24-08-2020,168.05,176.25,164.3,170.4
25-08-2020,170.65,173.55,162.85,164.25
26-08-2020,165.9,169.0,162.6,163.3
