date,open,high,low,close
22-07-2019,12.1,12.4,11.6,11.9
23-07-2019,11.95,12.2,11.5,12.1
24-07-2019,12.55,12.55,11.6,11.65
25-07-2019,11.6,11.9,11.15,11.4
26-07-2019,11.55,11.7,11.25,11.6
29-07-2019,12.15,12.15,11.5,11.65
30-07-2019,11.65,11.8,10.95,11.0
31-07-2019,10.85,11.45,9.95,11.1
01-08-2019,11.05,11.1,10.45,10.65
02-08-2019,10.55,10.8,10.15,10.45
05-08-2019,10.6,12.3,10.0,10.2
06-08-2019,10.0,10.55,10.0,10.3
07-08-2019,10.4,11.0,10.3,10.65
08-08-2019,10.7,11.0,10.5,10.6
09-08-2019,10.6,11.0,10.25,10.35
13-08-2019,10.35,10.55,9.9,10.05
14-08-2019,10.3,10.35,9.6,9.85
16-08-2019,9.65,10.2,9.65,10.05
19-08-2019,9.65,10.5,9.65,10.2
20-08-2019,10.5,10.55,9.9,10.15
21-08-2019,10.15,10.3,9.9,10.0
22-08-2019,9.85,10.45,8.7,9.1
23-08-2019,9.05,9.25,8.65,9.2
26-08-2019,9.35,9.4,8.65,9.0
27-08-2019,9.15,9.95,8.9,9.65
28-08-2019,10.1,10.15,8.8,8.95
29-08-2019,9.15,9.25,8.5,8.65
30-08-2019,8.6,9.1,8.35,8.95
03-09-2019,8.85,8.85,8.5,8.5
04-09-2019,8.5,8.7,8.25,8.45
05-09-2019,8.65,8.9,8.5,8.85
06-09-2019,8.75,8.85,8.6,8.75
09-09-2019,8.7,9.45,8.6,9.1
11-09-2019,9.15,9.65,8.95,9.5
12-09-2019,9.65,10.05,9.45,9.45
13-09-2019,9.85,9.95,9.4,9.55
16-09-2019,9.55,9.75,9.35,9.55
17-09-2019,9.6,11.0,9.55,9.9
18-09-2019,10.6,10.6,9.55,9.55
19-09-2019,9.6,9.65,9.25,9.4
20-09-2019,9.8,9.85,9.45,9.55
23-09-2019,9.85,10.15,9.7,9.75
24-09-2019,10.0,11.5,9.75,10.85
25-09-2019,11.1,11.4,10.65,10.9
26-09-2019,11.1,11.1,10.3,10.45
27-09-2019,10.45,10.85,10.15,10.5
30-09-2019,10.9,10.9,9.75,10.25
01-10-2019,10.35,10.4,9.8,10.0
03-10-2019,10.0,10.0,8.95,9.65
04-10-2019,9.65,9.9,9.35,9.45
07-10-2019,9.4,9.75,9.35,9.6
09-10-2019,9.5,9.75,9.4,9.55
10-10-2019,9.55,9.65,9.2,9.55
11-10-2019,9.65,9.75,9.25,9.55
14-10-2019,9.95,9.95,9.3,9.5
15-10-2019,9.55,9.55,9.25,9.35
16-10-2019,9.45,10.15,8.9,9.2
17-10-2019,8.95,9.55,8.95,9.5
