date,open,high,low,close
21-07-2022,247.85,247.85,225.2,229.4
22-07-2022,229.3,241.0,224.95,235.15
25-07-2022,236.0,241.0,228.95,233.05
26-07-2022,234.3,239.9,234.2,237.45
27-07-2022,238.0,238.0,232.85,236.4
28-07-2022,231.7,243.0,231.7,239.8
29-07-2022,247.0,247.0,232.9,240.15
01-08-2022,235.35,245.7,235.0,239.45
02-08-2022,246.0,246.0,235.0,239.35
03-08-2022,240.0,242.0,237.5,238.9
04-08-2022,238.25,241.45,235.55,239.7
05-08-2022,241.1,285.0,238.25,270.15
08-08-2022,272.4,307.0,272.4,298.7
10-08-2022,294.0,294.0,270.25,275.95
11-08-2022,288.6,288.6,260.05,262.5
12-08-2022,264.55,269.7,250.55,259.3
16-08-2022,264.45,281.95,256.95,274.4
17-08-2022,276.8,276.8,266.3,267.9
18-08-2022,262.5,267.7,256.5,262.05
19-08-2022,269.0,269.0,242.5,246.25
22-08-2022,250.0,253.05,242.5,244.7
23-08-2022,243.9,251.95,243.9,247.95
24-08-2022,245.0,258.65,243.75,252.05
25-08-2022,253.0,256.05,243.85,248.65
26-08-2022,249.0,255.95,232.1,239.7
29-08-2022,239.4,250.0,233.2,239.65
30-08-2022,240.0,246.0,235.0,236.05
01-09-2022,239.4,241.05,235.0,239.3
02-09-2022,252.5,252.5,195.0,231.25
05-09-2022,240.5,243.7,221.55,241.9
06-09-2022,248.5,248.5,242.0,244.35
07-09-2022,242.4,260.95,239.45,257.25
08-09-2022,260.0,263.2,253.3,259.5
09-09-2022,259.0,259.0,247.05,248.25
12-09-2022,252.05,257.05,242.05,248.25
13-09-2022,251.5,254.95,240.05,242.6
14-09-2022,244.9,250.0,240.0,243.9
15-09-2022,248.45,249.65,238.0,240.15
16-09-2022,244.9,247.8,238.0,240.15
19-09-2022,234.25,242.35,232.15,234.9
20-09-2022,232.75,244.15,232.2,239.2
21-09-2022,240.0,257.0,239.8,253.5
22-09-2022,260.0,260.0,240.35,246.85
23-09-2022,249.95,270.0,243.65,251.75
26-09-2022,256.0,256.0,232.85,241.75
27-09-2022,245.9,248.65,240.1,240.85
28-09-2022,236.2,243.85,235.2,236.35
29-09-2022,236.8,249.0,231.55,242.75
30-09-2022,238.2,251.0,238.2,249.25
03-10-2022,267.0,267.0,248.0,258.15
04-10-2022,265.65,267.0,255.95,265.4
06-10-2022,266.3,274.05,255.95,269.45
07-10-2022,263.0,275.0,263.0,271.9
10-10-2022,260.1,271.85,260.1,262.15
11-10-2022,267.7,268.9,238.6,245.4
12-10-2022,250.05,258.25,245.05,253.6
13-10-2022,253.6,256.2,243.1,246.1
14-10-2022,253.6,255.0,245.25,247.3
17-10-2022,242.6,251.0,242.0,247.65
18-10-2022,252.2,260.0,247.0,254.25
19-10-2022,256.0,258.7,247.0,249.7
20-10-2022,250.0,258.05,247.95,249.9
21-10-2022,247.55,255.0,245.0,248.55
24-10-2022,250.0,255.05,233.6,245.85
25-10-2022,249.05,250.0,238.25,241.8
27-10-2022,241.0,249.3,241.0,243.8
28-10-2022,243.5,243.5,236.2,237.35
31-10-2022,249.2,249.2,239.95,246.0
01-11-2022,240.55,250.05,240.55,247.05
02-11-2022,247.0,250.0,243.75,249.5
03-11-2022,248.55,249.15,243.95,246.1
04-11-2022,250.0,257.0,245.3,253.2
07-11-2022,256.1,259.05,245.1,250.2
09-11-2022,250.2,287.0,242.25,261.7
10-11-2022,272.0,272.0,241.9,252.7
11-11-2022,252.7,270.95,252.7,261.65
14-11-2022,269.6,269.6,255.05,258.0
15-11-2022,264.55,265.0,255.0,257.25
16-11-2022,262.05,266.9,252.1,258.8
17-11-2022,259.6,269.05,256.6,258.75
18-11-2022,264.7,264.7,254.85,259.95
21-11-2022,262.1,262.1,252.0,254.45
22-11-2022,256.25,261.7,248.0,250.05
23-11-2022,250.05,263.85,250.05,260.65
24-11-2022,257.95,260.0,252.0,253.9
25-11-2022,250.35,274.85,247.0,257.6
28-11-2022,267.75,267.75,254.35,258.45
29-11-2022,260.6,261.0,254.4,260.0
30-11-2022,265.0,265.0,251.0,253.95
01-12-2022,258.0,260.4,254.55,255.5
02-12-2022,255.95,258.95,240.0,251.85
05-12-2022,258.85,260.0,243.85,254.45
06-12-2022,254.9,258.9,248.7,251.05
07-12-2022,257.95,258.0,251.0,253.45
08-12-2022,252.6,255.35,248.5,251.7
09-12-2022,254.65,254.65,248.7,252.25
12-12-2022,257.05,257.2,249.05,251.9
13-12-2022,255.45,256.0,251.05,253.2
14-12-2022,257.95,257.95,246.0,246.7
15-12-2022,251.35,251.35,244.05,245.05
16-12-2022,245.8,248.0,241.2,242.65
19-12-2022,245.65,249.0,241.9,246.25
20-12-2022,249.0,249.0,238.0,239.8
21-12-2022,245.15,245.15,212.55,232.0
22-12-2022,230.05,235.9,208.2,232.05
23-12-2022,223.0,244.9,223.0,230.65
26-12-2022,244.0,244.0,230.0,239.1
27-12-2022,239.9,241.5,234.55,235.3
28-12-2022,242.05,244.9,232.85,239.05
29-12-2022,247.45,247.45,230.5,236.25
30-12-2022,233.8,240.0,233.8,239.05
02-01-2023,236.1,270.0,230.4,257.7
03-01-2023,257.7,266.8,257.55,265.0
04-01-2023,258.2,270.0,255.0,259.95
05-01-2023,261.9,261.9,250.0,251.8
06-01-2023,265.0,265.0,237.5,240.15
09-01-2023,246.1,250.0,242.45,248.9
10-01-2023,254.0,254.0,238.25,239.6
11-01-2023,250.05,250.05,237.0,241.45
12-01-2023,248.9,248.9,240.0,243.35
13-01-2023,242.95,245.8,234.55,242.0
16-01-2023,246.95,250.0,243.65,249.5
17-01-2023,244.45,255.0,244.15,251.85
18-01-2023,250.2,256.8,248.85,255.0
19-01-2023,256.0,256.0,247.6,253.0
20-01-2023,251.0,255.0,248.05,254.55
23-01-2023,249.85,258.75,249.85,252.35
24-01-2023,254.05,254.95,248.95,249.2
25-01-2023,252.4,252.4,237.0,243.15
27-01-2023,253.05,253.05,233.25,241.2
30-01-2023,246.05,252.55,230.55,237.4
31-01-2023,244.05,250.95,237.55,245.45
01-02-2023,250.8,254.0,236.55,250.8
02-02-2023,256.05,259.0,241.65,251.95
03-02-2023,249.4,255.15,239.35,249.6
06-02-2023,249.6,250.0,241.2,243.6
07-02-2023,249.0,249.0,240.45,241.85
08-02-2023,241.7,245.15,236.35,242.45
09-02-2023,243.3,246.3,240.0,240.85
10-02-2023,243.5,254.7,239.65,245.2
13-02-2023,240.55,248.5,240.55,246.0
14-02-2023,244.5,246.3,233.6,240.15
15-02-2023,240.0,245.0,240.0,243.25
16-02-2023,245.5,246.0,240.0,241.7
17-02-2023,241.5,245.9,239.65,243.4
20-02-2023,240.35,244.8,239.25,240.0
21-02-2023,242.4,243.9,231.75,237.9
22-02-2023,235.2,241.95,218.1,227.35
23-02-2023,228.8,237.8,221.95,224.8
24-02-2023,224.15,234.45,222.0,225.4
27-02-2023,228.1,232.9,220.85,224.0
28-02-2023,223.55,226.95,207.75,210.1
01-03-2023,212.7,236.05,208.3,229.4
02-03-2023,231.7,235.0,225.45,233.35
03-03-2023,228.35,237.5,227.95,234.8
06-03-2023,238.6,244.95,228.3,232.2
08-03-2023,237.0,237.0,222.85,231.2
09-03-2023,233.15,239.45,222.65,227.3
10-03-2023,224.35,229.0,219.0,225.55
13-03-2023,224.7,228.45,213.1,216.95
14-03-2023,216.95,224.95,205.65,217.1
15-03-2023,217.9,222.15,205.4,208.2
16-03-2023,213.95,220.0,201.55,210.6
17-03-2023,216.5,218.0,211.0,211.8
20-03-2023,217.1,217.1,201.0,211.15
21-03-2023,211.85,224.75,211.7,221.25
22-03-2023,220.0,224.7,217.85,220.05
23-03-2023,213.35,221.45,210.0,210.55
24-03-2023,213.05,214.4,195.2,202.45
27-03-2023,194.2,209.9,194.2,205.0
28-03-2023,209.2,209.2,198.0,199.95
29-03-2023,206.55,206.55,195.0,203.05
31-03-2023,208.55,210.35,189.1,193.7
03-04-2023,201.65,213.0,197.25,209.2
05-04-2023,214.2,214.75,207.05,209.95
06-04-2023,212.9,215.45,208.05,212.7
10-04-2023,210.35,215.25,208.25,214.25
11-04-2023,218.5,218.5,210.05,213.8
12-04-2023,211.0,214.45,210.05,213.75
13-04-2023,214.3,214.3,209.0,209.4
17-04-2023,211.15,211.15,203.3,205.2
18-04-2023,205.55,207.15,203.0,205.85
19-04-2023,207.85,217.95,207.6,212.25
20-04-2023,216.55,218.5,210.45,213.35
21-04-2023,212.3,215.55,210.35,211.8
24-04-2023,211.15,211.15,204.95,209.05
25-04-2023,210.15,221.95,205.65,216.65
26-04-2023,218.0,218.0,205.0,209.6
27-04-2023,211.25,235.05,208.4,222.4
28-04-2023,220.35,229.35,220.2,225.0
02-05-2023,229.5,229.5,220.65,223.55
03-05-2023,223.15,223.95,215.5,216.8
04-05-2023,215.5,223.45,215.5,217.05
05-05-2023,219.2,224.95,214.05,216.9
08-05-2023,215.05,221.0,211.55,216.35
