date,open,high,low,close
22-07-2019,32.05,33.4,30.0,30.7
23-07-2019,33.0,33.0,30.0,30.55
24-07-2019,29.6,30.95,28.5,29.5
25-07-2019,28.3,30.85,28.3,29.9
26-07-2019,28.5,30.5,28.5,30.15
29-07-2019,29.0,29.9,28.6,29.9
30-07-2019,27.8,30.95,27.8,29.5
31-07-2019,27.65,29.6,27.65,29.3
01-08-2019,30.35,30.35,27.8,28.2
02-08-2019,28.2,29.25,27.2,27.45
05-08-2019,29.9,29.9,25.1,28.15
06-08-2019,25.75,29.9,25.75,28.8
07-08-2019,29.45,30.85,28.25,28.95
08-08-2019,29.95,29.95,27.6,28.65
09-08-2019,28.6,29.95,28.6,29.55
13-08-2019,29.85,29.95,28.2,28.75
14-08-2019,28.4,28.5,27.5,27.9
16-08-2019,27.9,29.3,27.0,27.9
19-08-2019,27.95,33.0,27.9,29.45
20-08-2019,30.05,30.75,28.55,28.55
21-08-2019,28.85,28.85,27.2,27.8
22-08-2019,28.05,28.45,26.2,26.9
23-08-2019,29.0,32.25,26.45,28.4
26-08-2019,27.05,29.95,27.05,28.15
27-08-2019,29.85,29.85,27.1,27.65
28-08-2019,28.5,29.85,28.5,29.0
29-08-2019,29.0,29.95,28.5,28.55
30-08-2019,28.75,28.75,28.65,28.65
03-09-2019,31.1,31.1,28.75,28.9
04-09-2019,28.7,29.1,27.0,28.75
05-09-2019,28.75,29.1,28.5,29.1
06-09-2019,29.05,30.85,28.55,28.85
09-09-2019,29.25,30.6,28.85,29.0
11-09-2019,29.95,32.0,29.55,31.2
12-09-2019,30.3,32.4,28.0,30.75
13-09-2019,31.9,31.9,31.15,31.4
16-09-2019,31.0,32.3,30.0,30.8
17-09-2019,30.15,30.7,30.15,30.65
18-09-2019,30.05,30.9,30.05,30.4
19-09-2019,30.05,32.65,29.5,29.85
20-09-2019,29.15,30.9,29.15,30.05
23-09-2019,32.9,35.85,29.4,30.8
24-09-2019,31.0,31.95,29.3,30.7
25-09-2019,30.15,30.95,29.9,30.3
26-09-2019,31.95,31.95,27.55,29.3
27-09-2019,28.7,30.4,28.7,29.35
30-09-2019,29.05,29.85,27.65,28.95
01-10-2019,29.0,29.1,27.35,27.45
03-10-2019,31.45,31.45,25.2,26.5
04-10-2019,29.8,31.45,24.2,25.3
07-10-2019,26.85,28.9,25.15,26.9
09-10-2019,27.8,27.8,26.35,27.25
10-10-2019,26.05,28.45,25.4,25.95
11-10-2019,26.85,27.0,24.3,26.05
14-10-2019,26.15,26.95,25.25,25.95
15-10-2019,25.5,26.85,24.4,25.25
16-10-2019,25.0,25.9,22.55,24.0
17-10-2019,24.0,25.7,23.1,23.95
18-10-2019,25.4,25.4,23.0,24.0
22-10-2019,23.25,28.8,21.45,28.8
23-10-2019,32.0,33.9,28.6,30.15
24-10-2019,29.8,31.4,28.0,30.25
25-10-2019,30.85,30.85,26.75,27.95
27-10-2019,28.0,30.75,27.0,27.75
29-10-2019,29.7,31.8,27.2,30.45
30-10-2019,31.4,31.4,29.15,29.3
31-10-2019,27.6,29.95,27.6,28.5
01-11-2019,28.0,28.95,27.0,27.7
04-11-2019,27.7,32.8,24.85,28.2
05-11-2019,29.0,29.0,27.55,27.6
06-11-2019,27.6,29.5,26.8,27.95
07-11-2019,27.7,29.8,27.7,28.9
08-11-2019,29.0,29.8,28.85,29.45
11-11-2019,28.05,28.95,27.45,27.65
13-11-2019,27.65,30.2,27.5,29.4
14-11-2019,30.45,31.4,27.5,28.0
15-11-2019,27.1,28.95,27.1,27.95
18-11-2019,27.95,28.35,27.2,27.55
19-11-2019,29.0,29.0,26.8,27.4
20-11-2019,26.8,28.35,26.35,26.6
21-11-2019,26.6,27.65,25.3,26.9
22-11-2019,26.0,27.05,25.5,26.05
25-11-2019,28.5,28.5,25.3,26.25
26-11-2019,26.9,26.9,25.4,25.8
27-11-2019,27.85,27.85,24.0,24.25
28-11-2019,24.0,26.95,24.0,26.4
29-11-2019,26.45,26.45,24.6,25.45
02-12-2019,24.65,25.9,24.65,25.25
03-12-2019,24.5,25.85,24.0,25.1
04-12-2019,25.0,28.0,22.7,25.6
05-12-2019,25.25,27.5,22.2,27.0
06-12-2019,26.0,26.95,24.65,25.95
09-12-2019,25.9,26.0,24.45,25.05
10-12-2019,24.65,25.9,22.45,24.55
11-12-2019,24.5,26.0,22.5,23.2
12-12-2019,23.15,24.3,23.0,23.1
13-12-2019,23.95,23.95,22.5,22.8
16-12-2019,23.5,24.35,23.0,23.5
17-12-2019,23.5,23.5,22.55,23.0
18-12-2019,22.6,23.25,21.6,22.05
19-12-2019,22.85,23.5,22.05,22.8
20-12-2019,22.4,23.65,22.0,22.45
23-12-2019,24.45,24.45,22.05,22.95
24-12-2019,23.1,23.1,22.3,22.8
26-12-2019,22.2,22.8,21.8,22.1
27-12-2019,22.1,23.5,21.2,22.75
30-12-2019,23.1,23.7,20.4,21.45
31-12-2019,21.45,25.7,20.35,25.7
01-01-2020,29.5,30.8,28.05,30.8
02-01-2020,35.1,36.8,32.8,35.3
