date,open,high,low,close
22-07-2019,1005.0,1016.05,990.75,998.2
23-07-2019,991.5,1015.0,970.1,978.25
24-07-2019,978.25,986.05,950.0,952.0
25-07-2019,948.0,967.95,942.05,959.9
26-07-2019,970.0,990.0,955.05,986.3
29-07-2019,986.0,986.45,954.05,956.25
30-07-2019,956.25,968.7,931.9,938.25
31-07-2019,922.0,938.0,899.55,921.55
01-08-2019,921.0,941.05,902.25,924.6
02-08-2019,939.7,989.95,933.35,988.0
05-08-2019,989.0,1000.0,944.95,955.1
06-08-2019,941.0,999.0,941.0,993.5
07-08-2019,980.25,1019.0,980.25,1009.4
08-08-2019,1009.4,1019.75,1005.1,1009.45
09-08-2019,1014.6,1044.9,1003.4,1025.1
13-08-2019,1020.0,1025.0,985.15,991.35
14-08-2019,976.0,1000.85,976.0,989.9
16-08-2019,975.5,1006.45,960.0,998.4
19-08-2019,1000.0,1002.0,978.0,987.6
20-08-2019,990.0,993.9,951.05,956.5
21-08-2019,964.95,965.15,942.0,950.45
22-08-2019,957.85,957.85,921.25,933.95
23-08-2019,927.15,940.75,909.0,914.8
26-08-2019,921.0,938.95,901.0,919.1
27-08-2019,927.9,951.0,920.0,938.7
28-08-2019,943.0,945.0,917.8,930.4
29-08-2019,924.2,938.45,908.0,912.8
30-08-2019,910.0,934.95,896.05,900.15
03-09-2019,905.45,927.15,890.0,902.45
04-09-2019,897.15,904.9,885.1,896.0
05-09-2019,890.7,899.95,865.0,872.75
06-09-2019,875.0,885.0,861.25,869.15
09-09-2019,864.95,873.35,841.0,846.95
11-09-2019,846.95,865.0,842.75,849.95
12-09-2019,846.0,856.8,845.0,848.0
13-09-2019,849.0,858.0,836.0,840.05
16-09-2019,845.35,856.65,839.0,849.9
17-09-2019,854.3,854.35,819.0,826.4
18-09-2019,825.05,831.7,791.6,799.95
19-09-2019,800.0,804.4,750.1,756.7
20-09-2019,771.1,815.0,759.75,793.15
23-09-2019,820.0,832.0,782.0,798.85
24-09-2019,806.4,851.0,790.0,837.95
25-09-2019,840.5,846.7,790.05,798.3
26-09-2019,798.9,873.75,788.5,859.15
27-09-2019,859.0,859.0,808.55,816.1
30-09-2019,816.0,872.0,807.1,822.6
01-10-2019,820.3,820.3,796.1,800.15
03-10-2019,807.5,814.8,792.0,794.3
04-10-2019,797.5,803.15,791.55,795.9
07-10-2019,791.6,794.5,776.85,779.8
09-10-2019,779.85,785.95,763.6,771.5
10-10-2019,775.9,794.7,775.9,781.85
11-10-2019,784.9,794.9,779.95,783.0
14-10-2019,780.0,820.0,780.0,810.45
15-10-2019,808.65,816.0,799.25,808.8
16-10-2019,814.9,819.95,802.0,810.95
17-10-2019,810.55,815.0,797.75,807.35
18-10-2019,809.6,832.0,807.65,817.15
22-10-2019,815.0,838.05,796.8,804.5
23-10-2019,805.0,865.25,798.8,810.5
24-10-2019,810.0,827.7,805.35,810.4
25-10-2019,820.0,838.8,806.1,808.1
27-10-2019,801.1,823.0,801.1,814.4
29-10-2019,819.4,831.95,808.0,812.85
30-10-2019,819.0,822.0,808.5,814.35
31-10-2019,817.6,819.0,806.25,809.8
01-11-2019,810.15,825.3,808.5,814.3
04-11-2019,815.2,844.0,807.0,812.75
05-11-2019,818.0,844.0,800.5,823.35
06-11-2019,827.85,838.45,819.95,821.15
07-11-2019,821.55,829.0,815.0,825.2
08-11-2019,826.0,837.0,816.2,820.05
11-11-2019,825.0,830.0,815.5,822.9
13-11-2019,825.0,826.5,815.85,821.6
14-11-2019,824.0,841.7,817.9,829.85
15-11-2019,830.0,838.5,827.7,829.8
18-11-2019,834.0,840.0,828.0,831.6
19-11-2019,833.0,855.0,833.0,843.2
20-11-2019,850.0,852.5,838.1,841.0
21-11-2019,836.0,855.0,836.0,852.2
22-11-2019,855.0,885.35,855.0,867.8
25-11-2019,870.3,883.1,865.0,871.55
26-11-2019,874.75,877.35,865.0,868.9
27-11-2019,870.0,897.7,868.2,882.25
28-11-2019,887.2,888.0,868.0,875.55
29-11-2019,880.05,896.5,870.25,880.9
02-12-2019,885.9,891.05,868.0,870.55
03-12-2019,873.35,877.0,855.25,860.95
04-12-2019,859.95,875.0,847.0,857.9
05-12-2019,860.8,863.6,842.0,845.45
06-12-2019,842.1,855.45,839.95,845.75
09-12-2019,844.45,845.7,830.0,835.1
10-12-2019,841.5,845.35,828.0,829.8
11-12-2019,825.4,835.0,811.0,828.15
12-12-2019,828.15,829.45,812.4,814.8
13-12-2019,815.25,826.5,797.0,811.85
16-12-2019,808.4,818.5,801.0,802.75
17-12-2019,804.1,832.75,800.0,828.8
18-12-2019,832.35,832.35,805.0,809.45
19-12-2019,810.0,829.8,807.0,809.9
20-12-2019,807.05,815.0,801.0,803.3
23-12-2019,805.4,815.0,792.0,798.9
24-12-2019,807.9,807.9,792.0,795.65
26-12-2019,796.1,804.75,793.0,795.75
27-12-2019,791.05,799.0,787.5,790.8
30-12-2019,790.0,800.0,771.7,777.85
31-12-2019,777.3,811.0,773.3,800.3
01-01-2020,810.0,814.0,791.25,805.0
02-01-2020,804.0,832.0,800.1,820.0
03-01-2020,820.0,830.0,801.0,803.75
06-01-2020,803.75,805.4,781.3,788.95
07-01-2020,790.0,803.95,780.0,794.75
08-01-2020,795.0,822.4,784.4,805.6
09-01-2020,810.0,823.15,799.0,802.65
10-01-2020,805.55,819.9,801.65,805.5
13-01-2020,810.0,815.0,802.55,811.35
14-01-2020,818.7,859.0,818.15,833.6
15-01-2020,834.95,853.0,826.8,833.85
16-01-2020,835.5,877.0,835.5,860.2
17-01-2020,860.0,884.05,853.7,867.35
20-01-2020,872.45,877.05,850.05,854.8
21-01-2020,855.0,860.35,835.25,852.0
22-01-2020,855.85,870.0,840.0,846.55
23-01-2020,848.0,866.95,848.0,856.8
24-01-2020,858.55,872.0,847.6,865.95
27-01-2020,865.95,873.0,856.55,861.1
28-01-2020,861.3,866.8,850.0,860.05
29-01-2020,865.0,919.0,860.05,886.65
30-01-2020,892.0,898.0,872.0,877.8
31-01-2020,885.0,895.5,871.45,873.55
01-02-2020,872.0,894.95,838.0,848.1
03-02-2020,850.0,870.9,844.45,853.0
04-02-2020,855.4,898.7,855.4,876.15
05-02-2020,876.2,904.75,875.1,885.25
06-02-2020,887.9,899.0,880.0,892.3
07-02-2020,882.1,904.0,881.85,888.3
10-02-2020,886.0,916.4,885.05,902.3
11-02-2020,908.0,908.15,883.0,898.15
12-02-2020,900.0,900.0,888.25,891.55
13-02-2020,890.0,897.0,871.25,874.35
14-02-2020,875.0,878.1,850.05,852.8
17-02-2020,864.0,873.05,855.1,864.8
18-02-2020,860.0,861.7,837.0,840.1
19-02-2020,850.1,890.6,850.1,867.7
20-02-2020,869.4,888.8,862.3,869.05
24-02-2020,869.0,869.9,828.75,837.95
25-02-2020,842.45,849.7,810.55,815.65
26-02-2020,805.0,825.0,800.0,802.3
27-02-2020,801.0,812.55,794.45,799.0
28-02-2020,790.0,799.0,765.0,782.1
02-03-2020,799.0,808.85,751.0,763.35
03-03-2020,778.6,778.6,740.3,750.7
04-03-2020,757.55,763.15,711.8,728.85
05-03-2020,730.25,749.0,723.05,745.75
06-03-2020,720.0,749.95,712.05,744.7
09-03-2020,741.5,752.6,704.8,744.4
11-03-2020,744.4,759.15,720.2,726.85
12-03-2020,690.2,714.7,608.85,637.85
13-03-2020,542.0,669.95,542.0,623.6
16-03-2020,610.0,644.8,575.0,584.6
17-03-2020,585.2,611.95,538.35,547.6
18-03-2020,548.05,582.6,520.05,525.85
19-03-2020,505.0,519.4,484.45,487.55
20-03-2020,488.1,520.0,488.1,511.1
23-03-2020,488.0,505.0,408.9,408.9
24-03-2020,412.0,449.75,402.7,432.35
25-03-2020,410.0,453.0,410.0,442.3
26-03-2020,448.0,486.5,439.95,486.5
27-03-2020,525.0,535.15,489.1,503.75
30-03-2020,503.75,540.0,455.5,499.9
31-03-2020,549.7,549.7,476.05,490.6
01-04-2020,490.0,500.8,452.1,457.4
03-04-2020,460.05,468.5,415.55,422.3
07-04-2020,428.25,464.5,428.25,463.85
08-04-2020,463.85,503.0,455.15,462.95
09-04-2020,479.8,488.15,465.05,480.95
13-04-2020,481.1,509.0,472.35,494.75
15-04-2020,506.4,560.0,506.25,536.75
16-04-2020,550.0,569.9,526.55,533.9
17-04-2020,553.0,553.0,532.9,540.35
20-04-2020,546.0,555.0,538.15,540.05
21-04-2020,538.15,548.0,525.7,534.35
22-04-2020,540.0,545.25,523.7,525.2
23-04-2020,532.0,536.8,525.0,532.2
24-04-2020,530.0,533.65,521.0,521.4
27-04-2020,523.0,545.95,523.0,534.35
28-04-2020,537.95,544.75,523.35,528.5
29-04-2020,520.3,544.3,517.7,521.35
30-04-2020,525.6,531.7,520.1,521.65
04-05-2020,506.0,531.65,506.0,510.55
05-05-2020,519.7,526.0,507.0,507.4
06-05-2020,505.3,521.4,505.3,513.6
07-05-2020,513.8,514.95,505.5,509.95
08-05-2020,516.5,521.3,502.0,504.95
11-05-2020,511.1,514.5,503.5,505.1
12-05-2020,504.0,509.7,497.15,505.75
13-05-2020,516.7,520.75,505.55,508.8
14-05-2020,502.75,510.0,497.05,500.05
15-05-2020,503.0,503.6,497.0,500.4
18-05-2020,500.4,502.0,490.0,494.6
19-05-2020,497.05,500.0,488.0,491.65
20-05-2020,494.95,498.4,474.8,485.35
21-05-2020,485.35,509.9,479.0,485.8
22-05-2020,490.0,494.0,479.0,486.45
26-05-2020,508.85,525.45,490.0,507.2
27-05-2020,510.85,546.55,510.85,527.95
28-05-2020,532.0,575.0,530.0,560.9
29-05-2020,559.8,577.5,550.3,554.85
01-06-2020,565.0,581.0,555.0,561.7
02-06-2020,567.5,571.95,557.8,565.45
03-06-2020,570.0,586.75,558.05,565.85
04-06-2020,560.0,577.35,552.05,562.6
05-06-2020,570.05,571.95,560.05,567.65
08-06-2020,570.0,578.0,561.55,567.05
09-06-2020,560.0,572.0,560.0,564.8
10-06-2020,561.0,568.0,561.0,564.95
11-06-2020,565.0,578.05,560.55,565.5
12-06-2020,550.55,569.0,550.55,564.35
15-06-2020,559.0,569.2,549.5,559.65
16-06-2020,575.0,582.25,563.0,567.45
17-06-2020,566.95,575.0,562.15,569.85
18-06-2020,570.3,584.0,565.05,574.35
19-06-2020,575.0,605.7,574.35,599.65
22-06-2020,600.05,604.5,585.2,591.75
23-06-2020,595.85,679.75,595.0,665.7
24-06-2020,662.0,719.0,659.8,689.45
25-06-2020,670.3,720.0,670.3,708.95
26-06-2020,710.0,715.8,691.05,700.0
29-06-2020,702.0,717.0,696.0,699.6
30-06-2020,708.65,708.65,663.5,673.3
01-07-2020,677.85,700.65,670.9,697.3
02-07-2020,700.0,708.5,685.0,703.65
03-07-2020,704.8,739.85,691.1,715.85
06-07-2020,725.85,731.95,711.95,718.6
07-07-2020,720.45,725.0,691.5,719.85
08-07-2020,718.0,724.95,701.0,710.65
09-07-2020,702.1,710.0,696.0,698.7
10-07-2020,708.0,719.0,693.0,699.35
13-07-2020,700.0,708.0,691.4,697.45
14-07-2020,695.0,700.0,681.2,698.75
15-07-2020,702.0,705.0,692.4,702.35
16-07-2020,705.8,705.8,685.0,690.0
17-07-2020,692.0,711.7,690.0,707.05
20-07-2020,707.05,748.0,706.5,716.6
21-07-2020,722.4,728.0,693.45,702.6
22-07-2020,692.0,735.0,692.0,726.65
23-07-2020,730.0,753.0,712.25,720.45
24-07-2020,719.45,735.35,702.0,708.95
27-07-2020,708.0,720.85,700.0,709.25
28-07-2020,715.0,729.0,710.55,723.05
29-07-2020,724.0,743.95,716.15,718.75
30-07-2020,724.0,751.0,719.5,748.2
31-07-2020,754.7,774.75,752.0,760.65
03-08-2020,767.9,780.0,745.95,750.9
04-08-2020,754.0,794.8,754.0,783.6
05-08-2020,790.0,796.0,768.25,772.35
06-08-2020,778.85,809.0,772.05,787.7
07-08-2020,820.0,825.0,752.25,763.9
10-08-2020,793.9,793.9,770.1,780.05
11-08-2020,784.95,794.2,771.35,773.5
12-08-2020,778.6,790.0,775.9,787.8
13-08-2020,790.0,804.35,786.4,791.65
14-08-2020,798.6,798.6,775.0,778.8
17-08-2020,787.0,795.0,757.2,763.85
18-08-2020,769.8,791.0,764.0,788.9
19-08-2020,794.0,794.0,777.05,780.7
20-08-2020,775.5,785.85,762.45,770.2
21-08-2020,777.0,787.9,771.15,774.25
24-08-2020,777.8,784.0,768.0,770.35
25-08-2020,770.0,770.35,750.95,752.75
26-08-2020,760.0,762.95,736.0,739.55
27-08-2020,740.0,760.0,738.0,740.3
28-08-2020,742.0,756.0,739.0,749.55
31-08-2020,749.55,756.95,732.7,749.75
01-09-2020,753.5,775.0,652.3,757.45
02-09-2020,745.15,771.0,745.15,768.65
03-09-2020,771.0,772.0,751.05,756.45
04-09-2020,750.0,759.8,741.0,744.6
07-09-2020,748.3,748.3,710.5,719.95
08-09-2020,720.0,720.0,695.1,700.25
09-09-2020,687.2,698.65,680.0,683.0
10-09-2020,689.0,715.0,689.0,710.5
11-09-2020,705.0,715.5,692.15,713.25
14-09-2020,720.0,744.8,712.25,731.45
15-09-2020,755.0,784.4,745.45,768.05
16-09-2020,778.0,779.95,760.0,767.6
17-09-2020,771.45,797.0,770.05,792.75
18-09-2020,797.0,807.8,761.5,768.95
21-09-2020,774.0,789.05,751.15,756.4
22-09-2020,760.0,779.15,730.0,762.55
23-09-2020,765.0,774.55,736.0,750.15
24-09-2020,740.0,747.95,721.55,734.1
25-09-2020,737.8,758.65,730.55,752.35
28-09-2020,762.8,779.0,755.6,775.2
29-09-2020,779.2,792.0,765.85,786.2
30-09-2020,783.1,787.9,760.0,781.45
01-10-2020,781.45,796.0,768.05,772.2
05-10-2020,778.8,781.95,750.0,753.5
06-10-2020,763.0,778.9,740.0,769.25
07-10-2020,773.05,809.0,771.55,790.8
08-10-2020,795.8,809.0,758.0,764.9
09-10-2020,765.55,783.0,755.7,778.05
12-10-2020,778.05,795.45,773.0,792.35
13-10-2020,795.35,830.0,789.1,795.6
14-10-2020,784.0,809.7,784.0,802.2
15-10-2020,800.1,813.0,770.0,773.1
16-10-2020,779.9,794.0,770.0,789.6
19-10-2020,796.0,813.5,790.6,804.9
20-10-2020,812.25,835.7,805.25,814.85
21-10-2020,820.0,826.0,801.0,814.5
22-10-2020,819.0,843.0,810.0,834.05
23-10-2020,836.0,874.4,836.0,847.8
26-10-2020,853.8,862.05,818.2,827.4
27-10-2020,828.0,841.0,820.0,823.25
28-10-2020,829.6,845.0,819.65,825.0
29-10-2020,812.0,845.0,805.55,839.85
30-10-2020,838.0,857.8,822.7,842.85
02-11-2020,845.0,857.1,825.2,838.9
03-11-2020,850.0,855.2,834.35,839.95
04-11-2020,841.0,850.2,826.85,831.4
05-11-2020,847.0,883.9,830.5,872.65
06-11-2020,928.0,928.0,880.6,892.95
09-11-2020,894.95,925.0,869.0,904.95
10-11-2020,919.9,929.95,895.0,909.5
11-11-2020,896.0,913.0,895.05,906.3
12-11-2020,910.0,919.0,907.55,913.4
13-11-2020,916.0,955.0,906.6,949.45
14-11-2020,960.7,964.7,942.05,954.55
17-11-2020,960.0,989.9,960.0,982.0
18-11-2020,982.95,997.2,953.6,958.95
19-11-2020,962.55,990.0,945.0,977.55
20-11-2020,985.95,994.0,966.0,982.8
23-11-2020,990.0,1049.0,987.8,1031.4
24-11-2020,1047.75,1094.8,1045.0,1069.95
25-11-2020,1075.6,1086.0,1013.0,1028.5
26-11-2020,1038.0,1057.15,1002.0,1025.15
27-11-2020,1031.05,1111.0,1027.6,1101.7
01-12-2020,1105.7,1198.0,1096.25,1151.6
02-12-2020,1156.0,1175.0,1130.1,1165.8
03-12-2020,1171.65,1189.75,1153.2,1181.25
04-12-2020,1170.0,1194.9,1115.0,1123.55
07-12-2020,1133.9,1148.05,1108.15,1122.35
08-12-2020,1134.6,1138.95,1080.3,1087.1
09-12-2020,1088.7,1134.5,1073.0,1078.15
10-12-2020,1078.0,1078.0,1029.3,1037.3
11-12-2020,1037.5,1070.5,1028.75,1056.1
14-12-2020,1061.35,1079.15,1056.1,1067.35
15-12-2020,1067.35,1070.0,1042.7,1055.25
16-12-2020,1080.0,1109.0,1062.7,1086.6
17-12-2020,1088.0,1114.0,1075.0,1081.45
18-12-2020,1081.6,1086.5,1057.0,1074.7
21-12-2020,1079.1,1079.1,945.0,970.1
22-12-2020,1048.0,1048.0,968.0,1013.65
23-12-2020,1022.9,1053.95,1007.0,1039.7
24-12-2020,1044.9,1063.0,1015.0,1026.3
28-12-2020,1054.5,1094.6,1032.55,1054.7
29-12-2020,1064.0,1080.0,1051.05,1069.55
30-12-2020,1060.3,1090.0,1035.1,1077.75
31-12-2020,1087.0,1095.0,1065.2,1079.75
01-01-2021,1083.9,1098.5,1061.0,1094.5
04-01-2021,1106.9,1143.3,1100.05,1137.25
05-01-2021,1115.0,1133.0,1110.1,1118.5
06-01-2021,1124.0,1210.0,1117.0,1171.5
07-01-2021,1180.9,1212.0,1151.95,1168.35
08-01-2021,1177.8,1229.8,1170.05,1204.05
11-01-2021,1210.0,1219.0,1161.0,1185.35
12-01-2021,1185.2,1197.7,1170.05,1185.45
13-01-2021,1198.5,1198.5,1153.0,1170.85
14-01-2021,1158.0,1184.45,1158.0,1178.95
15-01-2021,1170.0,1179.85,1125.1,1139.45
18-01-2021,1146.3,1149.0,1081.0,1124.35
19-01-2021,1130.0,1150.0,1115.55,1138.95
20-01-2021,1147.85,1179.0,1125.45,1172.05
21-01-2021,1180.0,1185.0,1144.0,1149.65
22-01-2021,1159.4,1166.05,1125.0,1155.05
25-01-2021,1167.0,1180.45,1139.3,1149.85
27-01-2021,1132.85,1165.8,1115.5,1157.0
28-01-2021,1135.0,1155.65,1125.55,1140.85
29-01-2021,1156.6,1170.0,1132.1,1154.95
01-02-2021,1160.75,1223.0,1135.6,1219.3
02-02-2021,1230.0,1270.8,1204.0,1258.0
03-02-2021,1266.65,1275.25,1240.05,1244.0
04-02-2021,1254.0,1274.1,1241.15,1268.0
05-02-2021,1265.0,1304.85,1206.0,1240.05
08-02-2021,1245.0,1340.0,1245.0,1332.65
09-02-2021,1344.9,1352.0,1303.55,1348.8
10-02-2021,1354.0,1370.65,1305.6,1365.2
11-02-2021,1366.0,1400.0,1352.8,1398.15
12-02-2021,1408.65,1500.0,1384.0,1481.45
15-02-2021,1488.9,1488.9,1426.85,1474.85
16-02-2021,1446.95,1497.0,1368.05,1444.8
17-02-2021,1444.95,1476.0,1405.0,1455.3
18-02-2021,1470.0,1510.0,1437.8,1475.65
19-02-2021,1476.0,1494.9,1466.6,1476.3
22-02-2021,1484.0,1508.35,1392.8,1425.75
23-02-2021,1431.1,1494.5,1431.1,1448.35
24-02-2021,1467.0,1472.95,1365.6,1449.6
25-02-2021,1452.0,1485.0,1431.95,1444.45
26-02-2021,1416.0,1574.0,1415.55,1436.15
01-03-2021,1438.0,1501.0,1423.3,1469.1
02-03-2021,1489.9,1510.0,1460.3,1493.0
03-03-2021,1515.0,1539.0,1494.05,1502.45
04-03-2021,1498.7,1509.0,1480.0,1487.85
05-03-2021,1492.0,1514.95,1467.0,1474.95
08-03-2021,1482.6,1494.9,1442.0,1449.1
09-03-2021,1462.0,1479.45,1441.0,1451.55
10-03-2021,1459.8,1475.25,1452.9,1470.3
12-03-2021,1475.0,1504.9,1470.0,1474.6
15-03-2021,1513.0,1513.0,1445.2,1472.35
16-03-2021,1472.35,1570.0,1470.9,1523.15
17-03-2021,1650.0,1689.75,1528.6,1558.6
18-03-2021,1562.4,1589.0,1515.25,1572.5
19-03-2021,1564.0,1589.8,1520.8,1575.1
22-03-2021,1590.9,1600.0,1565.0,1583.9
23-03-2021,1592.2,1607.9,1545.05,1563.0
24-03-2021,1577.9,1653.0,1549.4,1560.4
25-03-2021,1582.0,1593.25,1500.0,1516.8
26-03-2021,1559.95,1580.0,1520.0,1551.45
30-03-2021,1574.0,1605.9,1537.15,1584.0
31-03-2021,1600.0,1600.05,1548.0,1589.0
01-04-2021,1598.0,1599.9,1550.0,1560.35
05-04-2021,1583.95,1583.95,1525.0,1536.9
06-04-2021,1540.0,1576.0,1503.9,1562.4
07-04-2021,1563.0,1573.85,1541.05,1549.0
08-04-2021,1564.5,1572.0,1541.0,1559.15
09-04-2021,1575.0,1594.95,1527.0,1556.0
12-04-2021,1540.0,1540.0,1438.9,1479.75
13-04-2021,1481.0,1558.0,1479.45,1541.1
15-04-2021,1555.0,1600.0,1542.0,1578.25
16-04-2021,1593.0,1600.0,1538.1,1559.95
19-04-2021,1530.0,1530.0,1488.0,1503.5
20-04-2021,1525.0,1564.75,1428.0,1447.35
22-04-2021,1465.0,1499.85,1456.05,1478.95
23-04-2021,1450.55,1494.2,1405.1,1424.4
26-04-2021,1435.0,1477.6,1434.9,1471.15
27-04-2021,1480.0,1547.0,1474.7,1529.8
28-04-2021,1532.5,1548.7,1507.45,1510.3
29-04-2021,1530.0,1543.9,1520.05,1537.5
30-04-2021,1544.95,1564.0,1480.8,1506.35
03-05-2021,1534.0,1599.25,1502.95,1546.45
