date,open,high,low,close
22-07-2019,96.55,100.4,95.6,96.3
23-07-2019,96.4,101.4,96.4,97.8
24-07-2019,100.3,100.4,95.55,96.4
25-07-2019,96.75,97.7,95.0,95.25
26-07-2019,96.15,97.5,95.05,96.5
29-07-2019,96.95,96.95,94.8,95.25
30-07-2019,95.45,95.45,87.25,88.75
31-07-2019,88.85,89.45,81.65,87.5
01-08-2019,85.8,88.5,85.5,87.2
02-08-2019,88.5,90.0,84.2,85.25
05-08-2019,83.5,85.0,81.0,81.45
06-08-2019,80.0,84.6,80.0,83.8
07-08-2019,83.7,84.65,83.0,83.15
08-08-2019,83.0,83.75,80.5,82.15
09-08-2019,82.5,84.5,81.9,83.1
13-08-2019,84.0,84.0,77.8,78.15
14-08-2019,78.5,84.0,76.5,80.45
16-08-2019,78.95,82.45,77.6,80.7
19-08-2019,81.0,84.6,80.2,81.95
20-08-2019,82.8,84.5,81.7,82.85
21-08-2019,82.85,83.3,77.45,77.9
22-08-2019,77.7,78.5,72.0,72.7
23-08-2019,72.2,73.25,69.25,72.9
26-08-2019,73.6,74.5,70.7,72.5
27-08-2019,72.5,76.55,72.5,75.3
28-08-2019,75.5,77.45,74.1,76.1
29-08-2019,76.9,78.8,73.5,75.1
30-08-2019,75.9,77.7,74.95,76.95
03-09-2019,74.5,77.45,74.4,75.15
04-09-2019,76.15,77.15,74.4,76.65
05-09-2019,77.0,77.8,74.65,75.4
06-09-2019,75.65,76.85,75.05,76.3
09-09-2019,76.05,78.3,75.55,77.5
11-09-2019,78.3,93.0,77.6,92.75
12-09-2019,92.9,93.7,86.0,86.95
13-09-2019,87.85,89.1,83.05,85.25
16-09-2019,84.95,89.95,83.6,88.8
17-09-2019,89.4,95.25,86.8,87.25
18-09-2019,88.05,90.05,86.6,89.05
19-09-2019,89.55,89.95,85.25,88.15
20-09-2019,89.6,91.75,88.0,89.05
23-09-2019,90.0,91.2,88.0,89.0
24-09-2019,89.7,92.0,88.6,89.25
25-09-2019,89.25,94.5,89.0,90.6
26-09-2019,91.3,95.9,89.45,93.0
27-09-2019,93.65,94.55,91.55,92.5
30-09-2019,93.0,93.0,87.0,89.2
01-10-2019,89.7,92.35,88.0,89.8
03-10-2019,89.45,93.45,88.0,91.05
04-10-2019,92.25,93.4,90.0,90.55
07-10-2019,91.0,91.7,89.4,89.95
09-10-2019,90.35,90.85,86.1,87.7
10-10-2019,88.0,88.95,86.75,87.85
11-10-2019,88.0,89.5,86.45,87.2
14-10-2019,87.65,90.4,87.65,88.05
15-10-2019,88.9,89.2,86.6,87.5
16-10-2019,87.0,88.55,86.0,86.9
17-10-2019,87.6,87.6,74.65,86.35
18-10-2019,87.05,88.15,86.4,87.35
22-10-2019,86.8,91.0,86.8,89.3
