date,open,high,low,close
22-07-2019,87.0,90.0,85.35,87.05
23-07-2019,87.05,89.9,87.05,89.3
24-07-2019,89.0,91.65,89.0,90.0
25-07-2019,88.55,90.7,87.1,87.95
26-07-2019,88.0,90.0,86.3,88.45
29-07-2019,88.5,89.4,86.5,87.15
30-07-2019,86.1,88.35,84.1,85.1
31-07-2019,84.0,87.6,82.0,86.3
01-08-2019,84.25,87.0,84.25,86.05
02-08-2019,84.2,87.45,84.0,86.8
05-08-2019,84.0,86.0,81.4,82.5
06-08-2019,81.0,83.8,80.1,82.0
07-08-2019,83.35,83.35,81.25,81.5
08-08-2019,81.95,81.95,80.1,80.95
09-08-2019,81.25,92.35,81.1,90.2
13-08-2019,87.8,91.5,85.25,86.1
14-08-2019,88.75,89.0,83.65,87.5
16-08-2019,84.25,86.0,83.55,84.6
19-08-2019,84.6,86.9,83.2,85.9
20-08-2019,85.8,85.8,82.15,83.5
21-08-2019,84.9,85.35,81.6,81.95
22-08-2019,81.95,82.65,77.6,77.85
23-08-2019,78.7,80.45,76.2,79.65
26-08-2019,80.45,83.25,80.1,82.7
27-08-2019,82.95,85.95,81.75,83.2
28-08-2019,83.05,85.5,80.0,80.9
29-08-2019,81.9,83.4,79.15,80.0
30-08-2019,80.25,81.5,78.25,78.9
03-09-2019,78.8,79.9,77.2,77.95
04-09-2019,77.95,80.4,77.6,79.7
05-09-2019,79.55,82.1,79.55,80.5
06-09-2019,80.55,83.35,80.4,81.7
09-09-2019,83.6,89.25,81.25,87.8
11-09-2019,88.6,93.6,88.25,92.6
12-09-2019,94.5,95.5,90.6,91.8
13-09-2019,92.4,98.8,90.5,97.35
16-09-2019,95.85,98.7,94.55,96.5
17-09-2019,95.95,96.9,90.5,91.25
18-09-2019,91.2,92.85,89.25,91.15
19-09-2019,92.1,92.1,86.8,88.1
20-09-2019,88.95,94.6,86.0,91.45
23-09-2019,93.4,97.75,92.5,94.65
24-09-2019,94.95,110.5,94.05,107.65
25-09-2019,108.5,112.8,103.5,105.9
26-09-2019,106.05,107.0,101.85,103.3
27-09-2019,103.3,109.0,101.05,104.25
30-09-2019,104.25,104.3,96.6,97.7
01-10-2019,102.1,104.65,98.25,99.2
03-10-2019,98.8,98.8,95.0,95.45
04-10-2019,95.5,97.65,91.75,92.4
07-10-2019,92.05,93.8,91.1,91.5
09-10-2019,92.55,92.65,88.2,89.75
10-10-2019,90.1,95.35,88.8,91.55
11-10-2019,92.2,92.95,89.1,89.45
14-10-2019,90.2,91.5,88.5,89.2
15-10-2019,89.85,90.75,88.5,89.5
16-10-2019,90.05,91.95,89.1,89.55
17-10-2019,93.0,95.0,91.6,92.1
18-10-2019,92.7,93.8,91.0,92.45
22-10-2019,92.5,95.35,90.5,93.95
23-10-2019,94.0,102.5,93.15,99.75
24-10-2019,99.7,104.0,99.0,100.6
25-10-2019,100.55,104.35,99.85,102.3
27-10-2019,103.2,103.7,102.05,102.65
29-10-2019,102.9,104.8,102.0,103.95
30-10-2019,105.0,108.1,103.9,104.95
31-10-2019,105.75,110.7,103.7,106.45
01-11-2019,107.0,108.7,104.25,105.45
04-11-2019,106.25,114.0,105.0,111.7
