date,open,high,low,close
27-04-2021,17.0,17.8,16.9,17.8
28-04-2021,18.7,18.7,18.7,18.7
29-04-2021,19.6,19.6,19.6,19.6
30-04-2021,20.6,20.6,20.6,20.6
03-05-2021,21.6,21.6,21.6,21.6
04-05-2021,22.7,22.7,22.7,22.7
05-05-2021,23.8,23.8,23.8,23.8
06-05-2021,25.0,25.0,25.0,25.0
07-05-2021,26.2,26.2,24.0,26.2
10-05-2021,27.5,27.5,27.5,27.5
11-05-2021,30.0,30.25,30.0,30.25
12-05-2021,33.25,33.25,33.25,33.25
14-05-2021,33.95,35.9,29.95,30.95
17-05-2021,31.0,32.4,28.65,30.5
18-05-2021,31.9,31.9,30.0,30.2
19-05-2021,30.95,31.2,28.9,30.85
20-05-2021,30.5,31.5,29.9,31.1
21-05-2021,31.5,34.2,30.15,34.05
24-05-2021,34.85,34.85,32.25,33.9
25-05-2021,34.5,34.95,32.5,33.3
26-05-2021,33.05,34.25,32.95,33.6
27-05-2021,33.75,33.85,32.25,32.55
28-05-2021,32.05,32.85,31.4,31.6
31-05-2021,31.6,32.5,30.6,31.35
01-06-2021,31.5,31.5,30.5,30.8
02-06-2021,30.9,31.5,30.45,30.55
03-06-2021,30.95,32.05,30.2,30.55
04-06-2021,30.95,32.75,30.45,32.15
07-06-2021,33.0,34.15,32.5,33.8
08-06-2021,34.25,40.55,34.25,40.55
09-06-2021,42.75,48.65,42.1,43.7
10-06-2021,43.45,44.0,39.05,39.95
11-06-2021,41.05,46.5,40.5,42.6
14-06-2021,44.0,44.0,41.05,41.75
15-06-2021,42.2,43.65,41.45,42.8
16-06-2021,43.0,43.15,41.0,41.35
17-06-2021,40.35,42.45,40.25,40.4
18-06-2021,40.0,41.0,38.6,40.1
21-06-2021,39.0,42.5,37.8,42.1
22-06-2021,43.75,45.0,42.55,42.85
23-06-2021,43.85,45.7,40.75,41.5
24-06-2021,42.95,43.9,40.3,42.6
25-06-2021,42.45,42.45,40.6,40.9
28-06-2021,40.9,41.75,39.8,40.5
29-06-2021,40.5,41.55,40.15,40.7
30-06-2021,40.95,42.5,40.0,40.85
01-07-2021,41.45,42.5,41.0,41.7
02-07-2021,41.25,43.6,41.25,43.4
05-07-2021,43.85,45.0,40.55,42.75
06-07-2021,43.0,49.9,42.55,46.75
07-07-2021,47.0,54.45,45.1,51.35
08-07-2021,51.35,52.7,49.0,49.7
09-07-2021,50.2,51.85,49.55,49.9
12-07-2021,50.45,52.45,49.5,49.85
13-07-2021,50.7,50.8,49.0,49.45
14-07-2021,49.95,50.55,48.7,49.6
15-07-2021,49.5,49.5,47.5,47.9
16-07-2021,48.25,48.45,46.6,46.85
19-07-2021,47.7,49.2,47.5,48.1
20-07-2021,48.1,49.0,46.35,47.35
22-07-2021,47.35,53.25,47.35,51.85
23-07-2021,53.85,55.95,50.6,51.55
26-07-2021,51.0,52.05,49.0,49.45
27-07-2021,50.5,51.1,49.0,49.15
28-07-2021,49.5,50.8,48.6,49.55
29-07-2021,50.4,52.9,48.7,50.5
30-07-2021,50.85,50.9,49.25,49.45
02-08-2021,50.45,59.35,50.0,56.5
03-08-2021,56.75,59.9,55.0,56.35
04-08-2021,56.45,58.45,53.5,53.8
05-08-2021,54.25,54.45,51.9,52.4
06-08-2021,52.7,54.0,51.5,51.9
09-08-2021,52.25,57.1,52.25,54.65
10-08-2021,55.5,57.75,52.0,54.7
11-08-2021,55.8,56.5,52.55,54.5
12-08-2021,54.5,57.5,54.5,56.6
13-08-2021,59.05,65.6,56.15,57.25
16-08-2021,58.25,62.5,58.25,60.95
17-08-2021,62.5,68.7,57.55,65.05
18-08-2021,65.0,67.75,63.6,65.4
20-08-2021,62.5,71.8,62.5,67.95
23-08-2021,70.5,72.4,65.55,66.75
24-08-2021,65.55,67.5,64.25,67.2
25-08-2021,68.2,71.7,66.5,69.7
26-08-2021,69.7,72.5,68.4,69.25
27-08-2021,69.55,70.0,67.0,67.75
30-08-2021,67.75,69.65,67.3,67.65
31-08-2021,68.95,68.95,65.05,65.4
01-09-2021,67.0,67.0,63.5,66.25
02-09-2021,65.0,66.25,64.6,64.95
03-09-2021,66.0,66.0,64.0,64.25
06-09-2021,66.0,70.7,65.45,68.3
07-09-2021,69.7,69.7,66.95,67.05
08-09-2021,67.0,69.0,66.15,66.65
09-09-2021,65.85,67.25,65.5,65.8
13-09-2021,67.5,78.95,67.5,75.35
14-09-2021,75.3,76.9,71.1,72.05
15-09-2021,72.5,73.95,70.5,73.3
16-09-2021,72.1,78.95,71.7,75.15
17-09-2021,75.75,75.75,72.0,72.9
20-09-2021,71.6,73.85,70.6,72.25
21-09-2021,71.55,76.5,70.8,74.3
22-09-2021,75.0,78.5,74.05,76.65
23-09-2021,77.0,77.5,73.6,74.35
24-09-2021,74.5,76.25,72.5,72.95
27-09-2021,74.45,74.45,72.25,72.5
28-09-2021,73.0,77.5,72.5,74.45
29-09-2021,74.0,80.7,73.75,75.3
30-09-2021,76.65,77.2,75.0,76.0
01-10-2021,75.1,77.05,73.9,74.8
04-10-2021,76.5,76.5,73.9,74.25
05-10-2021,75.0,78.45,74.3,76.35
06-10-2021,76.8,87.25,75.9,80.75
07-10-2021,81.2,83.8,80.2,80.8
08-10-2021,80.8,84.7,80.2,81.1
11-10-2021,81.5,83.45,80.3,80.8
12-10-2021,80.8,81.35,79.0,79.4
13-10-2021,80.65,80.65,76.05,76.55
14-10-2021,77.25,79.0,75.6,77.55
18-10-2021,77.6,79.95,75.0,76.35
19-10-2021,77.4,78.0,72.5,73.85
20-10-2021,72.0,78.0,70.5,73.85
21-10-2021,74.55,76.1,67.2,69.85
22-10-2021,68.75,75.65,68.75,73.6
25-10-2021,73.65,74.2,67.25,69.0
26-10-2021,67.75,72.25,67.5,69.65
27-10-2021,70.9,70.9,67.5,68.4
28-10-2021,69.0,69.0,65.65,66.3
29-10-2021,62.6,69.4,61.95,67.3
01-11-2021,69.0,73.3,68.15,71.65
02-11-2021,73.9,74.15,68.6,69.95
03-11-2021,72.0,73.4,70.55,71.0
04-11-2021,71.1,73.45,71.1,72.7
08-11-2021,73.45,73.45,71.0,72.6
09-11-2021,72.55,87.15,72.5,82.65
10-11-2021,81.6,82.0,78.05,79.05
11-11-2021,79.05,79.75,77.55,77.8
12-11-2021,77.8,78.85,76.25,76.85
15-11-2021,77.3,80.75,76.3,78.8
16-11-2021,79.6,80.35,78.1,79.7
17-11-2021,79.5,79.5,77.05,77.4
18-11-2021,77.5,79.55,74.75,76.95
22-11-2021,77.25,77.7,71.85,72.85
23-11-2021,72.0,76.7,71.65,75.65
24-11-2021,76.0,78.45,73.1,74.65
25-11-2021,74.2,75.3,72.75,73.3
26-11-2021,73.0,73.45,71.45,71.7
29-11-2021,72.75,75.85,71.5,71.9
30-11-2021,72.0,73.95,70.05,71.8
01-12-2021,71.75,73.65,70.55,72.45
02-12-2021,72.5,73.95,71.15,71.85
03-12-2021,71.5,75.45,71.5,72.4
06-12-2021,73.0,73.0,70.0,70.8
07-12-2021,71.9,72.25,71.0,71.85
08-12-2021,71.85,75.5,71.4,73.8
09-12-2021,74.35,79.0,72.85,75.1
10-12-2021,75.5,76.85,74.5,75.05
13-12-2021,76.0,77.45,73.7,74.3
14-12-2021,73.65,73.85,72.75,73.2
15-12-2021,73.55,73.75,71.0,71.65
16-12-2021,72.5,72.65,70.1,70.45
17-12-2021,70.25,72.65,69.0,70.35
20-12-2021,71.95,71.95,63.0,66.75
21-12-2021,68.0,70.7,68.0,69.25
22-12-2021,70.0,74.0,68.6,72.25
23-12-2021,73.5,74.45,71.95,73.9
24-12-2021,72.65,74.95,71.2,71.55
27-12-2021,71.45,73.2,70.85,72.5
28-12-2021,73.4,75.5,73.25,73.95
29-12-2021,73.95,74.0,71.8,72.6
30-12-2021,79.0,81.4,76.25,78.3
31-12-2021,78.5,80.65,76.5,78.4
03-01-2022,78.0,80.8,77.6,78.75
04-01-2022,79.75,81.8,77.75,79.1
05-01-2022,81.0,81.5,78.3,79.25
06-01-2022,79.25,90.35,77.5,86.55
07-01-2022,88.5,92.5,84.85,87.35
10-01-2022,88.7,96.0,87.85,92.15
11-01-2022,93.0,96.0,90.25,91.6
12-01-2022,92.6,93.55,89.0,89.25
13-01-2022,90.05,93.7,88.5,92.05
14-01-2022,91.95,95.0,89.6,92.55
17-01-2022,92.95,93.7,91.1,92.9
18-01-2022,93.2,100.0,90.3,92.2
19-01-2022,93.0,98.2,93.0,96.75
20-01-2022,97.5,102.45,97.0,98.2
21-01-2022,97.75,97.75,92.5,93.75
24-01-2022,91.95,94.35,86.4,88.65
25-01-2022,86.05,91.5,83.9,90.7
27-01-2022,89.0,92.65,87.6,89.75
28-01-2022,89.05,98.15,89.05,94.55
31-01-2022,97.2,100.0,92.75,94.95
01-02-2022,96.4,99.75,94.6,97.7
02-02-2022,99.4,99.95,96.65,97.5
03-02-2022,99.0,99.0,92.75,94.55
04-02-2022,94.5,96.4,91.0,91.75
07-02-2022,91.0,95.25,90.5,92.45
08-02-2022,92.75,93.7,90.1,91.55
09-02-2022,91.65,109.45,91.65,107.45
10-02-2022,107.45,112.8,103.4,104.55
11-02-2022,103.95,106.85,100.55,102.05
14-02-2022,101.2,101.45,93.0,93.85
15-02-2022,93.15,101.65,91.65,98.65
16-02-2022,99.0,102.1,96.6,98.55
17-02-2022,101.5,101.5,97.5,98.75
18-02-2022,97.75,103.55,96.6,97.7
21-02-2022,97.5,101.5,94.65,95.8
22-02-2022,93.5,93.65,90.5,91.15
23-02-2022,91.5,94.5,91.0,91.75
24-02-2022,86.8,88.75,82.75,84.45
25-02-2022,84.45,94.5,83.75,92.05
28-02-2022,91.0,95.0,89.5,94.4
02-03-2022,94.4,97.95,91.95,93.35
03-03-2022,97.0,97.4,91.25,92.95
04-03-2022,91.1,92.3,89.75,89.9
07-03-2022,88.2,92.25,87.3,89.1
08-03-2022,89.6,94.15,89.6,91.95
