date,open,high,low,close
22-07-2019,7.15,7.8,7.1,7.1
23-07-2019,6.75,7.35,6.75,6.8
24-07-2019,6.8,7.1,6.5,6.7
25-07-2019,6.6,7.0,6.6,7.0
26-07-2019,7.3,7.3,6.7,7.3
29-07-2019,7.6,7.6,6.95,7.0
30-07-2019,6.7,7.35,6.65,6.65
31-07-2019,6.65,6.7,6.65,6.65
01-08-2019,6.65,6.75,6.35,6.75
02-08-2019,6.75,6.75,6.45,6.45
05-08-2019,6.25,6.3,6.15,6.15
06-08-2019,6.15,6.45,6.0,6.05
07-08-2019,5.8,6.25,5.8,6.2
08-08-2019,6.2,6.5,6.2,6.5
09-08-2019,6.8,6.8,6.2,6.8
13-08-2019,6.8,7.1,6.8,7.1
14-08-2019,7.25,7.45,7.0,7.45
16-08-2019,7.45,7.8,7.1,7.8
19-08-2019,7.8,8.15,7.45,7.45
20-08-2019,7.45,7.8,7.1,7.7
21-08-2019,7.35,7.7,7.35,7.7
22-08-2019,7.75,7.8,7.35,7.45
23-08-2019,7.1,7.7,7.1,7.7
26-08-2019,8.0,8.0,7.35,7.45
27-08-2019,7.2,7.8,7.2,7.5
28-08-2019,7.15,7.45,7.15,7.15
29-08-2019,7.0,7.0,6.8,7.0
30-08-2019,6.75,6.75,6.65,6.7
03-09-2019,6.5,7.0,6.4,7.0
04-09-2019,7.0,7.0,6.65,6.65
05-09-2019,6.35,6.75,6.35,6.45
06-09-2019,6.45,6.45,6.15,6.15
09-09-2019,5.85,6.0,5.85,6.0
11-09-2019,6.0,6.0,5.7,6.0
12-09-2019,6.0,6.3,6.0,6.3
13-09-2019,6.3,6.6,6.1,6.3
16-09-2019,6.3,6.6,6.2,6.25
17-09-2019,5.95,6.55,5.95,6.5
18-09-2019,6.2,6.65,6.2,6.2
19-09-2019,5.5,6.0,5.5,5.9
20-09-2019,5.75,6.15,5.75,6.1
23-09-2019,6.2,6.4,5.85,6.2
24-09-2019,6.0,6.5,5.9,6.0
25-09-2019,6.25,6.25,5.7,5.8
26-09-2019,5.6,5.8,5.55,5.55
27-09-2019,5.55,5.7,5.4,5.7
30-09-2019,5.7,5.7,5.45,5.7
01-10-2019,5.45,5.9,5.45,5.75
03-10-2019,5.5,5.5,5.5,5.5
04-10-2019,5.5,5.7,5.25,5.25
07-10-2019,5.25,5.5,5.2,5.5
09-10-2019,5.5,5.5,5.25,5.5
10-10-2019,5.0,5.75,5.0,5.25
11-10-2019,5.0,5.5,4.8,5.25
14-10-2019,5.35,5.75,5.05,5.1
15-10-2019,4.85,5.05,4.6,4.9
16-10-2019,4.65,5.1,4.65,5.05
17-10-2019,4.9,5.55,4.9,5.45
18-10-2019,5.55,5.95,5.5,5.95
22-10-2019,6.15,6.5,6.15,6.5
23-10-2019,6.8,6.8,6.55,6.8
24-10-2019,7.05,7.1,6.8,7.1
25-10-2019,6.75,7.0,6.75,6.95
27-10-2019,6.7,7.25,6.7,7.25
29-10-2019,7.25,7.25,7.0,7.0
