date,open,high,low,close
22-07-2019,177.75,182.15,176.2,179.5
23-07-2019,180.8,182.9,179.05,180.2
24-07-2019,180.85,181.0,171.95,177.35
25-07-2019,177.0,179.85,174.8,176.35
26-07-2019,177.0,181.25,175.95,180.5
29-07-2019,180.0,182.3,176.25,179.45
30-07-2019,176.05,182.4,175.15,177.75
31-07-2019,177.8,179.35,169.75,178.15
01-08-2019,176.95,177.6,170.35,172.4
02-08-2019,171.5,172.6,162.7,171.8
05-08-2019,168.35,170.35,163.2,164.9
06-08-2019,164.0,169.8,162.9,168.25
07-08-2019,167.6,172.9,165.3,165.9
08-08-2019,166.9,172.7,166.1,171.8
09-08-2019,172.35,177.2,172.35,175.65
13-08-2019,175.2,179.0,172.3,173.75
14-08-2019,174.1,176.15,170.7,174.9
16-08-2019,174.9,179.8,172.6,177.65
19-08-2019,178.15,181.25,176.8,178.95
20-08-2019,178.0,178.5,173.25,177.3
21-08-2019,177.0,177.55,170.5,171.6
22-08-2019,168.8,168.9,137.65,144.45
23-08-2019,141.5,154.45,136.7,152.1
26-08-2019,156.0,161.0,147.2,159.6
27-08-2019,158.3,163.0,156.45,160.75
28-08-2019,160.8,165.8,158.65,164.2
29-08-2019,163.0,166.9,161.0,165.1
30-08-2019,166.5,169.2,161.35,168.15
03-09-2019,164.5,168.5,162.75,163.55
04-09-2019,163.3,166.25,157.45,163.95
05-09-2019,163.9,164.25,157.15,159.35
06-09-2019,159.5,159.55,148.2,154.25
09-09-2019,154.25,156.9,152.55,154.2
11-09-2019,154.75,164.3,153.4,160.4
12-09-2019,161.65,163.95,158.4,159.7
13-09-2019,159.35,168.0,156.05,166.05
16-09-2019,162.95,165.5,160.1,161.75
17-09-2019,162.0,163.65,154.3,155.6
18-09-2019,155.6,159.35,153.55,157.15
19-09-2019,157.0,157.5,153.3,155.4
20-09-2019,155.05,173.65,152.9,168.3
23-09-2019,172.0,174.15,165.25,167.7
24-09-2019,167.7,171.35,165.25,167.25
25-09-2019,166.8,167.45,152.5,155.75
26-09-2019,156.5,163.9,155.15,161.75
27-09-2019,161.0,161.9,156.75,158.35
30-09-2019,159.0,159.0,151.4,155.6
01-10-2019,156.0,157.95,132.55,144.2
03-10-2019,145.65,152.0,144.6,149.9
04-10-2019,151.4,153.2,145.6,147.35
07-10-2019,148.0,148.05,142.75,143.9
09-10-2019,143.9,149.75,138.35,147.75
10-10-2019,146.5,146.9,139.5,142.45
11-10-2019,142.5,146.9,140.75,145.6
14-10-2019,150.0,157.85,149.0,154.85
15-10-2019,154.5,159.4,152.0,156.15
16-10-2019,156.0,160.85,155.5,159.75
17-10-2019,157.55,164.75,156.7,163.85
18-10-2019,163.6,169.6,162.8,168.85
22-10-2019,170.0,183.0,169.35,178.2
23-10-2019,177.6,178.8,174.0,174.95
