date,open,high,low,close
30-12-2020,802.8,802.8,802.8,802.8
29-01-2021,810.1,810.1,810.1,810.1
02-02-2021,810.0,810.0,810.0,810.0
04-02-2021,810.0,810.0,810.0,810.0
12-02-2021,810.0,810.0,810.0,810.0
17-02-2021,810.0,810.0,810.0,810.0
19-02-2021,810.0,810.0,810.0,810.0
22-02-2021,811.0,971.9,811.0,971.9
25-02-2021,1049.8,1049.8,1049.8,1049.8
03-03-2021,852.4,852.4,852.4,852.4
09-03-2021,852.4,852.4,852.4,852.4
10-03-2021,852.4,852.4,852.4,852.4
19-03-2021,950.1,950.1,950.1,950.1
08-04-2021,865.2,865.2,865.0,865.0
13-04-2021,1034.8,1034.8,1034.8,1034.8
27-04-2021,1041.0,1041.0,1041.0,1041.0
29-04-2021,1059.8,1059.8,1059.8,1059.8
30-04-2021,1069.8,1069.8,1069.0,1069.0
24-05-2021,951.2,951.2,951.2,951.2
27-05-2021,950.2,950.2,950.2,950.2
31-05-2021,1125.5,1125.5,1125.5,1125.5
01-06-2021,1125.0,1125.0,1125.0,1125.0
01-07-2021,952.4,1125.0,952.4,1125.0
16-07-2021,1125.0,1125.0,1125.0,1125.0
08-09-2021,1115.0,1115.0,1115.0,1115.0
13-09-2021,1115.0,1115.0,1115.0,1115.0
07-10-2021,1115.0,1115.0,1115.0,1115.0
13-10-2021,1115.0,1115.0,1115.0,1115.0
11-11-2021,1115.0,1120.0,1115.0,1120.0
12-11-2021,1120.0,1120.0,1120.0,1120.0
15-11-2021,1120.0,1120.0,1120.0,1120.0
24-11-2021,1120.0,1120.0,1120.0,1120.0
25-11-2021,1120.0,1120.0,1120.0,1120.0
29-11-2021,1075.0,1090.0,1075.0,1090.0
30-11-2021,1190.0,1190.0,1190.0,1190.0
27-12-2021,1170.0,1170.0,1170.0,1170.0
09-05-2022,1013.8,1168.0,936.1,1168.0
10-05-2022,1168.0,1168.0,1168.0,1168.0
06-06-2022,1199.0,1199.0,1199.0,1199.0
07-06-2022,1210.0,1210.0,1210.0,1210.0
09-06-2022,1210.0,1210.0,1210.0,1210.0
10-06-2022,1210.0,1210.0,1210.0,1210.0
14-06-2022,1218.0,1218.0,1190.0,1190.0
11-07-2022,1190.0,1190.0,1190.0,1190.0
26-07-2022,1190.0,1190.0,1190.0,1190.0
10-08-2022,1200.0,1200.0,1200.0,1200.0
16-08-2022,1230.0,1230.0,1230.0,1230.0
17-08-2022,1245.0,1260.0,1245.0,1260.0
26-08-2022,1275.0,1275.0,1275.0,1275.0
14-09-2022,1265.0,1265.0,1265.0,1265.0
16-09-2022,1265.0,1265.0,1260.0,1263.19
23-09-2022,1240.11,1257.0,1240.11,1257.0
04-10-2022,1256.99,1257.0,1256.0,1256.94
11-10-2022,1256.94,1256.94,1256.94,1256.94
24-11-2022,1256.94,1256.94,1256.94,1256.94
28-11-2022,1345.0,1345.0,1345.0,1345.0
30-11-2022,1076.1,1076.1,1076.1,1076.1
22-12-2022,1151.0,1151.0,1151.0,1151.0
09-02-2023,1300.0,1300.0,1300.0,1300.0
24-04-2023,1267.5,1267.5,1267.5,1267.5
03-07-2023,1395.0,1395.0,1395.0,1395.0
18-12-2023,1530.0,1530.0,1530.0,1530.0
10-01-2024,1525.0,1530.0,1525.0,1530.0
20-01-2024,1345.3,1525.0,1345.3,1525.0
23-01-2024,1525.0,1525.0,1525.0,1525.0
15-02-2024,1346.0,1454.0,1346.0,1346.0
03-04-2024,1549.0,1549.0,1549.0,1549.0
29-04-2024,1549.0,1549.0,1525.2,1525.2
30-04-2024,1549.8,1549.8,1549.8,1549.8
02-05-2024,1554.04,1554.04,1554.04,1554.04
14-05-2024,1554.04,1554.04,1554.04,1554.04
19-06-2024,1555.2,1555.2,1555.2,1555.2
21-06-2024,1586.8,1586.8,1586.8,1586.8
