date,open,high,low,close
20-12-2023,1400.0,1434.0,1302.0,1326.05
21-12-2023,1272.0,1368.7,1225.6,1347.1
22-12-2023,1359.95,1367.15,1293.05,1307.0
26-12-2023,1314.1,1320.65,1275.05,1288.95
27-12-2023,1290.1,1333.95,1261.05,1276.45
28-12-2023,1285.0,1295.0,1262.1,1273.15
29-12-2023,1270.0,1273.0,1245.0,1250.8
01-01-2024,1250.8,1285.0,1245.55,1278.3
02-01-2024,1283.85,1292.7,1262.0,1281.9
03-01-2024,1280.0,1300.0,1271.0,1294.45
04-01-2024,1285.1,1315.7,1285.1,1311.9
05-01-2024,1310.05,1325.0,1310.0,1321.85
08-01-2024,1325.3,1328.0,1309.0,1311.75
09-01-2024,1320.0,1355.0,1311.0,1349.65
10-01-2024,1335.05,1368.25,1325.0,1336.4
11-01-2024,1340.05,1537.35,1338.1,1497.4
12-01-2024,1525.0,1568.0,1495.0,1521.3
15-01-2024,1540.35,1540.35,1472.1,1501.75
16-01-2024,1527.7,1527.7,1475.0,1486.35
17-01-2024,1459.95,1460.0,1420.0,1447.75
18-01-2024,1440.0,1455.9,1396.0,1425.2
19-01-2024,1427.0,1467.95,1420.8,1432.85
20-01-2024,1447.8,1447.8,1418.0,1424.95
23-01-2024,1433.0,1476.7,1399.9,1413.15
24-01-2024,1424.85,1434.75,1392.05,1419.5
25-01-2024,1424.95,1460.95,1402.1,1450.15
29-01-2024,1468.4,1485.6,1424.0,1447.0
30-01-2024,1445.0,1461.0,1386.35,1400.85
31-01-2024,1400.95,1424.9,1374.1,1404.55
01-02-2024,1403.0,1432.6,1403.0,1416.45
02-02-2024,1480.0,1480.0,1407.65,1414.15
05-02-2024,1414.15,1438.0,1408.0,1413.05
06-02-2024,1420.1,1454.0,1408.25,1438.45
07-02-2024,1450.0,1475.95,1436.0,1454.8
08-02-2024,1454.8,1535.3,1454.8,1506.65
09-02-2024,1529.6,1644.5,1529.6,1556.7
12-02-2024,1572.85,1589.95,1471.55,1511.3
13-02-2024,1530.0,1626.0,1515.25,1581.95
14-02-2024,1551.1,1658.7,1541.05,1548.85
15-02-2024,1559.5,1598.0,1540.15,1566.55
16-02-2024,1578.0,1590.0,1540.25,1568.2
19-02-2024,1545.2,1585.0,1545.15,1570.0
20-02-2024,1576.1,1587.5,1553.45,1576.55
21-02-2024,1580.0,1643.8,1502.0,1530.25
22-02-2024,1539.65,1545.2,1474.9,1524.0
23-02-2024,1520.0,1596.9,1518.9,1569.05
26-02-2024,1581.0,1613.0,1561.05,1607.05
27-02-2024,1607.05,1687.2,1577.05,1593.85
28-02-2024,1636.9,1638.95,1542.95,1559.05
29-02-2024,1563.0,1571.95,1508.5,1514.05
01-03-2024,1524.4,1540.4,1495.55,1502.3
02-03-2024,1512.6,1531.0,1490.0,1516.1
04-03-2024,1528.9,1528.9,1491.0,1500.05
05-03-2024,1515.65,1515.65,1425.0,1432.6
06-03-2024,1403.55,1441.55,1396.3,1420.4
07-03-2024,1438.0,1476.1,1423.9,1449.95
11-03-2024,1461.65,1464.0,1406.7,1453.35
