date,open,high,low,close
29-07-2020,1005.0,1008.47,1000.01,1007.6
30-07-2020,1007.1,1007.99,1005.5,1005.95
31-07-2020,1006.0,1007.0,1004.0,1004.22
03-08-2020,1004.25,1005.85,1003.0,1004.3
04-08-2020,1002.01,1005.49,1001.8,1003.86
05-08-2020,1003.0,1005.69,1002.65,1003.06
06-08-2020,1003.06,1005.98,1002.75,1004.0
07-08-2020,1004.0,1005.87,1002.6,1003.13
10-08-2020,1003.13,1005.0,1001.0,1002.0
11-08-2020,1002.0,1002.0,996.0,997.03
12-08-2020,997.9,997.9,995.13,997.02
13-08-2020,997.0,997.99,995.81,996.02
14-08-2020,997.0,997.0,994.0,994.78
17-08-2020,995.05,995.99,993.33,994.97
18-08-2020,995.0,996.0,992.01,994.99
19-08-2020,995.0,995.0,988.77,989.98
20-08-2020,990.0,990.0,986.2,987.04
21-08-2020,990.0,994.01,985.5,986.14
24-08-2020,986.14,986.14,980.0,980.17
25-08-2020,981.0,981.2,977.0,979.1
26-08-2020,979.1,983.48,975.45,981.11
27-08-2020,990.0,1006.0,977.5,978.56
28-08-2020,978.0,979.5,977.0,977.49
31-08-2020,996.0,996.0,976.5,979.19
01-09-2020,972.0,994.0,972.0,993.64
02-09-2020,990.1,994.79,990.0,994.45
03-09-2020,991.0,995.89,991.0,994.33
04-09-2020,994.33,1000.0,994.33,998.04
07-09-2020,998.04,999.0,996.25,998.48
08-09-2020,998.0,998.49,992.75,992.95
09-09-2020,993.0,994.63,990.05,992.62
10-09-2020,990.74,994.87,990.74,993.01
11-09-2020,992.14,995.49,992.14,994.99
14-09-2020,998.0,998.0,992.0,992.99
15-09-2020,993.4,995.69,993.0,993.69
16-09-2020,994.0,995.9,993.1,993.88
17-09-2020,993.88,994.5,992.15,994.37
18-09-2020,993.05,994.49,993.0,993.94
21-09-2020,1001.0,1001.0,992.41,993.31
22-09-2020,992.4,994.95,991.05,993.18
23-09-2020,993.0,995.0,992.2,993.24
24-09-2020,993.1,993.9,990.0,990.72
25-09-2020,992.0,993.93,990.05,990.54
28-09-2020,992.1,993.4,991.0,991.77
29-09-2020,994.93,994.98,986.05,987.97
30-09-2020,990.0,992.0,988.71,991.31
01-10-2020,990.0,993.0,989.5,992.97
05-10-2020,993.73,993.75,991.25,991.55
06-10-2020,991.0,993.98,991.0,991.02
07-10-2020,990.1,992.84,988.52,989.74
08-10-2020,990.05,993.24,988.4,992.95
09-10-2020,990.0,998.0,988.25,997.32
12-10-2020,999.5,1005.05,999.05,1001.58
13-10-2020,1000.0,1002.0,1000.0,1000.75
14-10-2020,1000.95,1003.49,1000.02,1001.36
15-10-2020,1000.02,1002.95,999.16,1000.49
16-10-2020,1001.0,1005.0,1000.39,1003.76
19-10-2020,1002.55,1005.83,1002.55,1005.25
20-10-2020,1004.0,1007.0,1004.0,1005.83
21-10-2020,1005.5,1007.99,1005.5,1007.92
22-10-2020,1008.35,1008.95,1006.0,1007.98
23-10-2020,1007.05,1009.95,1007.0,1009.43
26-10-2020,1011.0,1011.0,1007.05,1009.24
27-10-2020,1011.0,1014.5,1010.0,1012.39
28-10-2020,1012.8,1013.75,1012.02,1012.68
29-10-2020,1013.95,1014.0,1010.5,1011.49
30-10-2020,1011.49,1014.97,1011.0,1012.87
02-11-2020,1012.5,1014.38,1012.1,1012.86
03-11-2020,1013.0,1015.47,1013.0,1014.01
04-11-2020,1014.0,1015.99,1012.01,1014.91
05-11-2020,1011.01,1015.95,1011.01,1015.4
06-11-2020,1015.0,1017.49,1014.3,1016.43
09-11-2020,1015.0,1018.0,1015.0,1016.5
10-11-2020,1017.0,1017.0,1015.1,1016.88
11-11-2020,1016.88,1017.0,1015.1,1016.06
12-11-2020,1015.15,1016.08,1012.89,1015.04
13-11-2020,1014.0,1016.0,1014.0,1015.31
14-11-2020,1017.95,1029.0,1014.12,1015.26
17-11-2020,1013.05,1015.93,1013.0,1013.32
18-11-2020,1012.5,1015.75,1012.5,1015.52
19-11-2020,1017.05,1017.05,1013.0,1013.18
20-11-2020,1015.99,1016.95,1013.1,1014.98
23-11-2020,1013.0,1016.0,1010.05,1015.37
24-11-2020,1014.0,1015.7,1014.0,1015.36
25-11-2020,1015.0,1015.88,1014.5,1015.05
26-11-2020,1015.05,1016.94,1014.91,1016.44
27-11-2020,1014.03,1017.99,1014.03,1017.76
01-12-2020,1014.15,1017.0,1014.1,1016.91
02-12-2020,1017.4,1017.4,1014.0,1016.48
03-12-2020,1016.5,1017.24,1012.8,1016.47
04-12-2020,1015.0,1017.99,1014.5,1016.64
07-12-2020,1017.95,1017.98,1017.0,1017.97
08-12-2020,1017.05,1018.95,1017.0,1018.0
09-12-2020,1017.5,1019.0,1017.5,1018.92
10-12-2020,1020.0,1036.0,1017.53,1018.1
11-12-2020,1016.15,1018.94,1016.15,1018.87
14-12-2020,1017.05,1017.89,1013.0,1017.8
15-12-2020,1017.0,1017.45,1015.0,1015.1
16-12-2020,1015.2,1018.24,1015.2,1018.03
17-12-2020,1018.0,1018.94,1017.0,1018.23
18-12-2020,1018.23,1018.87,1017.26,1018.64
21-12-2020,1020.0,1020.0,1017.5,1017.7
22-12-2020,1017.0,1017.98,1014.5,1014.99
23-12-2020,1014.55,1017.5,1014.55,1014.99
24-12-2020,1016.05,1016.89,1014.25,1015.38
28-12-2020,1015.0,1019.9,1015.0,1017.97
29-12-2020,1017.0,1018.5,1017.0,1018.49
30-12-2020,1018.49,1018.49,1017.0,1017.42
31-12-2020,1017.51,1021.93,1017.51,1019.83
01-01-2021,1017.0,1021.99,1017.0,1017.96
04-01-2021,1017.12,1021.99,1017.12,1020.66
05-01-2021,1019.05,1020.95,1019.0,1020.56
06-01-2021,1020.0,1022.0,1018.09,1021.89
07-01-2021,1022.0,1022.98,1020.21,1022.88
08-01-2021,1023.0,1024.98,1022.5,1023.83
11-01-2021,1022.0,1025.98,1022.0,1024.04
12-01-2021,1023.98,1025.98,1023.03,1025.77
13-01-2021,1024.98,1026.49,1021.55,1023.99
14-01-2021,1025.0,1025.0,1022.7,1024.04
15-01-2021,1024.98,1024.98,1023.5,1024.96
18-01-2021,1023.0,1024.98,1020.01,1022.22
19-01-2021,1023.98,1023.98,1020.0,1023.68
20-01-2021,1020.1,1023.94,1020.1,1023.52
21-01-2021,1023.94,1023.97,1020.26,1023.8
22-01-2021,1023.89,1023.98,1020.35,1023.78
