date,open,high,low,close
22-07-2019,102.45,102.95,94.55,96.4
23-07-2019,97.2,102.95,95.25,101.4
24-07-2019,101.25,102.55,95.95,98.85
25-07-2019,98.55,101.8,97.55,100.7
26-07-2019,100.6,100.6,96.85,99.3
29-07-2019,100.15,100.15,96.2,97.25
30-07-2019,97.35,100.35,94.85,96.3
31-07-2019,94.5,99.4,93.15,98.65
01-08-2019,99.25,102.6,96.05,101.5
02-08-2019,101.1,102.25,98.05,101.05
05-08-2019,99.75,99.75,95.7,96.9
06-08-2019,94.5,97.3,94.5,96.55
07-08-2019,96.6,98.7,96.0,97.05
08-08-2019,97.3,98.35,96.2,97.85
09-08-2019,98.5,99.75,93.9,97.5
13-08-2019,97.2,97.9,94.85,96.15
14-08-2019,97.05,98.4,93.55,97.3
16-08-2019,96.55,96.8,89.55,90.3
19-08-2019,89.45,91.15,86.75,88.25
20-08-2019,89.3,89.3,80.05,80.6
21-08-2019,80.6,80.95,74.25,77.4
22-08-2019,77.3,78.15,70.9,71.95
23-08-2019,70.9,71.5,63.6,67.25
26-08-2019,70.9,75.55,66.7,72.9
27-08-2019,74.25,80.65,74.25,78.8
28-08-2019,78.9,84.05,76.95,80.1
29-08-2019,79.0,80.85,77.4,78.55
30-08-2019,79.0,79.55,74.3,74.5
03-09-2019,72.9,74.6,71.9,73.45
04-09-2019,73.05,73.45,69.55,71.2
05-09-2019,72.2,72.6,70.35,70.8
06-09-2019,71.35,72.25,69.85,70.75
09-09-2019,71.2,73.8,69.55,71.55
11-09-2019,72.25,72.4,69.85,70.55
12-09-2019,71.7,74.4,71.7,72.5
13-09-2019,70.25,71.7,69.65,70.9
16-09-2019,70.65,70.65,68.65,69.75
17-09-2019,70.1,74.6,68.65,69.55
18-09-2019,70.25,72.75,69.95,71.85
19-09-2019,71.9,72.25,69.65,70.6
20-09-2019,71.55,84.7,70.6,83.65
23-09-2019,84.4,88.45,81.1,82.95
24-09-2019,83.05,83.45,77.4,77.95
25-09-2019,77.65,78.25,72.5,73.15
26-09-2019,72.9,77.9,72.6,74.45
27-09-2019,74.4,74.8,70.9,71.3
30-09-2019,70.9,71.4,63.6,64.05
01-10-2019,64.15,66.75,62.15,65.35
03-10-2019,64.1,65.15,54.05,59.0
04-10-2019,59.55,61.0,54.7,57.1
07-10-2019,57.4,57.4,51.5,52.95
09-10-2019,52.65,53.0,48.75,49.25
10-10-2019,49.75,51.05,47.7,48.85
11-10-2019,49.9,50.55,45.25,48.1
14-10-2019,48.05,53.45,46.95,50.3
15-10-2019,49.8,52.5,49.8,51.15
16-10-2019,51.65,56.25,51.4,56.05
17-10-2019,57.4,59.0,56.2,58.3
18-10-2019,58.85,61.2,57.7,60.6
22-10-2019,60.9,65.4,60.25,65.05
23-10-2019,65.4,65.7,61.8,61.8
24-10-2019,61.7,61.75,58.75,58.75
25-10-2019,58.75,58.75,55.8,55.8
27-10-2019,55.85,58.0,55.85,57.55
29-10-2019,58.6,60.4,57.9,60.4
30-10-2019,63.1,63.4,61.45,62.55
31-10-2019,63.4,64.15,59.45,62.35
01-11-2019,63.0,64.0,62.1,63.0
04-11-2019,64.15,65.4,63.15,63.7
05-11-2019,64.7,65.75,63.85,64.7
06-11-2019,64.55,67.9,64.0,67.9
07-11-2019,71.3,71.3,71.3,71.3
08-11-2019,74.8,74.8,74.8,74.8
11-11-2019,78.55,78.55,75.2,78.55
13-11-2019,81.7,82.45,77.05,82.45
14-11-2019,83.05,86.55,78.35,86.55
15-11-2019,88.1,90.85,84.4,87.2
18-11-2019,89.15,89.15,86.05,87.1
19-11-2019,87.05,87.05,82.7,82.9
20-11-2019,81.15,87.0,79.4,84.45
21-11-2019,85.5,88.65,83.7,84.15
22-11-2019,84.2,84.9,81.05,82.9
25-11-2019,83.05,87.05,83.05,86.6
26-11-2019,86.4,86.55,82.3,82.4
27-11-2019,81.9,82.35,78.55,81.0
28-11-2019,80.35,84.9,80.35,81.7
29-11-2019,81.8,84.05,81.3,83.35
02-12-2019,83.9,83.9,79.2,79.3
03-12-2019,80.35,80.35,75.35,75.35
04-12-2019,72.9,78.55,72.9,76.35
05-12-2019,77.65,80.15,76.85,80.05
06-12-2019,82.15,82.15,77.1,77.6
09-12-2019,77.8,79.5,76.35,77.25
10-12-2019,76.7,77.5,73.8,74.8
11-12-2019,75.35,76.05,73.6,75.35
12-12-2019,76.95,77.45,75.9,76.8
13-12-2019,77.85,80.1,76.4,78.45
16-12-2019,82.35,83.3,78.7,79.25
17-12-2019,80.8,80.8,78.25,78.9
18-12-2019,78.35,79.65,77.5,78.25
19-12-2019,78.15,78.95,77.65,78.1
20-12-2019,78.55,81.35,77.65,78.1
23-12-2019,78.05,78.55,76.95,77.5
24-12-2019,77.5,78.15,75.1,75.55
26-12-2019,75.75,79.95,75.75,77.05
27-12-2019,77.05,77.95,75.75,77.2
30-12-2019,76.5,77.55,75.95,76.4
31-12-2019,76.4,76.8,73.25,73.7
01-01-2020,74.6,76.2,73.7,74.45
02-01-2020,74.95,81.9,74.6,81.15
03-01-2020,81.4,84.15,79.0,80.5
06-01-2020,80.35,80.35,75.6,75.8
07-01-2020,77.0,78.8,76.95,77.7
08-01-2020,76.95,78.45,75.2,77.05
09-01-2020,78.85,80.95,78.4,79.1
10-01-2020,79.95,80.65,71.2,71.55
13-01-2020,67.9,77.3,67.9,74.3
14-01-2020,75.6,76.35,71.55,72.15
15-01-2020,72.95,74.1,71.9,73.4
16-01-2020,73.6,74.4,69.3,69.7
