date,open,high,low,close
22-07-2019,110.0,111.0,110.0,110.15
23-07-2019,109.5,109.5,102.5,109.1
24-07-2019,108.45,108.45,108.0,108.3
25-07-2019,108.5,109.5,108.5,109.5
26-07-2019,110.0,110.5,109.75,109.75
29-07-2019,110.25,110.5,109.2,109.5
30-07-2019,109.5,109.8,109.5,109.8
31-07-2019,108.65,108.65,107.8,107.8
01-08-2019,107.5,107.5,107.0,107.2
02-08-2019,107.8,108.2,107.8,108.2
05-08-2019,12.44,12.44,12.44,12.44
05-08-2019,109.0,109.5,109.0,109.45
06-08-2019,109.6,109.8,109.6,109.8
07-08-2019,108.95,108.95,101.7,108.8
08-08-2019,101.0,107.8,100.0,107.7
09-08-2019,108.75,108.75,108.75,108.75
13-08-2019,108.6,108.75,108.6,108.75
14-08-2019,107.3,107.3,107.3,107.3
16-08-2019,108.55,109.0,108.55,109.0
19-08-2019,109.8,109.8,109.65,109.65
20-08-2019,110.0,131.0,108.0,108.0
21-08-2019,108.35,108.35,108.35,108.35
22-08-2019,107.8,107.8,107.8,107.8
23-08-2019,101.0,105.25,97.0,103.1
26-08-2019,97.0,102.0,90.0,102.0
27-08-2019,102.0,102.5,102.0,102.5
28-08-2019,94.0,103.0,94.0,99.35
29-08-2019,102.5,103.0,90.0,90.0
30-08-2019,94.5,94.5,93.5,94.2
03-09-2019,91.0,92.0,91.0,92.0
04-09-2019,93.5,93.5,93.0,93.0
05-09-2019,92.0,92.5,92.0,92.1
06-09-2019,92.0,93.0,90.0,93.0
09-09-2019,87.0,91.5,87.0,91.5
11-09-2019,87.0,90.3,87.0,90.2
12-09-2019,91.0,92.0,87.0,91.95
13-09-2019,91.0,92.0,91.0,91.9
16-09-2019,92.5,93.0,87.05,90.9
17-09-2019,91.7,91.7,91.4,91.4
18-09-2019,91.75,92.0,91.75,92.0
19-09-2019,90.0,94.0,90.0,94.0
20-09-2019,94.5,96.35,94.5,96.35
23-09-2019,87.0,88.75,87.0,88.6
24-09-2019,90.0,90.55,90.0,90.5
25-09-2019,90.0,91.5,90.0,91.5
26-09-2019,90.5,92.7,90.5,92.5
27-09-2019,85.0,88.0,82.0,85.95
30-09-2019,82.25,86.0,81.0,86.0
01-10-2019,85.0,85.25,82.0,85.0
03-10-2019,85.05,85.05,84.5,84.5
04-10-2019,87.1,89.0,84.8,89.0
07-10-2019,89.0,90.0,89.0,90.0
09-10-2019,91.7,92.0,87.1,91.5
10-10-2019,92.0,93.0,92.0,93.0
11-10-2019,93.0,93.5,93.0,93.5
14-10-2019,95.5,96.8,95.5,96.8
15-10-2019,94.95,96.0,94.95,95.45
16-10-2019,96.0,96.5,96.0,96.5
17-10-2019,97.0,97.5,97.0,97.5
18-10-2019,96.5,97.3,96.5,97.25
22-10-2019,98.35,99.25,98.35,99.25
23-10-2019,99.0,99.25,99.0,99.25
24-10-2019,99.5,99.5,99.5,99.5
25-10-2019,98.5,99.25,98.5,99.25
27-10-2019,101.0,102.0,101.0,101.6
29-10-2019,102.15,103.35,102.15,103.2
30-10-2019,103.0,105.0,103.0,104.65
31-10-2019,105.0,106.0,105.0,106.0
01-11-2019,106.5,107.4,105.0,106.75
04-11-2019,107.5,108.0,107.5,108.0
05-11-2019,109.5,111.2,109.5,111.2
