date,open,high,low,close
12-04-2022,800.0,800.0,750.0,770.0
13-04-2022,794.9,798.85,752.0,764.2
18-04-2022,764.2,789.8,751.0,763.55
19-04-2022,789.9,789.9,755.6,763.4
20-04-2022,755.95,774.25,733.0,747.45
21-04-2022,765.75,769.95,720.0,733.7
22-04-2022,736.15,742.95,722.0,737.65
25-04-2022,736.0,736.0,701.0,717.2
26-04-2022,727.3,746.35,712.0,724.4
27-04-2022,720.5,757.35,714.4,725.9
28-04-2022,725.0,750.1,716.15,731.85
29-04-2022,718.6,736.9,713.0,717.4
02-05-2022,744.0,744.0,695.0,700.25
04-05-2022,700.25,729.95,680.0,697.05
05-05-2022,711.9,724.95,679.95,689.45
06-05-2022,671.0,682.95,620.0,656.7
09-05-2022,656.7,675.2,645.0,664.65
10-05-2022,658.95,680.5,655.0,668.7
11-05-2022,665.0,690.5,615.05,649.4
12-05-2022,649.4,674.0,630.4,649.5
13-05-2022,694.9,694.9,636.2,649.1
16-05-2022,694.0,694.0,634.15,647.5
17-05-2022,660.05,679.95,649.95,656.7
18-05-2022,661.05,665.35,624.95,639.55
19-05-2022,634.0,642.45,623.75,631.3
20-05-2022,637.0,652.15,615.05,629.7
23-05-2022,634.3,634.3,595.4,601.25
24-05-2022,601.0,620.05,590.95,597.55
25-05-2022,604.4,610.0,591.95,599.85
26-05-2022,606.0,613.85,501.6,559.05
27-05-2022,593.9,593.9,541.0,557.7
30-05-2022,589.0,598.95,566.35,574.3
31-05-2022,595.05,595.05,552.2,563.1
01-06-2022,575.0,575.0,555.65,566.8
02-06-2022,584.05,584.05,560.0,564.15
03-06-2022,594.3,594.3,560.05,563.95
06-06-2022,570.9,578.3,544.6,558.35
07-06-2022,568.5,599.95,557.75,581.25
08-06-2022,581.0,608.0,544.0,572.05
09-06-2022,593.0,593.0,564.8,576.45
10-06-2022,576.05,590.25,566.35,579.5
13-06-2022,566.0,695.4,526.1,650.4
14-06-2022,625.0,625.9,595.05,609.2
15-06-2022,640.3,640.3,582.0,590.95
16-06-2022,635.05,635.05,561.0,568.55
17-06-2022,568.55,568.55,520.0,555.2
20-06-2022,555.2,595.05,530.0,540.95
21-06-2022,540.95,580.05,525.0,547.5
22-06-2022,564.05,564.05,535.35,552.35
23-06-2022,554.05,595.05,554.0,566.1
24-06-2022,584.05,585.05,556.95,568.3
27-06-2022,584.05,585.05,523.85,550.75
28-06-2022,568.9,568.9,538.3,552.85
29-06-2022,541.6,559.9,531.95,551.1
30-06-2022,543.15,553.55,537.05,545.7
01-07-2022,555.05,565.55,535.05,541.3
04-07-2022,556.35,556.35,537.65,549.45
05-07-2022,560.05,560.05,535.0,538.75
06-07-2022,557.05,595.0,533.8,545.4
07-07-2022,546.95,576.1,544.1,563.35
08-07-2022,578.0,578.0,553.55,559.1
11-07-2022,569.1,569.1,553.7,563.45
12-07-2022,567.05,567.05,541.35,549.95
13-07-2022,557.05,561.0,543.95,548.85
14-07-2022,557.05,557.45,529.95,533.15
15-07-2022,547.05,547.05,521.0,529.85
18-07-2022,544.45,555.35,535.0,537.6
19-07-2022,556.05,556.05,523.25,540.0
20-07-2022,557.0,557.0,539.95,541.25
21-07-2022,542.05,557.55,534.95,549.8
22-07-2022,556.0,556.0,535.05,539.95
25-07-2022,548.9,549.95,525.3,539.9
26-07-2022,546.05,552.95,530.35,544.85
27-07-2022,533.0,555.0,533.0,547.65
28-07-2022,554.05,557.45,536.3,541.25
29-07-2022,551.35,553.65,535.0,539.55
01-08-2022,553.85,553.9,540.05,552.85
02-08-2022,541.05,580.05,541.05,550.65
03-08-2022,558.05,568.35,547.05,549.1
04-08-2022,530.0,558.85,530.0,543.45
05-08-2022,552.5,553.85,535.0,539.25
08-08-2022,557.05,557.65,536.45,538.15
10-08-2022,550.05,557.65,523.85,537.55
11-08-2022,566.95,566.95,534.65,544.55
12-08-2022,550.05,550.65,539.2,541.1
16-08-2022,537.55,562.0,537.55,548.85
17-08-2022,559.05,577.5,538.2,564.85
18-08-2022,563.0,576.3,543.0,561.3
19-08-2022,561.0,570.0,542.0,543.8
22-08-2022,550.0,625.0,535.3,592.55
23-08-2022,595.0,624.8,595.0,615.65
24-08-2022,623.35,634.0,598.2,601.85
25-08-2022,620.0,632.0,601.85,613.35
26-08-2022,629.95,632.0,608.4,623.35
29-08-2022,623.35,645.3,576.55,633.25
30-08-2022,641.8,729.9,633.7,686.35
01-09-2022,716.0,729.0,696.0,712.2
02-09-2022,729.0,729.0,680.65,700.5
05-09-2022,710.05,718.65,680.65,689.75
06-09-2022,705.0,705.0,669.95,690.8
07-09-2022,685.0,709.7,683.2,701.1
08-09-2022,715.0,717.0,694.9,698.9
09-09-2022,702.05,702.2,680.5,690.15
12-09-2022,698.3,705.9,582.7,661.45
13-09-2022,678.0,690.0,655.0,664.05
14-09-2022,661.7,678.2,638.95,663.25
15-09-2022,679.9,679.9,650.5,661.85
16-09-2022,683.95,683.95,615.0,620.4
19-09-2022,637.95,637.95,579.0,582.85
20-09-2022,597.95,615.0,575.0,602.95
21-09-2022,602.95,615.15,570.0,584.2
22-09-2022,573.55,602.0,573.55,597.6
23-09-2022,607.05,607.05,584.0,592.9
26-09-2022,600.0,628.35,565.0,582.05
27-09-2022,582.05,604.65,569.95,594.3
28-09-2022,594.3,614.0,581.95,590.3
29-09-2022,605.0,612.0,589.65,596.75
30-09-2022,624.95,624.95,587.95,595.0
03-10-2022,619.5,619.5,582.0,592.65
04-10-2022,610.05,611.05,581.55,592.35
06-10-2022,606.95,606.95,585.0,588.0
07-10-2022,600.0,600.05,579.55,583.0
10-10-2022,582.45,597.55,580.05,592.5
11-10-2022,597.75,610.0,585.3,599.9
12-10-2022,614.05,615.4,588.05,599.75
13-10-2022,610.0,620.0,585.0,609.7
14-10-2022,622.0,626.75,595.75,607.1
17-10-2022,608.55,609.0,593.5,600.6
18-10-2022,591.0,609.55,587.75,602.2
19-10-2022,610.05,610.05,590.0,592.4
20-10-2022,583.85,639.0,581.3,628.3
21-10-2022,628.0,644.0,605.85,616.85
24-10-2022,635.05,635.05,570.0,603.2
25-10-2022,628.05,634.95,607.9,625.9
27-10-2022,639.0,639.0,603.85,622.9
28-10-2022,632.0,634.05,615.9,626.9
31-10-2022,621.7,621.7,603.05,612.35
01-11-2022,613.95,624.9,610.1,618.2
02-11-2022,611.05,630.05,610.5,620.0
03-11-2022,620.7,629.9,607.6,618.0
04-11-2022,623.05,625.0,603.4,615.0
07-11-2022,615.0,629.0,611.5,622.85
09-11-2022,622.8,649.0,601.1,610.7
10-11-2022,610.65,615.15,590.0,606.7
11-11-2022,610.5,619.0,602.55,605.5
14-11-2022,610.05,615.05,593.0,597.85
15-11-2022,614.55,614.55,575.95,582.0
16-11-2022,588.95,618.0,573.55,582.75
17-11-2022,591.95,592.1,575.05,585.15
18-11-2022,596.05,596.05,573.55,584.3
21-11-2022,583.45,590.0,580.0,589.4
22-11-2022,585.9,599.0,577.45,594.2
23-11-2022,614.5,614.5,587.95,595.6
24-11-2022,609.05,610.05,586.6,595.8
25-11-2022,595.45,615.0,591.0,609.85
28-11-2022,609.85,615.1,609.85,610.65
29-11-2022,609.3,613.55,601.0,605.85
30-11-2022,595.9,619.75,595.9,610.95
01-12-2022,629.9,629.9,602.25,612.05
02-12-2022,602.65,623.95,602.65,616.55
05-12-2022,628.0,644.0,602.15,625.45
06-12-2022,628.05,630.0,610.15,624.7
07-12-2022,618.05,625.95,612.3,622.2
08-12-2022,619.15,626.0,616.75,617.0
09-12-2022,620.45,626.45,603.0,609.95
12-12-2022,612.9,614.8,591.55,611.0
13-12-2022,619.85,623.95,593.3,611.3
14-12-2022,625.05,625.05,605.0,608.4
15-12-2022,615.05,619.9,600.05,605.05
16-12-2022,595.25,614.95,591.5,605.2
19-12-2022,605.2,612.15,592.6,598.25
20-12-2022,594.25,609.0,586.4,607.35
21-12-2022,607.75,610.35,586.75,589.9
22-12-2022,599.05,607.3,573.1,581.95
23-12-2022,588.05,593.05,550.0,556.75
26-12-2022,584.35,584.35,562.55,581.8
27-12-2022,591.1,591.1,575.0,578.15
28-12-2022,566.35,592.9,566.35,580.1
29-12-2022,575.05,587.8,557.2,576.1
30-12-2022,577.05,589.9,570.1,584.35
02-01-2023,589.95,603.5,573.55,580.3
03-01-2023,587.95,600.0,582.5,596.55
04-01-2023,582.8,600.0,577.55,586.6
05-01-2023,587.6,608.0,584.95,595.25
06-01-2023,587.1,589.0,563.95,567.7
09-01-2023,588.0,596.4,572.8,590.9
10-01-2023,586.65,594.8,581.5,585.1
11-01-2023,581.95,596.7,580.0,591.35
12-01-2023,579.95,604.0,570.0,573.45
13-01-2023,584.05,587.9,564.0,580.9
16-01-2023,574.95,592.4,572.0,577.15
17-01-2023,574.95,589.8,574.7,581.5
18-01-2023,572.35,596.8,572.1,590.75
19-01-2023,590.65,590.7,572.1,577.4
20-01-2023,589.8,594.0,573.0,583.5
23-01-2023,577.0,590.05,577.0,585.6
24-01-2023,579.95,590.0,576.0,589.05
25-01-2023,583.25,591.9,564.15,588.45
27-01-2023,583.1,587.9,570.85,573.35
30-01-2023,579.5,579.5,556.1,563.7
31-01-2023,574.95,576.75,549.35,569.7
01-02-2023,575.15,593.75,572.6,585.5
02-02-2023,597.0,597.0,562.0,584.15
03-02-2023,577.95,583.05,566.0,571.85
06-02-2023,576.25,578.95,546.75,565.15
07-02-2023,567.4,567.4,555.0,556.35
08-02-2023,580.0,580.0,562.15,570.75
09-02-2023,563.35,580.0,563.35,573.45
10-02-2023,573.0,583.45,559.55,577.5
13-02-2023,570.0,589.6,517.2,534.55
14-02-2023,550.0,610.0,525.7,578.75
15-02-2023,578.75,599.95,571.0,593.2
16-02-2023,596.2,596.2,569.95,590.4
17-02-2023,580.85,629.0,575.85,610.4
20-02-2023,613.4,614.65,594.45,602.4
21-02-2023,603.3,614.85,594.1,609.6
22-02-2023,624.5,624.5,595.6,604.65
23-02-2023,594.05,624.0,594.05,613.4
24-02-2023,613.95,620.0,611.1,614.5
27-02-2023,620.15,628.7,600.0,601.55
28-02-2023,601.05,601.05,588.15,599.8
01-03-2023,604.95,605.15,588.7,594.45
02-03-2023,596.9,609.95,586.1,605.55
03-03-2023,593.0,614.8,590.5,594.25
06-03-2023,584.7,613.95,584.7,608.0
08-03-2023,607.3,615.0,602.95,612.15
09-03-2023,597.95,611.65,596.7,599.75
10-03-2023,600.25,601.9,588.0,592.65
13-03-2023,585.0,600.2,582.05,583.35
14-03-2023,577.95,600.0,567.65,590.95
15-03-2023,600.0,610.0,577.85,593.7
16-03-2023,584.0,597.2,578.0,585.35
17-03-2023,587.35,609.9,587.35,595.95
20-03-2023,595.05,599.85,567.05,573.65
21-03-2023,576.1,579.95,570.0,579.0
22-03-2023,586.35,589.9,568.2,586.4
23-03-2023,586.85,593.85,572.4,578.8
24-03-2023,585.0,594.65,570.05,584.9
27-03-2023,580.7,584.0,560.05,567.85
28-03-2023,571.4,584.95,564.0,565.95
29-03-2023,586.55,586.55,558.0,568.7
31-03-2023,570.05,589.0,566.05,583.95
03-04-2023,576.95,589.95,570.95,585.6
05-04-2023,570.5,591.9,570.5,582.05
06-04-2023,589.85,593.75,580.0,585.4
10-04-2023,581.25,615.0,576.7,601.4
11-04-2023,605.2,614.55,591.0,595.25
12-04-2023,605.25,606.45,591.45,602.05
13-04-2023,598.95,610.0,593.85,597.45
17-04-2023,604.3,604.3,591.5,595.7
18-04-2023,594.1,605.0,590.0,599.45
19-04-2023,600.1,607.0,585.1,592.25
20-04-2023,597.55,603.85,590.1,594.15
21-04-2023,599.0,612.45,595.0,602.9
24-04-2023,603.8,603.8,595.15,597.25
25-04-2023,598.45,603.75,595.15,600.3
26-04-2023,596.5,601.95,585.6,590.7
27-04-2023,594.6,596.9,588.05,590.7
28-04-2023,599.3,614.8,585.7,608.5
02-05-2023,608.5,608.5,593.5,599.85
03-05-2023,599.45,604.4,591.05,597.85
04-05-2023,600.5,609.35,592.5,602.0
05-05-2023,597.45,604.45,589.0,594.25
08-05-2023,592.15,600.0,591.25,599.65
09-05-2023,600.0,604.0,597.0,599.35
10-05-2023,608.0,613.45,585.05,592.5
11-05-2023,602.0,602.8,578.6,598.7
12-05-2023,596.7,602.35,594.85,599.65
15-05-2023,603.0,630.0,599.8,623.65
16-05-2023,623.7,647.0,600.0,614.65
17-05-2023,611.6,617.45,588.6,593.6
18-05-2023,605.45,619.9,583.35,593.05
19-05-2023,604.0,604.0,580.55,591.9
22-05-2023,613.5,613.5,592.0,604.35
