date,open,high,low,close
22-07-2019,187.0,189.95,181.0,189.7
23-07-2019,195.0,199.15,189.0,199.15
24-07-2019,206.0,206.0,190.2,192.85
25-07-2019,196.0,199.0,190.1,191.65
26-07-2019,190.05,193.0,184.05,187.55
29-07-2019,190.2,196.9,190.2,196.9
30-07-2019,199.4,199.4,187.1,188.55
31-07-2019,188.6,188.6,181.0,183.75
01-08-2019,181.0,192.9,176.05,186.3
02-08-2019,185.95,185.95,177.0,177.6
05-08-2019,172.0,172.0,168.75,168.75
06-08-2019,165.85,169.9,160.4,166.55
07-08-2019,162.05,183.2,161.8,164.4
08-08-2019,165.1,169.5,161.1,163.5
09-08-2019,165.0,171.0,163.0,164.8
13-08-2019,168.9,168.9,150.55,153.95
14-08-2019,155.05,159.95,152.0,154.7
16-08-2019,149.3,164.95,143.15,159.3
19-08-2019,158.05,158.05,148.0,151.1
20-08-2019,148.0,150.7,143.4,146.3
21-08-2019,145.0,145.0,132.0,133.55
22-08-2019,129.9,134.25,120.2,120.2
23-08-2019,114.2,126.2,114.2,126.2
26-08-2019,129.95,132.5,128.5,132.5
27-08-2019,137.6,139.1,131.6,139.1
28-08-2019,145.85,146.05,142.65,146.05
29-08-2019,151.3,153.35,146.1,152.75
30-08-2019,156.45,159.6,150.0,156.85
03-09-2019,164.65,164.65,149.05,149.95
04-09-2019,149.5,152.85,142.5,142.6
05-09-2019,147.95,147.95,142.1,143.2
06-09-2019,147.75,147.75,140.4,141.2
09-09-2019,140.0,146.0,135.55,144.45
11-09-2019,143.0,148.9,138.65,147.1
12-09-2019,148.95,154.45,144.1,148.25
13-09-2019,147.0,153.9,146.0,147.95
16-09-2019,149.95,152.0,145.3,146.85
17-09-2019,149.95,151.9,144.05,145.3
18-09-2019,149.85,152.25,144.9,149.0
19-09-2019,152.0,156.0,151.05,152.4
20-09-2019,151.1,154.45,149.0,151.75
23-09-2019,158.5,158.5,148.1,155.3
24-09-2019,157.0,162.0,152.05,157.95
25-09-2019,154.7,157.0,150.1,150.1
26-09-2019,142.9,147.5,142.6,143.0
27-09-2019,141.9,141.9,136.0,136.45
30-09-2019,135.9,136.35,129.65,129.65
01-10-2019,125.15,129.85,125.15,127.7
03-10-2019,128.0,132.5,121.65,126.1
04-10-2019,131.5,132.4,125.0,126.85
07-10-2019,133.15,133.15,123.35,128.5
09-10-2019,127.0,131.95,126.05,129.3
10-10-2019,127.05,133.4,125.1,127.6
11-10-2019,126.0,130.95,126.0,130.0
14-10-2019,130.7,134.55,128.05,132.7
15-10-2019,134.3,135.15,128.1,129.95
16-10-2019,126.05,132.95,126.05,129.5
17-10-2019,129.1,131.0,123.55,127.0
18-10-2019,130.0,130.0,125.05,127.9
22-10-2019,125.25,134.25,125.25,128.85
23-10-2019,130.95,135.0,125.85,133.85
24-10-2019,139.5,139.5,131.5,132.95
25-10-2019,133.2,139.55,130.6,137.15
27-10-2019,135.85,144.0,133.05,139.85
29-10-2019,136.15,140.35,134.35,137.1
30-10-2019,137.1,141.9,137.05,139.45
31-10-2019,136.65,142.95,136.65,139.0
01-11-2019,137.0,142.0,136.0,140.45
04-11-2019,138.1,146.45,138.1,142.35
05-11-2019,143.65,149.45,140.95,145.45
06-11-2019,145.0,148.35,140.65,143.75
07-11-2019,144.9,145.35,139.05,140.1
08-11-2019,141.45,142.9,136.35,140.3
11-11-2019,136.05,142.55,134.25,140.65
13-11-2019,142.35,144.0,139.55,142.35
14-11-2019,149.45,149.45,136.2,138.15
15-11-2019,142.85,145.0,140.1,141.1
18-11-2019,137.1,143.55,137.05,139.55
19-11-2019,138.1,142.35,138.1,138.15
20-11-2019,136.5,138.25,132.0,132.6
21-11-2019,127.5,132.0,127.05,129.75
22-11-2019,134.5,134.5,130.75,131.2
25-11-2019,130.3,134.55,129.6,129.85
26-11-2019,130.0,132.7,129.4,129.85
27-11-2019,129.85,132.55,129.85,131.4
28-11-2019,131.0,137.95,126.0,134.6
29-11-2019,137.0,137.95,127.9,129.3
02-12-2019,128.5,132.2,127.0,129.0
03-12-2019,132.5,132.5,128.1,129.7
04-12-2019,129.0,129.7,126.3,128.05
05-12-2019,126.85,132.0,126.85,130.05
06-12-2019,131.8,132.0,124.0,126.55
09-12-2019,126.0,127.9,123.5,124.45
10-12-2019,126.9,129.0,121.6,122.7
11-12-2019,122.35,123.9,115.1,120.25
12-12-2019,118.2,124.9,110.0,122.45
13-12-2019,120.1,130.0,114.2,128.8
16-12-2019,126.1,130.0,124.1,126.3
17-12-2019,124.55,132.75,124.5,131.7
18-12-2019,129.95,130.2,126.65,127.85
19-12-2019,130.0,131.5,118.0,124.0
20-12-2019,120.15,128.0,120.15,125.45
23-12-2019,124.0,126.0,113.2,122.6
24-12-2019,124.8,124.85,118.0,121.2
26-12-2019,125.0,125.95,119.95,123.95
27-12-2019,118.5,125.0,118.5,120.0
30-12-2019,120.35,124.1,117.0,119.95
31-12-2019,124.5,124.5,117.2,120.45
01-01-2020,120.2,125.0,120.2,122.95
02-01-2020,123.0,128.85,122.4,124.45
03-01-2020,123.7,133.9,123.65,126.5
06-01-2020,129.6,129.6,120.15,122.7
07-01-2020,122.7,127.0,116.1,123.85
08-01-2020,123.85,125.9,121.3,122.25
09-01-2020,125.0,134.45,123.25,134.45
10-01-2020,143.4,147.85,136.35,141.05
13-01-2020,144.8,144.8,136.65,140.45
14-01-2020,148.0,148.0,135.25,136.35
15-01-2020,136.35,141.65,131.25,138.0
16-01-2020,145.95,145.95,133.4,134.4
17-01-2020,133.6,142.0,132.4,134.6
20-01-2020,135.0,142.8,135.0,137.25
21-01-2020,136.1,140.55,135.5,137.45
22-01-2020,144.0,144.0,136.5,137.4
23-01-2020,139.25,139.25,137.05,137.85
24-01-2020,140.05,140.9,137.0,138.65
27-01-2020,137.9,139.75,136.0,137.3
28-01-2020,140.0,140.0,136.85,137.3
29-01-2020,138.95,138.95,136.95,137.05
30-01-2020,136.0,140.0,134.0,138.5
31-01-2020,137.05,143.5,130.2,135.6
01-02-2020,135.7,139.95,135.0,137.1
03-02-2020,137.0,140.0,135.2,137.15
04-02-2020,137.05,139.15,136.15,137.05
05-02-2020,139.75,139.95,137.0,138.0
06-02-2020,139.05,165.6,139.05,157.55
07-02-2020,159.0,169.8,158.4,162.35
10-02-2020,163.4,163.4,151.0,154.95
11-02-2020,154.8,165.0,150.3,152.4
12-02-2020,142.0,155.1,140.1,142.3
13-02-2020,146.95,146.95,138.0,142.0
14-02-2020,145.9,146.0,137.0,137.8
17-02-2020,138.7,138.95,135.85,136.35
18-02-2020,138.5,145.0,135.3,138.3
19-02-2020,139.15,141.0,136.0,140.0
20-02-2020,140.9,141.0,136.4,138.55
24-02-2020,137.7,137.7,125.1,133.1
25-02-2020,134.9,139.95,133.0,133.15
26-02-2020,133.15,139.0,130.35,136.9
27-02-2020,133.85,134.95,128.45,132.05
28-02-2020,130.25,134.0,125.0,127.9
02-03-2020,128.7,133.5,128.0,128.35
03-03-2020,129.0,139.95,121.0,123.2
