date,open,high,low,close
21-09-2023,282.05,291.0,268.0,279.9
22-09-2023,279.2,284.95,265.65,267.7
25-09-2023,267.65,269.25,247.0,252.65
26-09-2023,252.55,261.5,252.25,256.1
27-09-2023,257.0,258.65,246.5,248.6
28-09-2023,250.0,271.4,248.7,259.1
29-09-2023,263.45,272.7,262.5,266.35
03-10-2023,268.25,292.2,267.5,287.5
04-10-2023,287.5,291.6,275.0,276.75
05-10-2023,279.5,304.4,278.15,304.4
06-10-2023,313.05,333.4,310.0,323.15
09-10-2023,320.0,332.85,308.0,312.05
10-10-2023,318.0,328.85,315.25,317.05
11-10-2023,320.0,326.75,315.0,322.9
12-10-2023,331.8,334.7,322.05,325.35
13-10-2023,323.0,332.6,321.45,327.3
16-10-2023,327.0,329.35,315.55,318.5
17-10-2023,321.8,323.4,311.0,312.45
18-10-2023,314.0,315.4,300.3,303.1
19-10-2023,303.0,316.0,299.95,309.5
20-10-2023,310.8,317.5,296.0,301.95
23-10-2023,306.05,309.55,289.8,292.85
25-10-2023,296.1,300.95,277.2,289.7
26-10-2023,286.95,289.3,277.05,286.1
27-10-2023,290.25,302.0,289.0,299.25
30-10-2023,302.0,305.0,296.0,296.95
31-10-2023,298.7,303.95,292.15,293.15
01-11-2023,294.0,306.05,293.25,300.95
02-11-2023,304.7,306.0,294.7,297.5
03-11-2023,300.0,304.9,298.8,301.5
06-11-2023,303.55,318.4,303.55,316.45
07-11-2023,319.65,325.7,318.35,324.75
08-11-2023,325.2,355.0,324.05,348.85
09-11-2023,352.75,361.8,345.65,351.05
10-11-2023,352.05,363.1,344.3,361.15
12-11-2023,365.0,375.6,365.0,374.15
13-11-2023,375.6,383.05,364.3,379.5
15-11-2023,417.45,417.45,405.0,417.45
16-11-2023,438.3,438.3,438.3,438.3
17-11-2023,449.0,449.0,423.3,427.25
20-11-2023,429.4,431.9,409.1,411.95
21-11-2023,415.95,432.5,413.3,432.5
22-11-2023,442.8,454.1,438.55,454.1
23-11-2023,460.0,476.8,436.1,456.95
24-11-2023,459.9,467.0,439.0,441.4
28-11-2023,452.0,454.8,434.0,444.25
29-11-2023,448.0,453.7,440.0,443.15
30-11-2023,443.0,447.0,433.0,435.2
01-12-2023,439.9,456.95,437.45,456.95
04-12-2023,479.7,479.75,477.0,479.75
05-12-2023,487.6,487.6,458.0,463.95
06-12-2023,463.9,468.9,448.1,460.45
07-12-2023,464.0,472.5,453.65,461.6
08-12-2023,466.95,466.95,455.0,456.9
11-12-2023,459.95,459.95,448.0,449.25
12-12-2023,452.0,455.0,438.15,444.45
13-12-2023,446.2,449.7,438.2,443.9
14-12-2023,445.0,453.25,428.4,432.45
15-12-2023,437.0,444.0,425.8,436.9
18-12-2023,439.0,440.6,424.35,425.5
19-12-2023,427.05,433.0,420.0,423.7
20-12-2023,424.0,428.65,402.55,405.2
21-12-2023,403.0,420.65,399.4,416.3
22-12-2023,424.8,424.8,406.2,416.9
26-12-2023,437.7,437.7,437.7,437.7
27-12-2023,459.55,459.55,434.0,437.0
28-12-2023,443.0,443.0,431.1,433.9
29-12-2023,435.0,437.95,419.05,424.4
01-01-2024,424.4,445.6,422.25,445.6
02-01-2024,450.0,453.9,432.0,437.25
03-01-2024,441.9,459.0,438.0,447.65
04-01-2024,452.0,458.6,448.0,454.15
05-01-2024,455.9,467.8,449.05,457.15
08-01-2024,465.1,465.1,434.3,434.3
09-01-2024,440.0,443.25,427.55,430.85
10-01-2024,433.8,452.35,428.1,447.45
11-01-2024,448.1,452.45,440.4,445.55
12-01-2024,445.8,449.0,437.0,442.55
15-01-2024,445.0,456.15,443.1,451.35
16-01-2024,446.05,456.7,440.0,442.9
17-01-2024,435.0,442.75,434.95,436.9
18-01-2024,444.45,458.7,425.1,458.7
19-01-2024,475.0,481.6,466.2,474.9
20-01-2024,477.95,482.0,464.05,465.85
23-01-2024,479.9,480.0,446.0,450.25
24-01-2024,458.55,458.55,445.0,453.15
25-01-2024,455.0,468.0,450.0,455.9
29-01-2024,463.0,478.65,459.0,478.65
