date,open,high,low,close
02-11-2020,31.1,33.15,30.05,32.8
03-11-2020,33.15,33.75,32.7,32.95
04-11-2020,32.95,33.1,32.0,32.7
05-11-2020,32.7,33.3,32.4,33.0
06-11-2020,32.7,33.05,32.5,32.85
09-11-2020,33.0,33.5,30.5,32.65
10-11-2020,33.5,34.5,33.15,33.35
11-11-2020,33.45,33.7,32.8,32.95
12-11-2020,33.0,33.75,33.0,33.55
13-11-2020,33.55,34.75,33.5,34.5
14-11-2020,34.5,34.75,34.1,34.2
17-11-2020,34.15,34.7,33.8,34.3
18-11-2020,34.0,34.55,33.85,33.95
19-11-2020,33.9,33.9,33.05,33.2
20-11-2020,33.2,33.7,32.75,33.05
23-11-2020,34.7,38.0,34.35,37.3
24-11-2020,37.75,39.0,36.0,36.2
25-11-2020,36.35,36.7,34.75,34.95
26-11-2020,34.6,36.05,34.35,34.45
27-11-2020,34.6,34.85,34.1,34.35
01-12-2020,34.5,35.65,34.05,34.8
02-12-2020,34.9,35.4,34.15,34.4
03-12-2020,34.95,35.35,34.4,34.8
04-12-2020,35.0,35.35,34.7,34.9
07-12-2020,35.05,35.85,34.7,35.2
08-12-2020,35.9,35.95,34.4,34.7
09-12-2020,34.9,39.55,34.9,37.6
10-12-2020,37.25,37.9,36.95,37.05
11-12-2020,37.45,37.7,37.0,37.5
14-12-2020,37.7,37.85,36.1,37.6
15-12-2020,37.1,38.25,37.1,38.1
16-12-2020,38.5,39.4,38.3,38.95
17-12-2020,39.1,39.6,39.0,39.05
18-12-2020,39.3,39.8,39.05,39.55
21-12-2020,39.85,40.0,35.3,36.2
22-12-2020,34.65,37.3,34.5,36.8
23-12-2020,37.4,38.0,35.9,36.2
24-12-2020,36.65,36.85,36.0,36.5
28-12-2020,36.5,37.2,36.5,37.1
29-12-2020,37.9,37.9,37.2,37.55
30-12-2020,37.55,37.65,36.3,37.5
31-12-2020,37.15,37.85,37.15,37.7
01-01-2021,37.75,37.8,37.35,37.75
04-01-2021,38.3,38.3,37.4,37.95
05-01-2021,37.65,37.65,37.05,37.45
06-01-2021,37.75,37.95,37.45,37.65
07-01-2021,37.9,42.35,37.35,39.9
08-01-2021,40.3,40.5,39.1,39.45
11-01-2021,41.4,41.9,40.25,40.95
12-01-2021,40.9,41.85,40.05,41.2
13-01-2021,41.6,41.6,40.9,41.45
14-01-2021,41.7,42.15,40.5,41.8
15-01-2021,41.8,41.8,41.0,41.25
18-01-2021,41.25,41.25,39.7,40.95
19-01-2021,41.0,42.05,40.65,41.55
20-01-2021,41.35,42.15,40.8,41.45
21-01-2021,42.3,42.5,40.5,40.95
22-01-2021,41.0,42.25,40.5,41.45
25-01-2021,41.35,41.95,38.65,39.35
27-01-2021,38.9,39.5,38.65,39.25
28-01-2021,38.2,40.2,38.1,39.9
29-01-2021,41.0,41.3,39.0,39.45
01-02-2021,39.45,41.7,39.45,40.9
02-02-2021,42.0,43.35,41.05,43.0
03-02-2021,43.1,43.5,41.6,42.95
04-02-2021,42.95,43.75,42.4,43.65
05-02-2021,44.0,45.25,43.65,45.0
08-02-2021,46.3,47.5,45.7,47.2
09-02-2021,47.25,47.3,45.25,46.2
10-02-2021,46.2,47.0,44.85,45.5
11-02-2021,45.5,46.9,44.95,46.3
12-02-2021,46.3,47.1,45.35,46.7
15-02-2021,47.0,47.9,46.7,47.5
16-02-2021,47.9,48.6,46.0,46.6
