date,open,high,low,close
22-07-2019,155.0,158.8,151.2,157.65
23-07-2019,155.7,163.9,155.7,160.4
24-07-2019,160.5,162.8,159.1,159.45
25-07-2019,159.15,161.45,159.15,160.0
26-07-2019,164.0,164.0,157.45,159.2
29-07-2019,158.8,160.0,157.1,157.95
30-07-2019,157.5,159.1,156.0,156.85
31-07-2019,155.6,168.0,154.1,155.25
01-08-2019,155.25,157.9,154.15,154.9
02-08-2019,154.9,157.65,154.1,155.6
05-08-2019,159.0,164.8,157.15,162.2
06-08-2019,160.05,163.45,159.55,162.9
07-08-2019,162.9,164.7,158.6,160.25
08-08-2019,160.0,162.75,160.0,161.1
09-08-2019,161.2,165.0,161.2,164.45
13-08-2019,166.9,166.9,160.5,161.1
14-08-2019,162.1,164.9,161.55,164.35
16-08-2019,163.05,164.25,158.5,159.35
19-08-2019,159.35,162.0,159.0,161.45
20-08-2019,160.25,160.65,159.0,159.3
21-08-2019,159.3,160.15,158.3,158.65
22-08-2019,157.2,159.7,156.0,156.65
23-08-2019,156.5,159.9,156.25,159.45
26-08-2019,161.1,161.1,157.0,159.75
27-08-2019,159.75,162.0,158.5,161.3
28-08-2019,161.3,162.45,159.95,160.8
29-08-2019,160.0,161.35,159.8,160.5
30-08-2019,160.05,161.8,160.05,161.3
03-09-2019,160.2,162.8,160.2,160.7
04-09-2019,159.2,163.8,159.2,162.9
05-09-2019,160.2,163.4,160.2,162.25
06-09-2019,162.1,164.4,159.1,162.65
09-09-2019,158.65,164.9,158.65,164.1
11-09-2019,160.6,169.3,160.6,167.5
12-09-2019,168.95,168.95,165.75,167.65
13-09-2019,167.25,175.8,163.7,171.95
16-09-2019,173.0,176.8,168.8,175.35
17-09-2019,174.95,175.45,168.8,169.55
18-09-2019,172.05,174.0,169.4,171.8
19-09-2019,171.15,171.95,167.05,169.7
20-09-2019,169.75,175.6,169.75,173.0
23-09-2019,175.7,179.0,170.1,176.75
24-09-2019,179.0,179.8,174.4,175.65
25-09-2019,175.75,177.0,173.5,174.95
26-09-2019,174.05,176.0,171.0,174.85
27-09-2019,175.0,175.65,173.0,174.9
30-09-2019,175.85,176.0,174.0,174.65
