date,open,high,low,close
22-07-2019,205.0,209.0,196.4,199.2
23-07-2019,202.45,202.45,185.5,188.8
24-07-2019,187.45,197.7,187.45,195.3
25-07-2019,198.5,198.5,195.85,196.5
26-07-2019,198.75,201.0,194.5,200.25
29-07-2019,193.8,201.3,193.8,196.9
30-07-2019,198.1,198.1,186.3,189.85
31-07-2019,184.2,189.8,180.0,181.6
01-08-2019,182.5,192.25,182.5,188.7
02-08-2019,183.3,192.2,182.35,191.4
05-08-2019,187.5,189.2,182.25,186.0
06-08-2019,182.5,192.0,182.5,189.3
07-08-2019,194.0,195.0,187.5,188.25
08-08-2019,186.8,191.0,182.75,189.35
09-08-2019,189.65,199.2,189.65,196.1
13-08-2019,199.5,201.0,195.0,195.6
14-08-2019,195.65,198.4,189.25,190.4
16-08-2019,194.5,195.0,190.5,192.1
19-08-2019,195.0,197.5,190.55,195.1
20-08-2019,199.4,199.4,191.5,192.1
21-08-2019,191.25,196.95,190.0,190.55
22-08-2019,191.4,194.4,185.0,188.35
23-08-2019,187.2,191.5,182.0,182.6
26-08-2019,187.5,190.5,180.8,188.55
27-08-2019,187.5,197.5,187.5,195.4
28-08-2019,195.45,202.5,189.1,189.95
29-08-2019,192.0,193.15,183.75,184.5
30-08-2019,186.5,192.0,183.3,190.1
03-09-2019,189.0,191.9,188.05,189.3
04-09-2019,188.45,188.45,183.75,185.9
05-09-2019,187.7,188.8,183.3,183.9
06-09-2019,184.1,186.05,184.05,185.0
09-09-2019,186.5,186.5,178.05,179.5
11-09-2019,179.6,183.5,179.6,180.9
12-09-2019,181.7,189.0,176.0,177.5
13-09-2019,177.0,181.25,175.0,179.5
16-09-2019,180.7,181.0,176.3,178.05
17-09-2019,179.7,181.2,171.1,171.45
18-09-2019,171.5,173.7,161.0,162.5
19-09-2019,167.25,167.25,157.0,158.5
20-09-2019,158.75,167.5,158.5,161.3
23-09-2019,166.25,187.35,165.0,180.3
24-09-2019,183.5,183.7,177.6,179.75
25-09-2019,181.95,181.95,172.75,174.5
26-09-2019,175.05,183.45,175.05,180.2
27-09-2019,180.2,182.5,177.5,181.1
30-09-2019,185.0,185.0,170.0,172.3
01-10-2019,172.3,176.2,164.15,169.3
03-10-2019,167.5,174.4,167.0,168.55
04-10-2019,170.55,171.05,166.5,167.7
07-10-2019,166.0,173.5,166.0,169.1
09-10-2019,167.3,171.9,165.0,170.6
10-10-2019,168.5,168.7,166.65,167.1
11-10-2019,170.0,170.0,165.0,166.0
14-10-2019,168.0,171.0,164.1,170.3
15-10-2019,168.75,172.7,168.4,171.8
16-10-2019,170.8,170.8,165.1,165.8
17-10-2019,168.5,177.0,166.75,175.0
18-10-2019,174.6,182.9,172.8,180.1
22-10-2019,177.5,184.9,177.0,179.7
23-10-2019,177.55,189.5,177.55,186.7
24-10-2019,186.7,188.0,181.8,187.1
25-10-2019,187.9,190.0,180.5,185.5
27-10-2019,182.5,191.0,182.5,188.1
29-10-2019,189.55,191.05,183.8,188.15
30-10-2019,188.2,192.7,187.5,191.5
31-10-2019,191.5,199.0,191.5,192.5
01-11-2019,195.0,197.25,190.7,192.3
04-11-2019,195.0,198.9,193.2,194.7
05-11-2019,197.5,197.5,191.1,192.7
06-11-2019,192.8,193.25,187.0,191.5
07-11-2019,187.6,191.1,186.4,187.5
08-11-2019,189.4,192.0,184.2,185.1
11-11-2019,185.1,185.1,181.5,181.8
13-11-2019,182.0,184.2,178.75,179.25
14-11-2019,179.35,179.35,172.75,173.5
15-11-2019,180.5,185.5,178.6,183.5
18-11-2019,182.5,186.7,182.0,185.4
19-11-2019,186.65,198.7,186.6,193.5
20-11-2019,193.5,209.5,193.0,202.65
21-11-2019,204.3,207.75,197.6,199.2
22-11-2019,199.2,239.05,192.0,227.4
25-11-2019,230.0,232.45,217.6,219.5
26-11-2019,221.45,221.5,213.75,214.6
27-11-2019,215.0,227.95,215.0,221.4
28-11-2019,221.4,224.5,215.3,216.3
29-11-2019,219.05,219.05,210.05,216.35
02-12-2019,216.0,220.95,215.5,218.0
03-12-2019,217.7,223.5,216.1,216.5
04-12-2019,227.0,227.0,213.1,214.8
05-12-2019,217.2,217.2,210.75,212.5
06-12-2019,211.4,214.9,211.4,213.1
09-12-2019,221.45,221.45,210.45,211.1
10-12-2019,215.0,215.0,200.65,201.95
11-12-2019,203.0,207.5,200.0,204.9
12-12-2019,205.7,212.5,201.0,210.3
13-12-2019,207.1,210.2,203.6,205.9
16-12-2019,210.5,210.5,202.3,202.9
17-12-2019,203.05,210.0,201.0,206.2
18-12-2019,207.5,209.4,203.7,204.4
19-12-2019,205.5,205.5,201.0,202.0
20-12-2019,204.2,209.5,201.75,206.1
23-12-2019,209.25,211.85,206.0,206.55
24-12-2019,208.9,208.9,202.7,203.35
26-12-2019,203.35,217.0,203.3,212.0
27-12-2019,214.5,222.5,212.55,218.2
30-12-2019,221.0,226.5,218.5,223.6
31-12-2019,225.0,228.0,220.05,226.8
01-01-2020,226.8,227.8,222.5,223.6
02-01-2020,226.4,233.9,223.55,231.4
03-01-2020,232.5,233.0,220.0,222.8
06-01-2020,221.6,222.5,216.0,217.8
07-01-2020,222.3,226.0,219.15,221.0
08-01-2020,217.5,224.0,216.0,220.3
09-01-2020,222.5,226.5,221.4,224.2
10-01-2020,224.95,226.05,222.0,224.7
13-01-2020,226.0,244.95,197.7,240.55
14-01-2020,241.0,257.0,232.5,251.1
15-01-2020,249.5,252.25,240.0,250.45
