date,open,high,low,close
22-07-2019,384.9,389.0,376.9,386.45
23-07-2019,388.0,388.0,376.0,379.9
24-07-2019,382.95,382.95,374.2,380.15
25-07-2019,384.75,386.0,374.9,382.85
26-07-2019,382.9,382.9,374.5,378.75
29-07-2019,383.0,383.0,370.0,374.0
30-07-2019,376.0,377.0,368.55,374.4
31-07-2019,376.0,380.85,360.15,374.8
01-08-2019,377.0,384.0,368.7,380.7
02-08-2019,375.7,379.8,367.7,374.4
05-08-2019,373.0,377.5,368.4,370.5
06-08-2019,370.45,374.35,368.0,370.25
07-08-2019,370.25,379.9,369.15,376.35
08-08-2019,375.0,376.35,366.55,374.1
09-08-2019,374.0,382.1,370.4,373.7
13-08-2019,376.4,376.4,360.0,360.15
14-08-2019,361.0,369.0,350.35,361.65
16-08-2019,364.75,368.0,351.0,360.6
19-08-2019,358.0,375.95,358.0,371.75
20-08-2019,376.4,376.4,366.55,374.2
21-08-2019,372.0,376.8,369.1,373.75
22-08-2019,370.75,375.45,355.65,367.95
23-08-2019,367.95,369.7,358.5,365.35
26-08-2019,370.5,370.5,359.6,368.85
27-08-2019,371.0,372.0,362.1,367.8
28-08-2019,365.5,370.9,360.05,362.35
29-08-2019,364.7,366.5,359.55,363.3
30-08-2019,364.9,368.4,359.05,367.2
03-09-2019,369.9,369.9,360.0,360.55
04-09-2019,360.55,372.0,360.55,364.7
05-09-2019,362.05,368.9,362.05,365.45
06-09-2019,366.0,371.0,363.0,369.5
09-09-2019,367.15,379.0,367.15,373.1
11-09-2019,375.0,379.5,370.35,373.25
12-09-2019,375.1,394.6,374.5,379.1
13-09-2019,381.75,381.75,367.7,372.1
16-09-2019,370.05,385.15,370.05,374.1
17-09-2019,376.9,378.95,365.0,365.7
18-09-2019,365.95,372.6,365.0,366.05
19-09-2019,368.9,369.7,363.0,366.35
20-09-2019,367.4,398.5,365.0,394.15
23-09-2019,397.0,414.95,395.0,411.75
24-09-2019,415.0,419.0,405.35,412.6
25-09-2019,422.0,433.7,392.25,401.6
26-09-2019,404.8,413.95,389.65,395.1
27-09-2019,396.0,400.0,382.25,389.85
30-09-2019,397.8,397.8,377.1,388.3
01-10-2019,388.3,391.45,372.9,382.25
03-10-2019,379.25,388.3,369.0,370.85
04-10-2019,373.0,376.0,363.0,365.1
07-10-2019,366.0,372.0,363.0,367.0
09-10-2019,367.35,368.0,358.0,359.9
10-10-2019,359.4,363.5,356.95,358.15
11-10-2019,357.6,362.75,348.6,353.45
14-10-2019,358.0,358.0,350.0,350.85
15-10-2019,353.8,353.8,347.35,350.5
16-10-2019,350.9,354.7,348.7,351.05
17-10-2019,351.8,358.0,351.8,355.55
18-10-2019,357.9,368.35,356.15,365.45
22-10-2019,368.4,384.5,367.6,377.4
23-10-2019,376.0,379.75,373.85,375.95
24-10-2019,374.1,383.8,374.1,378.0
25-10-2019,375.0,382.85,375.0,376.0
27-10-2019,379.95,381.65,376.0,379.8
29-10-2019,381.6,394.0,377.7,382.5
30-10-2019,378.0,390.0,378.0,388.05
31-10-2019,392.5,397.9,381.0,383.3
01-11-2019,393.9,393.9,379.1,379.7
04-11-2019,379.7,387.7,379.7,383.4
05-11-2019,383.65,388.95,380.35,382.9
06-11-2019,385.0,385.0,373.1,378.1
07-11-2019,380.4,383.95,375.0,375.95
08-11-2019,375.1,377.15,370.0,371.05
11-11-2019,372.7,372.7,364.15,367.1
13-11-2019,366.65,371.0,357.1,361.5
14-11-2019,367.7,369.5,354.1,360.05
15-11-2019,367.0,367.0,354.55,355.3
18-11-2019,356.45,360.0,352.0,356.05
19-11-2019,356.1,361.95,352.7,360.75
20-11-2019,363.8,363.8,355.05,357.0
21-11-2019,359.0,360.0,354.05,356.15
22-11-2019,360.0,379.7,357.1,366.15
25-11-2019,364.9,366.95,360.25,363.65
26-11-2019,365.6,366.95,362.1,364.05
27-11-2019,366.7,371.75,365.0,366.45
28-11-2019,367.6,371.65,360.0,366.0
29-11-2019,367.8,369.95,365.0,367.65
02-12-2019,367.0,368.7,362.05,365.0
03-12-2019,365.0,367.25,360.1,363.6
04-12-2019,362.8,363.5,358.0,360.55
05-12-2019,360.95,361.0,347.15,349.95
06-12-2019,352.0,355.7,345.55,353.65
09-12-2019,355.9,360.0,346.35,353.95
10-12-2019,354.2,355.55,348.5,352.9
11-12-2019,352.0,354.35,349.2,350.05
12-12-2019,350.0,354.35,349.8,352.65
13-12-2019,353.0,357.8,351.0,356.95
16-12-2019,357.0,358.3,351.5,357.2
17-12-2019,357.2,373.15,354.3,369.85
18-12-2019,371.6,372.3,361.15,368.65
19-12-2019,368.7,370.4,361.0,365.0
20-12-2019,365.0,367.1,361.2,363.95
23-12-2019,363.1,364.9,357.0,359.8
24-12-2019,359.0,363.0,356.45,358.35
26-12-2019,359.95,360.3,355.0,356.9
27-12-2019,357.0,363.9,353.85,359.55
30-12-2019,361.4,368.5,356.0,366.4
31-12-2019,366.95,379.75,364.05,371.1
01-01-2020,372.05,386.85,370.4,384.25
02-01-2020,384.25,407.05,384.25,400.75
03-01-2020,400.7,410.0,400.65,402.75
06-01-2020,400.9,402.75,385.0,387.15
07-01-2020,389.1,395.95,385.0,386.65
08-01-2020,382.2,393.0,376.0,391.15
