date,open,high,low,close
22-07-2019,23.8,23.95,22.4,22.7
23-07-2019,22.5,24.4,21.15,23.35
24-07-2019,22.05,24.0,21.0,21.4
25-07-2019,20.1,23.5,19.8,20.15
26-07-2019,20.15,22.35,17.45,19.05
29-07-2019,19.05,19.15,16.65,16.95
30-07-2019,16.5,17.0,15.3,15.3
31-07-2019,14.85,15.9,13.8,15.25
01-08-2019,15.9,15.9,13.9,14.85
02-08-2019,14.8,14.85,13.55,14.35
05-08-2019,13.15,14.55,13.15,13.6
06-08-2019,14.75,14.8,13.1,14.05
07-08-2019,14.95,15.4,14.3,15.3
08-08-2019,15.3,16.7,14.3,15.0
09-08-2019,15.25,15.65,14.6,14.9
13-08-2019,16.0,16.0,13.45,13.45
14-08-2019,12.6,13.05,12.15,12.2
16-08-2019,12.15,13.4,11.85,12.95
19-08-2019,12.4,14.2,11.75,13.75
20-08-2019,13.75,14.0,13.0,13.0
21-08-2019,12.55,14.15,12.55,13.95
22-08-2019,15.3,15.3,12.7,13.35
23-08-2019,12.2,14.6,12.2,13.4
26-08-2019,13.2,13.5,13.2,13.45
27-08-2019,13.5,13.5,12.65,12.8
28-08-2019,12.9,12.9,12.55,12.85
29-08-2019,12.15,12.2,11.8,12.0
30-08-2019,12.7,12.7,11.2,12.45
03-09-2019,13.0,13.0,11.3,12.65
04-09-2019,12.0,12.7,12.0,12.1
05-09-2019,11.4,12.0,11.05,11.45
06-09-2019,11.7,12.55,11.25,12.35
09-09-2019,12.0,13.55,12.0,13.5
11-09-2019,14.45,14.85,13.4,14.05
12-09-2019,14.1,15.2,13.5,14.75
13-09-2019,14.85,15.65,13.55,14.65
16-09-2019,14.15,14.75,14.0,14.75
17-09-2019,15.45,15.45,14.1,14.3
18-09-2019,14.0,14.75,13.8,13.85
19-09-2019,13.5,14.0,13.2,13.2
20-09-2019,12.55,12.55,12.55,12.55
23-09-2019,13.0,13.0,11.95,11.95
24-09-2019,11.4,11.4,11.4,11.4
25-09-2019,10.85,10.85,10.85,10.85
26-09-2019,10.35,10.35,10.35,10.35
27-09-2019,9.85,9.9,9.85,9.85
30-09-2019,9.85,9.85,9.4,9.4
01-10-2019,8.95,8.95,8.95,8.95
03-10-2019,8.55,8.55,8.55,8.55
04-10-2019,8.15,8.15,8.15,8.15
07-10-2019,7.75,7.75,7.75,7.75
09-10-2019,7.4,7.5,7.4,7.4
10-10-2019,7.05,7.05,7.05,7.05
11-10-2019,6.7,6.7,6.7,6.7
14-10-2019,6.5,6.5,6.4,6.4
15-10-2019,6.2,6.2,6.1,6.1
16-10-2019,6.1,6.1,5.8,5.8
17-10-2019,5.6,5.6,5.55,5.55
18-10-2019,5.55,5.8,5.3,5.75
22-10-2019,6.0,6.0,5.5,5.75
23-10-2019,5.75,5.75,5.5,5.75
24-10-2019,5.75,5.75,5.5,5.5
25-10-2019,5.5,5.5,5.25,5.25
27-10-2019,5.25,5.4,5.05,5.05
29-10-2019,5.0,5.3,5.0,5.1
30-10-2019,5.2,5.35,4.9,4.95
31-10-2019,5.0,5.0,4.75,4.75
01-11-2019,4.75,4.75,4.55,4.7
04-11-2019,4.9,4.9,4.5,4.5
05-11-2019,4.45,4.45,4.3,4.3
06-11-2019,4.3,4.3,4.1,4.3
07-11-2019,4.5,4.5,4.1,4.1
08-11-2019,3.9,4.1,3.9,4.1
11-11-2019,4.3,4.3,3.9,4.0
13-11-2019,4.0,4.0,3.8,3.8
14-11-2019,3.65,3.65,3.65,3.65
15-11-2019,3.5,3.75,3.5,3.5
