date,open,high,low,close
31-07-2019,9.1,10.05,9.1,10.05
01-08-2019,9.55,9.55,9.55,9.55
06-08-2019,9.55,9.55,9.55,9.55
08-08-2019,9.1,9.1,9.1,9.1
09-08-2019,9.55,9.55,9.55,9.55
21-08-2019,9.1,9.3,9.1,9.1
23-08-2019,8.85,9.0,8.65,9.0
26-08-2019,9.0,9.0,9.0,9.0
27-08-2019,9.0,9.0,9.0,9.0
29-08-2019,8.6,9.4,8.55,9.4
30-08-2019,8.95,9.7,8.95,9.7
03-09-2019,9.2,9.2,9.2,9.2
05-09-2019,8.75,8.75,8.75,8.75
06-09-2019,9.15,9.15,9.15,9.15
11-09-2019,9.6,9.6,9.6,9.6
13-09-2019,9.2,10.0,9.2,10.0
20-09-2019,10.4,10.4,10.0,10.0
23-09-2019,10.5,10.5,10.5,10.5
27-09-2019,10.0,10.0,10.0,10.0
01-10-2019,9.5,9.5,9.5,9.5
03-10-2019,9.05,9.25,9.05,9.25
04-10-2019,8.85,8.85,8.75,8.8
07-10-2019,9.25,9.25,8.6,8.6
09-10-2019,8.6,8.6,8.6,8.6
15-10-2019,9.0,9.0,9.0,9.0
16-10-2019,9.3,9.45,9.3,9.45
23-10-2019,9.5,9.5,9.5,9.5
29-10-2019,9.8,9.95,9.8,9.95
31-10-2019,9.95,9.95,9.95,9.95
01-11-2019,9.5,9.5,9.5,9.5
04-11-2019,9.5,9.5,9.5,9.5
05-11-2019,9.8,9.8,9.8,9.8
07-11-2019,10.2,10.2,9.8,9.8
13-11-2019,9.3,9.3,9.3,9.3
15-11-2019,8.85,8.85,8.85,8.85
18-11-2019,8.4,8.4,8.4,8.4
19-11-2019,8.0,8.0,8.0,8.0
20-11-2019,7.6,7.6,7.6,7.6
21-11-2019,7.2,7.2,7.2,7.2
22-11-2019,6.85,7.6,6.85,7.55
25-11-2019,7.9,7.9,7.9,7.9
27-11-2019,7.5,7.5,7.5,7.5
28-11-2019,7.15,7.9,7.15,7.9
29-11-2019,7.5,7.5,7.5,7.5
02-12-2019,7.15,7.15,7.15,7.15
03-12-2019,7.0,7.0,7.0,7.0
05-12-2019,7.2,7.2,6.65,6.65
06-12-2019,6.65,7.0,6.65,7.0
09-12-2019,7.0,7.0,7.0,7.0
11-12-2019,6.65,6.65,6.65,6.65
12-12-2019,6.3,6.4,6.3,6.4
13-12-2019,6.1,6.2,6.1,6.2
16-12-2019,5.9,6.1,5.9,5.9
17-12-2019,6.15,6.15,6.15,6.15
20-12-2019,6.45,6.45,6.45,6.45
23-12-2019,6.75,6.75,6.2,6.2
24-12-2019,6.5,6.5,6.0,6.0
26-12-2019,6.3,6.3,6.3,6.3
27-12-2019,6.6,6.6,6.2,6.2
30-12-2019,6.55,6.55,6.2,6.2
31-12-2019,6.5,6.5,6.5,6.5
01-01-2020,6.8,6.8,6.8,6.8
02-01-2020,7.15,7.15,6.55,6.55
07-01-2020,6.55,6.55,6.55,6.55
10-01-2020,6.8,6.8,6.8,6.8
14-01-2020,7.1,7.1,7.1,7.1
15-01-2020,6.75,7.0,6.75,7.0
16-01-2020,6.7,6.85,6.65,6.85
21-01-2020,6.5,6.85,6.5,6.85
24-01-2020,6.55,6.55,6.5,6.5
27-01-2020,6.2,6.2,6.2,6.2
29-01-2020,6.5,6.5,6.5,6.5
30-01-2020,6.8,6.8,6.8,6.8
05-02-2020,6.8,6.8,6.8,6.8
17-02-2020,6.6,6.6,6.45,6.6
20-02-2020,6.65,6.65,6.6,6.6
24-02-2020,6.6,6.6,6.6,6.6
25-02-2020,6.6,6.6,6.6,6.6
26-02-2020,6.8,6.8,6.8,6.8
28-02-2020,6.45,6.55,6.45,6.55
