date,open,high,low,close
22-07-2019,1219.4,1236.95,1205.0,1209.05
23-07-2019,1236.95,1236.95,1205.45,1213.8
24-07-2019,1221.0,1228.6,1205.15,1206.45
25-07-2019,1204.0,1229.9,1204.0,1217.1
26-07-2019,1230.45,1275.0,1230.0,1267.8
29-07-2019,1270.0,1284.0,1195.05,1200.95
30-07-2019,1205.0,1210.15,1183.0,1186.65
31-07-2019,1186.65,1206.5,1152.25,1205.9
01-08-2019,1205.9,1222.0,1160.4,1183.8
02-08-2019,1188.0,1225.0,1165.4,1205.65
05-08-2019,1202.0,1225.0,1165.1,1195.6
06-08-2019,1184.1,1206.0,1184.1,1196.7
07-08-2019,1196.0,1199.4,1184.0,1188.85
08-08-2019,1186.0,1186.0,1145.0,1164.65
09-08-2019,1185.0,1198.4,1171.0,1187.75
13-08-2019,1182.3,1182.3,1159.0,1169.9
14-08-2019,1169.9,1189.7,1160.0,1184.35
16-08-2019,1181.0,1181.95,1170.1,1171.8
19-08-2019,1162.0,1213.05,1162.0,1197.3
20-08-2019,1190.0,1202.0,1180.4,1195.85
21-08-2019,1186.0,1194.95,1172.1,1181.35
22-08-2019,1174.05,1177.0,1140.4,1165.25
23-08-2019,1166.0,1190.0,1139.4,1170.6
26-08-2019,1175.4,1210.0,1175.4,1200.45
27-08-2019,1200.0,1212.35,1200.0,1200.7
28-08-2019,1193.45,1209.4,1180.1,1200.85
29-08-2019,1191.0,1203.95,1185.1,1185.7
30-08-2019,1214.4,1248.0,1190.1,1227.7
03-09-2019,1227.7,1240.0,1175.4,1205.0
04-09-2019,1185.4,1205.0,1180.1,1204.65
05-09-2019,1249.0,1249.0,1190.4,1223.3
06-09-2019,1210.0,1256.0,1195.0,1242.35
09-09-2019,1245.0,1290.0,1224.4,1282.45
11-09-2019,1282.45,1285.0,1257.0,1275.0
12-09-2019,1279.9,1288.0,1257.0,1272.55
13-09-2019,1262.65,1287.0,1262.65,1275.1
16-09-2019,1252.0,1320.0,1250.4,1301.85
17-09-2019,1281.0,1301.55,1272.4,1279.85
18-09-2019,1295.95,1305.0,1273.0,1299.95
19-09-2019,1287.0,1295.0,1275.4,1292.1
20-09-2019,1294.4,1315.0,1283.5,1300.55
23-09-2019,1300.0,1372.65,1300.0,1322.0
24-09-2019,1310.05,1339.0,1301.0,1307.2
25-09-2019,1283.4,1324.35,1281.0,1294.75
26-09-2019,1295.0,1309.3,1290.0,1296.0
27-09-2019,1300.0,1303.0,1284.4,1290.65
30-09-2019,1280.25,1298.85,1280.0,1285.25
01-10-2019,1300.0,1315.0,1280.2,1293.35
03-10-2019,1276.0,1287.7,1260.0,1280.0
04-10-2019,1298.95,1300.0,1270.0,1286.85
07-10-2019,1277.0,1295.0,1277.0,1291.4
09-10-2019,1294.9,1297.95,1260.0,1273.25
10-10-2019,1275.0,1289.4,1261.0,1270.0
11-10-2019,1287.4,1289.9,1266.0,1282.7
14-10-2019,1310.0,1349.5,1310.0,1330.45
15-10-2019,1330.45,1338.0,1301.0,1308.8
16-10-2019,1316.0,1338.0,1316.0,1333.35
17-10-2019,1330.0,1363.0,1330.0,1355.15
18-10-2019,1364.4,1388.0,1326.45,1357.2
22-10-2019,1337.0,1360.0,1326.05,1347.1
23-10-2019,1325.05,1349.4,1316.4,1331.5
24-10-2019,1318.0,1374.9,1318.0,1351.95
25-10-2019,1315.4,1355.0,1315.4,1339.7
27-10-2019,1388.0,1402.0,1354.8,1365.3
29-10-2019,1371.95,1406.0,1352.05,1380.35
30-10-2019,1378.0,1393.0,1370.0,1390.05
31-10-2019,1394.95,1449.0,1385.05,1402.8
01-11-2019,1380.0,1399.9,1345.0,1372.95
04-11-2019,1375.0,1384.0,1355.0,1376.9
05-11-2019,1368.0,1376.4,1360.1,1364.7
06-11-2019,1375.15,1375.15,1350.0,1353.85
07-11-2019,1335.0,1369.8,1335.0,1352.65
08-11-2019,1352.65,1399.0,1340.4,1369.45
11-11-2019,1369.45,1369.45,1325.0,1352.1
13-11-2019,1378.95,1378.95,1331.55,1339.2
14-11-2019,1356.4,1365.4,1325.0,1341.45
15-11-2019,1330.0,1348.4,1320.4,1331.7
18-11-2019,1323.1,1350.0,1315.0,1321.6
19-11-2019,1320.0,1339.05,1320.0,1325.1
20-11-2019,1340.0,1340.0,1301.55,1307.7
21-11-2019,1323.4,1324.0,1288.0,1291.0
22-11-2019,1291.0,1318.0,1275.0,1306.05
25-11-2019,1306.0,1313.05,1293.0,1305.05
26-11-2019,1300.1,1335.0,1300.1,1328.8
27-11-2019,1328.85,1335.0,1312.4,1320.0
28-11-2019,1323.0,1350.0,1321.05,1336.7
29-11-2019,1323.05,1332.15,1321.0,1328.55
02-12-2019,1335.95,1343.9,1320.75,1325.1
03-12-2019,1320.05,1320.05,1300.1,1305.35
04-12-2019,1310.0,1324.0,1301.0,1302.65
05-12-2019,1314.9,1314.9,1304.0,1310.15
06-12-2019,1310.15,1321.0,1276.6,1289.75
09-12-2019,1290.0,1302.0,1275.1,1283.85
10-12-2019,1290.0,1290.4,1250.1,1264.2
11-12-2019,1288.0,1300.0,1260.1,1291.55
12-12-2019,1294.05,1307.0,1278.3,1296.4
13-12-2019,1296.4,1302.95,1282.4,1298.0
16-12-2019,1295.0,1295.05,1284.0,1284.75
17-12-2019,1305.0,1305.0,1282.0,1286.1
18-12-2019,1286.1,1298.4,1261.0,1265.9
19-12-2019,1265.9,1286.0,1265.9,1279.5
20-12-2019,1285.0,1305.0,1279.5,1300.5
23-12-2019,1285.2,1315.0,1285.2,1306.2
24-12-2019,1282.0,1315.0,1282.0,1304.2
26-12-2019,1304.2,1314.0,1297.0,1303.35
27-12-2019,1297.0,1316.4,1292.0,1311.85
30-12-2019,1314.0,1326.0,1301.45,1314.6
31-12-2019,1326.0,1326.0,1298.7,1306.75
01-01-2020,1295.7,1317.95,1294.95,1296.2
02-01-2020,1301.0,1360.0,1301.0,1347.4
03-01-2020,1355.0,1380.0,1340.05,1369.45
06-01-2020,1370.0,1384.0,1320.0,1342.8
07-01-2020,1342.8,1370.0,1342.8,1369.65
08-01-2020,1342.0,1375.0,1335.0,1368.7
09-01-2020,1394.0,1499.0,1361.4,1429.1
10-01-2020,1425.0,1448.0,1405.05,1435.55
13-01-2020,1440.0,1474.9,1420.0,1422.25
14-01-2020,1421.0,1437.4,1421.0,1432.0
15-01-2020,1418.0,1423.5,1398.0,1408.2
16-01-2020,1423.0,1434.4,1399.4,1416.1
17-01-2020,1400.0,1450.0,1391.1,1438.2
20-01-2020,1438.2,1465.0,1422.45,1459.0
21-01-2020,1460.0,1610.0,1451.25,1560.2
22-01-2020,1533.05,1616.0,1525.0,1538.8
23-01-2020,1546.5,1575.0,1526.6,1546.6
24-01-2020,1554.35,1560.0,1525.0,1547.1
27-01-2020,1501.0,1575.0,1501.0,1520.9
28-01-2020,1524.4,1620.0,1524.4,1552.55
29-01-2020,1559.0,1630.0,1546.35,1603.55
30-01-2020,1531.0,1548.75,1444.0,1458.05
31-01-2020,1465.35,1485.8,1400.0,1408.45
01-02-2020,1408.0,1412.0,1375.0,1384.65
03-02-2020,1383.0,1383.0,1332.6,1347.3
04-02-2020,1354.0,1470.0,1352.4,1438.3
05-02-2020,1444.4,1478.3,1400.1,1418.45
06-02-2020,1425.5,1466.35,1413.0,1418.8
07-02-2020,1416.95,1425.8,1372.7,1388.5
10-02-2020,1395.4,1427.1,1374.6,1422.4
11-02-2020,1422.4,1424.95,1398.0,1400.05
12-02-2020,1406.4,1422.0,1390.0,1398.05
13-02-2020,1398.05,1398.35,1381.35,1390.2
14-02-2020,1390.2,1407.8,1370.35,1384.65
17-02-2020,1383.4,1391.15,1371.4,1375.05
18-02-2020,1368.0,1370.8,1322.05,1326.7
19-02-2020,1337.5,1360.0,1333.85,1350.45
20-02-2020,1356.45,1410.5,1356.45,1404.05
24-02-2020,1399.0,1410.0,1366.0,1375.4
25-02-2020,1371.0,1379.4,1336.0,1354.85
26-02-2020,1336.0,1355.0,1330.4,1345.7
27-02-2020,1330.45,1356.55,1306.7,1337.8
28-02-2020,1302.4,1345.0,1260.0,1270.6
02-03-2020,1280.4,1318.0,1279.95,1283.1
03-03-2020,1295.0,1296.0,1268.25,1288.15
04-03-2020,1346.9,1346.9,1260.0,1274.25
05-03-2020,1319.0,1320.0,1261.05,1269.55
06-03-2020,1257.0,1260.0,1221.0,1241.4
09-03-2020,1235.0,1278.4,1177.2,1194.45
11-03-2020,1266.0,1266.0,1200.05,1231.7
12-03-2020,1175.1,1219.0,1129.9,1137.6
13-03-2020,1128.0,1148.0,1000.05,1112.45
16-03-2020,1053.1,1154.4,1053.05,1120.35
17-03-2020,1080.05,1138.4,1030.0,1041.7
18-03-2020,1030.0,1098.4,990.0,1003.2
19-03-2020,1009.4,1049.9,925.0,945.95
20-03-2020,998.0,998.0,915.0,963.45
23-03-2020,900.0,948.0,820.0,854.65
24-03-2020,968.7,968.7,850.0,875.4
25-03-2020,877.05,948.0,851.0,923.15
26-03-2020,927.75,948.4,890.0,893.55
27-03-2020,946.35,946.4,849.7,861.6
30-03-2020,870.05,890.0,865.05,880.05
31-03-2020,883.45,909.4,879.65,901.85
01-04-2020,938.95,990.0,900.55,953.15
03-04-2020,975.0,977.35,929.95,934.45
07-04-2020,941.45,988.35,940.1,944.95
08-04-2020,951.4,975.0,947.85,963.85
09-04-2020,969.2,1000.0,964.0,986.15
13-04-2020,990.45,1007.05,990.4,995.8
15-04-2020,972.0,1109.7,972.0,1030.95
16-04-2020,1059.35,1059.35,1020.2,1023.5
17-04-2020,1046.05,1046.05,1010.0,1018.55
20-04-2020,1038.05,1063.0,1014.95,1052.0
21-04-2020,1084.95,1084.95,1012.65,1023.65
22-04-2020,1013.15,1045.45,973.8,1013.85
23-04-2020,1010.05,1059.0,1003.0,1052.8
24-04-2020,1068.0,1068.0,1003.0,1014.55
27-04-2020,1035.05,1038.65,999.0,1011.25
28-04-2020,1044.0,1046.4,1019.5,1041.9
29-04-2020,1027.8,1059.8,1027.75,1056.85
30-04-2020,1046.45,1097.0,999.0,1009.75
04-05-2020,981.0,1028.0,981.0,1010.5
05-05-2020,1011.95,1025.05,995.4,1001.8
06-05-2020,981.0,1020.05,977.75,986.2
07-05-2020,1004.4,1004.4,983.05,1001.1
08-05-2020,985.4,1004.0,980.0,993.0
11-05-2020,1019.35,1019.35,995.0,1000.4
12-05-2020,983.45,999.7,964.95,999.6
13-05-2020,1018.95,1019.0,992.0,1011.0
14-05-2020,998.0,1009.4,994.0,1000.0
15-05-2020,1005.4,1010.0,984.55,999.05
18-05-2020,1000.4,1000.4,972.0,976.6
19-05-2020,980.0,994.0,974.0,979.55
20-05-2020,979.6,1000.0,976.05,980.0
21-05-2020,1000.0,1000.0,980.0,982.25
22-05-2020,1009.95,1037.4,965.4,986.1
26-05-2020,990.4,1014.4,987.0,994.45
27-05-2020,1017.95,1030.0,1003.4,1020.55
28-05-2020,1003.05,1014.95,980.0,997.35
29-05-2020,984.0,1009.4,984.0,998.15
01-06-2020,1005.0,1030.0,1005.0,1016.0
02-06-2020,1019.8,1035.0,1013.2,1016.7
03-06-2020,1015.45,1074.95,1011.0,1066.3
04-06-2020,1075.75,1088.4,1055.4,1063.2
05-06-2020,1079.4,1080.0,1050.4,1074.75
08-06-2020,1089.0,1089.0,1055.4,1084.7
09-06-2020,1061.0,1090.0,1061.0,1077.75
10-06-2020,1084.35,1115.45,1084.2,1091.35
11-06-2020,1072.05,1088.95,1050.0,1055.1
12-06-2020,1051.0,1088.0,1015.0,1061.45
15-06-2020,1098.0,1098.0,1031.0,1035.8
16-06-2020,1058.0,1085.0,1036.0,1077.15
17-06-2020,1055.0,1058.05,1010.0,1026.5
18-06-2020,1048.0,1048.0,1017.05,1029.55
19-06-2020,1034.7,1038.0,1021.4,1028.45
22-06-2020,1031.0,1043.4,1011.6,1023.45
23-06-2020,1005.1,1030.0,1005.1,1030.0
24-06-2020,1035.15,1054.0,1002.0,1014.4
25-06-2020,1019.5,1040.0,1010.05,1036.6
26-06-2020,1041.8,1048.4,1030.0,1034.85
29-06-2020,1029.0,1040.05,1015.0,1034.05
30-06-2020,1038.2,1049.0,1018.0,1022.6
01-07-2020,1039.4,1044.95,998.0,1006.75
02-07-2020,1033.0,1035.0,1010.0,1016.45
03-07-2020,1021.5,1037.35,1018.0,1023.8
06-07-2020,1049.0,1049.0,1020.4,1036.5
07-07-2020,1036.5,1045.0,1032.0,1042.35
08-07-2020,1047.6,1140.0,1047.6,1095.35
09-07-2020,1100.0,1159.4,1100.0,1142.3
10-07-2020,1140.0,1148.8,1120.0,1122.05
13-07-2020,1120.0,1127.7,1065.0,1097.95
14-07-2020,1079.4,1119.95,1070.4,1085.35
15-07-2020,1090.8,1108.4,1070.0,1079.0
16-07-2020,1084.4,1084.4,1056.4,1069.0
17-07-2020,1074.35,1077.2,1052.0,1054.85
20-07-2020,1060.15,1076.85,1048.0,1051.45
21-07-2020,1056.75,1095.3,1051.95,1085.05
22-07-2020,1090.0,1091.0,1070.0,1081.0
23-07-2020,1086.45,1100.0,1075.4,1088.7
24-07-2020,1065.0,1070.0,1047.0,1054.9
27-07-2020,1060.2,1060.2,1027.4,1039.85
28-07-2020,1045.05,1081.95,1025.0,1066.45
29-07-2020,1060.0,1060.0,1044.0,1046.85
30-07-2020,1035.55,1058.0,1031.4,1042.2
31-07-2020,1030.4,1060.0,1029.0,1043.75
03-08-2020,1030.0,1060.0,1022.75,1028.1
04-08-2020,1017.05,1049.0,1017.05,1041.4
05-08-2020,1041.4,1064.25,1041.4,1055.0
06-08-2020,1055.0,1060.3,1041.4,1055.3
07-08-2020,1053.95,1054.0,1044.0,1046.45
10-08-2020,1051.7,1076.9,1031.0,1060.9
11-08-2020,1062.0,1218.9,1056.6,1177.35
12-08-2020,1176.0,1198.9,1141.0,1145.05
13-08-2020,1150.8,1200.0,1150.8,1169.75
14-08-2020,1175.0,1199.9,1153.05,1166.05
17-08-2020,1152.0,1234.0,1152.0,1217.15
18-08-2020,1220.0,1225.0,1197.0,1202.6
19-08-2020,1208.65,1230.0,1200.0,1207.15
20-08-2020,1225.0,1448.55,1192.05,1402.9
21-08-2020,1450.0,1500.0,1401.0,1418.5
24-08-2020,1407.55,1486.0,1405.0,1446.15
25-08-2020,1445.0,1456.0,1385.4,1434.85
26-08-2020,1403.45,1425.05,1370.0,1382.15
27-08-2020,1380.0,1420.0,1356.95,1363.05
28-08-2020,1384.85,1384.85,1303.9,1312.6
31-08-2020,1334.0,1334.0,1230.0,1248.5
01-09-2020,1248.35,1298.0,1206.0,1263.45
02-09-2020,1260.05,1280.0,1241.0,1247.55
03-09-2020,1277.95,1277.95,1233.0,1260.15
04-09-2020,1260.0,1274.0,1231.0,1239.05
07-09-2020,1250.0,1267.95,1211.0,1224.95
08-09-2020,1249.0,1260.0,1225.3,1249.5
09-09-2020,1215.25,1240.0,1201.0,1217.35
10-09-2020,1245.85,1278.0,1216.9,1240.4
11-09-2020,1260.0,1260.0,1216.9,1229.6
14-09-2020,1254.95,1359.95,1241.0,1343.75
15-09-2020,1343.0,1371.0,1309.95,1321.6
16-09-2020,1348.0,1348.0,1300.1,1302.9
17-09-2020,1298.95,1324.0,1274.55,1290.35
18-09-2020,1295.0,1311.0,1274.55,1284.9
21-09-2020,1270.05,1308.75,1230.0,1252.0
22-09-2020,1267.5,1267.6,1183.85,1220.8
23-09-2020,1243.75,1243.75,1201.0,1205.8
24-09-2020,1211.05,1219.4,1180.0,1194.7
25-09-2020,1223.85,1225.0,1201.4,1209.95
28-09-2020,1209.95,1242.0,1209.95,1239.9
29-09-2020,1241.85,1256.3,1230.0,1247.95
30-09-2020,1254.9,1254.9,1233.05,1249.0
01-10-2020,1261.95,1261.95,1224.7,1229.45
05-10-2020,1241.05,1244.85,1205.3,1218.4
06-10-2020,1224.85,1237.55,1224.8,1230.0
07-10-2020,1230.05,1252.0,1214.95,1235.95
08-10-2020,1221.7,1233.95,1202.0,1209.45
09-10-2020,1225.05,1238.9,1201.1,1216.45
12-10-2020,1220.05,1238.4,1199.8,1204.75
13-10-2020,1191.4,1226.85,1181.0,1209.35
14-10-2020,1212.95,1225.05,1188.45,1199.45
15-10-2020,1201.05,1218.95,1190.05,1206.05
16-10-2020,1190.45,1205.05,1179.0,1186.7
19-10-2020,1175.15,1208.05,1175.15,1191.65
20-10-2020,1190.0,1221.45,1190.0,1197.45
21-10-2020,1218.0,1234.45,1218.0,1228.7
22-10-2020,1248.0,1248.0,1193.1,1213.25
23-10-2020,1190.0,1195.45,1175.0,1188.7
26-10-2020,1190.0,1205.0,1174.0,1176.65
27-10-2020,1194.45,1199.05,1180.4,1186.2
28-10-2020,1197.95,1198.0,1165.0,1175.5
29-10-2020,1170.95,1187.8,1166.8,1181.75
30-10-2020,1180.0,1185.0,1160.0,1162.9
02-11-2020,1183.5,1183.5,1155.55,1159.3
03-11-2020,1171.05,1173.05,1150.1,1159.8
04-11-2020,1160.05,1169.35,1150.0,1160.95
05-11-2020,1155.45,1170.05,1142.0,1144.15
06-11-2020,1169.0,1185.0,1137.7,1143.45
09-11-2020,1178.95,1179.0,1125.0,1129.55
10-11-2020,1148.95,1174.8,1101.0,1111.15
