date,open,high,low,close
15-11-2022,359.5,364.8,321.1,324.8
16-11-2022,325.0,348.65,323.5,345.45
17-11-2022,343.0,346.4,334.3,340.45
18-11-2022,341.95,344.5,335.0,336.65
21-11-2022,336.0,347.0,327.7,342.95
22-11-2022,340.1,347.0,339.0,341.7
23-11-2022,341.7,343.9,335.05,337.3
24-11-2022,339.9,356.0,338.0,345.65
25-11-2022,347.2,365.9,347.2,360.25
28-11-2022,365.0,378.55,363.65,375.35
29-11-2022,386.0,391.0,363.85,366.15
30-11-2022,368.0,370.8,360.25,366.9
01-12-2022,371.4,379.0,370.3,373.55
02-12-2022,373.55,382.0,369.0,379.95
05-12-2022,381.85,384.0,376.05,381.95
06-12-2022,380.15,387.7,375.0,380.3
07-12-2022,379.7,403.2,379.1,389.55
08-12-2022,392.5,394.6,385.5,387.95
09-12-2022,390.0,390.75,374.4,376.75
12-12-2022,375.95,399.5,374.45,390.0
13-12-2022,391.95,398.2,387.3,391.05
14-12-2022,392.2,415.8,391.05,404.3
15-12-2022,405.0,409.7,398.5,404.7
16-12-2022,399.0,407.45,387.1,391.25
19-12-2022,389.0,393.0,386.0,388.7
20-12-2022,388.0,393.35,380.25,385.8
21-12-2022,387.25,390.7,363.05,369.75
22-12-2022,371.7,374.15,355.3,362.35
23-12-2022,357.5,363.0,346.5,352.0
26-12-2022,353.8,363.85,348.25,351.8
27-12-2022,355.0,365.75,352.0,359.0
28-12-2022,358.95,378.9,357.45,373.15
29-12-2022,373.95,382.8,373.0,376.6
30-12-2022,377.45,382.95,361.15,364.2
02-01-2023,367.15,376.95,364.25,371.25
03-01-2023,371.4,398.0,371.4,396.0
04-01-2023,396.0,399.5,383.8,393.15
05-01-2023,392.0,394.9,381.25,388.35
06-01-2023,390.2,394.5,376.9,385.25
09-01-2023,386.95,404.4,386.95,393.4
10-01-2023,395.4,398.35,383.55,389.6
11-01-2023,393.9,393.9,384.0,386.7
12-01-2023,387.0,391.4,377.7,389.45
13-01-2023,386.15,396.1,386.15,391.15
16-01-2023,391.95,397.5,386.25,389.65
17-01-2023,391.3,418.8,387.3,404.1
18-01-2023,406.95,421.9,402.75,409.6
19-01-2023,408.95,416.5,401.6,403.1
20-01-2023,406.65,413.65,400.6,410.7
23-01-2023,413.7,414.5,404.0,408.25
24-01-2023,408.3,416.25,406.05,412.8
25-01-2023,413.9,414.0,395.05,403.0
27-01-2023,401.2,404.45,372.3,375.3
30-01-2023,375.3,390.0,370.1,375.45
31-01-2023,385.0,414.2,385.0,406.25
01-02-2023,412.8,429.95,405.0,412.15
02-02-2023,414.75,421.0,406.0,409.55
03-02-2023,411.6,418.05,396.0,403.25
06-02-2023,401.25,426.95,401.1,421.6
07-02-2023,423.75,429.95,413.05,415.15
08-02-2023,413.0,444.4,412.8,434.0
09-02-2023,435.6,436.8,420.8,429.65
10-02-2023,429.1,436.0,404.2,415.25
13-02-2023,429.0,429.0,405.0,409.95
14-02-2023,410.0,412.6,396.7,401.6
15-02-2023,400.0,428.05,398.15,416.55
16-02-2023,418.65,420.6,407.0,413.9
17-02-2023,414.0,419.65,408.05,416.3
20-02-2023,418.3,418.3,406.0,410.0
21-02-2023,411.95,423.7,405.0,417.15
22-02-2023,412.7,413.8,398.0,400.85
23-02-2023,400.1,405.9,396.7,399.05
24-02-2023,400.9,412.9,400.9,407.1
27-02-2023,407.1,407.1,384.8,395.35
28-02-2023,395.35,403.75,388.0,395.1
01-03-2023,395.9,404.7,395.9,402.5
02-03-2023,402.3,407.0,400.0,403.9
03-03-2023,405.05,411.1,400.05,401.05
06-03-2023,402.0,410.85,400.0,401.95
08-03-2023,401.0,411.8,398.35,409.2
09-03-2023,409.2,411.4,403.6,405.8
10-03-2023,400.0,407.0,398.05,404.85
13-03-2023,396.15,404.45,388.8,392.95
14-03-2023,395.9,402.0,388.0,393.7
15-03-2023,399.9,402.4,395.6,398.05
16-03-2023,392.3,402.7,391.85,398.55
17-03-2023,400.0,402.9,392.65,401.45
20-03-2023,397.5,401.9,393.2,395.85
21-03-2023,401.95,401.95,393.15,395.95
22-03-2023,397.4,405.0,394.1,402.5
23-03-2023,403.0,405.0,396.7,401.1
24-03-2023,402.75,402.75,389.1,392.15
27-03-2023,392.0,392.0,375.0,382.3
28-03-2023,382.0,395.0,379.25,386.85
29-03-2023,388.3,404.0,385.05,400.9
31-03-2023,402.9,408.65,393.35,400.75
03-04-2023,402.0,404.2,396.05,397.45
05-04-2023,395.0,408.0,395.0,402.85
06-04-2023,401.0,419.0,400.9,412.65
10-04-2023,412.95,416.0,401.0,403.95
11-04-2023,410.0,418.0,405.55,416.6
12-04-2023,418.05,423.35,403.45,407.45
13-04-2023,411.5,411.8,401.1,404.25
17-04-2023,404.25,404.25,395.0,398.25
18-04-2023,401.6,412.8,400.0,409.85
19-04-2023,410.0,421.0,410.0,415.5
20-04-2023,416.0,420.0,406.55,408.55
21-04-2023,408.9,409.75,396.1,401.35
24-04-2023,399.0,406.1,398.75,404.8
25-04-2023,408.0,417.0,404.0,413.6
26-04-2023,408.1,416.0,405.2,411.0
27-04-2023,410.95,418.8,410.25,415.75
