date,open,high,low,close
22-07-2019,215.6,216.95,212.0,212.95
23-07-2019,211.05,215.7,211.0,212.05
24-07-2019,210.0,217.7,208.0,214.3
25-07-2019,203.1,205.85,192.65,197.15
26-07-2019,197.0,197.3,183.1,183.85
29-07-2019,183.9,188.9,175.2,177.55
30-07-2019,175.0,178.4,163.3,165.05
31-07-2019,165.0,165.0,153.95,154.8
01-08-2019,154.1,154.75,146.5,147.0
02-08-2019,143.2,152.7,143.2,145.25
05-08-2019,146.7,146.7,137.6,140.05
06-08-2019,141.0,154.7,139.25,147.2
07-08-2019,145.5,146.75,141.55,142.05
08-08-2019,143.1,153.8,142.2,152.0
09-08-2019,153.5,163.95,152.1,161.75
13-08-2019,163.95,166.8,156.05,159.85
14-08-2019,160.0,163.0,158.0,161.7
16-08-2019,159.0,161.45,155.0,156.15
19-08-2019,156.0,162.9,154.2,161.5
20-08-2019,160.0,162.7,155.05,158.15
21-08-2019,155.2,158.95,150.1,150.95
22-08-2019,150.95,154.7,142.7,151.15
23-08-2019,150.0,154.95,147.3,152.05
26-08-2019,155.0,158.95,154.2,155.2
27-08-2019,158.9,160.0,152.1,153.4
28-08-2019,152.0,155.0,149.7,151.8
29-08-2019,154.0,154.0,149.5,150.5
30-08-2019,150.5,153.7,150.0,150.55
03-09-2019,149.75,152.0,146.2,150.1
04-09-2019,150.0,156.95,147.05,153.15
05-09-2019,152.25,156.9,152.2,155.35
06-09-2019,153.0,159.0,152.95,157.2
09-09-2019,158.05,167.9,157.5,161.75
11-09-2019,164.95,170.95,161.8,165.5
12-09-2019,165.3,173.0,165.0,165.8
13-09-2019,167.6,167.6,160.55,163.5
16-09-2019,161.7,169.0,160.25,165.7
17-09-2019,166.1,168.95,157.0,157.5
18-09-2019,158.0,162.3,151.2,153.55
19-09-2019,154.55,157.55,150.6,152.45
20-09-2019,155.0,164.4,153.05,155.5
23-09-2019,157.35,186.6,157.35,180.2
24-09-2019,180.05,180.05,170.75,175.7
25-09-2019,177.35,177.35,169.0,172.5
26-09-2019,172.5,184.0,171.55,180.95
27-09-2019,181.95,185.2,174.15,175.75
30-09-2019,176.0,194.0,168.05,190.1
01-10-2019,191.0,192.05,173.0,189.0
03-10-2019,185.0,189.95,181.5,183.85
04-10-2019,185.9,187.1,172.0,174.25
07-10-2019,174.25,176.95,169.15,170.4
09-10-2019,170.0,177.7,167.6,173.2
10-10-2019,170.0,173.95,169.9,172.25
11-10-2019,174.9,175.0,165.85,169.2
14-10-2019,169.0,172.3,167.3,168.9
15-10-2019,172.0,176.0,168.05,173.85
16-10-2019,176.7,176.7,171.15,171.6
17-10-2019,171.0,192.35,163.95,183.45
18-10-2019,189.0,201.85,182.35,194.9
22-10-2019,195.0,195.0,184.3,187.85
23-10-2019,185.1,193.05,185.1,187.55
24-10-2019,187.95,189.55,182.5,183.6
25-10-2019,182.45,183.6,177.6,179.6
27-10-2019,181.7,181.7,176.2,178.2
29-10-2019,178.8,197.0,177.3,192.75
30-10-2019,192.75,214.4,189.95,205.4
31-10-2019,207.9,213.5,204.0,205.45
01-11-2019,206.0,209.0,199.0,200.95
04-11-2019,202.0,208.0,198.2,199.45
05-11-2019,201.0,203.0,193.0,193.5
06-11-2019,186.0,186.0,168.5,170.7
07-11-2019,172.7,173.5,167.0,168.6
08-11-2019,167.0,171.95,165.7,167.1
11-11-2019,167.1,170.6,164.0,166.2
13-11-2019,168.9,189.95,158.1,179.0
14-11-2019,184.0,184.0,176.1,177.45
15-11-2019,177.45,181.05,173.15,173.65
18-11-2019,172.0,179.0,171.05,173.6
19-11-2019,173.0,177.6,168.8,174.25
20-11-2019,177.0,177.0,172.6,173.45
21-11-2019,174.1,175.0,170.0,170.4
22-11-2019,171.95,172.5,167.65,170.05
25-11-2019,170.2,174.7,170.05,172.8
26-11-2019,173.65,176.25,161.55,165.3
27-11-2019,163.2,169.2,163.2,166.05
28-11-2019,166.05,166.8,160.75,161.35
29-11-2019,162.45,163.4,158.8,159.5
02-12-2019,159.85,161.95,155.25,156.4
03-12-2019,156.7,158.2,155.0,156.0
04-12-2019,156.0,158.15,153.8,154.5
05-12-2019,154.65,155.8,149.05,150.0
06-12-2019,150.05,150.35,145.8,146.85
09-12-2019,146.0,151.95,142.0,146.75
10-12-2019,148.7,148.7,144.05,144.7
11-12-2019,145.0,146.8,142.9,143.15
12-12-2019,143.25,150.45,143.25,148.25
13-12-2019,148.15,166.1,147.2,155.7
16-12-2019,156.0,156.0,150.2,151.05
17-12-2019,151.65,161.75,151.5,154.65
18-12-2019,154.65,157.15,151.75,153.15
19-12-2019,154.85,156.5,148.95,149.6
20-12-2019,148.25,152.15,145.05,146.2
23-12-2019,146.1,150.1,142.8,146.05
24-12-2019,147.0,151.95,142.0,147.25
26-12-2019,148.0,151.75,146.0,147.3
27-12-2019,147.95,153.0,145.05,147.65
30-12-2019,149.2,150.95,148.15,149.05
31-12-2019,150.4,150.45,147.0,147.2
01-01-2020,148.2,150.0,147.05,148.2
02-01-2020,147.0,154.9,147.0,152.3
03-01-2020,153.4,161.45,151.8,156.55
06-01-2020,155.0,157.3,150.35,151.65
07-01-2020,153.85,154.45,150.2,151.05
08-01-2020,148.0,155.75,148.0,152.05
09-01-2020,154.55,158.5,153.0,156.0
10-01-2020,158.8,163.3,155.25,155.85
13-01-2020,156.0,158.95,155.5,156.35
14-01-2020,156.35,162.0,156.35,159.95
15-01-2020,160.85,160.85,157.5,158.05
16-01-2020,160.75,169.9,157.8,162.95
17-01-2020,164.35,166.7,162.1,162.95
20-01-2020,163.65,163.8,157.0,157.6
21-01-2020,157.1,158.45,154.1,155.3
22-01-2020,156.15,156.15,152.2,152.85
23-01-2020,154.35,165.95,153.15,162.8
24-01-2020,163.8,164.6,160.15,161.25
27-01-2020,162.4,164.6,160.5,161.4
28-01-2020,163.45,163.45,156.0,157.15
29-01-2020,166.1,169.0,163.0,164.8
30-01-2020,164.85,177.7,161.05,174.45
31-01-2020,174.45,174.5,166.0,166.85
01-02-2020,166.7,169.9,156.75,158.0
03-02-2020,158.0,159.8,154.55,157.85
04-02-2020,157.25,161.5,157.0,159.7
05-02-2020,162.9,162.9,158.2,159.1
06-02-2020,161.5,179.5,159.15,171.0
07-02-2020,171.85,175.5,167.6,173.8
10-02-2020,164.85,167.65,158.5,160.8
11-02-2020,163.95,164.45,156.0,157.8
12-02-2020,158.45,160.0,149.1,150.45
13-02-2020,151.95,156.5,146.75,148.65
14-02-2020,147.1,149.8,143.8,144.4
17-02-2020,143.25,149.0,142.6,144.5
18-02-2020,146.3,146.3,139.8,141.3
19-02-2020,140.0,143.35,138.6,140.6
20-02-2020,140.6,141.55,138.15,138.75
24-02-2020,138.75,138.75,135.15,136.25
25-02-2020,136.0,136.95,130.0,130.6
26-02-2020,130.1,131.4,126.05,129.0
27-02-2020,129.95,129.95,123.0,125.3
28-02-2020,118.0,123.65,118.0,120.5
02-03-2020,121.1,133.5,121.1,127.5
