date,open,high,low,close
12-06-2023,72.0,73.5,68.4,68.4
13-06-2023,65.0,65.0,65.0,65.0
14-06-2023,61.75,66.6,61.75,61.75
15-06-2023,58.7,61.9,58.7,59.15
16-06-2023,59.75,62.1,59.15,62.1
19-06-2023,65.2,65.2,65.15,65.2
20-06-2023,68.45,68.45,66.0,68.45
21-06-2023,68.0,71.85,65.05,65.55
22-06-2023,66.0,68.4,65.0,67.6
23-06-2023,67.6,69.0,66.65,67.85
26-06-2023,69.9,71.25,62.5,63.8
27-06-2023,64.9,66.8,64.05,65.0
28-06-2023,66.2,67.6,64.65,66.25
30-06-2023,68.0,76.15,67.05,73.2
03-07-2023,74.0,80.3,74.0,77.9
04-07-2023,79.0,80.4,76.4,76.7
05-07-2023,76.7,81.0,76.7,78.85
06-07-2023,79.0,84.8,77.0,83.6
07-07-2023,84.0,86.0,80.7,84.1
10-07-2023,84.8,85.4,82.1,82.65
11-07-2023,83.2,83.25,81.4,82.85
12-07-2023,83.2,85.4,81.45,81.85
13-07-2023,81.85,82.8,77.1,78.55
14-07-2023,79.0,79.8,77.3,78.7
17-07-2023,79.4,80.4,76.5,77.25
18-07-2023,77.25,77.9,74.6,75.3
19-07-2023,75.3,77.0,73.1,73.8
20-07-2023,73.4,75.6,72.35,72.65
21-07-2023,72.5,74.5,69.8,70.0
24-07-2023,69.6,70.8,68.0,69.7
25-07-2023,69.8,71.85,69.3,70.95
26-07-2023,71.0,71.7,69.25,70.4
27-07-2023,69.6,72.3,69.6,70.15
28-07-2023,70.2,71.0,68.45,69.75
31-07-2023,69.2,77.6,69.2,75.05
01-08-2023,75.45,77.6,74.6,75.8
02-08-2023,76.0,76.35,71.55,73.55
03-08-2023,72.25,75.95,72.25,75.35
04-08-2023,75.5,77.2,75.0,76.6
07-08-2023,77.15,78.6,72.0,76.35
08-08-2023,75.0,75.7,71.1,72.15
09-08-2023,72.45,73.75,71.7,73.2
10-08-2023,73.45,74.35,71.55,72.3
11-08-2023,72.45,73.5,71.1,71.85
14-08-2023,71.5,74.35,70.05,73.65
16-08-2023,73.3,75.0,72.25,74.75
17-08-2023,74.7,76.65,73.1,75.75
18-08-2023,75.55,76.2,73.5,74.75
21-08-2023,74.0,79.5,74.0,76.95
22-08-2023,77.7,78.75,76.45,77.2
23-08-2023,77.0,79.0,75.25,76.3
24-08-2023,76.5,79.5,76.5,77.65
25-08-2023,78.1,80.0,77.1,78.75
28-08-2023,78.75,80.7,77.6,80.0
29-08-2023,80.5,81.55,78.15,78.9
30-08-2023,78.9,80.65,78.25,78.9
31-08-2023,79.0,81.35,75.8,76.35
01-09-2023,76.65,80.4,76.65,79.1
04-09-2023,79.85,80.2,77.4,79.3
05-09-2023,78.1,84.0,78.1,80.2
06-09-2023,80.2,81.45,79.6,80.05
07-09-2023,80.15,80.55,78.05,78.7
08-09-2023,79.5,80.75,76.9,78.25
11-09-2023,78.5,81.9,77.55,79.9
12-09-2023,81.45,81.45,74.5,75.25
13-09-2023,75.55,77.4,73.3,76.2
14-09-2023,76.35,77.55,74.95,77.0
15-09-2023,78.15,78.6,75.8,77.45
18-09-2023,77.1,78.45,76.8,78.0
20-09-2023,77.95,78.8,76.3,76.85
21-09-2023,77.6,78.35,74.7,75.05
22-09-2023,76.4,77.5,73.75,77.05
25-09-2023,77.55,78.1,75.5,77.1
26-09-2023,77.65,81.0,76.0,79.85
27-09-2023,80.7,82.85,78.1,78.65
28-09-2023,79.45,82.2,78.55,80.05
29-09-2023,80.8,81.0,78.3,80.0
03-10-2023,80.0,81.05,78.5,80.05
04-10-2023,80.0,80.0,76.85,79.05
05-10-2023,79.1,80.3,76.75,77.7
06-10-2023,78.0,79.9,77.7,79.1
09-10-2023,78.55,79.4,77.25,78.05
10-10-2023,77.55,79.85,77.4,77.8
11-10-2023,79.2,79.65,78.35,79.35
12-10-2023,79.45,92.5,79.15,86.6
13-10-2023,85.0,87.4,83.2,84.05
16-10-2023,83.1,87.4,82.6,86.65
17-10-2023,87.0,88.2,83.4,84.15
18-10-2023,84.1,85.15,81.9,82.35
19-10-2023,82.2,83.9,81.0,81.35
20-10-2023,81.35,83.25,78.3,78.7
23-10-2023,78.8,80.05,73.5,74.25
25-10-2023,75.4,76.75,72.65,74.45
26-10-2023,73.85,73.95,70.5,72.55
