date,open,high,low,close
22-07-2019,70.25,70.8,69.55,69.85
23-07-2019,69.7,70.3,69.65,69.75
24-07-2019,69.6,70.0,69.0,69.45
25-07-2019,69.45,70.5,69.45,69.95
26-07-2019,69.75,70.6,69.75,70.3
29-07-2019,70.3,70.9,69.5,69.95
30-07-2019,69.75,70.5,68.4,68.9
31-07-2019,68.55,69.75,68.0,69.0
01-08-2019,69.9,69.9,67.75,68.1
02-08-2019,67.9,70.5,67.7,69.8
05-08-2019,70.6,70.6,67.75,68.65
06-08-2019,68.05,70.5,68.05,69.5
07-08-2019,69.8,70.25,68.1,68.6
08-08-2019,68.6,70.5,68.6,70.2
09-08-2019,71.4,74.25,71.35,72.05
13-08-2019,74.4,74.4,70.7,70.95
14-08-2019,70.7,72.1,70.7,72.0
16-08-2019,71.25,72.05,71.2,71.85
19-08-2019,71.95,72.0,71.5,71.9
20-08-2019,71.75,72.1,70.1,72.0
21-08-2019,72.0,72.5,71.0,71.55
22-08-2019,71.55,71.55,68.9,69.35
23-08-2019,69.2,71.0,68.8,70.35
26-08-2019,71.6,72.05,70.35,71.8
27-08-2019,72.15,72.3,71.6,72.0
28-08-2019,70.0,70.0,68.4,68.8
29-08-2019,68.65,68.8,68.1,68.3
30-08-2019,68.65,68.8,66.95,68.0
03-09-2019,68.0,68.3,67.05,67.2
04-09-2019,67.2,68.0,66.3,67.65
05-09-2019,67.8,68.3,67.25,67.8
06-09-2019,67.6,68.3,67.4,68.0
09-09-2019,67.8,68.2,67.8,67.95
11-09-2019,67.85,70.0,67.85,68.9
12-09-2019,69.05,70.6,69.05,69.7
13-09-2019,69.7,70.0,68.95,69.3
16-09-2019,69.0,70.25,68.95,69.9
17-09-2019,72.5,72.8,69.0,69.45
18-09-2019,69.8,70.95,69.25,70.5
19-09-2019,70.75,70.75,69.3,69.4
20-09-2019,68.3,71.1,68.3,70.35
23-09-2019,70.55,73.25,70.2,71.35
24-09-2019,71.7,72.4,71.0,71.5
25-09-2019,71.65,72.7,70.15,70.85
26-09-2019,71.0,71.75,70.45,70.9
27-09-2019,70.95,72.4,70.4,70.55
30-09-2019,71.15,71.15,68.3,68.6
01-10-2019,69.0,69.7,67.6,67.95
03-10-2019,67.7,68.5,66.9,68.25
04-10-2019,68.5,72.0,68.05,68.25
07-10-2019,68.25,69.1,68.0,68.15
09-10-2019,68.1,68.75,67.35,68.2
10-10-2019,68.1,68.5,67.45,67.8
11-10-2019,67.4,68.45,67.4,67.7
14-10-2019,67.55,68.2,66.75,67.15
15-10-2019,67.3,68.0,67.2,67.8
16-10-2019,68.0,68.85,67.6,68.0
17-10-2019,68.35,68.95,67.5,68.5
18-10-2019,68.25,70.7,68.2,69.65
22-10-2019,70.0,71.5,69.7,70.45
23-10-2019,70.45,72.45,70.2,71.9
24-10-2019,71.85,71.85,71.0,71.3
25-10-2019,71.15,72.05,70.35,70.8
27-10-2019,70.45,71.2,70.45,70.95
29-10-2019,72.0,72.2,70.8,71.7
30-10-2019,71.85,72.25,71.6,71.85
31-10-2019,71.95,74.8,71.45,71.95
01-11-2019,71.95,72.8,71.4,71.75
04-11-2019,71.75,73.4,71.6,71.85
05-11-2019,73.2,73.2,71.1,71.25
06-11-2019,71.55,72.05,71.1,71.85
07-11-2019,72.0,72.0,71.25,71.5
08-11-2019,71.8,72.05,71.0,71.3
11-11-2019,71.9,73.4,67.0,69.0
13-11-2019,69.0,69.9,66.0,66.4
14-11-2019,66.0,68.2,65.9,67.2
15-11-2019,67.95,67.95,65.6,66.0
18-11-2019,66.05,67.35,66.0,66.95
19-11-2019,67.4,68.3,66.6,67.8
20-11-2019,68.0,69.1,67.5,68.0
21-11-2019,67.95,68.55,67.6,68.05
22-11-2019,68.0,68.45,67.1,67.6
25-11-2019,67.1,69.0,67.1,68.1
26-11-2019,68.35,68.7,67.2,67.6
27-11-2019,67.65,68.5,64.2,67.2
28-11-2019,67.35,68.2,67.1,67.9
29-11-2019,67.95,68.5,67.55,68.05
02-12-2019,67.35,70.5,67.35,69.6
03-12-2019,69.05,69.5,67.75,68.05
04-12-2019,67.7,68.25,67.0,67.35
05-12-2019,67.7,68.5,67.2,68.3
06-12-2019,68.65,68.65,66.25,67.2
09-12-2019,66.8,68.25,66.8,68.0
10-12-2019,67.65,68.4,67.25,67.45
11-12-2019,67.8,67.95,67.0,67.3
12-12-2019,67.05,68.25,67.05,68.15
13-12-2019,68.3,68.4,67.2,67.75
16-12-2019,67.2,67.8,67.2,67.6
17-12-2019,67.75,68.35,67.05,67.8
18-12-2019,67.95,68.6,67.8,68.0
19-12-2019,68.35,68.75,67.55,68.6
20-12-2019,68.5,68.5,67.9,68.3
23-12-2019,68.15,68.75,67.7,67.75
24-12-2019,67.3,68.3,67.3,68.1
26-12-2019,68.0,68.9,66.55,68.4
27-12-2019,68.05,71.5,68.05,70.05
30-12-2019,70.05,71.3,69.35,70.85
31-12-2019,70.8,72.4,70.2,72.0
01-01-2020,73.9,73.9,71.65,71.85
02-01-2020,71.15,73.25,70.5,72.9
03-01-2020,73.1,80.5,72.85,79.35
06-01-2020,78.0,80.45,75.05,75.8
07-01-2020,77.1,78.5,76.55,76.9
08-01-2020,75.9,78.5,75.2,77.15
09-01-2020,78.5,82.4,78.0,78.65
10-01-2020,78.75,79.6,76.6,76.95
13-01-2020,77.6,79.2,77.1,78.2
14-01-2020,79.0,79.5,76.5,77.15
15-01-2020,77.0,77.9,76.5,77.2
16-01-2020,77.95,79.0,77.05,77.8
17-01-2020,78.1,78.5,76.0,76.45
20-01-2020,77.25,77.85,76.0,76.4
21-01-2020,76.5,77.4,76.15,76.4
22-01-2020,77.2,79.15,75.4,77.65
23-01-2020,78.15,79.7,77.15,77.95
24-01-2020,77.2,83.8,77.2,83.0
27-01-2020,84.0,86.9,83.7,84.35
28-01-2020,83.9,85.3,80.0,80.15
29-01-2020,79.7,82.5,79.7,81.3
30-01-2020,81.1,81.75,78.65,79.15
31-01-2020,79.5,80.6,78.0,79.95
01-02-2020,80.7,81.9,76.5,77.0
03-02-2020,77.6,77.6,74.45,75.05
04-02-2020,76.9,77.4,75.05,75.95
05-02-2020,76.95,77.75,74.8,75.15
06-02-2020,76.5,77.0,74.5,75.75
