date,open,high,low,close
23-05-2024,286.0,314.0,280.0,306.0
24-05-2024,307.8,308.0,297.0,300.2
27-05-2024,300.25,302.0,285.0,300.15
28-05-2024,297.15,304.9,295.55,300.1
29-05-2024,298.7,302.2,297.3,301.25
30-05-2024,299.0,303.0,291.6,298.4
31-05-2024,296.9,300.35,295.0,298.4
03-06-2024,300.25,306.0,299.25,301.1
04-06-2024,291.5,301.9,278.55,297.2
05-06-2024,295.0,303.6,283.05,301.95
06-06-2024,304.0,335.0,300.45,334.65
07-06-2024,335.05,363.9,334.75,339.5
10-06-2024,339.5,353.8,335.05,344.6
11-06-2024,347.0,350.35,335.05,337.6
12-06-2024,366.0,372.0,338.05,341.5
13-06-2024,347.35,347.35,338.0,340.8
14-06-2024,344.45,344.45,338.05,338.95
18-06-2024,339.8,341.25,329.5,334.35
19-06-2024,328.0,342.65,320.0,330.35
20-06-2024,330.0,330.35,310.35,321.05
21-06-2024,321.05,336.0,320.0,334.1
