date,open,high,low,close
25-07-2019,930.0,947.9,928.95,944.25
26-07-2019,944.0,953.9,933.55,949.3
29-07-2019,949.0,955.0,935.0,937.5
30-07-2019,939.3,960.0,933.2,942.95
31-07-2019,941.9,959.9,928.55,952.95
01-08-2019,951.5,957.0,934.2,941.6
02-08-2019,926.0,944.0,923.55,936.55
05-08-2019,921.95,930.0,905.9,912.55
06-08-2019,907.0,934.95,905.05,928.0
07-08-2019,929.0,944.0,912.65,918.7
08-08-2019,938.7,938.7,901.3,908.65
09-08-2019,906.0,923.8,894.0,903.7
13-08-2019,906.0,919.5,876.95,902.9
14-08-2019,911.25,913.5,898.25,901.8
16-08-2019,899.1,921.9,893.4,916.35
19-08-2019,923.0,924.75,900.0,905.8
20-08-2019,910.4,920.0,900.8,903.95
21-08-2019,902.0,909.0,885.0,898.1
22-08-2019,904.0,904.0,878.05,889.5
23-08-2019,880.0,899.0,873.05,891.65
26-08-2019,901.0,916.4,893.8,899.7
27-08-2019,903.45,910.6,880.2,893.05
28-08-2019,893.5,904.0,888.1,891.9
29-08-2019,887.95,907.85,887.9,900.2
30-08-2019,901.55,905.7,899.1,900.65
03-09-2019,896.0,904.35,893.05,900.05
04-09-2019,905.0,905.0,882.0,892.65
05-09-2019,892.5,896.0,876.65,882.3
06-09-2019,884.0,891.5,880.15,885.75
09-09-2019,888.85,904.0,875.3,895.0
11-09-2019,895.0,994.7,883.45,954.9
12-09-2019,946.0,966.0,930.6,941.05
13-09-2019,947.95,970.05,937.0,958.1
16-09-2019,948.0,972.0,938.25,953.25
17-09-2019,955.0,970.0,921.55,940.7
18-09-2019,945.0,949.85,920.0,928.1
19-09-2019,934.4,934.4,900.0,906.65
20-09-2019,911.65,971.7,888.0,961.25
23-09-2019,975.0,1034.6,965.0,1015.3
24-09-2019,1015.0,1030.9,988.0,1009.85
25-09-2019,1016.4,1026.9,995.0,1012.5
26-09-2019,1013.0,1114.0,1007.6,1093.5
27-09-2019,1094.0,1100.0,1050.0,1062.1
30-09-2019,1062.1,1062.45,1023.05,1038.7
01-10-2019,1033.0,1038.0,950.0,983.25
03-10-2019,980.0,1054.0,962.05,1006.55
04-10-2019,1011.15,1029.0,978.05,1001.6
07-10-2019,1007.85,1013.95,985.45,993.25
09-10-2019,999.45,1020.0,979.0,995.25
10-10-2019,998.85,998.85,972.0,978.55
11-10-2019,981.8,995.0,975.0,991.15
14-10-2019,991.0,1032.0,976.9,996.2
15-10-2019,996.0,1004.4,975.95,987.2
16-10-2019,990.8,1010.0,980.05,990.2
17-10-2019,995.0,1014.0,985.2,991.3
18-10-2019,999.85,999.95,967.1,974.95
22-10-2019,974.95,987.0,960.0,966.95
23-10-2019,967.0,969.0,942.0,949.7
24-10-2019,951.0,992.95,941.0,985.9
25-10-2019,985.0,988.1,965.0,975.35
27-10-2019,982.8,988.7,979.8,983.8
29-10-2019,987.0,1010.0,974.1,1001.0
30-10-2019,1003.0,1012.2,989.0,993.55
31-10-2019,1007.95,1025.0,990.25,997.3
01-11-2019,999.9,1018.9,990.9,1000.0
04-11-2019,1004.95,1006.0,978.0,985.7
05-11-2019,978.0,984.3,948.2,955.15
06-11-2019,970.0,997.0,966.0,985.8
07-11-2019,1025.0,1025.0,985.8,989.8
08-11-2019,990.0,1000.0,956.0,961.25
11-11-2019,958.0,973.5,945.0,947.0
13-11-2019,947.0,950.0,926.75,933.8
14-11-2019,935.1,941.35,912.0,919.7
15-11-2019,920.0,930.0,901.0,906.6
18-11-2019,907.0,907.05,885.0,890.2
19-11-2019,890.8,897.5,876.0,882.55
20-11-2019,887.0,887.9,851.0,861.0
21-11-2019,866.35,874.8,844.5,859.5
22-11-2019,864.05,895.4,860.5,892.35
25-11-2019,897.9,912.7,892.95,898.1
26-11-2019,898.0,916.8,870.3,898.75
27-11-2019,900.0,910.0,879.95,904.6
28-11-2019,910.1,914.4,892.55,899.75
29-11-2019,898.0,911.1,885.0,908.8
02-12-2019,909.0,918.1,889.7,894.35
03-12-2019,893.95,910.0,888.0,899.45
04-12-2019,901.5,910.0,893.0,899.4
05-12-2019,899.45,913.0,892.4,896.8
06-12-2019,900.0,901.5,883.0,886.45
09-12-2019,888.0,893.1,875.1,885.35
10-12-2019,881.0,889.9,870.0,883.4
11-12-2019,883.4,913.85,881.9,902.15
12-12-2019,902.0,944.8,894.4,930.8
13-12-2019,935.45,953.5,914.5,919.0
16-12-2019,923.75,945.0,913.1,932.6
