date,open,high,low,close
22-07-2019,12.2,12.2,11.5,11.85
23-07-2019,11.4,11.85,11.35,11.8
24-07-2019,11.3,12.2,11.3,11.75
25-07-2019,11.3,12.1,11.3,11.85
26-07-2019,11.5,12.2,11.5,12.05
29-07-2019,12.4,12.4,11.55,12.25
30-07-2019,11.8,12.55,11.7,12.15
31-07-2019,11.55,12.4,11.55,11.95
01-08-2019,11.75,12.2,11.45,11.85
02-08-2019,12.4,12.4,12.05,12.05
05-08-2019,11.45,12.6,11.45,12.25
06-08-2019,12.25,12.35,11.65,12.3
07-08-2019,11.7,12.7,11.7,12.35
08-08-2019,12.35,12.9,11.8,12.5
09-08-2019,12.8,12.85,12.0,12.6
13-08-2019,12.0,12.9,12.0,12.55
14-08-2019,12.05,12.75,12.05,12.65
16-08-2019,12.65,13.2,12.35,12.85
19-08-2019,12.75,12.8,12.25,12.65
20-08-2019,12.45,12.75,12.15,12.7
21-08-2019,12.7,12.7,12.15,12.5
22-08-2019,12.0,12.75,12.0,12.55
23-08-2019,11.95,11.95,11.95,11.95
26-08-2019,11.35,11.9,11.35,11.45
27-08-2019,11.45,11.7,11.25,11.6
28-08-2019,11.9,12.1,11.45,11.95
29-08-2019,11.7,12.0,11.35,11.95
30-08-2019,12.45,12.45,11.35,11.9
03-09-2019,11.35,11.9,11.35,11.7
04-09-2019,11.65,12.1,11.15,11.75
05-09-2019,11.8,12.2,11.8,12.2
06-09-2019,12.2,12.8,12.2,12.8
09-09-2019,12.95,13.35,12.95,13.25
11-09-2019,13.4,13.9,13.0,13.8
12-09-2019,13.9,14.4,13.2,14.35
13-09-2019,14.35,14.95,13.85,14.8
16-09-2019,14.4,15.4,14.3,15.05
17-09-2019,15.6,15.8,14.75,15.2
18-09-2019,15.2,15.6,14.45,15.4
19-09-2019,14.95,16.0,14.95,15.9
20-09-2019,16.65,16.65,15.7,16.4
23-09-2019,16.85,16.95,15.85,16.9
24-09-2019,16.25,17.4,16.25,17.4
25-09-2019,17.35,17.4,16.55,16.75
