date,open,high,low,close
22-07-2019,45.95,46.65,44.05,46.15
23-07-2019,46.9,47.3,45.85,46.7
24-07-2019,46.3,47.0,45.75,46.2
25-07-2019,46.0,46.9,45.55,46.3
26-07-2019,45.65,47.25,45.6,46.5
29-07-2019,46.25,46.75,45.15,45.7
30-07-2019,45.4,47.15,44.6,45.0
31-07-2019,45.0,45.9,45.0,45.4
01-08-2019,45.75,45.85,45.0,45.05
02-08-2019,45.0,45.35,42.6,43.65
05-08-2019,43.65,43.65,40.5,41.6
06-08-2019,41.0,44.6,40.45,41.0
07-08-2019,41.35,42.8,38.7,40.15
08-08-2019,40.15,40.5,37.9,39.05
09-08-2019,39.95,44.55,39.5,42.45
13-08-2019,42.5,47.45,41.25,42.8
14-08-2019,43.45,45.55,41.55,42.8
16-08-2019,42.65,44.2,41.85,43.15
19-08-2019,43.25,44.25,41.85,42.15
20-08-2019,42.1,42.65,41.5,41.85
21-08-2019,42.0,42.75,38.1,38.9
22-08-2019,38.7,38.7,32.75,33.75
23-08-2019,33.5,36.1,32.5,33.3
26-08-2019,34.95,35.25,30.0,31.85
27-08-2019,31.75,35.75,31.55,34.4
28-08-2019,34.5,34.75,33.1,33.5
29-08-2019,33.5,33.75,32.0,33.05
30-08-2019,33.4,34.25,32.95,33.55
03-09-2019,33.25,33.5,32.25,32.5
04-09-2019,32.5,34.7,32.0,32.35
05-09-2019,33.1,34.35,32.25,32.6
06-09-2019,32.95,34.05,32.5,33.1
09-09-2019,33.9,37.5,33.2,36.85
11-09-2019,36.45,38.65,36.3,37.9
12-09-2019,38.2,43.0,38.2,40.8
13-09-2019,40.7,42.4,40.25,41.4
16-09-2019,40.75,42.6,40.5,42.4
17-09-2019,42.35,42.5,38.8,39.1
18-09-2019,39.6,39.9,38.0,39.0
19-09-2019,39.3,39.3,36.25,36.5
20-09-2019,36.35,39.7,35.9,37.9
23-09-2019,39.15,41.2,39.15,40.5
24-09-2019,40.85,40.9,38.55,39.85
25-09-2019,39.25,40.0,38.35,38.65
26-09-2019,39.7,40.1,38.85,39.5
27-09-2019,39.5,39.75,37.55,37.95
30-09-2019,38.45,38.95,36.05,36.8
01-10-2019,36.95,37.5,34.5,35.4
03-10-2019,35.35,35.7,34.05,34.35
04-10-2019,34.8,35.1,31.55,32.4
07-10-2019,32.9,32.95,31.85,32.15
09-10-2019,31.25,33.7,31.25,32.35
10-10-2019,32.35,32.6,31.75,32.1
11-10-2019,32.2,34.15,31.75,33.3
14-10-2019,33.8,35.7,33.35,34.85
15-10-2019,34.75,36.05,34.6,35.45
16-10-2019,35.9,36.2,34.8,35.7
17-10-2019,35.5,36.4,34.8,35.55
18-10-2019,35.55,36.6,35.5,35.7
22-10-2019,35.05,37.1,35.0,35.3
23-10-2019,35.25,36.1,34.5,34.8
24-10-2019,34.75,35.5,33.8,34.05
25-10-2019,34.4,34.4,32.75,32.95
27-10-2019,33.05,34.95,33.05,34.5
29-10-2019,33.8,38.0,33.8,37.5
30-10-2019,37.85,38.7,35.15,35.6
31-10-2019,35.7,37.0,35.7,36.15
01-11-2019,36.35,37.75,35.55,37.05
04-11-2019,37.6,39.95,37.6,38.2
05-11-2019,39.2,40.55,38.35,38.6
06-11-2019,38.9,39.45,38.45,38.85
07-11-2019,39.2,39.4,37.75,38.25
08-11-2019,38.5,38.8,36.0,36.85
11-11-2019,36.8,37.55,36.35,36.75
13-11-2019,36.4,37.85,35.2,35.35
14-11-2019,35.55,35.7,34.5,34.6
15-11-2019,34.95,35.4,34.55,34.7
18-11-2019,34.75,37.45,34.25,36.95
19-11-2019,37.35,37.5,35.4,35.9
20-11-2019,35.75,37.0,35.6,36.05
21-11-2019,35.75,36.6,35.65,36.05
22-11-2019,36.2,36.35,34.6,35.45
25-11-2019,35.55,41.95,35.55,40.3
26-11-2019,41.2,43.85,40.85,41.4
27-11-2019,41.8,42.5,40.85,41.2
28-11-2019,41.65,41.85,40.25,41.7
29-11-2019,41.3,42.0,39.8,41.3
02-12-2019,41.5,41.5,40.25,40.55
03-12-2019,40.55,40.55,37.5,37.75
04-12-2019,38.15,40.2,37.85,39.15
05-12-2019,39.85,41.2,39.25,39.9
06-12-2019,40.05,40.2,38.25,38.35
09-12-2019,38.7,39.9,38.15,38.75
10-12-2019,38.5,38.75,37.5,37.55
11-12-2019,38.05,38.35,37.1,38.1
12-12-2019,38.25,39.6,37.75,39.2
13-12-2019,39.75,41.6,39.75,41.2
16-12-2019,41.3,42.1,40.95,41.75
17-12-2019,40.9,45.95,40.9,45.3
18-12-2019,45.1,52.1,44.25,49.6
19-12-2019,50.7,52.2,49.05,51.3
20-12-2019,51.2,58.4,50.6,54.45
23-12-2019,54.5,56.7,53.25,53.8
24-12-2019,54.0,56.1,53.9,54.3
26-12-2019,54.3,56.25,54.25,54.8
27-12-2019,55.2,55.85,53.1,53.8
30-12-2019,54.55,55.5,53.75,55.0
31-12-2019,55.1,61.65,54.65,57.95
01-01-2020,57.9,59.85,57.75,59.4
02-01-2020,59.9,66.6,59.9,64.2
03-01-2020,63.95,66.75,63.05,63.5
06-01-2020,62.5,62.5,58.75,59.4
07-01-2020,61.0,64.35,60.75,62.0
08-01-2020,61.45,63.1,59.5,60.75
09-01-2020,62.0,64.15,62.0,62.6
10-01-2020,63.2,65.0,60.95,61.7
13-01-2020,62.5,63.1,60.55,61.8
14-01-2020,61.7,64.35,61.5,61.95
15-01-2020,62.8,63.45,60.95,61.75
16-01-2020,62.1,62.75,60.65,61.4
17-01-2020,61.75,61.75,58.15,59.35
20-01-2020,60.4,61.2,59.25,60.15
21-01-2020,59.7,60.2,59.05,59.5
22-01-2020,59.6,59.95,55.3,56.85
23-01-2020,57.15,62.1,56.8,60.45
24-01-2020,60.55,60.7,58.5,58.75
27-01-2020,58.5,58.5,56.25,56.65
28-01-2020,57.2,57.4,53.9,54.25
29-01-2020,54.25,56.55,53.8,54.35
30-01-2020,53.55,54.25,52.5,52.7
31-01-2020,52.5,53.25,50.35,50.65
01-02-2020,50.5,53.65,48.25,49.0
03-02-2020,48.5,49.6,47.15,47.75
04-02-2020,47.75,49.75,47.75,48.85
05-02-2020,49.3,52.2,48.25,51.55
06-02-2020,52.35,55.7,52.0,54.4
07-02-2020,54.95,56.35,54.45,55.6
10-02-2020,55.75,56.7,53.75,55.65
11-02-2020,56.15,57.0,52.55,53.5
12-02-2020,53.5,53.5,50.9,52.65
13-02-2020,52.7,53.65,51.0,51.55
14-02-2020,51.5,53.0,51.25,51.7
17-02-2020,51.75,51.75,48.6,49.55
18-02-2020,49.1,51.75,48.7,51.45
19-02-2020,51.0,52.5,49.45,49.75
20-02-2020,50.0,50.35,48.45,49.75
24-02-2020,49.45,49.45,46.0,46.6
25-02-2020,46.55,47.5,44.65,44.85
26-02-2020,45.15,49.25,45.1,46.2
27-02-2020,46.5,46.55,43.75,44.2
