date,open,high,low,close
22-07-2019,20.7,20.75,19.05,19.9
23-07-2019,19.5,21.6,19.0,21.35
24-07-2019,19.35,21.3,19.35,20.9
25-07-2019,22.5,22.5,19.15,20.7
26-07-2019,19.1,20.6,19.1,19.5
29-07-2019,19.95,21.4,19.2,21.4
30-07-2019,21.35,22.95,19.3,20.4
31-07-2019,20.0,20.0,19.0,19.65
01-08-2019,19.65,20.0,18.05,18.65
02-08-2019,19.7,19.7,17.5,18.3
05-08-2019,19.9,19.9,17.5,18.45
06-08-2019,17.75,19.8,17.05,19.8
07-08-2019,18.5,19.9,18.15,19.6
08-08-2019,19.5,20.5,19.25,19.75
09-08-2019,17.3,20.45,17.3,19.0
13-08-2019,20.5,20.5,16.85,19.05
14-08-2019,19.9,19.9,17.55,19.45
16-08-2019,19.45,20.4,19.45,19.95
19-08-2019,20.5,20.5,18.0,19.4
20-08-2019,19.3,19.9,19.2,19.5
21-08-2019,19.5,19.5,18.0,19.4
22-08-2019,18.05,19.9,16.8,18.45
23-08-2019,17.95,17.95,16.35,17.1
26-08-2019,17.2,19.0,16.25,18.9
27-08-2019,17.8,19.5,16.65,19.45
28-08-2019,18.15,18.75,17.15,18.55
29-08-2019,18.55,19.7,17.6,19.2
30-08-2019,17.9,18.95,17.5,17.85
03-09-2019,17.5,19.25,17.0,17.45
04-09-2019,18.95,18.95,17.0,17.25
05-09-2019,19.2,19.2,17.55,18.0
06-09-2019,17.6,18.65,17.6,18.25
09-09-2019,18.7,18.85,17.25,18.35
11-09-2019,18.75,20.75,18.5,19.3
12-09-2019,19.25,21.0,19.25,20.3
13-09-2019,22.45,22.45,20.0,20.6
16-09-2019,20.45,20.95,20.0,20.5
17-09-2019,21.45,24.4,21.45,21.9
18-09-2019,21.9,21.9,19.1,20.45
19-09-2019,20.0,20.15,19.1,19.1
20-09-2019,19.1,20.0,19.1,19.3
23-09-2019,19.3,22.4,19.0,20.05
24-09-2019,19.3,24.0,18.15,20.05
25-09-2019,21.25,21.25,19.15,19.5
26-09-2019,21.7,21.9,19.5,20.0
27-09-2019,19.3,19.5,18.4,19.0
30-09-2019,18.1,20.85,18.1,18.4
01-10-2019,18.5,18.75,17.25,18.4
03-10-2019,17.45,20.0,16.35,19.05
04-10-2019,19.95,20.3,18.0,18.15
07-10-2019,17.5,18.95,17.5,17.7
09-10-2019,19.95,19.95,16.75,17.75
10-10-2019,18.45,20.95,17.1,18.7
11-10-2019,20.0,21.35,17.5,19.95
14-10-2019,19.5,21.35,19.5,19.75
15-10-2019,20.5,20.5,18.15,19.85
16-10-2019,18.5,21.15,17.5,19.75
17-10-2019,20.45,20.45,18.65,20.15
18-10-2019,20.25,20.75,19.5,20.4
22-10-2019,21.4,22.0,18.55,20.3
23-10-2019,20.95,24.35,20.15,20.55
