date,open,high,low,close
23-07-2019,285.0,290.0,285.0,290.0
24-07-2019,314.0,314.0,280.05,280.55
25-07-2019,311.0,311.0,285.1,296.1
26-07-2019,319.95,319.95,276.0,288.1
29-07-2019,286.5,286.5,281.0,281.0
30-07-2019,276.0,276.0,276.0,276.0
31-07-2019,271.0,280.0,262.3,266.5
01-08-2019,285.0,285.0,265.05,266.25
02-08-2019,266.0,280.0,258.0,258.05
06-08-2019,294.85,294.9,263.2,265.1
07-08-2019,266.1,266.1,263.2,263.2
08-08-2019,263.2,263.2,263.2,263.2
09-08-2019,257.0,286.95,247.5,261.65
13-08-2019,281.95,284.0,270.0,279.6
14-08-2019,286.0,286.0,261.85,268.05
16-08-2019,260.5,270.25,260.5,270.1
19-08-2019,271.65,294.45,271.6,274.35
20-08-2019,275.0,275.0,265.05,265.15
21-08-2019,266.45,270.0,256.0,257.0
23-08-2019,256.1,260.55,240.0,255.0
26-08-2019,255.05,299.95,255.05,295.95
27-08-2019,282.0,290.95,267.0,282.2
28-08-2019,291.0,291.0,283.0,283.0
29-08-2019,283.0,296.95,255.0,258.9
30-08-2019,272.05,275.0,264.3,271.6
03-09-2019,280.0,280.0,253.0,258.05
04-09-2019,275.0,280.0,258.5,278.55
05-09-2019,279.95,279.95,260.6,277.0
06-09-2019,266.0,289.95,260.05,271.35
09-09-2019,271.35,307.0,271.35,284.15
11-09-2019,282.0,310.95,282.0,290.05
12-09-2019,320.0,322.0,262.5,312.5
13-09-2019,251.0,319.95,251.0,306.85
16-09-2019,307.0,328.9,307.0,316.55
17-09-2019,306.05,325.0,281.0,294.95
18-09-2019,327.4,329.9,292.1,307.6
19-09-2019,308.0,308.0,292.5,295.0
20-09-2019,293.0,315.95,292.0,314.85
23-09-2019,319.95,320.0,303.65,319.1
24-09-2019,303.0,310.0,286.05,310.0
25-09-2019,303.0,312.0,282.0,296.6
26-09-2019,295.0,319.9,295.0,317.95
27-09-2019,300.0,317.0,285.0,314.5
30-09-2019,300.0,350.0,289.05,317.2
01-10-2019,302.05,310.05,294.25,299.7
03-10-2019,316.85,316.85,290.15,291.25
04-10-2019,299.95,300.0,280.0,284.2
07-10-2019,285.0,322.95,269.0,282.55
09-10-2019,282.65,284.2,282.6,283.4
10-10-2019,284.05,313.95,284.05,287.1
11-10-2019,305.05,305.05,281.05,285.1
14-10-2019,309.95,309.95,260.95,272.7
15-10-2019,292.0,292.0,270.1,271.0
16-10-2019,298.95,298.95,275.05,288.15
17-10-2019,290.0,299.9,257.5,273.4
18-10-2019,299.0,299.0,277.05,285.3
22-10-2019,275.1,290.05,275.1,281.0
23-10-2019,281.0,337.1,280.0,295.9
24-10-2019,292.95,295.85,291.5,291.9
25-10-2019,313.75,313.75,286.0,309.7
27-10-2019,329.0,329.0,314.0,319.55
29-10-2019,315.5,315.5,292.7,315.0
30-10-2019,313.5,313.5,296.05,304.15
31-10-2019,304.0,304.0,285.05,298.75
01-11-2019,296.0,300.4,275.2,288.6
04-11-2019,314.45,314.45,313.9,313.95
05-11-2019,315.0,315.0,288.0,291.25
06-11-2019,315.0,315.0,281.05,312.8
07-11-2019,312.45,315.0,309.95,313.2
11-11-2019,315.0,315.0,315.0,315.0
13-11-2019,305.0,315.0,288.0,301.65
14-11-2019,282.0,315.0,282.0,312.3
15-11-2019,312.3,314.8,286.1,299.7
18-11-2019,299.95,302.0,280.25,302.0
19-11-2019,311.65,311.65,291.55,292.75
20-11-2019,292.75,292.8,281.0,284.95
21-11-2019,284.1,299.75,273.05,285.0
22-11-2019,285.05,341.9,262.95,291.75
25-11-2019,323.8,350.1,309.95,350.1
26-11-2019,410.0,420.1,377.1,420.1
27-11-2019,462.1,462.1,462.1,462.1
28-11-2019,508.3,508.3,508.3,508.3
29-11-2019,559.1,559.1,559.1,559.1
02-12-2019,587.05,587.05,587.05,587.05
03-12-2019,613.9,613.9,557.7,557.7
04-12-2019,530.0,530.0,529.85,529.85
05-12-2019,503.6,556.3,503.4,525.4
06-12-2019,531.0,549.9,499.2,508.8
09-12-2019,516.0,516.0,483.4,483.4
10-12-2019,460.0,495.25,459.25,484.95
11-12-2019,484.95,484.95,460.75,460.75
12-12-2019,438.0,476.95,437.75,437.75
13-12-2019,415.9,444.0,415.9,417.05
16-12-2019,437.9,437.9,409.0,437.9
17-12-2019,416.05,459.75,416.05,459.75
18-12-2019,460.0,482.7,437.0,482.6
19-12-2019,483.0,489.85,460.4,489.1
20-12-2019,501.0,505.0,465.0,503.55
23-12-2019,528.0,528.7,479.25,526.3
24-12-2019,505.0,535.35,505.0,522.5
26-12-2019,517.0,535.0,506.0,516.35
27-12-2019,506.0,539.9,505.0,511.55
30-12-2019,490.0,536.8,486.25,493.95
31-12-2019,517.9,517.9,479.5,491.0
01-01-2020,479.0,514.7,479.0,492.0
02-01-2020,516.6,516.6,480.25,508.75
03-01-2020,484.5,500.0,483.35,486.55
06-01-2020,479.0,510.85,462.3,475.05
07-01-2020,463.0,497.9,452.0,474.45
08-01-2020,457.0,498.15,450.75,493.9
09-01-2020,498.0,498.0,476.2,494.0
10-01-2020,470.0,492.9,470.0,471.8
13-01-2020,495.3,495.3,455.0,490.0
14-01-2020,480.0,486.95,466.3,468.25
15-01-2020,469.0,491.0,469.0,487.3
16-01-2020,509.9,511.65,465.0,473.25
17-01-2020,449.6,496.9,449.6,470.0
20-01-2020,471.0,492.0,471.0,489.55
21-01-2020,470.1,489.0,469.0,487.75
22-01-2020,469.25,486.95,466.2,467.9
23-01-2020,491.0,491.0,450.0,457.35
24-01-2020,469.9,469.9,458.0,469.9
27-01-2020,469.9,486.0,450.1,477.9
28-01-2020,460.05,477.9,457.0,459.95
29-01-2020,460.0,470.0,450.0,469.7
30-01-2020,447.05,485.0,446.25,466.3
31-01-2020,450.05,460.0,450.05,451.0
01-02-2020,430.55,435.0,428.45,428.45
03-02-2020,449.65,449.65,407.25,444.0
04-02-2020,422.0,444.0,421.8,443.5
05-02-2020,440.0,443.5,422.05,423.7
06-02-2020,423.7,430.0,423.0,425.35
07-02-2020,410.0,440.0,404.1,412.75
10-02-2020,413.0,413.0,393.0,393.35
11-02-2020,401.0,401.0,373.7,373.7
12-02-2020,370.0,392.35,370.0,371.5
13-02-2020,380.0,390.05,363.5,390.05
14-02-2020,407.0,409.0,400.0,409.0
17-02-2020,389.0,393.3,388.55,389.15
18-02-2020,373.85,373.85,369.7,369.7
19-02-2020,360.25,388.15,351.25,351.25
20-02-2020,345.7,368.8,333.7,360.9
24-02-2020,378.0,378.0,345.05,346.05
25-02-2020,363.35,363.35,350.0,363.35
26-02-2020,346.0,381.5,346.0,370.0
27-02-2020,352.1,352.1,351.5,352.0
28-02-2020,352.0,368.9,341.0,341.0
02-03-2020,342.5,342.5,342.0,342.0
03-03-2020,331.0,331.0,324.9,324.9
04-03-2020,309.0,329.95,309.0,309.05
05-03-2020,315.0,324.5,315.0,324.5
06-03-2020,324.5,339.15,309.05,339.15
09-03-2020,339.15,339.15,330.0,330.0
11-03-2020,313.5,328.0,313.5,313.5
12-03-2020,313.5,313.5,297.85,297.85
13-03-2020,283.0,297.85,283.0,297.85
16-03-2020,283.0,312.6,283.0,311.95
17-03-2020,296.45,309.75,296.45,296.45
18-03-2020,282.0,285.0,281.65,284.95
19-03-2020,283.95,283.95,270.75,270.75
20-03-2020,257.5,257.5,257.25,257.25
23-03-2020,257.25,257.25,245.2,245.2
24-03-2020,243.0,243.0,232.95,233.0
25-03-2020,232.0,232.0,221.35,221.35
26-03-2020,216.6,232.4,210.3,232.4
27-03-2020,244.0,244.0,244.0,244.0
30-03-2020,244.0,256.0,244.0,256.0
31-03-2020,268.7,268.7,243.2,259.25
01-04-2020,259.25,259.25,246.5,251.0
03-04-2020,240.0,245.0,240.0,245.0
07-04-2020,245.0,257.25,235.0,249.5
08-04-2020,261.95,261.95,238.0,261.95
09-04-2020,240.0,288.1,240.0,288.1
13-04-2020,316.75,316.9,272.4,281.1
15-04-2020,253.0,309.2,253.0,309.2
16-04-2020,325.1,340.1,320.0,340.1
17-04-2020,357.1,357.1,357.1,357.1
20-04-2020,374.95,374.95,374.95,374.95
21-04-2020,393.65,393.65,393.65,393.65
22-04-2020,413.3,413.3,374.0,374.0
23-04-2020,374.0,392.7,370.0,392.7
24-04-2020,390.0,411.8,377.05,396.65
27-04-2020,376.85,404.9,376.85,383.7
28-04-2020,370.25,384.95,365.35,384.95
29-04-2020,366.85,388.0,366.85,370.6
30-04-2020,370.6,389.0,353.0,359.35
04-05-2020,345.0,369.0,341.65,369.0
05-05-2020,354.05,372.85,354.0,366.45
06-05-2020,351.0,374.45,348.2,353.0
07-05-2020,350.0,370.65,345.35,361.75
08-05-2020,347.35,376.9,344.5,355.9
11-05-2020,354.1,354.1,354.1,354.1
12-05-2020,343.75,344.0,343.7,343.75
13-05-2020,345.0,355.8,336.0,347.0
14-05-2020,364.35,364.35,345.05,350.8
15-05-2020,350.8,359.9,340.1,342.9
18-05-2020,333.6,333.65,325.8,326.6
19-05-2020,328.9,332.4,324.3,326.5
20-05-2020,327.0,338.15,326.5,338.15
21-05-2020,338.15,347.75,322.0,333.0
22-05-2020,333.85,338.5,316.35,317.05
26-05-2020,325.0,325.0,301.25,304.4
27-05-2020,317.05,317.05,290.05,293.2
28-05-2020,301.85,307.85,301.85,307.85
29-05-2020,307.5,312.5,292.7,309.3
01-06-2020,314.25,324.0,297.05,302.2
02-06-2020,298.1,317.25,298.1,317.25
03-06-2020,316.4,333.1,313.4,333.1
04-06-2020,335.75,349.75,328.5,335.0
05-06-2020,337.0,368.5,333.0,368.5
08-06-2020,405.35,405.35,375.05,396.4
09-06-2020,391.8,396.0,380.05,391.0
10-06-2020,398.6,403.1,376.4,390.0
11-06-2020,400.0,400.0,368.5,373.8
12-06-2020,367.95,378.0,364.0,378.0
15-06-2020,401.95,401.95,382.65,391.85
16-06-2020,395.0,397.15,376.9,394.85
17-06-2020,376.55,395.0,376.55,394.15
18-06-2020,380.5,394.0,380.5,390.9
19-06-2020,396.95,396.95,389.1,391.0
22-06-2020,410.0,430.0,401.1,422.95
23-06-2020,401.5,424.0,401.5,414.7
24-06-2020,420.0,429.5,377.0,422.75
25-06-2020,391.1,429.95,391.1,410.55
26-06-2020,429.95,429.95,409.5,409.5
29-06-2020,391.55,423.95,391.45,420.95
30-06-2020,420.55,420.55,410.0,411.7
01-07-2020,410.55,414.9,371.55,400.65
02-07-2020,405.0,440.7,405.0,419.05
03-07-2020,415.0,435.0,390.05,409.15
06-07-2020,430.0,430.0,368.25,412.35
07-07-2020,406.0,412.85,406.0,409.15
08-07-2020,410.25,411.95,368.4,386.75
09-07-2020,386.75,413.4,385.4,402.8
10-07-2020,404.0,407.95,385.0,398.3
13-07-2020,397.15,399.0,389.15,390.3
14-07-2020,392.0,398.95,373.0,380.6
15-07-2020,386.0,397.0,377.0,388.0
16-07-2020,380.0,385.0,373.25,379.95
17-07-2020,361.0,389.0,361.0,378.55
20-07-2020,375.0,388.95,368.05,378.3
21-07-2020,399.0,399.0,378.3,386.65
22-07-2020,375.0,392.0,375.0,388.7
23-07-2020,392.3,410.0,361.5,389.75
24-07-2020,383.05,399.9,383.05,398.55
28-07-2020,411.9,438.4,374.55,428.4
29-07-2020,449.0,471.2,439.5,471.2
30-07-2020,503.0,512.9,424.1,486.45
31-07-2020,474.3,478.0,440.0,448.15
03-08-2020,448.15,470.85,420.0,441.0
04-08-2020,457.85,457.85,419.0,427.1
05-08-2020,440.1,440.1,420.0,430.2
06-08-2020,419.0,453.95,419.0,443.05
07-08-2020,450.0,450.0,430.0,433.35
10-08-2020,414.1,449.0,414.1,440.05
11-08-2020,440.1,448.95,415.25,431.75
12-08-2020,432.9,437.65,420.0,422.2
13-08-2020,420.25,435.0,420.25,432.45
14-08-2020,470.0,470.0,430.0,439.95
17-08-2020,449.0,449.0,433.9,446.4
18-08-2020,450.0,450.0,424.0,446.8
19-08-2020,448.5,536.15,434.05,536.15
20-08-2020,590.0,643.35,587.25,643.35
21-08-2020,707.65,707.65,705.0,707.65
24-08-2020,778.4,778.4,722.95,778.4
25-08-2020,854.0,856.2,800.25,856.2
26-08-2020,897.0,899.0,890.0,899.0
27-08-2020,854.05,854.05,854.05,854.05
28-08-2020,811.35,811.35,811.35,811.35
31-08-2020,770.8,770.8,770.8,770.8
01-09-2020,732.3,732.3,732.3,732.3
02-09-2020,695.7,695.7,695.7,695.7
03-09-2020,660.95,660.95,660.95,660.95
04-09-2020,627.95,627.95,627.95,627.95
07-09-2020,596.6,596.6,596.6,596.6
08-09-2020,566.8,626.4,566.8,626.4
09-09-2020,626.4,657.0,595.1,595.1
10-09-2020,595.1,622.0,566.0,586.0
11-09-2020,560.05,612.0,556.7,576.6
14-09-2020,550.2,599.95,550.2,587.15
15-09-2020,587.3,616.0,587.3,602.0
16-09-2020,601.0,602.0,572.0,580.0
17-09-2020,578.0,585.0,551.0,553.05
18-09-2020,526.0,579.0,526.0,543.05
21-09-2020,543.05,543.05,514.0,515.25
22-09-2020,515.25,515.25,505.0,510.0
23-09-2020,510.0,510.0,484.5,499.85
24-09-2020,475.0,476.0,474.9,475.0
25-09-2020,474.5,498.75,456.0,498.75
28-09-2020,521.95,523.65,500.0,523.0
29-09-2020,511.0,539.0,496.85,528.8
30-09-2020,528.8,547.95,504.05,535.6
01-10-2020,554.0,554.0,517.0,530.5
05-10-2020,530.5,530.5,507.0,527.6
06-10-2020,544.0,544.0,506.0,532.3
07-10-2020,507.0,543.95,507.0,539.85
08-10-2020,515.0,538.85,515.0,528.8
09-10-2020,515.1,550.0,515.1,548.25
12-10-2020,521.5,565.0,521.5,554.95
13-10-2020,527.4,553.95,527.4,551.65
14-10-2020,528.05,547.0,528.0,547.0
15-10-2020,561.1,561.1,519.65,523.05
16-10-2020,520.0,545.0,498.0,507.4
19-10-2020,495.0,495.0,483.25,492.7
20-10-2020,492.7,492.7,485.0,485.0
21-10-2020,485.1,490.0,460.75,488.5
22-10-2020,471.5,488.0,471.5,484.0
23-10-2020,472.5,497.85,470.8,473.75
26-10-2020,473.75,493.9,461.15,493.5
27-10-2020,507.9,507.9,470.2,494.95
28-10-2020,475.1,494.75,475.1,494.75
29-10-2020,475.1,489.0,475.1,480.9
30-10-2020,471.0,494.5,460.0,481.1
02-11-2020,471.0,503.0,458.0,493.9
03-11-2020,502.95,502.95,469.25,470.6
