date,open,high,low,close
23-03-2023,164.0,172.2,156.1,171.05
24-03-2023,170.0,170.0,162.5,162.5
27-03-2023,157.0,161.9,154.4,156.55
28-03-2023,156.0,161.5,151.1,157.95
29-03-2023,157.9,160.8,153.0,157.8
31-03-2023,158.45,165.65,158.0,165.65
03-04-2023,172.9,172.9,165.7,168.85
05-04-2023,168.85,177.25,165.15,177.25
06-04-2023,183.0,186.1,179.0,186.1
10-04-2023,189.3,195.4,176.8,194.25
11-04-2023,196.0,208.0,192.0,202.35
12-04-2023,204.5,204.9,192.3,194.35
13-04-2023,195.0,196.3,183.5,185.1
17-04-2023,185.25,196.35,182.0,192.35
18-04-2023,193.8,194.75,183.0,184.6
19-04-2023,184.5,187.5,178.0,179.15
20-04-2023,181.7,203.8,181.7,198.8
21-04-2023,199.0,216.3,193.0,215.2
24-04-2023,219.7,221.9,206.0,217.05
25-04-2023,217.2,219.7,211.7,213.65
26-04-2023,213.95,222.9,212.4,221.1
27-04-2023,222.0,224.75,220.05,223.05
28-04-2023,222.9,229.95,222.15,226.2
02-05-2023,227.7,229.8,222.45,224.7
03-05-2023,223.1,226.6,212.95,215.95
04-05-2023,215.0,222.5,215.0,217.75
05-05-2023,218.6,227.05,215.15,217.0
08-05-2023,217.0,224.3,206.8,211.45
09-05-2023,212.7,218.5,211.15,212.55
10-05-2023,213.35,216.8,209.1,210.25
11-05-2023,211.8,214.0,205.65,208.75
12-05-2023,209.5,212.3,206.2,207.85
15-05-2023,207.95,212.7,200.1,203.05
16-05-2023,203.0,208.0,201.7,204.3
17-05-2023,204.85,217.35,204.3,209.0
18-05-2023,210.95,211.9,202.05,203.65
19-05-2023,203.0,207.0,200.75,205.35
22-05-2023,202.25,209.7,202.25,203.1
23-05-2023,204.1,210.6,200.15,201.4
24-05-2023,201.25,203.4,197.0,198.95
25-05-2023,198.7,204.75,197.2,197.85
26-05-2023,198.0,202.35,193.9,194.95
29-05-2023,196.95,198.85,193.0,195.0
30-05-2023,194.0,200.45,186.75,189.15
31-05-2023,190.0,191.65,178.65,180.95
01-06-2023,180.65,203.5,180.65,197.05
02-06-2023,199.9,204.15,192.5,194.0
05-06-2023,195.7,202.3,192.95,201.25
06-06-2023,201.95,212.4,199.0,204.65
07-06-2023,206.9,209.45,202.2,203.15
08-06-2023,203.95,206.0,200.3,203.8
09-06-2023,202.5,208.8,201.9,207.1
12-06-2023,209.4,212.85,207.15,209.45
13-06-2023,209.95,211.4,205.45,206.5
14-06-2023,206.95,212.25,206.0,211.2
15-06-2023,212.0,227.4,211.05,215.85
16-06-2023,217.25,222.0,209.3,212.5
19-06-2023,213.9,213.9,204.05,207.5
20-06-2023,207.0,207.85,198.2,201.55
21-06-2023,201.0,204.0,200.4,201.1
22-06-2023,201.0,204.5,196.35,197.8
23-06-2023,197.0,201.85,193.2,195.15
26-06-2023,193.55,200.7,193.3,194.75
27-06-2023,194.0,207.0,194.0,202.2
28-06-2023,203.6,207.5,200.65,202.55
30-06-2023,203.0,203.7,195.05,196.55
03-07-2023,197.95,198.9,195.0,197.25
04-07-2023,198.35,199.35,195.0,195.25
05-07-2023,196.0,207.95,192.7,201.3
06-07-2023,201.55,211.5,201.35,205.9
07-07-2023,206.85,207.75,196.8,199.7
10-07-2023,201.0,202.65,198.1,199.25
11-07-2023,200.8,203.7,196.0,196.8
12-07-2023,197.85,201.3,196.55,199.6
13-07-2023,200.95,203.8,195.2,197.7
14-07-2023,199.45,199.45,192.85,194.55
17-07-2023,194.0,199.3,193.4,195.4
18-07-2023,195.0,196.65,192.4,194.6
19-07-2023,194.6,196.45,194.2,194.55
20-07-2023,194.6,196.95,191.1,193.6
21-07-2023,194.0,195.95,187.5,189.1
24-07-2023,189.1,194.6,189.1,193.65
25-07-2023,191.0,198.9,187.0,187.75
26-07-2023,188.9,189.8,184.5,187.1
27-07-2023,189.3,190.9,185.65,188.2
28-07-2023,186.0,190.45,184.85,186.25
31-07-2023,185.0,189.7,183.5,184.85
01-08-2023,185.05,189.9,179.35,185.3
02-08-2023,186.35,187.2,180.05,183.1
03-08-2023,184.7,185.5,180.0,180.75
04-08-2023,181.1,196.5,181.0,193.45
07-08-2023,195.4,198.8,187.7,190.7
08-08-2023,190.0,192.7,188.95,189.9
09-08-2023,189.0,197.95,189.0,193.65
10-08-2023,192.1,196.3,191.0,192.65
11-08-2023,190.1,199.0,190.1,196.35
14-08-2023,193.4,204.4,178.0,183.8
16-08-2023,184.45,185.9,172.0,174.55
17-08-2023,174.8,178.7,172.4,175.55
18-08-2023,177.5,186.5,175.25,182.7
21-08-2023,184.85,192.6,181.4,183.5
22-08-2023,185.3,191.9,184.6,185.2
23-08-2023,186.9,188.0,182.6,186.35
24-08-2023,186.5,189.9,182.05,182.95
25-08-2023,182.8,184.35,179.0,180.0
28-08-2023,180.3,182.45,178.95,179.4
29-08-2023,180.65,182.95,177.65,179.8
30-08-2023,181.3,182.85,179.05,179.95
31-08-2023,181.35,182.5,177.95,178.45
01-09-2023,178.65,180.75,178.65,179.85
04-09-2023,180.95,182.75,178.05,178.9
05-09-2023,178.9,180.2,167.5,169.45
06-09-2023,172.95,177.55,168.7,170.65
07-09-2023,171.65,174.45,167.5,172.65
08-09-2023,173.4,174.65,171.7,173.15
11-09-2023,174.45,184.95,174.2,179.55
12-09-2023,179.2,181.1,174.05,176.35
13-09-2023,175.8,178.5,171.0,176.95
14-09-2023,175.05,182.5,173.6,174.6
15-09-2023,176.35,177.25,172.7,173.75
18-09-2023,177.2,177.75,173.25,176.25
20-09-2023,176.0,176.8,171.3,172.05
21-09-2023,173.3,178.85,170.55,172.1
22-09-2023,173.75,173.75,170.2,171.95
25-09-2023,173.65,182.85,171.75,177.7
26-09-2023,178.9,192.8,177.0,179.55
27-09-2023,179.9,186.9,179.9,181.15
28-09-2023,182.5,182.5,178.0,179.5
29-09-2023,179.5,184.15,177.85,181.0
03-10-2023,181.85,185.35,181.0,184.35
04-10-2023,184.0,187.35,178.2,179.9
05-10-2023,181.5,184.5,178.8,179.85
06-10-2023,181.2,208.8,181.2,205.1
09-10-2023,203.0,212.0,197.0,204.75
10-10-2023,206.2,212.7,206.2,210.3
11-10-2023,210.5,214.0,205.9,210.1
12-10-2023,210.0,223.7,205.2,216.2
13-10-2023,213.2,229.75,211.7,222.6
16-10-2023,223.7,239.3,221.1,235.9
17-10-2023,238.35,239.9,227.25,228.75
18-10-2023,230.5,232.95,221.2,224.5
19-10-2023,224.0,235.3,221.0,227.8
20-10-2023,229.85,231.35,218.25,221.2
23-10-2023,223.4,223.4,205.55,207.9
25-10-2023,210.05,214.4,195.05,197.25
26-10-2023,197.9,206.95,188.2,204.45
27-10-2023,206.4,211.8,204.4,208.95
30-10-2023,209.9,209.9,204.4,208.75
31-10-2023,208.75,211.3,203.55,205.4
01-11-2023,203.35,209.6,202.3,205.3
02-11-2023,207.3,218.2,204.1,210.75
