date,open,high,low,close
22-07-2019,10.0,10.0,10.0,10.0
23-07-2019,9.65,9.7,9.65,9.65
24-07-2019,9.2,9.2,9.2,9.2
25-07-2019,9.65,9.65,9.65,9.65
26-07-2019,10.1,10.1,9.25,9.35
29-07-2019,9.5,9.5,9.5,9.5
31-07-2019,9.05,9.05,9.05,9.05
02-08-2019,8.6,8.6,8.6,8.6
05-08-2019,8.2,9.0,8.2,9.0
21-08-2019,8.6,8.6,8.6,8.6
30-08-2019,8.6,9.0,8.2,9.0
03-09-2019,9.0,9.0,8.6,8.65
11-09-2019,8.7,8.7,8.7,8.7
12-09-2019,8.4,8.65,8.4,8.65
16-09-2019,9.0,9.0,8.35,8.35
18-09-2019,8.35,8.35,8.35,8.35
19-09-2019,7.95,7.95,7.95,7.95
20-09-2019,7.6,8.3,7.6,8.3
23-09-2019,8.3,8.7,8.25,8.7
24-09-2019,8.7,8.7,8.7,8.7
25-09-2019,8.5,8.5,8.5,8.5
27-09-2019,8.5,8.9,8.1,8.8
10-10-2019,8.5,9.2,8.45,9.2
11-10-2019,9.0,9.0,9.0,9.0
14-10-2019,8.55,8.55,8.55,8.55
17-10-2019,8.55,8.55,8.55,8.55
18-10-2019,8.55,8.55,8.55,8.55
22-10-2019,8.4,8.4,8.4,8.4
31-10-2019,8.05,8.05,8.05,8.05
01-11-2019,8.0,8.0,7.9,7.9
04-11-2019,7.9,7.9,7.9,7.9
05-11-2019,7.55,7.55,7.55,7.55
07-11-2019,7.55,7.55,7.55,7.55
11-11-2019,7.55,7.55,7.55,7.55
13-11-2019,7.2,7.55,7.2,7.55
20-11-2019,7.9,7.9,7.9,7.9
21-11-2019,8.0,8.0,7.6,7.6
22-11-2019,7.9,7.9,7.9,7.9
25-11-2019,8.1,8.1,8.1,8.1
27-11-2019,7.75,7.75,7.75,7.75
28-11-2019,7.55,7.6,7.55,7.6
29-11-2019,7.6,7.7,7.6,7.7
05-12-2019,7.35,7.35,7.35,7.35
09-12-2019,7.7,7.7,7.7,7.7
16-12-2019,7.5,7.5,7.5,7.5
20-12-2019,7.2,7.85,7.2,7.25
23-12-2019,6.9,6.9,6.9,6.9
26-12-2019,6.6,6.6,6.6,6.6
27-12-2019,6.9,6.9,6.9,6.9
10-01-2020,7.2,7.2,7.2,7.2
14-01-2020,7.55,7.55,7.55,7.55
16-01-2020,7.9,7.9,7.9,7.9
20-01-2020,8.25,8.25,8.25,8.25
21-01-2020,8.65,8.65,8.65,8.65
22-01-2020,9.05,9.05,9.05,9.05
23-01-2020,9.5,9.5,9.5,9.5
24-01-2020,9.05,9.95,9.05,9.95
27-01-2020,9.95,10.4,9.95,10.35
28-01-2020,10.85,10.85,10.85,10.85
29-01-2020,11.35,11.35,11.35,11.35
30-01-2020,11.9,11.9,11.9,11.9
31-01-2020,11.9,12.45,11.9,12.45
01-02-2020,12.35,13.05,12.0,12.95
03-02-2020,13.5,13.5,13.45,13.45
04-02-2020,14.05,14.05,13.65,13.7
05-02-2020,13.05,13.05,13.05,13.05
06-02-2020,12.4,12.4,12.4,12.4
07-02-2020,12.4,12.4,12.0,12.0
10-02-2020,12.0,12.0,11.5,11.75
11-02-2020,11.65,11.65,11.65,11.65
12-02-2020,11.1,11.1,11.1,11.1
13-02-2020,10.95,10.95,10.95,10.95
14-02-2020,10.5,10.5,10.5,10.5
17-02-2020,10.5,10.5,10.5,10.5
18-02-2020,10.0,10.5,10.0,10.5
19-02-2020,10.5,11.0,10.0,10.0
20-02-2020,10.0,10.5,10.0,10.5
24-02-2020,10.5,10.5,10.5,10.5
25-02-2020,10.5,10.5,10.0,10.0
26-02-2020,10.0,10.0,10.0,10.0
28-02-2020,10.0,10.0,9.8,9.8
02-03-2020,9.8,9.8,9.35,9.35
03-03-2020,8.9,8.9,8.9,8.9
04-03-2020,8.7,8.7,8.7,8.7
05-03-2020,8.7,8.7,8.7,8.7
06-03-2020,8.7,8.7,8.7,8.7
11-03-2020,8.7,8.7,8.7,8.7
12-03-2020,8.3,8.3,8.3,8.3
13-03-2020,7.9,7.9,7.9,7.9
16-03-2020,7.9,7.9,7.9,7.9
17-03-2020,7.9,7.9,7.9,7.9
18-03-2020,7.9,7.9,7.9,7.9
19-03-2020,7.9,7.9,7.9,7.9
20-03-2020,7.9,7.9,7.9,7.9
26-03-2020,7.9,7.9,7.9,7.9
30-03-2020,7.9,7.9,7.9,7.9
31-03-2020,7.6,7.6,7.6,7.6
01-04-2020,7.6,7.6,7.6,7.6
07-04-2020,7.6,7.6,7.6,7.6
08-04-2020,7.6,7.6,7.6,7.6
13-04-2020,7.6,7.6,7.25,7.25
15-04-2020,7.25,7.25,7.2,7.25
16-04-2020,7.25,7.25,7.25,7.25
17-04-2020,7.0,7.25,7.0,7.25
20-04-2020,7.25,7.25,7.25,7.25
22-04-2020,6.9,6.9,6.9,6.9
24-04-2020,6.6,6.6,6.6,6.6
27-04-2020,6.6,6.7,6.6,6.7
28-04-2020,7.0,7.0,7.0,7.0
29-04-2020,7.35,7.35,7.35,7.35
30-04-2020,7.7,7.7,7.7,7.7
04-05-2020,8.05,8.05,8.05,8.05
05-05-2020,8.45,8.45,8.45,8.45
06-05-2020,8.8,8.85,8.8,8.85
07-05-2020,9.25,9.25,9.25,9.25
08-05-2020,9.7,9.7,9.7,9.7
11-05-2020,10.15,10.15,10.15,10.15
12-05-2020,10.3,10.65,10.3,10.65
13-05-2020,10.65,11.15,10.65,11.15
14-05-2020,11.15,11.7,11.15,11.3
15-05-2020,11.35,11.8,11.35,11.8
18-05-2020,11.8,11.8,11.3,11.3
19-05-2020,10.8,10.8,10.75,10.8
20-05-2020,10.8,10.8,10.8,10.8
21-05-2020,10.3,10.3,10.3,10.3
22-05-2020,9.8,9.8,9.8,9.8
26-05-2020,9.35,9.35,9.35,9.35
27-05-2020,9.0,9.35,8.9,9.35
29-05-2020,9.35,9.35,9.35,9.35
01-06-2020,8.9,8.9,8.9,8.9
02-06-2020,8.9,9.3,8.9,9.3
03-06-2020,9.3,9.75,9.3,9.75
04-06-2020,9.75,10.2,9.75,10.2
05-06-2020,10.7,10.7,10.7,10.7
08-06-2020,10.7,11.2,10.7,11.2
09-06-2020,11.75,11.75,11.75,11.75
10-06-2020,11.75,12.3,11.75,11.75
11-06-2020,11.75,11.75,11.75,11.75
15-06-2020,11.75,11.75,11.2,11.75
16-06-2020,11.75,11.75,11.2,11.2
17-06-2020,11.75,11.75,10.65,10.65
18-06-2020,11.15,11.15,10.65,11.15
19-06-2020,11.15,11.15,10.7,10.7
22-06-2020,10.7,11.2,10.7,11.2
23-06-2020,11.75,11.75,10.65,11.75
24-06-2020,11.75,11.75,11.75,11.75
25-06-2020,12.3,12.3,12.2,12.3
26-06-2020,12.9,12.9,12.85,12.9
29-06-2020,13.5,13.5,13.5,13.5
30-06-2020,14.15,14.15,14.15,14.15
01-07-2020,14.85,14.85,14.0,14.05
02-07-2020,14.05,14.75,13.35,13.35
03-07-2020,13.35,13.35,12.7,13.15
06-07-2020,13.0,13.15,12.5,13.05
07-07-2020,13.7,13.7,13.0,13.0
08-07-2020,12.95,12.95,12.95,12.95
09-07-2020,12.95,12.95,12.95,12.95
13-07-2020,12.35,12.35,12.35,12.35
14-07-2020,11.75,11.75,11.75,11.75
15-07-2020,11.75,11.75,11.7,11.75
16-07-2020,11.75,11.75,11.2,11.2
17-07-2020,10.65,11.2,10.65,10.65
20-07-2020,10.2,10.2,10.2,10.2
21-07-2020,9.75,9.8,9.75,9.75
22-07-2020,9.75,10.2,9.75,9.75
23-07-2020,9.75,10.2,9.75,10.2
24-07-2020,10.2,10.2,10.2,10.2
27-07-2020,9.9,9.9,9.9,9.9
28-07-2020,9.5,9.55,9.5,9.55
29-07-2020,9.55,10.0,9.55,10.0
30-07-2020,10.5,10.5,10.5,10.5
31-07-2020,10.5,10.5,10.4,10.4
03-08-2020,10.4,10.4,10.4,10.4
04-08-2020,10.4,10.4,10.4,10.4
05-08-2020,10.0,10.4,9.9,10.0
06-08-2020,10.5,10.5,10.5,10.5
07-08-2020,11.0,11.0,10.0,10.0
10-08-2020,10.0,10.0,10.0,10.0
11-08-2020,10.0,10.5,10.0,10.5
12-08-2020,10.5,11.0,10.25,11.0
13-08-2020,11.55,11.55,10.45,10.45
14-08-2020,10.45,10.95,10.45,10.5
17-08-2020,10.5,10.75,10.5,10.5
18-08-2020,10.0,11.0,10.0,11.0
19-08-2020,11.05,11.55,10.5,11.55
20-08-2020,12.1,12.1,12.0,12.1
21-08-2020,12.1,12.7,11.5,12.3
24-08-2020,12.9,12.9,12.3,12.8
25-08-2020,12.9,12.9,12.7,12.75
26-08-2020,12.15,12.6,12.15,12.15
27-08-2020,12.15,12.75,12.15,12.75
28-08-2020,12.7,12.75,12.15,12.15
31-08-2020,12.15,12.15,12.15,12.15
01-09-2020,12.15,12.15,11.6,12.0
02-09-2020,12.0,12.0,11.65,11.65
03-09-2020,11.1,12.15,11.1,11.2
04-09-2020,11.2,11.2,10.9,10.9
07-09-2020,10.55,10.6,10.55,10.6
10-09-2020,11.1,11.1,11.1,11.1
11-09-2020,11.65,11.65,11.65,11.65
14-09-2020,12.2,12.2,12.2,12.2
15-09-2020,12.8,12.8,12.8,12.8
16-09-2020,13.4,13.4,13.4,13.4
18-09-2020,12.75,12.75,12.75,12.75
21-09-2020,12.25,12.25,12.25,12.25
23-09-2020,12.25,12.25,11.8,12.25
24-09-2020,12.25,12.25,12.25,12.25
25-09-2020,12.25,12.25,12.25,12.25
29-09-2020,12.25,12.25,12.25,12.25
30-09-2020,12.25,12.25,12.25,12.25
01-10-2020,12.25,12.85,12.25,12.85
05-10-2020,12.85,12.85,12.85,12.85
06-10-2020,13.45,13.45,13.25,13.25
07-10-2020,13.25,13.9,13.25,13.9
08-10-2020,13.9,14.55,13.9,14.55
09-10-2020,15.25,15.25,15.25,15.25
12-10-2020,16.0,16.0,16.0,16.0
13-10-2020,16.0,16.0,16.0,16.0
14-10-2020,15.95,15.95,15.9,15.9
15-10-2020,15.85,15.85,15.15,15.8
16-10-2020,16.55,16.55,16.0,16.0
19-10-2020,16.8,16.8,16.1,16.8
20-10-2020,17.6,17.6,17.4,17.6
21-10-2020,17.6,18.45,16.75,17.3
22-10-2020,17.25,17.25,16.45,17.05
23-10-2020,16.85,16.85,16.85,16.85
26-10-2020,16.75,16.75,16.05,16.05
27-10-2020,15.25,15.25,15.25,15.25
28-10-2020,15.25,15.25,14.5,15.25
29-10-2020,14.5,15.25,14.5,14.5
30-10-2020,14.5,14.5,13.8,13.8
02-11-2020,13.15,14.45,13.15,14.45
03-11-2020,15.15,15.15,13.75,14.2
04-11-2020,14.0,14.0,14.0,14.0
05-11-2020,14.7,14.7,13.3,14.7
06-11-2020,14.7,14.7,14.0,14.0
09-11-2020,13.5,13.55,13.45,13.45
10-11-2020,12.8,14.0,12.8,13.2
11-11-2020,13.85,13.85,12.55,13.5
12-11-2020,13.5,14.0,13.5,13.55
13-11-2020,13.55,13.95,12.9,13.9
14-11-2020,13.9,14.4,13.25,13.85
17-11-2020,14.0,14.45,13.2,13.25
18-11-2020,13.9,13.9,13.9,13.9
19-11-2020,14.5,14.5,13.3,13.9
20-11-2020,13.5,13.5,13.5,13.5
23-11-2020,14.15,14.15,13.75,13.75
24-11-2020,14.4,14.4,13.1,14.4
25-11-2020,14.4,14.4,14.4,14.4
27-11-2020,14.3,14.3,14.3,14.3
01-12-2020,14.25,14.25,14.25,14.25
02-12-2020,14.25,14.25,13.55,14.25
03-12-2020,13.55,14.25,13.55,14.0
04-12-2020,13.3,14.4,13.3,14.4
07-12-2020,14.35,14.55,14.35,14.55
08-12-2020,14.9,14.9,13.85,13.85
09-12-2020,14.45,14.5,14.4,14.5
10-12-2020,15.2,15.2,15.2,15.2
11-12-2020,15.9,15.95,15.9,15.95
14-12-2020,16.7,16.7,15.35,15.45
15-12-2020,15.45,15.95,14.7,15.3
16-12-2020,15.3,16.05,15.3,16.05
17-12-2020,16.8,16.85,15.25,16.45
18-12-2020,15.65,17.2,15.65,15.65
21-12-2020,15.65,16.4,14.9,14.95
22-12-2020,14.95,15.65,14.25,14.95
23-12-2020,15.65,15.65,15.65,15.65
24-12-2020,15.65,15.65,14.9,15.4
28-12-2020,16.15,16.15,14.65,15.95
29-12-2020,16.05,16.45,15.2,15.2
30-12-2020,15.2,15.2,15.2,15.2
31-12-2020,15.95,15.95,15.9,15.95
01-01-2021,15.2,16.35,15.2,15.2
04-01-2021,14.5,15.95,14.5,15.95
05-01-2021,16.2,16.2,15.2,16.2
06-01-2021,15.45,16.8,15.45,16.15
07-01-2021,16.95,16.95,16.2,16.5
08-01-2021,17.15,17.15,15.7,16.95
11-01-2021,16.95,17.75,16.95,17.0
12-01-2021,17.0,17.85,16.25,17.85
13-01-2021,18.7,18.7,17.0,18.7
14-01-2021,19.55,19.6,18.1,19.6
15-01-2021,20.5,20.55,18.75,18.9
18-01-2021,18.9,19.8,18.2,19.8
19-01-2021,19.8,20.75,19.0,20.75
20-01-2021,20.85,21.75,20.85,21.75
21-01-2021,22.8,22.8,22.8,22.8
22-01-2021,23.9,23.9,23.9,23.9
25-01-2021,25.0,25.05,25.0,25.05
27-01-2021,26.25,26.3,26.0,26.3
28-01-2021,27.5,27.6,27.5,27.5
29-01-2021,28.85,28.85,28.85,28.85
01-02-2021,30.25,30.25,30.25,30.25
02-02-2021,31.75,31.75,31.75,31.75
03-02-2021,33.3,33.3,33.3,33.3
04-02-2021,34.95,34.95,34.95,34.95
05-02-2021,36.65,36.65,36.6,36.65
08-02-2021,38.45,38.45,38.45,38.45
09-02-2021,40.35,40.35,40.35,40.35
10-02-2021,42.35,42.35,42.35,42.35
11-02-2021,44.45,44.45,44.45,44.45
12-02-2021,46.65,46.65,46.0,46.65
15-02-2021,48.9,48.95,46.65,48.95
16-02-2021,51.35,51.35,51.35,51.35
17-02-2021,53.9,53.9,53.9,53.9
18-02-2021,56.55,56.55,56.55,56.55
19-02-2021,59.35,59.35,59.35,59.35
22-02-2021,62.3,62.3,56.4,62.3
23-02-2021,65.4,65.4,65.4,65.4
24-02-2021,68.65,68.65,68.65,68.65
25-02-2021,72.05,72.05,72.05,72.05
26-02-2021,75.65,75.65,75.65,75.65
01-03-2021,79.3,79.4,78.9,79.4
02-03-2021,83.35,83.35,75.45,75.45
03-03-2021,71.7,79.2,71.7,79.2
04-03-2021,79.25,83.15,75.25,79.1
05-03-2021,79.1,81.9,75.15,75.55
08-03-2021,78.9,79.3,71.8,79.3
09-03-2021,79.3,83.0,75.35,80.35
10-03-2021,82.0,82.0,76.35,77.15
12-03-2021,77.0,79.95,73.3,75.2
15-03-2021,72.0,78.95,71.45,77.1
16-03-2021,73.55,80.2,73.55,74.55
17-03-2021,74.0,77.4,72.0,73.2
18-03-2021,70.05,74.5,69.55,69.55
19-03-2021,69.7,69.7,66.1,66.1
22-03-2021,66.1,66.1,62.8,62.8
23-03-2021,59.8,62.8,59.7,59.7
24-03-2021,56.75,56.75,56.75,56.75
25-03-2021,53.95,53.95,53.95,53.95
26-03-2021,51.3,51.3,51.3,51.3
30-03-2021,48.75,48.75,48.75,48.75
31-03-2021,46.35,46.35,46.35,46.35
01-04-2021,44.05,44.05,44.05,44.05
05-04-2021,41.85,41.85,41.85,41.85
06-04-2021,39.8,41.85,39.8,41.5
07-04-2021,41.5,43.55,40.0,43.5
08-04-2021,44.25,45.65,44.25,45.65
09-04-2021,47.8,47.9,43.5,47.9
12-04-2021,50.25,50.25,45.7,45.75
13-04-2021,47.95,47.95,43.5,46.65
15-04-2021,45.0,45.0,44.35,44.35
16-04-2021,44.35,44.35,42.2,42.25
19-04-2021,40.3,44.3,40.15,43.55
20-04-2021,41.5,45.7,41.4,43.95
22-04-2021,45.5,45.5,41.8,41.85
23-04-2021,41.8,43.75,41.75,41.75
26-04-2021,39.85,43.8,39.7,41.05
27-04-2021,42.9,42.9,40.0,42.0
28-04-2021,41.85,43.25,40.5,40.75
29-04-2021,40.75,42.65,40.75,42.2
30-04-2021,42.2,43.45,40.3,42.45
03-05-2021,41.85,42.0,40.35,41.7
04-05-2021,40.0,43.0,39.65,42.45
05-05-2021,40.35,42.0,40.35,41.95
06-05-2021,41.95,44.0,39.9,44.0
07-05-2021,44.5,46.2,42.15,46.2
10-05-2021,48.5,48.5,43.9,48.5
11-05-2021,50.9,50.9,50.9,50.9
12-05-2021,53.4,53.4,50.9,53.4
14-05-2021,56.05,56.05,50.75,55.75
17-05-2021,55.8,58.5,54.25,58.15
18-05-2021,58.2,61.0,55.3,59.0
19-05-2021,60.0,61.95,56.5,61.95
20-05-2021,64.85,64.85,60.0,64.35
21-05-2021,64.45,67.55,62.75,67.0
24-05-2021,69.9,70.35,67.8,70.35
25-05-2021,68.0,73.0,68.0,71.9
26-05-2021,69.0,75.45,69.0,72.45
27-05-2021,75.45,75.45,69.0,74.85
