date,open,high,low,close
22-07-2019,786.0,800.0,780.95,795.2
23-07-2019,795.0,800.0,775.0,785.2
24-07-2019,771.0,804.45,771.0,800.55
25-07-2019,810.0,810.0,764.05,770.45
26-07-2019,769.6,770.9,739.85,746.7
29-07-2019,731.8,739.65,675.0,695.75
30-07-2019,693.95,745.0,681.05,739.0
31-07-2019,738.0,783.3,727.65,765.65
01-08-2019,765.65,789.9,756.45,766.6
02-08-2019,767.0,787.0,758.05,780.7
05-08-2019,784.0,784.0,752.0,760.05
06-08-2019,777.0,777.0,760.15,761.5
07-08-2019,752.0,795.1,752.0,791.55
08-08-2019,784.0,817.5,784.0,813.55
09-08-2019,791.0,848.9,791.0,840.5
13-08-2019,830.0,830.0,794.0,799.4
14-08-2019,795.0,812.0,794.15,806.2
16-08-2019,776.0,813.4,776.0,805.3
19-08-2019,814.95,849.5,782.15,838.6
20-08-2019,838.6,865.0,825.35,861.35
21-08-2019,861.35,868.75,853.25,860.35
22-08-2019,845.0,869.85,845.0,860.0
23-08-2019,841.05,863.9,810.05,850.5
26-08-2019,868.0,868.0,840.0,860.65
27-08-2019,842.0,864.95,842.0,863.6
28-08-2019,843.7,856.65,840.15,845.35
29-08-2019,836.1,862.7,826.0,830.35
30-08-2019,820.0,864.5,820.0,861.8
03-09-2019,850.0,866.0,850.0,856.8
04-09-2019,835.0,875.0,835.0,865.15
05-09-2019,845.0,866.4,845.0,861.3
06-09-2019,858.0,867.0,846.45,854.45
09-09-2019,837.0,872.8,837.0,862.55
11-09-2019,870.0,874.95,840.0,842.15
12-09-2019,848.85,852.9,830.1,832.4
13-09-2019,839.9,852.0,839.85,850.25
16-09-2019,863.0,863.0,849.95,850.2
17-09-2019,846.45,867.85,846.45,865.15
18-09-2019,872.0,872.0,841.0,850.1
19-09-2019,850.05,865.0,847.5,850.1
20-09-2019,835.0,870.95,832.0,860.7
23-09-2019,860.7,890.0,850.0,885.15
24-09-2019,885.4,885.4,863.15,873.85
25-09-2019,865.05,874.5,862.0,867.95
26-09-2019,863.25,875.95,861.0,868.5
27-09-2019,869.9,873.55,850.0,865.25
30-09-2019,864.3,866.85,851.05,862.5
01-10-2019,858.35,879.85,845.1,850.35
03-10-2019,865.0,865.0,849.7,852.4
04-10-2019,850.7,860.55,830.0,843.55
07-10-2019,865.0,865.0,849.75,855.15
09-10-2019,856.45,860.0,843.75,856.6
10-10-2019,854.4,857.05,849.0,850.7
11-10-2019,851.5,868.95,849.95,850.15
14-10-2019,855.0,884.35,850.0,880.25
15-10-2019,890.0,890.0,875.0,876.75
16-10-2019,886.75,886.75,850.0,852.55
17-10-2019,852.25,860.05,850.1,851.8
18-10-2019,848.0,874.0,844.05,871.1
22-10-2019,871.1,887.85,854.0,883.7
23-10-2019,870.05,890.0,868.3,887.05
24-10-2019,872.0,894.9,853.0,854.6
25-10-2019,866.95,866.95,850.0,852.55
27-10-2019,873.9,873.95,855.05,858.45
29-10-2019,869.7,874.45,850.1,865.0
30-10-2019,860.0,875.1,860.0,870.4
31-10-2019,873.0,890.0,861.4,880.4
01-11-2019,881.9,885.0,867.0,880.15
04-11-2019,867.0,889.0,867.0,885.0
05-11-2019,879.15,904.85,868.9,872.4
06-11-2019,873.05,878.0,856.0,856.75
07-11-2019,848.0,862.25,848.0,852.5
08-11-2019,841.0,859.95,835.0,858.3
11-11-2019,852.6,863.45,830.0,848.0
13-11-2019,864.9,864.9,803.3,809.1
14-11-2019,819.0,845.0,811.2,836.45
15-11-2019,845.0,875.0,840.0,870.0
18-11-2019,869.95,883.15,857.0,860.95
19-11-2019,866.9,867.0,859.0,860.0
20-11-2019,860.15,882.25,858.15,874.0
21-11-2019,866.0,880.0,860.0,860.7
22-11-2019,861.0,870.0,840.1,846.35
25-11-2019,854.95,857.95,846.0,850.3
26-11-2019,845.3,853.85,831.1,840.4
27-11-2019,844.5,866.0,804.1,810.3
28-11-2019,834.3,844.95,809.0,814.8
29-11-2019,814.85,817.0,795.0,800.2
02-12-2019,795.0,814.8,781.05,811.1
03-12-2019,811.2,818.95,795.1,796.0
04-12-2019,799.8,803.2,790.7,796.8
05-12-2019,797.5,797.5,786.6,789.9
06-12-2019,789.55,803.25,781.0,790.0
09-12-2019,790.0,804.45,786.55,800.65
10-12-2019,801.8,808.0,790.15,801.75
11-12-2019,805.0,813.95,800.05,810.2
12-12-2019,811.1,818.0,810.8,815.1
13-12-2019,818.0,819.9,807.55,817.05
16-12-2019,817.9,822.1,801.0,816.6
17-12-2019,815.95,824.7,807.6,822.0
18-12-2019,820.05,831.8,815.05,830.05
19-12-2019,826.05,839.95,824.85,832.2
20-12-2019,833.45,833.75,830.0,831.55
23-12-2019,829.35,834.9,819.05,834.05
24-12-2019,834.0,836.7,829.3,834.15
26-12-2019,849.0,849.0,811.05,834.4
27-12-2019,834.2,839.9,821.05,830.05
30-12-2019,828.95,841.9,810.05,820.6
31-12-2019,822.7,833.75,800.0,805.15
01-01-2020,810.55,819.0,808.0,812.1
02-01-2020,814.9,818.9,800.1,805.55
03-01-2020,807.05,846.0,804.55,815.55
06-01-2020,801.05,839.5,801.05,826.25
07-01-2020,806.0,832.0,806.0,829.45
08-01-2020,813.05,831.7,806.25,814.2
09-01-2020,818.55,823.0,802.0,804.65
10-01-2020,801.0,810.05,801.0,804.15
13-01-2020,820.0,820.0,798.0,798.8
14-01-2020,802.1,811.95,802.1,805.25
15-01-2020,801.1,820.0,801.1,807.2
16-01-2020,818.9,855.6,804.35,817.7
17-01-2020,817.7,834.45,815.0,822.55
20-01-2020,832.0,835.0,805.2,829.75
21-01-2020,838.95,839.5,831.0,832.55
22-01-2020,830.05,835.0,815.0,829.95
23-01-2020,835.75,835.8,807.0,810.3
24-01-2020,823.0,823.0,805.2,809.95
27-01-2020,810.05,829.6,801.05,821.8
28-01-2020,828.5,828.5,810.0,822.9
29-01-2020,815.05,820.05,810.0,812.3
30-01-2020,803.0,810.5,803.0,804.2
31-01-2020,803.15,810.05,803.0,805.7
01-02-2020,804.1,818.95,792.85,810.05
03-02-2020,815.0,815.0,795.0,796.2
04-02-2020,800.0,814.95,797.55,800.7
05-02-2020,801.25,813.75,798.55,802.4
06-02-2020,804.2,809.8,780.1,797.75
07-02-2020,800.0,805.9,799.0,801.75
10-02-2020,792.0,807.0,781.25,786.75
11-02-2020,799.95,818.2,795.0,813.45
