date,open,high,low,close
22-07-2019,5.4,5.4,5.05,5.2
23-07-2019,5.2,5.5,5.15,5.2
24-07-2019,5.2,5.25,5.1,5.15
25-07-2019,5.15,5.25,5.05,5.1
26-07-2019,5.1,5.2,5.05,5.15
29-07-2019,5.2,5.2,5.05,5.1
30-07-2019,5.1,5.15,4.8,4.95
31-07-2019,4.85,4.85,4.4,4.7
01-08-2019,4.8,4.8,4.5,4.75
02-08-2019,4.7,4.8,4.5,4.6
05-08-2019,4.6,4.7,4.3,4.6
06-08-2019,4.55,4.75,4.55,4.65
07-08-2019,4.65,4.75,4.6,4.65
08-08-2019,4.65,4.7,4.45,4.65
09-08-2019,4.65,4.9,4.6,4.8
13-08-2019,4.9,4.9,4.5,4.55
14-08-2019,4.55,4.6,4.3,4.35
16-08-2019,4.35,4.55,4.3,4.4
19-08-2019,4.45,5.25,4.4,5.25
20-08-2019,5.1,5.55,4.95,5.05
21-08-2019,5.1,5.1,4.6,4.65
22-08-2019,4.7,4.7,4.3,4.35
23-08-2019,4.3,4.7,4.2,4.6
26-08-2019,4.8,4.95,4.6,4.75
27-08-2019,4.75,4.85,4.6,4.65
28-08-2019,4.7,4.7,4.4,4.45
29-08-2019,4.5,4.5,4.25,4.3
30-08-2019,4.3,4.45,4.3,4.4
03-09-2019,4.45,4.5,4.2,4.25
04-09-2019,4.2,4.55,4.15,4.45
05-09-2019,4.45,4.5,4.4,4.45
06-09-2019,4.5,4.65,4.4,4.5
09-09-2019,4.45,4.55,4.35,4.5
11-09-2019,4.6,5.05,4.55,4.9
12-09-2019,4.95,5.0,4.75,4.85
13-09-2019,4.8,5.0,4.65,4.9
16-09-2019,4.85,4.95,4.7,4.75
17-09-2019,4.7,4.75,4.5,4.55
18-09-2019,4.6,4.65,4.45,4.5
19-09-2019,4.5,4.55,4.35,4.4
20-09-2019,4.5,4.75,4.05,4.15
23-09-2019,4.3,4.4,4.05,4.15
24-09-2019,4.2,4.35,4.1,4.25
25-09-2019,4.3,4.45,4.25,4.3
26-09-2019,4.35,4.45,4.25,4.3
27-09-2019,4.3,4.35,4.2,4.2
30-09-2019,4.25,4.25,4.05,4.1
01-10-2019,4.1,4.15,4.0,4.05
03-10-2019,4.0,4.2,3.95,4.05
04-10-2019,4.05,4.1,4.0,4.0
07-10-2019,4.0,4.05,3.85,3.9
09-10-2019,4.0,4.0,3.85,3.95
10-10-2019,3.95,4.0,3.85,3.9
11-10-2019,3.9,3.95,3.85,3.9
14-10-2019,3.95,4.05,3.85,3.85
15-10-2019,3.9,3.9,3.1,3.15
16-10-2019,3.1,3.2,2.65,2.8
17-10-2019,2.8,3.05,2.7,2.95
18-10-2019,3.1,3.2,3.0,3.2
22-10-2019,3.3,3.5,3.0,3.15
23-10-2019,3.15,3.45,3.05,3.45
24-10-2019,3.75,3.75,3.6,3.75
25-10-2019,3.85,3.9,3.6,3.9
27-10-2019,4.05,4.05,4.05,4.05
29-10-2019,4.25,4.25,4.25,4.25
