date,open,high,low,close
29-07-2019,6.75,7.8,6.75,7.8
01-08-2019,7.7,7.7,7.7,7.7
05-08-2019,7.35,7.35,7.35,7.35
07-08-2019,7.35,7.35,7.35,7.35
09-08-2019,7.65,7.65,7.65,7.65
26-08-2019,7.3,7.3,7.3,7.3
27-08-2019,7.3,7.3,7.3,7.3
28-08-2019,7.3,7.3,7.3,7.3
30-08-2019,7.3,7.3,7.3,7.3
03-09-2019,6.95,6.95,6.95,6.95
04-09-2019,6.95,6.95,6.95,6.95
05-09-2019,6.85,6.95,6.85,6.95
06-09-2019,6.95,7.2,6.95,7.2
09-09-2019,7.5,7.5,7.5,7.5
12-09-2019,7.8,7.8,7.8,7.8
13-09-2019,7.45,7.45,7.45,7.45
16-09-2019,7.1,7.55,7.1,7.55
24-09-2019,7.2,7.2,7.2,7.2
25-09-2019,6.85,7.2,6.85,7.2
26-09-2019,7.25,7.25,7.25,7.25
27-09-2019,7.25,7.25,7.25,7.25
30-09-2019,7.15,7.15,6.9,6.9
01-10-2019,6.7,7.15,6.7,7.15
03-10-2019,6.85,6.85,6.8,6.8
04-10-2019,6.8,7.1,6.6,6.6
07-10-2019,6.85,6.85,6.85,6.85
09-10-2019,6.55,6.8,6.55,6.8
10-10-2019,6.7,7.1,6.7,7.1
11-10-2019,7.0,7.0,7.0,7.0
15-10-2019,6.65,7.0,6.65,7.0
16-10-2019,6.65,7.0,6.65,7.0
17-10-2019,6.65,6.65,6.65,6.65
18-10-2019,6.95,6.95,6.95,6.95
24-10-2019,7.0,7.0,7.0,7.0
25-10-2019,7.35,7.35,7.35,7.35
29-10-2019,7.0,7.0,7.0,7.0
30-10-2019,6.65,7.0,6.65,6.65
31-10-2019,6.4,6.85,6.4,6.85
01-11-2019,7.1,7.1,7.1,7.1
06-11-2019,7.1,7.1,7.1,7.1
14-11-2019,7.4,7.4,7.0,7.0
15-11-2019,6.65,6.65,6.65,6.65
18-11-2019,6.35,6.6,6.35,6.6
