date,open,high,low,close
31-08-2023,1000.01,1000.01,999.99,1000.01
01-09-2023,1000.02,1000.02,999.99,999.99
04-09-2023,1000.01,1000.01,999.99,1000.01
05-09-2023,1000.01,1000.01,999.99,1000.01
06-09-2023,1000.01,1000.01,1000.0,1000.0
07-09-2023,1000.01,1000.01,999.99,1000.01
08-09-2023,1000.01,1000.01,1000.01,1000.01
11-09-2023,1000.01,1000.01,999.99,1000.01
12-09-2023,1000.0,1000.01,999.99,1000.01
13-09-2023,1000.01,1000.01,999.99,1000.01
14-09-2023,999.99,1000.0,999.99,999.99
15-09-2023,1000.0,1000.01,1000.0,1000.0
18-09-2023,1000.0,1000.01,1000.0,1000.0
20-09-2023,1000.0,1000.0,999.99,999.99
21-09-2023,1000.01,1000.01,999.99,1000.01
22-09-2023,1000.01,1000.01,999.99,999.99
25-09-2023,999.99,1000.01,999.99,1000.01
26-09-2023,1000.01,1000.01,999.99,1000.0
27-09-2023,999.99,1000.01,999.99,999.99
28-09-2023,999.99,1000.01,999.99,1000.0
29-09-2023,1000.01,1000.01,999.99,1000.0
03-10-2023,999.99,1000.0,999.99,999.99
04-10-2023,999.99,1000.01,999.99,1000.01
05-10-2023,1000.0,1000.01,999.99,1000.0
06-10-2023,1000.01,1000.01,999.99,1000.01
09-10-2023,999.99,1000.01,999.99,1000.01
10-10-2023,999.99,1000.01,999.99,1000.0
11-10-2023,1000.0,1000.01,999.99,999.99
12-10-2023,1000.0,1000.0,1000.0,1000.0
13-10-2023,1000.0,1000.01,999.99,1000.0
16-10-2023,999.99,1000.0,999.99,999.99
17-10-2023,999.99,1000.01,999.99,1000.01
18-10-2023,999.99,1000.0,999.99,999.99
19-10-2023,1000.01,1000.01,999.99,1000.0
20-10-2023,1000.01,1000.01,999.99,1000.01
23-10-2023,1000.01,1000.01,999.99,999.99
25-10-2023,999.99,1000.01,999.99,1000.0
26-10-2023,999.99,1000.01,999.99,999.99
27-10-2023,1000.01,1000.01,1000.01,1000.01
30-10-2023,1000.02,1000.02,999.99,1000.0
31-10-2023,1000.01,1000.01,999.99,999.99
01-11-2023,999.99,1000.01,999.99,1000.01
02-11-2023,999.99,1000.01,999.99,1000.0
03-11-2023,999.99,1000.0,999.99,1000.0
06-11-2023,1000.01,1000.01,999.99,1000.01
07-11-2023,1000.0,1000.0,999.99,999.99
08-11-2023,1000.01,1000.01,999.99,999.99
09-11-2023,999.99,1000.0,999.99,999.99
10-11-2023,1000.0,1000.01,999.99,999.99
12-11-2023,1000.0,1010.0,1000.0,1007.5
13-11-2023,1000.01,1000.01,1000.01,1000.01
15-11-2023,1000.0,1000.01,999.99,999.99
16-11-2023,999.99,999.99,999.99,999.99
17-11-2023,999.99,1000.01,999.99,1000.0
20-11-2023,1000.0,1000.01,1000.0,1000.01
21-11-2023,999.99,1000.01,999.99,1000.0
22-11-2023,1000.01,1000.01,999.99,999.99
23-11-2023,999.99,1000.01,999.99,1000.0
24-11-2023,999.99,1000.01,999.99,1000.01
28-11-2023,999.99,1000.01,999.99,1000.0
29-11-2023,1000.0,1000.01,999.99,1000.0
30-11-2023,1000.01,1000.01,999.99,1000.0
01-12-2023,1000.0,1000.01,1000.0,1000.0
04-12-2023,1000.0,1000.01,1000.0,1000.0
05-12-2023,1000.0,1000.01,999.99,1000.0
06-12-2023,999.99,1000.01,999.99,999.99
07-12-2023,1000.01,1000.01,999.99,1000.01
08-12-2023,999.5,1000.01,999.49,1000.0
11-12-2023,1020.0,1020.0,999.99,1000.0
12-12-2023,999.99,1000.01,999.99,999.99
13-12-2023,999.99,1000.01,999.99,1000.0
14-12-2023,1000.01,1000.01,999.99,999.99
15-12-2023,1000.0,1000.01,999.99,1000.0
18-12-2023,1000.0,1000.01,999.99,1000.01
19-12-2023,1000.0,1000.01,999.99,1000.0
20-12-2023,1000.01,1000.01,999.99,1000.0
21-12-2023,1000.01,1000.01,999.99,999.99
22-12-2023,980.0,1000.01,980.0,999.99
26-12-2023,999.99,1000.01,999.99,999.99
27-12-2023,999.99,999.99,999.99,999.99
28-12-2023,1000.01,1000.01,999.99,1000.01
29-12-2023,1000.0,1000.01,999.99,1000.0
01-01-2024,1000.0,1000.01,999.99,1000.01
02-01-2024,1000.0,1000.01,999.99,1000.0
03-01-2024,1000.01,1000.01,999.99,1000.0
04-01-2024,999.99,1000.01,999.99,1000.01
05-01-2024,1000.01,1000.01,999.99,1000.01
08-01-2024,999.99,1000.01,999.99,1000.0
09-01-2024,1000.0,1000.01,999.99,1000.01
10-01-2024,1000.0,1000.01,999.99,999.99
11-01-2024,1000.01,1000.01,999.99,1000.0
12-01-2024,999.99,1000.01,999.99,999.99
15-01-2024,999.99,1000.01,999.99,1000.0
16-01-2024,1000.0,1000.01,999.99,1000.01
17-01-2024,999.99,1000.01,999.99,1000.0
18-01-2024,999.99,1000.01,999.99,1000.01
19-01-2024,1000.01,1000.01,999.99,1000.01
23-01-2024,1000.01,1000.01,999.99,1000.01
24-01-2024,1000.01,1000.01,999.99,1000.0
25-01-2024,999.99,1000.01,999.99,1000.01
29-01-2024,999.99,1000.01,999.99,1000.01
30-01-2024,999.99,1000.01,999.99,999.99
31-01-2024,999.99,1000.01,999.99,999.99
01-02-2024,999.99,1000.01,999.99,1000.01
02-02-2024,999.5,1000.01,997.5,1000.01
05-02-2024,1000.01,1000.01,999.99,999.99
06-02-2024,1000.0,1000.01,999.99,1000.01
07-02-2024,1000.0,1000.01,999.99,1000.0
08-02-2024,1000.0,1000.01,999.99,999.99
09-02-2024,1000.0,1000.01,1000.0,1000.0
12-02-2024,1000.0,1000.0,999.99,1000.0
13-02-2024,999.99,1000.01,999.99,999.99
14-02-2024,1000.01,1000.01,1000.0,1000.01
15-02-2024,1000.01,1000.01,999.99,1000.0
19-02-2024,1000.0,1000.01,1000.0,1000.01
20-02-2024,1000.01,1000.01,1000.0,1000.0
21-02-2024,999.99,1000.01,999.99,1000.0
22-02-2024,1000.0,1000.01,999.99,999.99
23-02-2024,1000.01,1000.01,1000.0,1000.0
26-02-2024,999.99,1000.01,999.99,1000.0
27-02-2024,1000.0,1000.01,1000.0,1000.0
28-02-2024,1000.0,1000.01,999.99,999.99
29-02-2024,1000.0,1000.01,1000.0,1000.01
01-03-2024,1000.01,1000.01,1000.0,1000.0
04-03-2024,1000.01,1000.01,999.99,999.99
05-03-2024,1000.01,1000.01,999.99,1000.0
06-03-2024,1000.01,1000.01,999.99,999.99
07-03-2024,999.99,1000.01,999.99,1000.01
11-03-2024,1000.01,1000.01,1000.0,1000.01
12-03-2024,1000.0,1000.01,999.99,1000.0
13-03-2024,1000.01,1000.01,1000.0,1000.01
14-03-2024,999.99,1000.01,999.99,1000.01
15-03-2024,1000.0,1000.01,999.99,1000.01
18-03-2024,999.99,1000.01,999.99,999.99
19-03-2024,1000.0,1000.01,999.99,1000.01
20-03-2024,999.99,1000.01,999.99,1000.01
21-03-2024,1000.0,1000.01,1000.0,1000.01
22-03-2024,999.99,1000.01,999.99,1000.01
26-03-2024,1000.01,1000.01,999.99,1000.0
27-03-2024,1000.01,1000.01,999.99,999.99
28-03-2024,1000.0,1000.01,999.99,1000.0
01-04-2024,999.5,1000.01,999.5,1000.0
02-04-2024,999.99,1000.01,999.99,1000.0
03-04-2024,1000.0,1000.0,999.99,999.99
04-04-2024,999.99,1000.01,999.99,1000.01
05-04-2024,1000.01,1000.01,1000.0,1000.01
08-04-2024,999.99,1000.01,999.99,1000.01
09-04-2024,1000.01,1000.01,999.99,999.99
10-04-2024,999.99,1000.01,999.99,1000.0
12-04-2024,1000.01,1000.01,999.99,1000.0
15-04-2024,1000.0,1000.01,999.99,1000.01
16-04-2024,1000.01,1000.01,999.99,1000.01
18-04-2024,999.99,1000.01,999.99,999.99
19-04-2024,999.99,1000.01,999.99,1000.0
22-04-2024,999.99,1000.01,999.99,1000.01
23-04-2024,999.99,1000.01,999.99,999.99
24-04-2024,999.99,1000.01,999.99,1000.0
25-04-2024,999.99,1000.01,999.99,999.99
26-04-2024,999.98,1000.01,999.98,1000.0
29-04-2024,999.99,1000.01,999.99,1000.01
30-04-2024,999.99,1000.01,999.99,1000.01
02-05-2024,1000.0,1000.01,999.99,999.99
03-05-2024,1000.01,1000.01,999.99,1000.01
06-05-2024,1000.0,1000.01,999.99,999.99
07-05-2024,999.99,1000.01,999.99,999.99
08-05-2024,999.99,1000.01,999.99,1000.0
09-05-2024,1000.01,1000.01,1000.0,1000.01
10-05-2024,1000.0,1000.01,999.99,1000.0
13-05-2024,1000.0,1000.0,999.99,1000.0
14-05-2024,1000.0,1000.0,999.99,999.99
15-05-2024,999.99,1000.01,999.99,999.99
16-05-2024,999.99,1000.01,999.99,1000.0
17-05-2024,1000.01,1000.01,999.99,1000.01
18-05-2024,1000.0,1000.0,1000.0,1000.0
21-05-2024,999.99,1000.0,999.99,999.99
22-05-2024,999.99,1000.0,999.99,1000.0
23-05-2024,1000.0,1000.01,999.99,1000.0
24-05-2024,1000.01,1000.01,1000.0,1000.0
27-05-2024,1000.0,1000.01,999.99,1000.01
28-05-2024,1000.01,1000.01,999.99,1000.0
29-05-2024,999.99,1000.01,999.99,999.99
30-05-2024,1000.01,1000.01,1000.0,1000.01
31-05-2024,1000.01,1000.01,1000.0,1000.01
03-06-2024,1000.01,1000.01,1000.0,1000.0
04-06-2024,1000.01,1000.01,999.99,1000.0
05-06-2024,999.99,1000.01,999.99,999.99
06-06-2024,1000.01,1000.01,999.99,1000.01
07-06-2024,1000.01,1000.01,999.99,999.99
10-06-2024,1000.01,1000.01,999.99,1000.01
11-06-2024,1000.01,1000.01,999.99,1000.0
12-06-2024,1000.01,1000.01,1000.0,1000.01
13-06-2024,1000.01,1000.01,999.99,1000.0
14-06-2024,999.99,1000.01,999.99,1000.0
18-06-2024,999.99,1000.01,999.99,999.99
19-06-2024,999.99,1000.01,999.99,1000.01
20-06-2024,1000.01,1000.01,999.99,999.99
21-06-2024,1000.01,1000.01,999.99,999.99
