date,open,high,low,close
22-11-2022,29.93,29.93,29.15,29.63
23-11-2022,29.53,30.97,29.2,29.86
24-11-2022,29.94,29.94,29.53,29.6
25-11-2022,29.61,30.6,29.5,30.2
28-11-2022,30.16,30.5,30.02,30.3
29-11-2022,30.2,30.5,29.73,30.23
30-11-2022,30.2,36.16,29.98,30.49
01-12-2022,30.56,31.24,30.52,31.17
02-12-2022,31.13,31.29,30.53,31.25
05-12-2022,31.13,31.36,30.6,30.7
06-12-2022,30.63,30.7,30.12,30.27
07-12-2022,30.23,30.84,29.95,30.36
08-12-2022,30.3,30.85,29.75,30.2
09-12-2022,30.13,30.13,28.96,29.26
12-12-2022,29.36,29.9,28.83,28.92
13-12-2022,28.96,32.56,28.96,30.87
14-12-2022,29.56,33.5,29.56,30.11
15-12-2022,30.03,31.5,29.13,29.99
16-12-2022,29.23,29.45,28.9,29.0
19-12-2022,29.0,29.0,28.6,28.61
20-12-2022,28.63,28.84,28.28,28.64
21-12-2022,28.76,29.98,28.13,28.66
22-12-2022,28.76,29.61,28.66,29.35
23-12-2022,28.67,28.67,28.2,28.21
26-12-2022,28.36,28.6,28.05,28.31
27-12-2022,28.3,28.74,28.3,28.73
28-12-2022,28.63,28.7,28.43,28.68
29-12-2022,28.41,28.7,28.03,28.6
30-12-2022,28.61,28.98,28.61,28.78
02-01-2023,28.86,29.98,28.42,28.67
03-01-2023,28.7,29.87,28.67,28.77
04-01-2023,28.77,28.85,28.56,28.83
05-01-2023,28.73,28.85,28.43,28.5
06-01-2023,28.5,29.67,27.88,28.26
09-01-2023,28.4,28.7,28.4,28.59
10-01-2023,28.53,29.88,28.3,28.65
11-01-2023,28.7,29.0,28.53,28.7
12-01-2023,28.7,28.7,28.7,28.7
13-01-2023,28.7,29.25,28.4,29.01
16-01-2023,29.0,29.7,29.0,29.64
17-01-2023,29.63,29.96,29.24,29.77
18-01-2023,29.73,29.9,29.3,29.37
19-01-2023,29.33,30.14,29.32,29.72
20-01-2023,29.76,29.79,29.37,29.45
23-01-2023,29.76,30.26,29.2,30.11
24-01-2023,30.26,30.36,30.26,30.26
25-01-2023,30.23,30.27,29.8,30.07
27-01-2023,30.21,30.22,29.83,30.13
30-01-2023,30.22,30.3,29.75,30.0
31-01-2023,30.0,30.0,29.73,29.73
01-02-2023,29.96,30.45,29.73,30.2
02-02-2023,30.18,30.68,30.18,30.51
03-02-2023,30.45,30.65,30.23,30.23
06-02-2023,30.32,31.0,30.21,31.0
07-02-2023,30.56,30.7,30.31,30.4
08-02-2023,30.56,31.16,30.56,30.66
09-02-2023,30.6,31.0,30.6,31.0
10-02-2023,30.95,31.1,30.7,31.1
13-02-2023,31.1,31.54,29.85,30.27
14-02-2023,30.45,31.41,30.45,31.2
15-02-2023,30.83,31.06,30.54,30.96
16-02-2023,31.08,32.0,31.08,31.89
17-02-2023,31.83,32.0,31.0,31.4
20-02-2023,31.4,31.59,30.95,31.58
21-02-2023,31.35,31.76,31.0,31.05
22-02-2023,31.05,31.47,30.83,30.88
23-02-2023,30.7,30.9,30.64,30.64
24-02-2023,30.72,31.2,30.41,30.43
27-02-2023,30.48,30.48,29.88,29.89
28-02-2023,30.0,30.4,29.9,29.97
01-03-2023,30.0,30.6,29.91,30.46
02-03-2023,30.6,30.6,29.85,30.08
03-03-2023,30.08,30.19,30.03,30.03
06-03-2023,30.12,30.5,30.12,30.5
08-03-2023,30.43,32.1,29.95,31.35
09-03-2023,30.5,30.5,29.72,29.88
10-03-2023,29.73,29.78,29.45,29.5
13-03-2023,29.63,29.96,29.0,29.33
14-03-2023,29.9,29.9,28.85,29.0
15-03-2023,29.5,29.5,28.8,28.86
16-03-2023,28.68,29.37,28.5,28.98
17-03-2023,29.0,29.21,28.81,29.08
20-03-2023,29.42,29.42,28.32,28.63
21-03-2023,28.63,34.01,28.26,29.27
22-03-2023,28.8,28.8,28.26,28.4
23-03-2023,28.25,28.3,28.05,28.08
24-03-2023,28.29,28.6,27.91,28.03
27-03-2023,28.2,28.34,28.07,28.24
28-03-2023,28.1,28.33,27.73,27.86
29-03-2023,28.4,28.9,27.96,28.52
31-03-2023,28.56,28.9,28.4,28.68
03-04-2023,28.9,28.99,28.53,28.82
05-04-2023,28.77,29.2,28.7,29.16
06-04-2023,29.09,29.09,28.8,29.09
10-04-2023,29.1,29.5,29.1,29.39
11-04-2023,29.3,29.3,28.56,29.05
12-04-2023,29.2,29.2,28.75,29.12
13-04-2023,28.79,28.8,28.3,28.49
17-04-2023,29.0,29.0,26.55,27.22
18-04-2023,27.5,27.5,27.0,27.5
19-04-2023,27.5,28.74,26.72,26.81
20-04-2023,26.54,26.99,26.28,26.88
21-04-2023,26.8,27.14,26.62,27.06
24-04-2023,28.28,28.28,26.83,27.05
25-04-2023,27.02,27.12,27.0,27.12
26-04-2023,27.17,27.17,26.98,27.02
27-04-2023,27.11,27.5,27.03,27.46
28-04-2023,27.99,27.99,27.61,27.71
02-05-2023,27.68,28.35,27.68,28.27
03-05-2023,29.15,29.15,27.71,27.84
04-05-2023,28.36,28.36,27.83,28.06
05-05-2023,28.06,28.85,27.62,27.92
08-05-2023,28.09,28.14,27.86,28.11
09-05-2023,28.05,28.31,28.05,28.23
10-05-2023,28.23,28.3,28.05,28.21
11-05-2023,28.75,28.75,28.07,28.24
12-05-2023,28.81,28.81,27.98,28.59
15-05-2023,28.4,28.56,28.16,28.5
16-05-2023,28.45,28.52,28.33,28.46
17-05-2023,28.39,28.39,27.82,28.28
18-05-2023,28.32,28.32,28.0,28.19
19-05-2023,28.2,28.49,28.13,28.48
22-05-2023,29.05,29.05,27.8,28.79
23-05-2023,29.05,29.3,29.0,29.1
24-05-2023,29.1,29.1,28.9,29.08
25-05-2023,29.1,29.11,28.8,28.91
26-05-2023,29.12,29.38,29.12,29.34
29-05-2023,29.58,29.7,29.22,29.34
30-05-2023,29.32,29.35,29.11,29.26
31-05-2023,29.32,29.66,29.32,29.6
01-06-2023,30.06,30.06,29.46,29.73
02-06-2023,29.75,29.75,29.5,29.63
05-06-2023,29.64,29.72,29.4,29.7
06-06-2023,29.27,29.27,28.69,28.88
07-06-2023,29.16,29.21,29.0,29.1
08-06-2023,29.1,29.1,28.76,28.88
09-06-2023,28.89,28.89,28.51,28.56
12-06-2023,28.57,29.08,28.57,29.02
13-06-2023,29.89,29.89,28.99,29.19
14-06-2023,29.2,29.2,28.8,29.01
15-06-2023,30.32,30.32,28.85,29.39
16-06-2023,29.48,29.48,28.7,28.85
19-06-2023,29.43,29.43,28.75,28.99
20-06-2023,28.96,29.17,28.93,29.16
21-06-2023,29.15,29.3,29.1,29.26
22-06-2023,29.23,29.25,28.92,29.08
23-06-2023,29.96,29.96,28.75,28.84
26-06-2023,29.38,29.38,28.75,28.89
27-06-2023,28.8,29.15,28.8,29.06
28-06-2023,29.74,29.74,28.96,29.13
30-06-2023,29.3,29.84,29.2,29.74
03-07-2023,30.64,30.64,29.5,29.67
04-07-2023,30.27,30.27,29.68,29.89
05-07-2023,30.49,30.49,29.92,30.05
06-07-2023,30.56,30.64,29.95,30.24
07-07-2023,30.5,30.5,29.7,29.89
10-07-2023,30.49,30.49,29.4,29.5
11-07-2023,30.83,30.83,29.45,29.69
12-07-2023,30.29,30.29,29.31,29.42
13-07-2023,29.6,30.12,29.6,29.86
14-07-2023,31.21,31.3,30.06,31.18
17-07-2023,32.58,32.58,31.2,31.34
18-07-2023,32.0,32.0,31.08,31.7
19-07-2023,32.33,32.33,31.32,31.64
20-07-2023,32.24,32.24,31.2,31.48
21-07-2023,31.43,31.43,30.1,30.34
24-07-2023,31.26,31.26,29.63,30.19
25-07-2023,30.79,30.79,29.62,30.1
26-07-2023,31.0,31.0,30.1,30.18
27-07-2023,30.5,30.5,30.0,30.05
28-07-2023,30.1,30.1,29.69,29.87
31-07-2023,31.0,31.0,30.07,30.29
01-08-2023,31.2,31.2,29.94,30.64
02-08-2023,30.5,30.5,30.15,30.3
03-08-2023,30.7,30.7,29.97,30.4
04-08-2023,30.8,30.9,30.03,30.78
07-08-2023,30.72,31.16,30.72,31.08
08-08-2023,31.1,31.2,31.0,31.14
09-08-2023,31.02,31.2,30.9,31.14
10-08-2023,31.3,31.3,31.14,31.22
11-08-2023,31.23,31.5,31.15,31.16
14-08-2023,31.07,31.4,30.97,31.4
16-08-2023,32.81,32.81,31.4,31.5
17-08-2023,32.44,32.44,31.15,31.44
18-08-2023,32.06,32.06,30.75,30.87
21-08-2023,31.02,31.33,31.02,31.29
22-08-2023,31.99,31.99,31.12,31.34
23-08-2023,31.39,31.39,31.15,31.28
24-08-2023,31.5,32.68,30.51,31.04
25-08-2023,31.89,31.89,31.03,31.31
28-08-2023,30.68,31.66,30.68,31.14
29-08-2023,31.12,31.31,31.1,31.22
30-08-2023,31.84,31.84,31.26,31.46
31-08-2023,31.4,31.76,31.4,31.46
01-09-2023,31.44,31.86,31.4,31.83
04-09-2023,32.0,33.95,31.1,32.52
05-09-2023,31.87,32.83,31.87,32.74
06-09-2023,32.68,32.75,32.33,32.7
07-09-2023,32.65,36.5,32.55,33.7
08-09-2023,33.3,33.3,32.7,32.74
11-09-2023,33.12,33.4,32.78,33.06
12-09-2023,33.72,33.72,32.6,33.22
13-09-2023,33.07,33.3,33.03,33.14
14-09-2023,33.3,33.78,33.0,33.4
15-09-2023,33.54,33.7,33.44,33.65
18-09-2023,33.65,33.65,33.36,33.51
20-09-2023,33.5,33.5,33.23,33.3
21-09-2023,33.17,33.4,32.4,32.67
22-09-2023,33.1,33.4,33.04,33.16
25-09-2023,33.01,33.21,32.9,32.99
26-09-2023,32.9,33.03,32.62,32.8
27-09-2023,32.75,33.07,32.7,33.02
28-09-2023,32.95,32.97,32.05,32.26
29-09-2023,32.26,32.4,31.75,32.16
03-10-2023,32.2,32.35,31.85,32.17
04-10-2023,32.45,32.45,31.71,32.2
05-10-2023,32.4,32.66,32.3,32.46
06-10-2023,33.0,33.2,32.43,32.75
09-10-2023,32.5,32.9,31.8,32.6
10-10-2023,32.8,32.93,32.55,32.6
11-10-2023,32.96,33.66,32.85,33.45
12-10-2023,32.95,32.95,32.25,32.33
13-10-2023,32.3,32.34,31.99,32.11
16-10-2023,32.2,32.32,32.05,32.12
17-10-2023,32.11,33.0,32.11,32.79
18-10-2023,32.78,32.78,31.9,31.95
19-10-2023,32.59,32.59,31.62,31.98
20-10-2023,31.9,31.97,31.72,31.86
23-10-2023,31.82,31.82,31.14,31.27
25-10-2023,31.37,31.48,31.0,31.0
26-10-2023,30.68,31.0,30.57,30.94
27-10-2023,30.93,31.41,30.93,31.11
30-10-2023,31.05,31.26,30.8,30.99
