date,open,high,low,close
22-11-2022,21.63,22.1,21.31,22.08
23-11-2022,21.9,21.95,21.38,21.49
24-11-2022,21.49,21.81,21.49,21.52
25-11-2022,21.49,21.8,21.33,21.66
28-11-2022,21.66,22.0,21.53,21.7
29-11-2022,21.68,21.91,21.68,21.8
30-11-2022,21.81,21.99,21.8,21.82
01-12-2022,21.86,22.21,21.68,21.8
02-12-2022,21.88,21.9,21.68,21.7
05-12-2022,21.81,22.16,21.81,21.83
06-12-2022,21.9,21.9,21.8,21.8
07-12-2022,21.82,22.01,21.69,21.89
08-12-2022,21.83,21.96,21.63,21.79
09-12-2022,21.86,22.1,21.78,21.89
12-12-2022,21.9,22.19,21.9,22.1
13-12-2022,22.1,22.3,22.1,22.26
14-12-2022,22.3,22.55,22.16,22.22
15-12-2022,22.31,22.36,22.2,22.22
16-12-2022,22.19,22.19,21.98,22.0
19-12-2022,22.21,22.46,21.91,22.05
20-12-2022,21.99,22.1,21.74,21.85
21-12-2022,22.01,22.31,21.63,22.23
22-12-2022,21.98,21.98,21.53,21.62
23-12-2022,21.58,22.0,20.9,21.0
26-12-2022,21.01,22.04,21.01,21.72
27-12-2022,21.5,21.87,21.46,21.78
28-12-2022,21.58,21.89,21.55,21.89
29-12-2022,21.68,21.9,21.53,21.54
30-12-2022,21.71,21.98,21.58,21.92
02-01-2023,21.96,22.24,21.8,22.11
03-01-2023,22.1,22.27,22.1,22.1
04-01-2023,22.1,22.2,21.75,21.76
05-01-2023,21.8,21.96,21.44,21.52
06-01-2023,21.6,21.9,21.5,21.78
09-01-2023,21.59,21.81,21.57,21.8
10-01-2023,21.59,21.6,21.34,21.47
11-01-2023,21.48,21.67,21.38,21.64
12-01-2023,22.29,22.29,21.28,21.29
13-01-2023,21.3,21.69,21.19,21.68
16-01-2023,21.6,21.62,21.6,21.62
17-01-2023,21.62,21.62,21.25,21.36
18-01-2023,21.4,21.76,21.4,21.76
19-01-2023,21.67,21.67,21.21,21.28
20-01-2023,21.32,22.02,21.32,21.8
23-01-2023,21.8,21.94,21.58,21.78
24-01-2023,21.6,22.21,21.58,21.59
25-01-2023,21.54,21.54,21.2,21.24
27-01-2023,21.4,21.5,20.62,21.44
30-01-2023,20.89,23.0,20.28,21.55
31-01-2023,21.06,21.06,20.58,20.66
01-02-2023,20.7,21.3,20.7,21.2
02-02-2023,21.01,21.6,20.69,21.0
03-02-2023,21.41,21.41,21.0,21.17
06-02-2023,21.17,21.58,20.95,20.99
07-02-2023,21.1,21.4,20.96,21.16
08-02-2023,21.2,21.8,21.1,21.75
09-02-2023,21.26,21.26,21.07,21.07
10-02-2023,20.78,21.48,20.78,21.48
13-02-2023,21.68,21.68,20.89,21.03
14-02-2023,21.1,21.9,21.07,21.22
15-02-2023,21.2,21.2,21.04,21.05
17-02-2023,21.06,21.07,20.79,20.81
20-02-2023,21.2,21.3,20.89,21.0
21-02-2023,20.83,21.2,20.68,20.75
22-02-2023,20.73,21.2,20.49,21.19
23-02-2023,22.0,22.0,20.25,20.48
24-02-2023,20.6,20.6,20.11,20.15
27-02-2023,20.24,20.56,20.24,20.51
