date,open,high,low,close
07-02-2024,115.57,132.0,115.0,117.46
08-02-2024,120.39,120.99,117.11,117.62
09-02-2024,120.56,120.56,117.0,117.21
12-02-2024,120.14,120.14,119.0,119.99
13-02-2024,122.98,122.98,120.0,120.42
14-02-2024,119.89,119.98,118.67,119.89
15-02-2024,121.0,121.0,118.65,119.41
16-02-2024,119.84,128.61,119.7,125.36
19-02-2024,124.97,124.97,120.74,121.41
20-02-2024,121.66,122.5,120.0,120.83
21-02-2024,120.0,123.72,120.0,120.75
22-02-2024,120.5,121.51,120.11,121.51
23-02-2024,121.51,122.14,121.49,121.66
26-02-2024,121.5,121.74,120.2,120.92
27-02-2024,123.72,123.72,120.5,121.51
28-02-2024,121.44,121.6,119.9,120.15
29-02-2024,119.7,119.7,118.5,119.65
01-03-2024,119.13,119.83,118.0,118.25
02-03-2024,119.95,119.95,118.27,119.09
04-03-2024,119.09,119.94,118.71,119.02
05-03-2024,118.8,118.86,118.05,118.51
06-03-2024,118.34,120.0,117.82,119.62
07-03-2024,119.62,123.0,119.62,120.14
11-03-2024,120.66,121.41,120.46,120.97
12-03-2024,121.31,121.31,118.92,118.97
13-03-2024,118.97,118.97,116.36,117.45
14-03-2024,116.4,118.52,116.4,118.52
15-03-2024,117.91,117.91,116.3,117.12
18-03-2024,117.5,119.3,116.72,119.3
19-03-2024,117.0,117.0,115.81,116.01
20-03-2024,115.9,116.32,114.9,116.31
21-03-2024,116.24,117.37,116.24,117.37
22-03-2024,117.78,119.19,117.22,119.19
26-03-2024,118.6,119.19,118.49,119.19
27-03-2024,119.19,119.74,118.71,119.34
28-03-2024,120.0,121.31,119.54,120.47
01-04-2024,121.26,122.28,121.17,121.86
02-04-2024,122.53,122.53,121.07,121.69
03-04-2024,121.5,122.0,121.25,121.54
04-04-2024,121.01,121.99,119.94,121.19
05-04-2024,121.51,122.52,120.96,121.07
08-04-2024,121.31,122.18,121.3,121.48
09-04-2024,121.48,122.48,119.53,120.91
10-04-2024,121.71,121.71,121.42,121.42
12-04-2024,121.89,122.0,120.11,120.62
15-04-2024,120.0,120.0,118.54,118.81
16-04-2024,118.81,118.81,118.81,118.81
18-04-2024,118.81,119.09,116.48,116.48
19-04-2024,116.33,116.83,115.77,116.49
22-04-2024,117.7,117.7,117.7,117.7
23-04-2024,117.7,117.7,116.21,116.21
24-04-2024,117.43,118.44,117.43,118.29
25-04-2024,118.3,119.83,117.8,119.83
26-04-2024,119.55,120.68,119.55,120.36
29-04-2024,120.0,121.0,119.16,120.44
30-04-2024,120.5,121.11,120.0,120.18
02-05-2024,120.0,120.85,119.68,120.34
03-05-2024,121.03,121.39,119.93,120.18
06-05-2024,121.0,121.54,120.81,120.84
07-05-2024,120.1,120.1,118.48,118.5
08-05-2024,118.0,119.13,118.0,119.13
09-05-2024,118.5,118.61,116.49,118.27
10-05-2024,117.45,117.89,116.94,117.46
13-05-2024,117.85,119.57,117.66,119.25
14-05-2024,119.0,119.58,119.0,119.51
15-05-2024,119.51,119.51,119.51,119.51
16-05-2024,119.5,119.5,118.79,118.79
17-05-2024,120.11,120.78,119.78,120.67
18-05-2024,125.7,125.7,121.42,121.42
21-05-2024,121.01,121.87,120.88,121.75
22-05-2024,121.41,122.64,120.93,121.9
23-05-2024,121.5,121.74,120.6,121.01
24-05-2024,121.0,121.0,120.57,120.87
27-05-2024,120.58,121.35,120.22,120.79
28-05-2024,120.91,121.86,120.11,121.3
29-05-2024,120.71,121.8,120.71,121.22
30-05-2024,120.0,120.31,119.01,119.79
31-05-2024,122.78,122.78,117.55,117.76
03-06-2024,118.9,119.99,118.2,119.26
04-06-2024,118.0,119.21,115.0,116.61
05-06-2024,118.29,121.95,118.08,121.48
06-06-2024,120.89,122.29,120.25,121.44
07-06-2024,121.91,123.0,121.91,122.82
10-06-2024,124.04,124.76,123.02,124.67
11-06-2024,123.99,124.6,122.21,123.91
12-06-2024,123.91,126.33,123.79,124.62
13-06-2024,125.13,125.34,124.84,125.21
14-06-2024,125.99,127.07,125.99,126.56
18-06-2024,125.74,125.95,124.75,125.87
19-06-2024,125.81,125.92,124.55,125.62
20-06-2024,124.59,124.59,123.32,124.45
21-06-2024,124.46,125.97,123.83,123.83
