date,open,high,low,close
22-07-2019,200.05,216.0,198.9,209.65
23-07-2019,209.65,215.0,204.1,206.95
24-07-2019,207.95,213.85,198.2,206.8
25-07-2019,205.35,212.9,195.1,198.5
26-07-2019,197.15,202.0,188.15,192.85
29-07-2019,191.5,209.8,190.0,197.9
30-07-2019,199.5,199.5,173.2,176.6
31-07-2019,178.1,189.95,164.0,187.25
01-08-2019,185.95,192.0,180.55,189.05
02-08-2019,187.7,187.7,165.5,172.05
05-08-2019,170.85,173.0,161.2,165.4
06-08-2019,166.75,177.85,166.75,176.3
07-08-2019,179.95,180.0,169.5,170.5
08-08-2019,173.95,177.0,169.95,172.6
09-08-2019,175.05,184.65,174.55,175.5
13-08-2019,171.2,178.5,169.55,170.55
14-08-2019,171.05,187.45,171.0,174.95
16-08-2019,169.05,174.9,166.0,174.6
19-08-2019,174.95,175.0,165.0,166.05
20-08-2019,168.0,172.45,161.0,163.05
21-08-2019,160.25,171.0,160.25,163.05
22-08-2019,173.0,173.0,154.65,155.55
23-08-2019,153.2,158.9,147.4,155.9
26-08-2019,155.8,168.0,155.8,164.25
27-08-2019,166.0,184.0,166.0,176.25
28-08-2019,175.0,184.9,175.0,176.55
29-08-2019,176.6,177.05,160.3,162.8
30-08-2019,163.8,174.15,159.2,166.75
03-09-2019,165.75,175.0,160.0,170.95
04-09-2019,169.9,171.95,161.9,164.95
05-09-2019,167.1,171.0,163.0,163.75
06-09-2019,164.8,179.8,163.2,177.65
09-09-2019,176.55,177.85,166.3,168.75
11-09-2019,168.05,184.8,167.95,178.8
12-09-2019,189.4,189.9,177.15,180.0
13-09-2019,178.05,182.0,174.1,175.0
16-09-2019,170.15,184.2,168.15,182.1
17-09-2019,182.15,185.05,177.2,179.85
18-09-2019,178.05,184.0,177.95,182.8
19-09-2019,184.85,186.0,172.0,173.95
20-09-2019,176.45,190.0,176.45,185.45
23-09-2019,190.0,194.0,182.0,182.5
24-09-2019,184.95,186.0,180.5,180.95
25-09-2019,178.55,182.05,175.0,178.6
26-09-2019,178.25,183.0,178.1,180.9
27-09-2019,178.35,182.0,174.0,177.0
30-09-2019,175.05,175.05,170.0,171.7
01-10-2019,170.05,174.0,162.0,165.0
03-10-2019,167.95,170.0,160.2,168.5
04-10-2019,167.45,167.45,154.0,155.55
07-10-2019,162.75,162.75,146.6,149.3
09-10-2019,149.95,150.0,145.1,148.9
10-10-2019,149.95,151.7,145.6,149.95
11-10-2019,149.95,153.9,146.15,151.05
14-10-2019,156.45,156.5,143.7,148.15
15-10-2019,150.95,154.0,146.05,146.75
16-10-2019,148.45,149.5,144.45,144.95
17-10-2019,147.45,173.9,142.65,173.9
18-10-2019,189.5,192.95,172.5,175.85
22-10-2019,171.8,177.0,170.4,175.9
23-10-2019,170.95,177.9,170.1,171.05
24-10-2019,174.0,176.5,171.1,172.15
25-10-2019,171.05,175.85,170.0,170.7
27-10-2019,170.7,177.15,170.7,176.8
29-10-2019,176.3,182.5,172.5,179.95
30-10-2019,179.95,184.9,175.5,177.0
31-10-2019,177.0,200.0,177.0,189.9
01-11-2019,189.9,192.85,180.2,183.4
04-11-2019,185.85,220.05,182.0,203.25
05-11-2019,199.0,203.0,186.1,187.45
06-11-2019,188.0,192.85,183.2,188.75
07-11-2019,183.15,190.95,183.1,187.8
08-11-2019,186.95,188.95,182.0,183.0
11-11-2019,175.35,189.85,175.35,179.15
13-11-2019,184.75,185.0,175.2,177.65
14-11-2019,178.2,178.95,168.0,177.0
15-11-2019,177.35,179.75,173.55,179.6
18-11-2019,178.05,184.4,176.2,178.4
19-11-2019,180.05,180.05,175.5,178.55
20-11-2019,177.0,179.0,174.1,174.95
21-11-2019,173.05,174.0,167.0,167.25
22-11-2019,166.95,175.0,164.05,172.15
25-11-2019,170.05,173.0,165.25,167.55
26-11-2019,171.85,173.0,166.3,167.65
27-11-2019,170.05,178.0,168.0,168.85
28-11-2019,166.25,170.5,166.25,168.1
29-11-2019,171.15,171.95,163.0,164.9
02-12-2019,163.1,171.0,163.05,166.5
03-12-2019,164.05,168.0,163.8,165.25
04-12-2019,163.05,165.55,158.05,161.05
05-12-2019,160.0,168.0,160.0,164.05
06-12-2019,162.55,165.0,156.55,157.35
09-12-2019,159.05,162.5,154.5,158.6
10-12-2019,160.9,160.9,156.0,157.95
11-12-2019,158.9,158.9,153.55,153.55
12-12-2019,153.7,158.95,153.3,155.55
13-12-2019,159.05,163.0,156.0,158.05
16-12-2019,158.55,162.9,154.0,161.45
17-12-2019,161.5,164.95,153.0,163.7
18-12-2019,163.05,167.9,162.0,165.2
19-12-2019,164.55,169.7,164.0,165.15
20-12-2019,165.1,165.3,162.3,162.55
23-12-2019,162.5,164.5,158.0,158.1
24-12-2019,158.1,160.4,155.0,156.45
26-12-2019,159.95,172.7,159.0,165.1
27-12-2019,168.55,179.85,167.1,171.45
30-12-2019,173.65,173.65,168.2,169.95
31-12-2019,170.05,170.05,163.8,165.35
01-01-2020,165.4,169.6,163.15,167.95
02-01-2020,169.95,177.8,167.9,173.7
03-01-2020,173.7,174.0,169.1,171.25
06-01-2020,168.05,171.45,165.1,165.2
07-01-2020,165.4,172.05,165.25,169.8
08-01-2020,165.2,172.9,165.2,170.55
09-01-2020,172.75,181.7,170.5,179.1
10-01-2020,180.2,194.0,180.15,191.35
13-01-2020,197.05,208.7,193.05,205.0
14-01-2020,205.05,214.7,200.0,208.2
15-01-2020,202.55,214.0,202.5,208.75
16-01-2020,206.05,210.0,204.1,205.95
17-01-2020,209.4,210.0,203.15,206.0
20-01-2020,203.05,206.9,200.45,203.95
21-01-2020,199.45,206.0,198.0,198.15
22-01-2020,202.95,204.2,198.0,199.25
23-01-2020,203.8,207.8,198.1,200.75
24-01-2020,207.95,207.95,193.0,197.1
27-01-2020,204.8,204.8,193.1,195.8
28-01-2020,201.5,201.5,193.35,195.45
29-01-2020,194.05,194.05,188.75,189.55
30-01-2020,197.9,197.9,183.05,183.35
31-01-2020,189.9,189.9,183.0,183.05
01-02-2020,183.0,186.95,181.0,181.8
03-02-2020,184.9,184.9,177.05,183.3
04-02-2020,180.0,187.95,179.5,181.85
05-02-2020,186.75,186.95,178.35,183.9
06-02-2020,188.0,188.0,183.0,185.8
07-02-2020,188.0,188.0,180.05,182.0
10-02-2020,181.95,184.0,173.25,175.0
11-02-2020,177.95,177.95,167.2,169.45
12-02-2020,167.25,167.9,158.7,158.95
13-02-2020,159.05,162.0,157.05,161.3
14-02-2020,162.95,163.0,153.1,159.35
17-02-2020,159.0,163.0,156.05,160.15
18-02-2020,159.85,162.9,153.75,161.2
19-02-2020,162.2,166.5,160.15,161.55
20-02-2020,160.5,166.75,160.1,162.75
24-02-2020,161.95,162.7,158.0,158.05
25-02-2020,158.1,165.45,158.05,160.8
26-02-2020,161.0,161.0,153.0,153.15
27-02-2020,153.1,156.85,148.0,152.3
28-02-2020,145.0,154.0,141.0,148.15
02-03-2020,150.0,157.95,145.0,147.3
03-03-2020,148.05,150.0,145.5,148.5
04-03-2020,149.05,149.05,143.6,146.85
05-03-2020,152.65,154.5,140.0,143.9
06-03-2020,139.0,139.0,129.95,135.55
09-03-2020,137.45,137.5,125.7,130.15
11-03-2020,130.75,134.9,128.0,130.35
12-03-2020,116.1,124.9,112.5,114.75
13-03-2020,110.0,129.0,101.0,119.2
16-03-2020,114.4,114.4,99.0,100.85
17-03-2020,100.0,109.45,98.05,107.4
18-03-2020,107.0,107.0,90.0,92.1
19-03-2020,90.8,95.0,84.0,87.65
20-03-2020,97.2,99.0,85.1,90.8
23-03-2020,85.0,85.0,72.65,72.65
24-03-2020,67.05,75.8,65.5,68.7
25-03-2020,64.0,74.0,63.1,71.85
26-03-2020,66.65,77.5,66.65,71.1
