date,open,high,low,close
22-07-2019,7.9,7.95,7.65,7.75
23-07-2019,7.8,7.8,7.4,7.55
24-07-2019,7.8,7.85,7.3,7.6
25-07-2019,7.8,7.8,7.5,7.65
26-07-2019,7.75,8.0,7.6,7.8
29-07-2019,7.8,7.95,7.4,7.65
30-07-2019,7.35,7.65,7.35,7.55
31-07-2019,7.5,7.8,7.3,7.5
01-08-2019,7.45,7.7,7.3,7.6
02-08-2019,7.6,7.65,7.45,7.5
05-08-2019,7.35,7.4,7.15,7.25
06-08-2019,7.25,7.7,7.25,7.5
07-08-2019,7.5,7.6,6.8,7.25
08-08-2019,7.5,7.5,7.2,7.35
09-08-2019,7.45,7.6,7.35,7.4
13-08-2019,7.4,7.6,7.35,7.4
14-08-2019,7.4,7.55,7.4,7.4
16-08-2019,7.45,7.45,7.15,7.25
19-08-2019,7.4,7.4,7.05,7.1
20-08-2019,7.05,7.3,7.0,7.1
21-08-2019,7.05,7.15,6.85,6.95
22-08-2019,7.05,7.2,6.2,6.65
23-08-2019,6.6,6.6,5.9,6.3
26-08-2019,6.8,6.85,6.45,6.75
27-08-2019,6.75,7.4,6.65,7.25
28-08-2019,7.25,7.35,6.8,6.9
29-08-2019,6.6,7.1,6.6,6.85
30-08-2019,6.8,7.0,6.8,6.9
03-09-2019,6.95,7.05,6.7,6.85
04-09-2019,6.75,6.95,6.6,6.8
05-09-2019,6.75,7.0,6.7,6.95
06-09-2019,6.7,7.0,6.5,6.75
09-09-2019,6.85,6.9,6.75,6.8
11-09-2019,7.3,7.4,6.85,7.3
12-09-2019,7.3,7.7,7.1,7.2
13-09-2019,7.2,7.4,7.0,7.3
16-09-2019,7.3,7.4,6.9,7.15
17-09-2019,7.05,8.4,6.8,7.6
18-09-2019,8.2,8.6,7.2,7.95
19-09-2019,8.0,8.0,7.45,7.65
20-09-2019,8.4,8.4,7.7,7.8
23-09-2019,8.3,8.55,7.8,8.0
24-09-2019,8.0,8.1,7.7,7.8
25-09-2019,7.8,7.8,7.45,7.5
26-09-2019,7.45,8.15,7.3,7.95
27-09-2019,8.4,8.4,7.65,7.75
30-09-2019,7.45,7.75,7.15,7.35
01-10-2019,7.35,7.5,7.0,7.1
03-10-2019,7.1,7.2,6.9,7.0
04-10-2019,7.2,7.65,6.95,7.05
07-10-2019,6.85,7.1,6.85,6.95
09-10-2019,6.95,6.95,6.25,6.85
10-10-2019,6.75,6.9,6.65,6.7
11-10-2019,6.8,6.85,6.5,6.7
14-10-2019,6.45,6.75,6.45,6.55
15-10-2019,6.6,6.7,6.5,6.6
16-10-2019,6.6,6.6,6.3,6.4
17-10-2019,6.3,7.65,6.25,7.65
18-10-2019,8.7,9.15,8.45,8.85
22-10-2019,9.45,9.45,8.1,8.45
23-10-2019,8.5,8.55,7.9,7.95
24-10-2019,7.95,7.95,7.35,7.65
25-10-2019,7.7,8.2,7.3,8.1
27-10-2019,8.3,8.5,8.15,8.35
29-10-2019,8.35,8.4,7.75,7.9
30-10-2019,7.8,8.45,7.8,7.85
31-10-2019,7.85,8.15,7.8,7.85
01-11-2019,8.05,8.05,7.7,7.9
04-11-2019,7.95,7.95,7.75,7.8
05-11-2019,7.95,7.95,7.65,7.7
06-11-2019,7.15,7.7,7.15,7.55
07-11-2019,7.55,7.7,7.45,7.65
08-11-2019,7.75,7.8,7.5,7.65
11-11-2019,7.7,7.7,7.25,7.4
13-11-2019,7.55,8.0,7.5,7.55
14-11-2019,7.9,7.9,7.5,7.6
15-11-2019,7.55,7.65,7.5,7.6
18-11-2019,7.5,7.65,7.5,7.55
19-11-2019,7.55,7.6,7.45,7.55
20-11-2019,7.4,7.5,7.35,7.4
21-11-2019,7.4,7.4,7.2,7.3
22-11-2019,7.25,7.35,7.05,7.15
25-11-2019,7.1,7.25,6.95,7.05
26-11-2019,7.15,7.15,6.9,7.05
27-11-2019,7.1,7.3,7.05,7.15
28-11-2019,7.2,7.2,7.05,7.05
29-11-2019,7.15,7.15,7.0,7.05
02-12-2019,7.1,7.1,6.8,6.85
03-12-2019,7.0,7.0,6.8,6.85
04-12-2019,6.85,6.9,6.7,6.85
05-12-2019,6.85,6.9,6.75,6.8
06-12-2019,6.75,6.8,6.55,6.6
09-12-2019,6.6,6.7,6.05,6.35
10-12-2019,6.5,6.6,6.3,6.35
11-12-2019,6.35,6.6,6.2,6.25
12-12-2019,6.4,6.4,6.1,6.15
13-12-2019,6.2,6.3,6.1,6.3
16-12-2019,6.3,6.3,6.05,6.05
17-12-2019,6.1,6.2,6.05,6.1
18-12-2019,6.0,6.1,5.95,6.0
19-12-2019,6.05,6.05,5.9,6.0
20-12-2019,6.0,6.0,5.9,6.0
23-12-2019,5.9,6.0,5.8,5.85
24-12-2019,5.85,6.0,5.85,5.95
26-12-2019,5.9,5.95,5.8,5.9
27-12-2019,5.9,5.9,5.8,5.8
30-12-2019,5.8,5.85,5.6,5.65
31-12-2019,5.8,5.8,5.4,5.5
01-01-2020,5.6,6.0,5.5,5.85
02-01-2020,5.7,5.95,5.7,5.95
03-01-2020,5.95,6.0,5.8,5.85
06-01-2020,5.65,5.9,5.55,5.7
07-01-2020,5.7,5.95,5.7,5.85
08-01-2020,5.95,5.95,5.7,5.85
09-01-2020,5.85,5.95,5.75,5.85
10-01-2020,5.8,5.9,5.8,5.85
13-01-2020,5.8,5.9,5.8,5.8
14-01-2020,5.8,5.85,5.7,5.7
15-01-2020,5.65,5.8,5.65,5.75
16-01-2020,5.8,5.9,5.7,5.75
17-01-2020,5.75,5.8,5.65,5.7
20-01-2020,5.8,5.8,5.7,5.75
21-01-2020,5.75,5.8,5.7,5.7
22-01-2020,5.7,5.8,5.65,5.7
23-01-2020,5.7,5.8,5.7,5.7
24-01-2020,5.8,5.8,5.7,5.75
27-01-2020,5.8,5.8,5.7,5.7
28-01-2020,5.7,5.8,5.6,5.65
29-01-2020,5.65,5.8,5.65,5.7
30-01-2020,5.7,5.75,5.65,5.65
31-01-2020,5.65,5.8,5.55,5.65
01-02-2020,5.7,5.7,5.5,5.55
03-02-2020,5.55,5.65,5.45,5.55
04-02-2020,5.6,5.7,5.5,5.55
05-02-2020,5.65,5.7,5.5,5.65
06-02-2020,5.75,5.75,5.6,5.6
07-02-2020,5.6,5.7,5.55,5.6
10-02-2020,5.7,5.75,5.45,5.6
11-02-2020,5.75,6.1,5.65,5.7
12-02-2020,5.8,5.8,5.3,5.4
13-02-2020,5.45,5.45,5.3,5.35
14-02-2020,5.4,5.45,5.05,5.15
17-02-2020,5.45,5.45,4.8,4.85
18-02-2020,4.85,4.85,4.4,4.5
19-02-2020,4.5,4.5,4.25,4.25
20-02-2020,4.25,4.4,4.1,4.15
24-02-2020,4.2,4.2,4.05,4.1
25-02-2020,4.15,4.15,4.0,4.0
26-02-2020,4.05,4.1,3.95,4.0
27-02-2020,4.05,4.1,3.9,4.0
28-02-2020,3.95,4.0,3.4,3.65
02-03-2020,3.75,4.15,3.75,3.9
03-03-2020,4.0,4.0,3.75,3.9
04-03-2020,3.95,3.95,3.15,3.6
05-03-2020,3.6,3.75,3.5,3.5
06-03-2020,3.5,3.5,3.0,3.15
09-03-2020,3.4,3.45,3.1,3.25
11-03-2020,3.4,3.55,3.15,3.55
12-03-2020,3.75,3.75,3.3,3.45
13-03-2020,3.4,3.75,3.15,3.45
16-03-2020,3.6,3.75,3.35,3.7
17-03-2020,3.7,3.85,3.6,3.65
18-03-2020,3.9,3.9,3.3,3.35
19-03-2020,3.3,3.5,3.05,3.15
20-03-2020,3.25,3.45,3.0,3.4
23-03-2020,3.1,3.6,3.1,3.15
24-03-2020,3.4,3.4,2.9,3.1
25-03-2020,3.1,3.3,2.9,3.05
26-03-2020,2.9,3.2,2.9,3.05
27-03-2020,3.25,3.35,3.05,3.25
30-03-2020,3.2,3.35,3.0,3.25
31-03-2020,3.35,3.35,3.1,3.15
01-04-2020,3.1,3.35,3.1,3.3
03-04-2020,3.3,3.3,3.15,3.3
07-04-2020,3.1,3.35,3.1,3.3
08-04-2020,3.3,3.6,3.25,3.55
09-04-2020,3.9,3.9,3.5,3.65
13-04-2020,3.9,3.95,3.35,3.7
15-04-2020,3.75,3.9,3.6,3.7
16-04-2020,3.8,3.9,3.55,3.8
17-04-2020,3.95,4.0,3.8,3.9
20-04-2020,4.25,4.25,3.8,4.0
21-04-2020,4.15,4.15,3.8,3.85
22-04-2020,4.0,4.0,3.7,3.85
23-04-2020,3.95,4.0,3.8,3.9
24-04-2020,4.0,4.0,3.7,3.8
27-04-2020,3.95,3.95,3.75,3.9
28-04-2020,3.95,3.95,3.8,3.95
29-04-2020,4.0,4.0,3.85,3.9
30-04-2020,3.9,3.95,3.75,3.8
04-05-2020,3.9,3.9,3.6,3.7
05-05-2020,3.6,3.8,3.5,3.6
06-05-2020,3.65,3.8,3.65,3.75
07-05-2020,3.75,3.9,3.15,3.45
08-05-2020,3.2,3.5,3.2,3.4
