date,open,high,low,close
07-11-2023,330.0,340.45,321.1,337.1
08-11-2023,337.65,340.0,320.75,322.5
09-11-2023,318.95,320.0,298.35,302.1
10-11-2023,290.35,326.0,256.3,317.9
12-11-2023,324.5,326.0,318.4,321.1
13-11-2023,317.0,329.7,312.3,317.95
15-11-2023,324.0,324.0,309.05,314.55
16-11-2023,315.0,335.0,310.7,332.2
17-11-2023,328.3,342.2,328.0,332.2
20-11-2023,334.95,374.95,334.95,349.7
21-11-2023,349.0,369.75,345.75,366.8
22-11-2023,369.0,384.0,331.2,353.15
23-11-2023,387.95,423.75,371.4,423.75
24-11-2023,456.0,486.15,442.85,475.1
28-11-2023,469.05,469.7,440.2,445.15
29-11-2023,443.0,443.2,420.2,426.25
30-11-2023,420.05,425.9,405.1,416.95
01-12-2023,409.0,412.45,395.3,400.2
04-12-2023,405.4,410.0,381.0,384.1
05-12-2023,379.8,406.0,358.0,363.4
06-12-2023,370.0,384.95,364.8,380.95
07-12-2023,381.95,393.65,376.55,390.3
08-12-2023,394.0,412.0,386.1,399.95
11-12-2023,402.0,410.0,396.3,406.55
12-12-2023,410.0,424.5,408.0,416.75
13-12-2023,417.95,420.9,385.0,387.45
14-12-2023,394.5,398.95,382.2,385.2
15-12-2023,388.3,412.3,388.3,406.55
18-12-2023,408.15,411.45,398.15,409.1
19-12-2023,409.95,422.0,405.55,420.7
20-12-2023,425.0,429.9,393.55,405.75
21-12-2023,391.0,414.35,390.05,412.55
22-12-2023,410.05,443.75,410.05,425.3
26-12-2023,430.0,443.0,430.0,436.5
27-12-2023,436.5,469.0,431.95,461.5
28-12-2023,465.0,472.95,447.1,461.4
29-12-2023,463.95,464.0,436.0,440.8
01-01-2024,444.6,448.0,424.0,426.85
02-01-2024,431.1,436.0,417.0,432.35
03-01-2024,432.9,444.65,419.4,441.7
04-01-2024,450.0,464.0,444.05,454.25
05-01-2024,458.25,467.8,442.15,445.65
08-01-2024,449.35,490.2,436.45,473.45
09-01-2024,472.0,502.95,460.0,462.95
10-01-2024,462.95,492.0,460.0,469.65
11-01-2024,472.85,475.75,462.25,468.15
12-01-2024,472.8,478.0,466.55,474.15
15-01-2024,478.0,483.0,466.55,474.7
16-01-2024,474.65,474.65,450.0,461.55
17-01-2024,457.4,470.0,450.5,457.9
18-01-2024,455.0,470.0,448.6,467.65
19-01-2024,471.6,495.0,471.0,487.9
20-01-2024,490.0,490.0,472.0,476.75
23-01-2024,478.95,511.0,472.75,486.0
24-01-2024,486.0,487.9,466.5,481.05
25-01-2024,480.0,500.0,478.6,485.9
29-01-2024,491.0,493.1,479.05,481.7
30-01-2024,483.9,498.0,472.05,482.85
31-01-2024,480.0,481.95,464.95,467.95
01-02-2024,463.0,463.0,440.05,443.3
02-02-2024,444.95,449.95,428.6,436.65
05-02-2024,441.0,448.4,435.1,439.25
06-02-2024,440.95,444.2,430.0,432.65
07-02-2024,439.5,442.6,425.0,428.95
08-02-2024,433.3,435.5,414.35,416.45
09-02-2024,419.95,437.05,412.5,432.95
12-02-2024,453.3,474.9,433.05,438.35
13-02-2024,449.0,450.0,415.9,419.95
14-02-2024,419.9,452.0,417.8,439.85
15-02-2024,443.7,448.05,433.75,446.45
16-02-2024,447.95,452.0,436.2,445.15
19-02-2024,442.2,446.8,435.15,438.75
20-02-2024,443.3,444.7,426.0,432.65
21-02-2024,436.65,442.35,429.1,432.2
22-02-2024,435.0,440.5,430.05,433.55
23-02-2024,450.0,458.8,442.7,444.85
26-02-2024,443.8,447.0,430.2,436.45
27-02-2024,436.4,442.4,428.6,431.2
28-02-2024,433.8,437.2,422.0,423.95
29-02-2024,424.65,425.2,405.7,414.1
01-03-2024,419.8,420.45,410.4,417.45
02-03-2024,417.45,424.0,414.6,418.65
04-03-2024,420.05,421.6,402.5,404.85
05-03-2024,410.8,418.35,404.35,405.7
06-03-2024,408.7,409.0,388.3,393.65
07-03-2024,397.65,399.0,389.0,391.7
11-03-2024,394.0,394.25,381.55,383.6
12-03-2024,386.75,399.0,375.4,382.95
13-03-2024,383.9,383.9,365.0,378.65
14-03-2024,380.8,388.9,377.0,383.95
15-03-2024,386.9,389.0,377.1,379.3
18-03-2024,382.6,387.0,374.0,379.8
19-03-2024,382.35,382.35,361.4,367.95
20-03-2024,371.4,372.15,357.35,368.9
21-03-2024,370.2,371.95,363.5,369.5
22-03-2024,371.65,375.2,368.3,369.65
26-03-2024,375.0,382.0,366.0,379.9
27-03-2024,382.0,406.65,380.0,395.7
28-03-2024,396.0,404.95,388.05,402.4
01-04-2024,411.65,419.75,404.05,407.35
02-04-2024,406.05,414.0,401.2,410.9
03-04-2024,408.0,415.0,405.1,410.4
04-04-2024,410.4,415.0,409.2,412.15
05-04-2024,410.5,412.95,402.25,405.0
08-04-2024,405.0,409.9,393.1,397.15
09-04-2024,400.7,402.35,390.05,399.7
10-04-2024,400.0,400.5,389.2,391.1
12-04-2024,396.95,399.9,392.0,397.6
15-04-2024,391.0,398.55,385.35,395.15
16-04-2024,389.2,393.85,374.85,380.15
18-04-2024,381.9,387.95,378.55,382.95
19-04-2024,377.2,392.0,374.75,387.3
22-04-2024,400.0,406.0,390.0,404.6
23-04-2024,412.0,446.4,411.95,437.7
24-04-2024,436.7,438.65,424.0,427.65
25-04-2024,426.0,430.9,420.0,423.5
26-04-2024,423.5,430.5,419.5,428.7
29-04-2024,438.0,443.2,421.2,427.65
30-04-2024,432.95,438.0,425.0,431.2
02-05-2024,435.0,435.0,419.35,423.1
03-05-2024,423.2,424.95,412.05,420.15
06-05-2024,421.15,429.9,413.0,427.3
07-05-2024,430.0,430.3,418.1,428.0
08-05-2024,424.95,433.5,422.45,430.45
09-05-2024,430.0,431.75,422.95,428.35
10-05-2024,429.6,430.05,414.9,429.0
13-05-2024,429.15,429.5,422.0,425.5
14-05-2024,425.95,425.95,413.6,417.5
15-05-2024,417.5,420.0,408.95,416.25
16-05-2024,416.95,417.0,403.05,410.95
17-05-2024,417.1,417.1,398.05,400.2
18-05-2024,408.4,408.4,403.05,406.55
21-05-2024,408.0,429.9,404.4,424.5
22-05-2024,424.45,433.0,422.05,426.4
23-05-2024,426.4,431.65,416.15,418.35
24-05-2024,445.0,448.0,426.75,430.6
27-05-2024,430.6,436.9,418.85,426.3
28-05-2024,429.9,429.9,414.3,420.4
29-05-2024,419.0,429.35,414.9,427.85
30-05-2024,426.9,426.9,416.1,421.85
31-05-2024,426.25,448.0,424.25,441.6
03-06-2024,455.0,460.0,444.55,458.3
04-06-2024,460.0,464.5,380.0,416.1
05-06-2024,423.95,461.75,417.0,459.9
06-06-2024,464.0,464.0,437.75,439.6
07-06-2024,439.6,443.8,435.6,438.5
10-06-2024,440.6,460.0,438.5,457.95
11-06-2024,441.0,443.9,425.85,435.6
12-06-2024,440.75,448.85,429.0,430.1
13-06-2024,436.0,436.75,431.0,434.95
14-06-2024,434.95,436.95,424.3,429.7
18-06-2024,429.95,435.85,428.45,431.2
19-06-2024,433.95,439.85,421.25,426.65
20-06-2024,426.65,428.0,419.3,426.3
21-06-2024,428.25,455.0,424.7,449.9
